@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute target {1,2}

@data
1.696154,2.031519,1.551473,1.078578,0.690494,0.380278,0.175082,0.028263,-0.042237,-0.015088,0.418296,2.317328,1.919155,0.06467,0.29647,0.473728,-0.398464,-0.591551,-0.687588,-0.810432,-0.873593,-0.936594,-0.964049,-0.960468,-0.925634,-0.892004,-0.861611,-0.832291,-0.792715,-0.688383,-0.659925,-0.715861,-0.68812,-0.628427,-0.6017,-0.672315,-0.738539,-0.688008,-0.441596,-0.478699,-0.438833,-0.427347,-0.547094,-0.595884,-0.565221,-0.82938,-0.842092,-0.908622,-0.87068,-0.780864,-0.673942,-0.504978,-0.21834,0.191135,0.825299,1.73315,2.980443,4.318609,5.070591,4.75726,3.921622,2.657461,1.315812,0.159745,-0.777296,-1.513388,-2.055157,-2.446961,-2.70102,-2.865334,-2.904294,1
1.69295,2.026683,1.545617,1.074173,0.686943,0.377405,0.168851,0.024135,-0.048471,-0.022405,0.420491,2.357391,1.95408,0.064955,0.302262,0.484853,-0.405354,-0.602084,-0.693069,-0.818027,-0.882548,-0.94689,-0.975426,-0.976044,-0.942229,-0.908144,-0.87683,-0.846775,-0.807792,-0.700363,-0.667947,-0.726596,-0.693695,-0.628751,-0.602619,-0.676029,-0.740998,-0.689484,-0.436423,-0.468313,-0.420916,-0.400704,-0.523052,-0.576369,-0.54886,-0.823626,-0.841755,-0.911922,-0.875214,-0.782071,-0.65771,-0.468416,-0.176483,0.232724,0.861027,1.749791,2.981991,4.296358,5.046363,4.743006,3.912134,2.648195,1.300772,0.136796,-0.797281,-1.524299,-2.058988,-2.445868,-2.701883,-2.866047,-2.905175,1
1.688055,2.021623,1.541316,1.070151,0.683359,0.372223,0.165741,0.021909,-0.046846,-0.01543,0.434762,2.382368,1.976509,0.071231,0.3131,0.502821,-0.398303,-0.596503,-0.692946,-0.818602,-0.883563,-0.948369,-0.978078,-0.97744,-0.943293,-0.909792,-0.879567,-0.847678,-0.805628,-0.696445,-0.666936,-0.726909,-0.691998,-0.627762,-0.600137,-0.674765,-0.740231,-0.686382,-0.431207,-0.464388,-0.415849,-0.39516,-0.519687,-0.573097,-0.545173,-0.825306,-0.84202,-0.913402,-0.877743,-0.785461,-0.658306,-0.471239,-0.180434,0.229008,0.855913,1.746048,2.973084,4.290788,5.036127,4.734948,3.91143,2.642875,1.295258,0.129432,-0.804017,-1.52988,-2.063945,-2.451428,-2.707439,-2.871031,-2.910263,1
1.690869,2.023614,1.545565,1.079593,0.688848,0.380336,0.172069,0.023143,-0.055175,-0.044274,0.360653,2.141271,1.790609,0.021357,0.23121,0.394569,-0.426174,-0.599788,-0.68541,-0.813837,-0.880173,-0.94023,-0.963645,-0.962954,-0.932683,-0.898555,-0.869583,-0.843549,-0.813461,-0.714259,-0.684887,-0.736012,-0.702141,-0.640507,-0.6168,-0.683548,-0.744413,-0.698428,-0.466416,-0.492337,-0.444173,-0.425641,-0.543099,-0.591675,-0.559733,-0.810229,-0.826912,-0.886844,-0.845786,-0.75072,-0.622271,-0.426259,-0.127013,0.291704,0.926927,1.817586,3.048602,4.373811,5.106586,4.787816,3.940512,2.663005,1.310661,0.142988,-0.792739,-1.517555,-2.044917,-2.42669,-2.678094,-2.842885,-2.88143,1
1.694455,2.028669,1.551261,1.083115,0.691917,0.38486,0.174153,0.0253,-0.054778,-0.043648,0.356018,2.129542,1.77835,0.017476,0.224959,0.389984,-0.427772,-0.601591,-0.685742,-0.812501,-0.879746,-0.938526,-0.964091,-0.961941,-0.931988,-0.898289,-0.8689,-0.844292,-0.812894,-0.715882,-0.684371,-0.735722,-0.702184,-0.642218,-0.618535,-0.684998,-0.744197,-0.69944,-0.469128,-0.495983,-0.448272,-0.428785,-0.544302,-0.593628,-0.562175,-0.809489,-0.826634,-0.884104,-0.843518,-0.748981,-0.619358,-0.423645,-0.126743,0.29501,0.927218,1.821905,3.053351,4.371067,5.109715,4.790679,3.942341,2.663603,1.311732,0.141589,-0.794169,-1.517733,-2.045103,-2.424904,-2.67658,-2.841783,-2.879003,1
1.695787,2.029543,1.55374,1.084625,0.695872,0.387417,0.176035,0.02647,-0.054875,-0.043159,0.352485,2.119139,1.769848,0.013909,0.222,0.384301,-0.431967,-0.606597,-0.689503,-0.812274,-0.879489,-0.938579,-0.962703,-0.962507,-0.932958,-0.899902,-0.870165,-0.844894,-0.813943,-0.717051,-0.686729,-0.737962,-0.704543,-0.644234,-0.621895,-0.687508,-0.747431,-0.701623,-0.472213,-0.4995,-0.451292,-0.433471,-0.547154,-0.596968,-0.563023,-0.810116,-0.824011,-0.88102,-0.84115,-0.744764,-0.613832,-0.419817,-0.12238,0.294189,0.925426,1.816396,3.048013,4.374882,5.118947,4.79154,3.951724,2.666514,1.3163,0.145591,-0.792388,-1.515036,-2.041335,-2.420329,-2.671244,-2.834422,-2.872738,1
1.542541,1.877556,1.43893,0.996152,0.638633,0.35699,0.171128,0.04416,-0.010676,0.035788,0.535027,2.583315,2.148596,0.170903,0.425332,0.57824,-0.348107,-0.552396,-0.653406,-0.79359,-0.862957,-0.925809,-0.953315,-0.953614,-0.922965,-0.888807,-0.859221,-0.834695,-0.797601,-0.682714,-0.654144,-0.714528,-0.677042,-0.617122,-0.598696,-0.676859,-0.745218,-0.687679,-0.426694,-0.452804,-0.406292,-0.402645,-0.539824,-0.594022,-0.57398,-0.854197,-0.882919,-0.961569,-0.935737,-0.848038,-0.735691,-0.544498,-0.246092,0.166587,0.802851,1.712223,2.978147,4.349903,5.105027,4.750225,3.883218,2.564297,1.197688,0.053987,-0.84713,-1.545828,-2.064738,-2.438108,-2.68002,-2.839997,-2.875458,1
1.540101,1.878637,1.437446,0.996784,0.638351,0.355554,0.171316,0.045142,-0.011682,0.034556,0.534215,2.579673,2.145927,0.171178,0.423728,0.578073,-0.347092,-0.551808,-0.6549,-0.793896,-0.86478,-0.926944,-0.952972,-0.954539,-0.922316,-0.887611,-0.858757,-0.833363,-0.795351,-0.68149,-0.65252,-0.712301,-0.676679,-0.615172,-0.596136,-0.67358,-0.742488,-0.686127,-0.423777,-0.451381,-0.404409,-0.401824,-0.538453,-0.592383,-0.574344,-0.85397,-0.882162,-0.960634,-0.936066,-0.8484,-0.735812,-0.544272,-0.24475,0.167823,0.806381,1.714163,2.981478,4.35196,5.108287,4.748451,3.878416,2.56308,1.195015,0.050578,-0.850398,-1.549095,-2.067334,-2.439847,-2.683082,-2.84295,-2.878466,1
1.545598,1.878945,1.441076,0.999259,0.640086,0.358141,0.172268,0.046322,-0.009608,0.035499,0.531828,2.571176,2.133537,0.169422,0.419596,0.572233,-0.349096,-0.552061,-0.653007,-0.793012,-0.864043,-0.92663,-0.952297,-0.95319,-0.919625,-0.887575,-0.858397,-0.834027,-0.796676,-0.681839,-0.653346,-0.71373,-0.678016,-0.615644,-0.597794,-0.676322,-0.743459,-0.688245,-0.427084,-0.454137,-0.407257,-0.403106,-0.540994,-0.595637,-0.575104,-0.854121,-0.883046,-0.96251,-0.933122,-0.848241,-0.73434,-0.545211,-0.243646,0.169119,0.806422,1.71512,2.983335,4.354706,5.114463,4.753138,3.877771,2.559504,1.193293,0.053022,-0.846451,-1.546706,-2.064706,-2.437223,-2.67976,-2.840316,-2.87452,1
1.615361,1.949142,1.49224,1.039561,0.665925,0.370663,0.172792,0.036692,-0.030003,0.002691,0.452939,2.379992,1.976333,0.108491,0.354969,0.521896,-0.352738,-0.549174,-0.645656,-0.783183,-0.867452,-0.935464,-0.965459,-0.97012,-0.937455,-0.902057,-0.867834,-0.839216,-0.802919,-0.693897,-0.664524,-0.723223,-0.692506,-0.634743,-0.609488,-0.686306,-0.750412,-0.694338,-0.446101,-0.470541,-0.422795,-0.413896,-0.546054,-0.604146,-0.579088,-0.847553,-0.868569,-0.939268,-0.902327,-0.811496,-0.683254,-0.49139,-0.193188,0.220817,0.856288,1.763612,3.014548,4.360064,5.107338,4.767878,3.89921,2.602845,1.243738,0.091218,-0.820913,-1.527302,-2.050234,-2.434449,-2.684895,-2.847437,-2.884178,1
