@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute target {1,2}

@data
0.1878,0.131039,0.068873,0.001687,-0.068199,-0.136462,-0.189528,-0.170504,-0.206706,-0.216101,-0.209706,-0.20829,-0.211222,-0.199472,-0.196762,-0.19658,-0.19473,-0.210707,-0.19593,-0.22916,-0.233375,-0.246846,-0.251914,-0.227002,-0.213384,-0.196572,-0.169947,-0.158541,-0.138822,-0.128463,-0.132852,-0.124166,-0.103723,-0.048563,0.021412,0.042705,0.123271,0.183921,0.226431,0.249388,0.261979,0.302836,0.333826,0.378577,0.401368,0.419587,0.450813,0.482966,0.476367,0.484624,0.230674,0.266597,0.276057,0.309449,0.332965,0.334546,0.321831,0.307943,0.281906,0.263095,0.223106,0.206107,0.155272,0.14115,0.088445,0.072513,0.023268,0.000191,-0.074424,-0.114225,-0.148405,-0.22293,-0.271853,-0.321186,-0.362197,-0.359714,-0.427604,-0.478346,-0.50889,-0.502569,-0.481828,-0.472195,-0.450971,-0.421037,-0.396168,-0.378004,-0.352392,-0.325196,-0.317554,-0.299927,-0.260302,-0.235192,-0.19288,-0.157041,-0.130558,-0.104366,-0.130033,-0.153871,-0.155073,-0.186739,-0.232712,-0.251112,-0.27753,-0.269202,-0.333531,-0.349768,-0.380061,-0.412063,-0.420105,-0.424736,-0.425898,-0.482656,-0.472981,-0.44278,-0.359568,-0.28781,-0.217129,-0.161255,-0.115255,-0.069067,-0.019895,0.021488,0.065049,0.089273,0.153748,0.226944,0.316482,0.410576,0.479109,0.549307,0.590201,0.630568,0.673904,0.671347,0.685927,0.670591,0.629962,0.613228,0.603388,0.54983,0.519045,0.531663,0.500978,0.476354,0.429755,0.35455,0.303971,0.240693,0.157608,0.116981,0.08267,0.007157,-0.042838,-0.099501,1
0.206199,0.270082,0.28298,0.280317,0.282844,0.296289,0.2882,0.295798,0.298487,0.302765,0.30642,0.291064,0.267366,0.266838,0.251777,0.221631,0.196507,0.169386,0.137308,0.147689,0.127603,0.125835,0.104394,0.088011,0.093225,0.091728,0.087568,0.092648,0.072081,0.022217,-0.025929,-0.05155,-0.056169,-0.066196,-0.076415,-0.104716,-0.144465,-0.184753,-0.20127,-0.217783,-0.235669,-0.240299,-0.248197,-0.255273,-0.228263,-0.184347,-0.145309,-0.126921,-0.081621,-0.052083,-0.284635,-0.264286,-0.258191,-0.239031,-0.237903,-0.227571,-0.188108,-0.188961,-0.159541,-0.121918,-0.075002,-0.029392,-0.000859,0.043567,0.086329,0.113375,0.113446,0.099028,0.082206,0.111537,0.14181,0.163698,0.180631,0.176525,0.172846,0.148499,0.125781,0.110693,0.123517,0.133033,0.185198,0.206736,0.234837,0.194236,0.16188,0.128074,0.091077,0.050465,0.069971,0.061182,0.021277,-0.005143,-0.020034,-0.040018,-0.048275,-0.084924,-0.159746,-0.223366,-0.30915,-0.398814,-0.493948,-0.570616,-0.587838,-0.561881,-0.525514,-0.487506,-0.460694,-0.431835,-0.400969,-0.358974,-0.282298,-0.218677,-0.18575,-0.185421,-0.183163,-0.184142,-0.148543,-0.093417,-0.074725,-0.064333,-0.044394,-0.003219,0.036914,0.052937,0.082161,0.122411,0.144366,0.151044,0.147628,0.171628,0.199619,0.198204,0.223074,0.220881,0.205343,0.200208,0.171033,0.160959,0.139275,0.126269,0.104969,0.098216,0.082184,0.064045,0.048789,0.03241,-0.017723,-0.060033,-0.089924,-0.092439,-0.102612,-0.123754,-0.107204,-0.060307,1
0.3312,0.338928,0.340017,0.357535,0.421615,0.454907,0.475476,0.435523,0.403002,0.376178,0.367973,0.362518,0.364057,0.346399,0.308265,0.264999,0.24804,0.245857,0.244167,0.223424,0.188661,0.151764,0.100647,0.068941,0.034498,-0.005502,-0.048639,-0.09161,-0.137461,-0.190857,-0.226749,-0.263555,-0.287506,-0.307449,-0.306475,-0.310688,-0.302929,-0.323998,-0.337751,-0.345445,-0.338056,-0.316253,-0.263932,-0.18052,-0.082382,0.015679,0.109262,0.199351,0.30102,0.393414,-0.098459,-0.002954,0.091375,0.171263,0.243277,0.316782,0.381841,0.449604,0.526187,0.569378,0.56038,0.551581,0.545931,0.514391,0.45333,0.378646,0.29225,0.200114,0.104931,0.00218,-0.09798,-0.193244,-0.29581,-0.394188,-0.491981,-0.595146,-0.646859,-0.67382,-0.702989,-0.723668,-0.747997,-0.761098,-0.75501,-0.703865,-0.656468,-0.633494,-0.611009,-0.584788,-0.552418,-0.495168,-0.44135,-0.356846,-0.272298,-0.17456,-0.089941,-0.012182,0.062136,0.144113,0.220715,0.290952,0.361725,0.413422,0.438933,0.452507,0.484715,0.511147,0.53589,0.557505,0.590856,0.618411,0.644785,0.668326,0.697961,0.723957,0.736909,0.707829,0.685013,0.641168,0.616143,0.596613,0.559911,0.51949,0.467332,0.389881,0.301794,0.198832,0.115428,0.029651,-0.062329,-0.164563,-0.249584,-0.336382,-0.417211,-0.504996,-0.585614,-0.685332,-0.773581,-0.811499,-0.789658,-0.756589,-0.727535,-0.710273,-0.683623,-0.657814,-0.625887,-0.587573,-0.564627,-0.529148,-0.49631,-0.467057,-0.420829,-0.383091,-0.350518,-0.304362,1
0.046032,0.013637,-0.021974,-0.085089,-0.163135,-0.248711,-0.309892,-0.400997,-0.485907,-0.549695,-0.590386,-0.619175,-0.68284,-0.727807,-0.766294,-0.816831,-0.829599,-0.851941,-0.826559,-0.82873,-0.846337,-0.785631,-0.684985,-0.605591,-0.618651,-0.579055,-0.529718,-0.448962,-0.387686,-0.311725,-0.266799,-0.202172,-0.176067,-0.15507,-0.145968,-0.144638,-0.135627,-0.085317,0.025342,0.104804,0.152217,0.230975,0.286892,0.360907,0.412445,0.457453,0.520896,0.54776,0.576493,0.637167,0.621039,0.667681,0.645618,0.663195,0.650473,0.622494,0.594751,0.586074,0.547116,0.525393,0.523967,0.502593,0.520726,0.509031,0.457429,0.436706,0.363855,0.336575,0.319856,0.32681,0.337852,0.335216,0.340189,0.354399,0.364276,0.380015,0.364673,0.319601,0.39684,0.403881,0.39303,0.42079,0.404229,0.387607,0.363183,0.310992,0.226674,0.194391,0.142896,0.101591,0.054231,0.080448,0.076316,0.065884,0.062547,0.033215,0.004372,-0.042712,-0.083522,-0.106238,-0.097959,-0.11262,-0.124197,-0.160406,-0.192539,-0.203506,-0.210924,-0.221849,-0.246588,-0.24519,-0.275983,-0.265454,-0.241649,-0.269283,-0.292471,-0.273306,-0.293729,-0.323593,-0.354374,-0.376207,-0.426184,-0.421328,-0.391836,-0.345889,-0.260209,-0.194031,-0.122809,-0.054583,-0.017907,0.015931,0.119105,0.182968,0.248556,0.287263,0.307986,0.35095,0.420739,0.462874,0.467989,0.504802,0.533789,0.543214,0.531727,0.502385,0.44288,0.340972,0.298167,0.186998,0.139176,0.038292,0.016103,-0.019393,-0.100641,-0.191088,1
0.298384,0.277716,0.241173,0.17487,0.087798,-0.002378,-0.080434,-0.155356,-0.217126,-0.281982,-0.334281,-0.371227,-0.43305,-0.477517,-0.49649,-0.527497,-0.55145,-0.52893,-0.54795,-0.588397,-0.584469,-0.566111,-0.506718,-0.389521,-0.278714,-0.166887,-0.055702,0.052681,0.124621,0.235667,0.340606,0.438017,0.515107,0.597912,0.697511,0.78057,0.818616,0.825715,0.836194,0.824863,0.782542,0.719969,0.676933,0.612641,0.57456,0.523528,0.471118,0.458898,0.475553,0.499081,0.353485,0.314765,0.268071,0.238855,0.224944,0.194471,0.167465,0.156397,0.120824,0.050692,-0.026505,-0.106744,-0.194978,-0.285352,-0.374749,-0.475346,-0.564871,-0.667209,-0.768911,-0.884274,-0.980795,-1.054213,-1.091915,-1.110132,-1.062322,-0.984739,-0.97596,-1.019058,-1.029024,-1.015068,-0.968222,-0.901979,-0.835028,-0.796426,-0.789896,-0.774364,-0.763994,-0.747267,-0.688174,-0.640676,-0.588257,-0.543206,-0.491018,-0.447421,-0.423705,-0.430669,-0.424596,-0.363286,-0.298073,-0.22812,-0.190738,-0.195508,-0.138626,-0.076257,-0.007827,0.052625,0.104681,0.091738,0.062601,0.082734,0.14117,0.182219,0.177513,0.205146,0.260872,0.295241,0.339814,0.394582,0.445006,0.432877,0.443999,0.47102,0.49479,0.49467,0.550436,0.588277,0.644909,0.685791,0.689117,0.676748,0.674194,0.628271,0.57682,0.550463,0.523012,0.49025,0.433429,0.419203,0.35913,0.416896,0.432452,0.396103,0.360063,0.31357,0.279492,0.280741,0.279272,0.239483,0.209465,0.169598,0.146579,0.124298,0.136967,0.126333,1
0.528595,0.549066,0.517085,0.459685,0.442451,0.425478,0.383468,0.310259,0.248208,0.250008,0.219466,0.203207,0.175408,0.166511,0.139332,0.108639,0.029244,-0.028819,-0.11863,-0.197583,-0.281632,-0.28661,-0.31276,-0.347559,-0.340869,-0.357854,-0.363917,-0.370685,-0.363979,-0.351337,-0.330542,-0.293667,-0.258311,-0.236394,-0.202075,-0.161999,-0.108519,-0.095646,-0.061257,-0.022108,0.035635,0.093715,0.138555,0.206627,0.246712,0.314999,0.350442,0.38001,0.429853,0.499771,0.521575,0.537071,0.493951,0.505616,0.527718,0.583773,0.623089,0.637886,0.615066,0.594633,0.591537,0.571558,0.548466,0.593172,0.607533,0.617411,0.622716,0.585971,0.503115,0.446799,0.415604,0.379063,0.331845,0.295783,0.205554,0.109659,0.009917,-0.067153,-0.148645,-0.24774,-0.331452,-0.42235,-0.51119,-0.586802,-0.681659,-0.765459,-0.872416,-0.941718,-0.938271,-0.966404,-0.985243,-0.963553,-0.960176,-0.93017,-0.93592,-0.899108,-0.885548,-0.85408,-0.84334,-0.830519,-0.79032,-0.75184,-0.69083,-0.662734,-0.637631,-0.637826,-0.604334,-0.539963,-0.534354,-0.502182,-0.49653,-0.438026,-0.370747,-0.314439,-0.272204,-0.266131,-0.211258,-0.169635,-0.118502,-0.067234,-0.024147,0.044593,0.071126,0.121936,0.096669,0.111412,0.07948,0.058234,0.037147,0.032211,-0.016799,0.015803,0.048118,0.093897,0.121669,0.173825,0.20154,0.218542,0.288049,0.340262,0.390009,0.401129,0.43097,0.455908,0.471292,0.532483,0.550279,0.589567,0.604193,0.626578,0.60299,0.581886,0.563698,0.508772,1
0.477118,0.468428,0.489438,0.49705,0.474718,0.444173,0.411099,0.416977,0.353799,0.320308,0.29155,0.2582,0.230614,0.210718,0.224682,0.240871,0.257847,0.250793,0.236904,0.174776,0.117886,0.05105,0.039117,-0.005757,-0.097364,-0.157855,-0.18726,-0.192476,-0.236283,-0.275447,-0.343252,-0.38494,-0.406044,-0.431326,-0.458278,-0.496529,-0.518532,-0.503159,-0.495855,-0.526251,-0.516252,-0.477739,-0.418733,-0.362011,-0.336352,-0.296649,-0.269061,-0.223073,-0.157295,-0.116888,-0.785942,-0.768331,-0.736269,-0.681712,-0.656607,-0.614749,-0.548706,-0.473775,-0.397351,-0.339684,-0.288686,-0.250051,-0.196775,-0.151248,-0.109601,-0.07048,-0.065091,-0.029944,0.000664,0.077132,0.124782,0.1251,0.149187,0.127951,0.138762,0.118482,0.13012,0.130752,0.118052,0.139623,0.189477,0.205148,0.197504,0.217536,0.236749,0.286637,0.338174,0.379604,0.412323,0.439298,0.446326,0.459964,0.474951,0.489107,0.501276,0.531033,0.556296,0.556732,0.530283,0.484239,0.445394,0.415636,0.405524,0.349333,0.344399,0.373418,0.346257,0.333037,0.309063,0.231394,0.213444,0.231917,0.199801,0.192806,0.206269,0.215109,0.235462,0.209291,0.175526,0.122396,0.042779,0.001871,-0.052224,-0.074089,-0.137612,-0.171503,-0.198973,-0.236711,-0.300346,-0.310885,-0.31013,-0.346638,-0.394179,-0.348269,-0.331624,-0.315418,-0.305094,-0.257868,-0.225585,-0.180549,-0.177549,-0.146752,-0.132079,-0.060486,0.001999,0.015889,0.034068,0.044722,0.030228,-0.002019,-0.026218,-0.061055,-0.089941,-0.078108,1
-0.336363,-0.305682,-0.308362,-0.304893,-0.273213,-0.283269,-0.294331,-0.273026,-0.263896,-0.252626,-0.253043,-0.249725,-0.239662,-0.258375,-0.234472,-0.214779,-0.204744,-0.187622,-0.164535,-0.150991,-0.108395,-0.085755,-0.033626,-0.00604,0.03768,0.08006,0.135065,0.193499,0.230759,0.271282,0.315662,0.369574,0.433349,0.440033,0.461069,0.489122,0.499728,0.51238,0.520072,0.510865,0.478955,0.477409,0.455001,0.455634,0.429264,0.427644,0.416271,0.401477,0.407695,0.388408,0.271782,0.240306,0.200007,0.1631,0.122436,0.098579,0.056311,0.029149,-0.012038,-0.055205,-0.079386,-0.085782,-0.066825,-0.035403,-0.014474,-0.011947,0.037078,0.074031,0.119864,0.161324,0.202708,0.268729,0.279433,0.270492,0.257333,0.227289,0.221559,0.223065,0.22563,0.197126,0.211015,0.224045,0.219966,0.22596,0.204348,0.166503,0.173037,0.166154,0.117324,0.084788,0.049987,-0.019505,-0.034848,-0.047763,-0.060338,-0.04822,-0.00985,0.035391,0.034797,0.029073,-0.020508,-0.043348,-0.093223,-0.107366,-0.143416,-0.184476,-0.205141,-0.231935,-0.269549,-0.291539,-0.26943,-0.224948,-0.178765,-0.148901,-0.144908,-0.13252,-0.14215,-0.137693,-0.180418,-0.187505,-0.182742,-0.164436,-0.154604,-0.172861,-0.158174,-0.148126,-0.13628,-0.110716,-0.107149,-0.115316,-0.095046,-0.05628,-0.030062,-0.029858,-0.020886,-0.001929,0.011397,-0.005324,-0.067184,-0.095779,-0.153541,-0.196379,-0.234457,-0.280944,-0.347984,-0.39175,-0.433993,-0.479931,-0.515489,-0.563637,-0.609676,-0.654067,-0.667456,-0.667122,1
-0.107576,-0.112963,-0.125291,-0.136802,-0.149192,-0.143944,-0.154339,-0.178181,-0.211945,-0.227895,-0.219895,-0.235293,-0.244578,-0.265873,-0.301487,-0.302713,-0.277487,-0.289528,-0.269514,-0.248701,-0.223887,-0.184343,-0.199645,-0.200945,-0.2195,-0.201342,-0.199784,-0.207226,-0.217572,-0.206119,-0.18311,-0.181394,-0.16359,-0.106895,-0.06234,-0.039949,0.026215,0.064908,0.11791,0.168036,0.231708,0.279753,0.310911,0.339439,0.361446,0.384865,0.40561,0.409716,0.436391,0.478833,-0.049487,-0.027277,-0.026093,-0.025857,-0.001908,0.009188,0.022184,0.006913,0.021028,0.005672,0.01558,-0.01791,-0.024729,-0.088279,-0.124843,-0.164023,-0.240967,-0.316087,-0.367554,-0.399862,-0.458452,-0.488492,-0.5366,-0.605462,-0.619294,-0.638374,-0.621469,-0.607132,-0.615743,-0.590684,-0.537949,-0.549758,-0.521571,-0.505633,-0.462848,-0.459473,-0.428542,-0.398269,-0.388671,-0.354226,-0.299941,-0.270891,-0.230962,-0.175045,-0.128647,-0.058692,-0.007334,0.053975,0.116693,0.180395,0.264095,0.352499,0.433992,0.507423,0.601517,0.683925,0.784569,0.836291,0.908422,0.944375,0.982013,1.00402,1.050953,1.101086,1.134037,1.153896,1.1559,1.178482,1.154017,1.121297,1.091515,1.073404,1.027335,0.951948,0.870479,0.797772,0.726141,0.616691,0.535408,0.446554,0.364151,0.269956,0.184385,0.086891,-0.035131,-0.125682,-0.204107,-0.281759,-0.367366,-0.402491,-0.441213,-0.489695,-0.509515,-0.517989,-0.521573,-0.55866,-0.538497,-0.532765,-0.539478,-0.56674,-0.626043,-0.65936,-0.717683,-0.776163,1
-0.158499,-0.133525,-0.120519,-0.092994,-0.095233,-0.085636,-0.096185,-0.095133,-0.053342,-0.026157,-0.001597,-0.007192,-0.020733,-0.021628,-0.019404,0.003196,-0.003092,-0.014162,-0.023795,-0.016905,-0.001627,0.007965,0.031513,0.036512,0.048759,0.056175,0.071729,0.068876,0.089431,0.136179,0.167218,0.186395,0.189871,0.195444,0.193122,0.201195,0.201023,0.227118,0.239656,0.273941,0.318195,0.359333,0.38418,0.414077,0.453262,0.477445,0.525195,0.536561,0.560299,0.575756,0.191223,0.190051,0.167434,0.15084,0.138108,0.112484,0.097432,0.055424,0.016736,-0.009004,-0.050172,-0.095336,-0.171329,-0.266569,-0.355519,-0.397294,-0.416301,-0.403263,-0.37424,-0.342593,-0.306918,-0.26825,-0.23161,-0.206279,-0.177693,-0.139211,-0.115591,-0.086902,-0.063187,-0.031624,-0.005085,0.038908,0.112639,0.167166,0.239242,0.287111,0.336312,0.375052,0.393326,0.420051,0.449433,0.488678,0.514171,0.544264,0.540188,0.536969,0.552461,0.532366,0.509463,0.467417,0.420633,0.373143,0.342069,0.306756,0.271029,0.23022,0.20942,0.212646,0.196983,0.218833,0.242522,0.274522,0.302925,0.321993,0.338825,0.324116,0.280254,0.228168,0.178469,0.131058,0.085842,0.031571,-0.021208,-0.07147,-0.135006,-0.180013,-0.240752,-0.296487,-0.331766,-0.353073,-0.382532,-0.421166,-0.44443,-0.465244,-0.504875,-0.520566,-0.569432,-0.642297,-0.714211,-0.748027,-0.740314,-0.715541,-0.684962,-0.703605,-0.749515,-0.798391,-0.826477,-0.832551,-0.83711,-0.80183,-0.772011,-0.765372,-0.770488,-0.781937,1
