@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.562223,-0.545285,-0.618585,-0.51208,-0.382994,-0.258849,-0.141943,-0.031274,0.45428,0.592486,0.607856,0.596716,0.623285,0.624595,0.574079,0.493776,0.432238,0.332968,0.180798,0.014641,-0.157515,-0.317811,-0.44555,-0.535867,6
-0.521027,-0.561638,-0.678938,-0.576687,-0.461556,-0.342688,-0.220658,-0.096918,0.386311,0.522564,0.529635,0.485628,0.494783,0.549272,0.595678,0.548388,0.486007,0.420217,0.335675,0.18233,0.024636,-0.157196,-0.328642,-0.461807,6
-0.511875,-0.502868,-0.609211,-0.498015,-0.396222,-0.269206,-0.153398,-0.05672,0.433326,0.531417,0.514692,0.51668,0.505369,0.53697,0.532171,0.487136,0.451559,0.365628,0.236292,0.083938,-0.073502,-0.238099,-0.383078,-0.503811,6
-0.508107,-0.53693,-0.669987,-0.567223,-0.442431,-0.321264,-0.198529,-0.067417,0.420982,0.548324,0.534841,0.516103,0.52073,0.570833,0.575917,0.511304,0.441435,0.407043,0.289299,0.139237,-0.038355,-0.203316,-0.34394,-0.474589,6
-0.566442,-0.565828,-0.650288,-0.541648,-0.422407,-0.304098,-0.183303,-0.073193,0.415226,0.554683,0.548643,0.528644,0.579045,0.630654,0.599313,0.520792,0.466432,0.387214,0.266715,0.105567,-0.053608,-0.228776,-0.380515,-0.530422,6
-0.503232,-0.501918,-0.617983,-0.517685,-0.405514,-0.283855,-0.161339,-0.044746,0.456598,0.552264,0.539832,0.500287,0.520178,0.557947,0.553271,0.489158,0.438424,0.349447,0.234796,0.075923,-0.093387,-0.257754,-0.391639,-0.476986,6
-0.554228,-0.544944,-0.63265,-0.518415,-0.396796,-0.279276,-0.155443,-0.065922,0.404588,0.556417,0.563028,0.561789,0.581387,0.611434,0.595142,0.517161,0.439889,0.359665,0.214253,0.072737,-0.098218,-0.25543,-0.412909,-0.514035,6
-0.499241,-0.50893,-0.638494,-0.530388,-0.411698,-0.293093,-0.175384,-0.070431,0.398604,0.547756,0.586278,0.50971,0.50222,0.539671,0.529387,0.487834,0.405916,0.367692,0.275044,0.12868,-0.042966,-0.224285,-0.36411,-0.477219,6
-0.582313,-0.583967,-0.664943,-0.55132,-0.426585,-0.300345,-0.17453,-0.054273,0.42796,0.561633,0.585176,0.552627,0.584019,0.611165,0.604925,0.554814,0.482252,0.378755,0.252493,0.082597,-0.083953,-0.240887,-0.380575,-0.521967,6
-0.528348,-0.539618,-0.639861,-0.528151,-0.403513,-0.270123,-0.143604,-0.034422,0.442563,0.55491,0.51437,0.507474,0.57298,0.600859,0.540287,0.454748,0.384011,0.368853,0.2694,0.09207,-0.072391,-0.2325,-0.386232,-0.494548,6
-0.488658,-0.512802,-0.666904,-0.579933,-0.469807,-0.345766,-0.234904,-0.113652,0.370511,0.507444,0.547187,0.522889,0.531979,0.583128,0.58592,0.517959,0.452611,0.387977,0.30053,0.166872,0.007727,-0.16094,-0.317868,-0.454022,6
-0.587785,-0.592398,-0.671695,-0.558083,-0.440869,-0.325207,-0.208366,-0.08948,0.381873,0.515966,0.621991,0.605003,0.600571,0.638039,0.60789,0.552762,0.479572,0.406651,0.273659,0.125204,-0.040992,-0.21644,-0.387867,-0.532038,6
-0.520546,-0.531351,-0.636347,-0.55924,-0.44905,-0.328714,-0.202644,-0.076414,0.42643,0.539286,0.569637,0.537454,0.551561,0.558095,0.57892,0.54466,0.471682,0.406705,0.268731,0.104772,-0.058051,-0.223157,-0.377412,-0.493572,6
-0.55879,-0.560535,-0.66673,-0.557018,-0.437359,-0.305876,-0.174214,-0.048894,0.425747,0.541755,0.573342,0.566633,0.546367,0.591722,0.583266,0.553286,0.473548,0.378575,0.258339,0.093133,-0.056894,-0.227705,-0.381185,-0.507374,6
-0.475526,-0.466651,-0.600436,-0.502068,-0.384992,-0.258348,-0.132136,-0.018519,0.477021,0.539234,0.510004,0.517781,0.550966,0.551368,0.511747,0.441557,0.383816,0.343451,0.202749,0.041002,-0.124867,-0.287304,-0.403571,-0.470054,6
-0.488725,-0.505163,-0.648897,-0.550408,-0.432456,-0.302715,-0.181219,-0.066545,0.411012,0.527097,0.540084,0.501615,0.531405,0.574491,0.554979,0.493859,0.458652,0.385345,0.253971,0.108779,-0.056835,-0.21936,-0.35844,-0.471817,6
-0.580693,-0.580163,-0.640903,-0.530384,-0.405748,-0.289681,-0.164987,-0.038322,0.463438,0.586376,0.54197,0.518256,0.563498,0.620244,0.575259,0.517678,0.440432,0.395832,0.263165,0.094522,-0.074056,-0.252005,-0.417325,-0.529441,6
-0.53076,-0.532739,-0.636017,-0.535009,-0.411035,-0.288613,-0.158937,-0.028131,0.470104,0.5653,0.532527,0.488296,0.529958,0.585992,0.552871,0.496976,0.424485,0.375866,0.263943,0.091534,-0.070008,-0.244895,-0.392592,-0.508702,6
-0.37953,-0.465688,-0.668884,-0.644667,-0.580623,-0.510288,-0.413957,-0.320932,0.078333,0.230613,0.384708,0.519227,0.593761,0.559775,0.527585,0.569556,0.563614,0.490504,0.42767,0.379012,0.242381,0.082988,-0.088743,-0.248223,6
-0.566322,-0.592547,-0.683452,-0.577006,-0.455543,-0.330782,-0.207539,-0.092746,0.380122,0.541503,0.585278,0.561744,0.550079,0.604353,0.62679,0.582122,0.494365,0.424673,0.30302,0.131396,-0.032414,-0.197177,-0.368726,-0.512548,6
-0.482626,-0.500077,-0.623425,-0.535143,-0.415483,-0.294441,-0.17075,-0.064156,0.431114,0.553752,0.538217,0.498365,0.511605,0.54451,0.541495,0.476735,0.422069,0.375655,0.263479,0.10051,-0.067794,-0.230651,-0.365048,-0.479211,6
-0.694821,-0.664943,-0.49204,-0.364321,-0.257037,-0.128072,0.02165,0.155817,0.445207,0.425473,0.40114,0.467249,0.505377,0.54809,0.532721,0.517258,0.520534,0.437733,0.277568,0.037401,-0.212752,-0.427419,-0.563847,-0.68004,3
-0.568458,-0.557755,-0.65647,-0.545012,-0.421847,-0.299635,-0.173235,-0.046227,0.422152,0.567522,0.579544,0.543976,0.588715,0.641509,0.608234,0.553766,0.463855,0.388753,0.245434,0.077707,-0.095982,-0.267482,-0.413615,-0.545904,6
-0.541902,-0.536708,-0.613174,-0.509722,-0.387757,-0.25478,-0.131943,-0.009496,0.473249,0.57584,0.546472,0.538741,0.580518,0.630612,0.563105,0.462203,0.407562,0.333103,0.195238,0.043093,-0.126557,-0.295121,-0.418991,-0.528424,6
-0.583186,-0.569497,-0.616977,-0.496241,-0.373312,-0.25306,-0.131771,-0.00406,0.486572,0.611476,0.613273,0.574488,0.593199,0.634648,0.578701,0.512966,0.44438,0.335789,0.166661,0.003523,-0.165215,-0.333916,-0.458473,-0.560601,6
-0.567759,-0.560921,-0.654477,-0.536577,-0.427644,-0.30047,-0.168737,-0.055198,0.403942,0.547906,0.586158,0.543247,0.566615,0.626357,0.588592,0.546029,0.468482,0.394713,0.24017,0.091976,-0.074028,-0.243343,-0.396161,-0.528275,6
-0.600119,-0.594228,-0.66459,-0.551176,-0.43073,-0.307687,-0.183416,-0.060885,0.411107,0.552082,0.597753,0.601326,0.635953,0.648751,0.613864,0.498096,0.430727,0.378092,0.272939,0.126098,-0.056071,-0.247037,-0.410165,-0.52974,6
-0.563583,-0.582262,-0.672587,-0.562029,-0.441719,-0.313652,-0.188019,-0.066172,0.404665,0.544011,0.588383,0.533995,0.567478,0.617614,0.599679,0.532656,0.457073,0.407635,0.269198,0.118806,-0.037094,-0.211238,-0.368228,-0.504603,6
-0.657162,-0.603806,-0.501231,-0.365727,-0.215267,-0.065974,0.04933,0.144552,0.380969,0.410236,0.470119,0.485911,0.520931,0.533798,0.504929,0.513081,0.5056,0.455922,0.213203,-0.050192,-0.263238,-0.465312,-0.579315,-0.68293,4
-0.544467,-0.549765,-0.650753,-0.546161,-0.425011,-0.299039,-0.179609,-0.065682,0.430329,0.545948,0.565984,0.57004,0.57573,0.613685,0.6063,0.52349,0.465317,0.379602,0.235599,0.077534,-0.090126,-0.252228,-0.401086,-0.498799,6
