@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute target {1,2}

@data
-0.62254,-0.584706,-0.584706,-0.57721,-0.57257,-0.573641,-0.574712,-0.57721,-0.575783,-0.575783,-0.332361,-0.393038,-0.032189,0.088808,0.667737,0.696767,0.730556,0.741026,0.755778,0.761965,0.761965,0.784808,0.765296,0.760537,0.757682,0.757682,0.757682,0.756254,0.757682,0.756254,0.760537,0.760537,0.75911,0.75911,0.718183,-0.26407,-0.3464,-0.361629,-0.801834,-0.844665,-0.851803,-0.853231,-0.854659,-0.854659,-0.565313,-0.4787,2
0.535001,0.535001,0.221638,0.043262,0.038441,0.038441,0.03362,0.038441,0.038441,0.048083,0.048083,0.052904,0.048083,0.048083,-0.290992,-0.303848,-0.29742,-0.29742,-0.863081,-0.740949,-0.638102,-0.605962,-0.586678,-0.567394,-0.567394,-0.554538,-0.54811,-0.541683,-0.54811,0.101114,0.133253,0.358232,0.371088,0.36466,0.36466,0.358232,0.36466,0.358232,0.351804,0.358232,0.358232,0.345376,0.351804,0.351804,0.351804,0.351804,2
-0.004836,0.19424,0.201897,0.186583,0.186583,0.201897,0.209553,2.820508,0.952259,0.010478,0.002821,0.018134,0.048761,0.033448,-0.106926,-0.096717,-0.106926,-0.106926,-0.106926,-0.127344,-0.117135,-0.117135,0.046209,-0.362151,-0.392778,-0.382569,-0.382569,-0.382569,-0.392778,-0.37236,-0.362151,-0.382569,-0.382569,-0.37236,-0.37236,-0.127344,-0.127344,-0.127344,-0.127344,-0.127344,-0.117135,-0.127344,-0.117135,-0.117135,-0.127344,-0.127344,2
-0.587703,-0.587703,-0.587703,-0.588255,-0.587703,-0.230499,-0.105174,-0.089715,-0.075361,-0.062663,-0.051621,-0.037818,-0.03837,-0.036162,0.313681,0.311472,0.309264,0.307792,0.304847,0.901843,1.022567,0.992386,0.91583,0.86062,0.805411,0.771549,0.749466,0.721493,0.700882,0.678798,0.075913,-0.034506,-0.363553,-0.415082,-0.415082,-0.416554,-0.418762,-0.420234,-0.420971,-0.420971,-0.423915,-0.421707,-0.421707,-0.420971,-0.420971,-0.420234,2
-0.58984,-0.590379,-0.58984,-0.588764,-0.589302,-0.588226,-0.369742,-0.209378,-0.097983,-0.085606,-0.076996,-0.07,-0.060852,-0.047399,0.318355,0.316203,0.317638,0.311897,0.30831,0.304722,0.300417,0.923938,0.997843,0.908871,0.832096,0.758192,0.715859,0.682136,0.659893,0.641237,0.623299,0.611102,0.598904,-0.093499,-0.37333,-0.416381,-0.417098,-0.416381,-0.415663,-0.416381,-0.417816,-0.417816,-0.418534,-0.418534,-0.418534,-0.418534,2
0.198863,0.198863,0.191065,0.198863,0.21446,0.21446,2.655407,0.924128,0.011698,-0.019496,-0.019496,-0.003899,0.003899,-0.011698,-0.167669,-0.188465,-0.157271,-0.178067,-0.188465,-0.167669,-0.188465,0.362633,-0.500407,-0.521203,-0.510805,-0.521203,-0.510805,-0.500407,-0.479611,-0.479611,-0.510805,-0.490009,-0.500407,-0.500407,-0.188465,-0.188465,-0.198863,0.123477,0.123477,0.123477,0.123477,0.133875,0.123477,0.123477,0.133875,0.123477,2
0.534471,0.539115,0.539115,0.241875,0.074677,0.060744,0.028233,0.023589,0.028233,0.023589,0.032877,0.032877,0.04681,0.056099,-0.284489,-0.284489,-0.284489,-0.290681,-0.290681,-0.711772,-0.625077,-0.544574,-0.507419,-0.495034,-0.476457,-0.470264,-0.470264,-0.470264,-0.470264,-0.470264,-0.457879,-0.457879,0.365725,0.35334,0.35334,0.35334,0.35334,0.359532,0.365725,0.359532,0.359532,0.365725,0.365725,0.365725,0.359532,0.365725,2
0.602803,0.602803,0.607757,0.602803,0.27585,0.112374,0.10742,0.092558,0.097512,0.087605,0.087605,0.092558,0.087605,0.082651,-0.260815,-0.25421,-0.234394,-0.227789,-0.709962,-0.505204,-0.419337,-0.373102,-0.366496,-0.359891,-0.353286,-0.346681,-0.346681,-0.340076,-0.340076,-0.326866,-0.326866,-0.194764,-0.207974,-0.207974,-0.207974,-0.207974,-0.207974,-0.207974,-0.207974,0.426116,0.432721,0.432721,0.426116,0.426116,0.439326,0.439326,2
-0.773628,-0.773268,-0.772908,-0.772188,-0.771827,-0.571183,-0.379904,-0.324429,-0.323348,-0.322268,-0.320827,-0.319746,-0.318666,-0.317585,-0.00347,-0.001548,-0.00347,-0.006832,-0.02028,-0.032768,-0.040933,0.936955,0.930231,0.922066,0.913421,0.910539,0.911019,0.911499,0.91198,0.91294,0.91294,0.913901,0.915342,0.915342,-0.050058,-0.064948,-0.064467,-0.063507,-0.062546,-0.061586,-0.061586,-0.062066,-0.060145,-0.612488,-0.614409,-0.61537,2
-0.386949,-0.451694,-0.428059,-0.273376,-0.140909,0.210576,0.333632,0.405514,0.390796,0.433234,0.414141,0.483489,0.289005,0.04751,0.480821,0.438208,0.467438,0.44341,0.463612,0.448036,0.469114,0.433403,0.494772,0.114502,-0.70254,-0.692077,-0.727736,-0.71649,-0.729496,-0.725801,-0.524724,-0.302989,-0.152186,-0.113202,-0.097034,-0.083961,-0.06356,-0.046746,-0.043339,-0.043794,-0.04431,-0.042833,-0.04211,-0.04135,-0.043323,-0.042927,1
