@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute target {1,2}

@data
0.016194,-0.035101,-0.089453,-0.158072,-0.230316,-0.290556,-0.343663,-0.38805,-0.428928,-0.462105,-0.49449,-0.528007,-0.559599,-0.586549,-0.611121,-0.629691,-0.645883,-0.659245,-0.66887,-0.677702,-0.685289,-0.276515,-0.275156,-0.267456,-0.255227,-0.240431,-0.229108,-0.219898,-0.209782,-0.191816,-0.162073,-0.127801,-0.070882,-0.000526,0.104102,0.248588,0.458297,0.705146,0.834686,0.732926,0.571078,0.485473,0.484567,0.52669,0.597801,0.698201,0.796035,0.907155,0.980531,0.991703,0.960451,0.894624,0.810378,0.750893,0.684311,0.646416,0.570323,0.486379,0.397452,0.310187,0.22881,0.148791,0.04839,-0.026344,-0.100323,-0.18321,-0.267607,-0.338416,-0.409074,-0.471277,-0.5288,1
0.015065,-0.036467,-0.090265,-0.159466,-0.232518,-0.292772,-0.346457,-0.390514,-0.431627,-0.465038,-0.497997,-0.531408,-0.56312,-0.590189,-0.614993,-0.633228,-0.64931,-0.663015,-0.672642,-0.681476,-0.688498,-0.279596,-0.276727,-0.267968,-0.253773,-0.23686,-0.224477,-0.214963,-0.204694,-0.186422,-0.157277,-0.122997,-0.065462,0.006722,0.113034,0.259062,0.471989,0.722064,0.851783,0.745622,0.579207,0.489506,0.48558,0.5259,0.595063,0.69307,0.792133,0.905845,0.979388,0.989657,0.956736,0.891046,0.807386,0.746226,0.680385,0.643387,0.567579,0.483768,0.39603,0.310104,0.22886,0.149126,0.048099,-0.026803,-0.100647,-0.184006,-0.268874,-0.340303,-0.411429,-0.473344,-0.529822,1
0.013269,-0.037673,-0.091792,-0.160887,-0.233839,-0.294538,-0.348203,-0.392564,-0.433636,-0.467105,-0.49944,-0.533364,-0.565131,-0.592134,-0.616867,-0.635361,-0.651699,-0.665086,-0.67439,-0.683126,-0.69016,-0.280394,-0.276763,-0.267082,-0.253165,-0.237281,-0.224725,-0.215043,-0.204757,-0.186452,-0.156197,-0.12095,-0.063314,0.008844,0.115644,0.262532,0.475981,0.727097,0.858102,0.750999,0.582327,0.490957,0.486116,0.52575,0.594883,0.694271,0.793205,0.905905,0.980029,0.991526,0.958548,0.892441,0.808181,0.747066,0.680959,0.645106,0.56962,0.48536,0.396864,0.309881,0.228798,0.149378,0.048024,-0.026706,-0.100831,-0.184334,-0.269502,-0.341207,-0.411852,-0.474177,-0.531359,1
0.013156,-0.037542,-0.091274,-0.158384,-0.228753,-0.286758,-0.339928,-0.384331,-0.425024,-0.457848,-0.489772,-0.523046,-0.554297,-0.581275,-0.605444,-0.623542,-0.640179,-0.653331,-0.662998,-0.672216,-0.67986,-0.273605,-0.271207,-0.262964,-0.249474,-0.232987,-0.221297,-0.211404,-0.201063,-0.183377,-0.1537,-0.119677,-0.063621,0.004875,0.106345,0.244086,0.443429,0.680093,0.808391,0.715165,0.563035,0.484047,0.485696,0.528412,0.598407,0.69643,0.792954,0.901618,0.970713,0.981205,0.952278,0.890227,0.806743,0.74634,0.679193,0.642322,0.568131,0.485096,0.396816,0.310034,0.228948,0.149061,0.046392,-0.029448,-0.10334,-0.186824,-0.271657,-0.342851,-0.413295,-0.474147,-0.530353,1
0.013376,-0.0374,-0.090648,-0.157601,-0.228261,-0.286564,-0.338913,-0.382836,-0.423839,-0.456979,-0.488658,-0.521909,-0.553251,-0.579987,-0.604364,-0.622338,-0.638402,-0.651995,-0.661881,-0.671317,-0.678956,-0.272372,-0.270125,-0.262037,-0.248706,-0.232979,-0.220847,-0.210512,-0.200326,-0.183101,-0.153594,-0.120043,-0.064024,0.004876,0.105529,0.24258,0.441342,0.676949,0.804414,0.712598,0.562216,0.482981,0.485228,0.528815,0.598763,0.695972,0.790934,0.899526,0.970373,0.980708,0.951501,0.890539,0.80711,0.7454,0.677249,0.641601,0.567608,0.484179,0.396257,0.309383,0.228201,0.148217,0.045766,-0.029425,-0.103267,-0.187595,-0.272671,-0.342919,-0.413617,-0.474578,-0.530447,1
0.013552,-0.037445,-0.09046,-0.15726,-0.22776,-0.285706,-0.338049,-0.381873,-0.422782,-0.456071,-0.487566,-0.520406,-0.551228,-0.578016,-0.60245,-0.620719,-0.637083,-0.650533,-0.659948,-0.669251,-0.677208,-0.271472,-0.268931,-0.260861,-0.248009,-0.232169,-0.220363,-0.21035,-0.19974,-0.182255,-0.153113,-0.120236,-0.064793,0.003502,0.103928,0.240518,0.438828,0.673453,0.801525,0.709917,0.558233,0.480074,0.482914,0.525804,0.595892,0.694226,0.790616,0.898663,0.9692,0.980557,0.952313,0.891789,0.806308,0.743691,0.677189,0.641622,0.567498,0.484259,0.395042,0.308365,0.227965,0.148611,0.046392,-0.029226,-0.103797,-0.187485,-0.272369,-0.343354,-0.413891,-0.474564,-0.530904,1
-0.020359,-0.067985,-0.118966,-0.186605,-0.256367,-0.313497,-0.365148,-0.408415,-0.448662,-0.480078,-0.510487,-0.542462,-0.572648,-0.598697,-0.622734,-0.639504,-0.655603,-0.667789,-0.676398,-0.684671,-0.69082,-0.290168,-0.286889,-0.277945,-0.263634,-0.244852,-0.229945,-0.218915,-0.207735,-0.188505,-0.156158,-0.119488,-0.057625,0.018994,0.132434,0.286419,0.506738,0.761938,0.893116,0.783106,0.608997,0.512551,0.506589,0.547433,0.619133,0.724374,0.826335,0.943501,1.015798,1.019673,0.985984,0.918905,0.823801,0.757616,0.686064,0.650437,0.573072,0.486465,0.394044,0.30371,0.222171,0.139738,0.034348,-0.04093,-0.115016,-0.198493,-0.283907,-0.35367,-0.42388,-0.483208,-0.538661,1
-0.021252,-0.068254,-0.11895,-0.186992,-0.256824,-0.314123,-0.365714,-0.408799,-0.448528,-0.479639,-0.51075,-0.542981,-0.573085,-0.59916,-0.622997,-0.640231,-0.656235,-0.668097,-0.676826,-0.684884,-0.691151,-0.289689,-0.286406,-0.277453,-0.263278,-0.244328,-0.229705,-0.218961,-0.207621,-0.188372,-0.155843,-0.118987,-0.057212,0.019633,0.132738,0.286728,0.506968,0.762424,0.892539,0.782866,0.609777,0.513981,0.507864,0.548599,0.620073,0.724673,0.827332,0.943571,1.015641,1.021013,0.986395,0.918353,0.823304,0.758694,0.686921,0.650364,0.572623,0.486824,0.39446,0.30344,0.221968,0.1399,0.033809,-0.041396,-0.115406,-0.199712,-0.284616,-0.353702,-0.423982,-0.483519,-0.539325,1
-0.020252,-0.067321,-0.118414,-0.186055,-0.256379,-0.313622,-0.364828,-0.407425,-0.44745,-0.47909,-0.509612,-0.541923,-0.572669,-0.598495,-0.622421,-0.639192,-0.65462,-0.667031,-0.675751,-0.684248,-0.690956,-0.290181,-0.286603,-0.277212,-0.262155,-0.243671,-0.229807,-0.219074,-0.207894,-0.188217,-0.155868,-0.119197,-0.057631,0.018693,0.131837,0.284933,0.504811,0.760616,0.890307,0.780293,0.607223,0.512116,0.507047,0.54834,0.62049,0.724839,0.826356,0.943824,1.016719,1.021191,0.985414,0.918034,0.823226,0.758082,0.685187,0.648664,0.572191,0.486774,0.393903,0.302225,0.221876,0.140334,0.033153,-0.04183,-0.114427,-0.198652,-0.284814,-0.354579,-0.424344,-0.483227,-0.538979,1
-0.005514,-0.055036,-0.107478,-0.175079,-0.245825,-0.304555,-0.35666,-0.399893,-0.440544,-0.472885,-0.504215,-0.537117,-0.567662,-0.593714,-0.617408,-0.634365,-0.650086,-0.663449,-0.672433,-0.680967,-0.687705,-0.283219,-0.280075,-0.269744,-0.254172,-0.237253,-0.225125,-0.215093,-0.204014,-0.184849,-0.154754,-0.119867,-0.061624,0.011293,0.118647,0.265079,0.475894,0.722493,0.851707,0.749444,0.586841,0.49985,0.497903,0.540426,0.611845,0.713509,0.813077,0.925672,0.99754,1.007422,0.97568,0.909351,0.821762,0.759475,0.690152,0.651073,0.573665,0.48907,0.398934,0.310296,0.228396,0.147244,0.043783,-0.032876,-0.108488,-0.193233,-0.278727,-0.349697,-0.419919,-0.480858,-0.537155,1
