@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute target {1,2}

@data
-0.647885,-0.638697,-0.662201,-0.66345,-0.642097,-0.661203,-0.649664,-0.610168,-0.465031,-0.358535,-0.177446,0.158246,0.350285,0.603807,0.987551,1.203785,1.596246,1.712831,1.778815,1.793849,1.831633,1.845811,1.829236,1.806575,1.768171,1.714996,1.63617,1.542101,1.171713,1.029477,0.832695,0.748737,0.484444,0.467997,0.136193,-0.020964,-0.241446,-0.429279,-0.657701,-0.740821,-0.775352,-0.782461,-0.696877,-0.673739,-0.633174,-0.638657,2
-0.644427,-0.627467,-0.608949,-0.599108,-0.591205,-0.565836,-0.507265,-0.472912,-0.396333,-0.334147,-0.200001,-0.084494,0.100837,0.525119,0.694554,0.92774,1.246498,1.588439,1.718231,1.824883,1.847163,1.851801,1.909383,1.925177,1.917217,1.919695,1.875873,1.765603,1.663209,0.974986,0.862711,0.727535,0.625367,0.463262,-0.012778,-0.237274,-0.378925,-0.612932,-0.711325,-0.769523,-0.801188,-0.813048,-0.808585,-0.710579,-0.652952,-0.631596,2
-0.778353,-0.762275,-0.781915,-0.770312,-0.761046,-0.66384,-0.639268,-0.624272,-0.57381,-0.528198,-0.476624,-0.308898,0.287115,0.437996,0.618751,1.135645,1.341455,1.520048,1.611503,1.655775,1.70347,1.694199,1.66241,1.634432,1.567568,1.506343,1.405849,1.281171,0.979356,0.302694,0.187737,0.039058,-0.208214,-0.312645,-0.388996,-0.451825,-0.533074,-0.637172,-0.64029,-0.630488,-0.553891,-0.538832,-0.69088,-0.738737,-0.704126,-0.70712,1
-0.75006,-0.73786,-0.729461,-0.700135,-0.60092,-0.577893,-0.563018,-0.585799,-0.516001,-0.474836,-0.252463,0.112651,0.253075,0.480886,0.681988,1.443737,1.619746,1.700162,1.733636,1.75238,1.771705,1.783278,1.777396,1.752696,1.718245,1.67777,1.616526,1.399252,1.117575,0.287269,0.144677,-0.109555,-0.311153,-0.427636,-0.458976,-0.505166,-0.534818,-0.553205,-0.55563,-0.57254,-0.62088,-0.768426,-0.792305,-0.78887,-0.723409,-0.724679,1
-0.599539,-0.576536,-0.570383,-0.553556,-0.507968,-0.442074,-0.334412,0.503035,0.657064,0.776174,0.856013,0.955077,1.101512,1.296067,1.721883,1.903118,2.023528,2.041074,2.053367,2.036332,2.027399,2.013346,1.950098,1.839977,1.6938,1.363349,1.057821,0.868397,0.647252,0.098528,-0.125578,-0.380161,-0.542026,-0.667489,-0.724807,-0.733465,-0.724631,-0.666427,-0.623604,-0.541236,-0.518901,-0.592227,-0.591788,-0.644036,-0.643337,-0.631716,2
-0.547736,-0.620815,-0.612176,-0.617611,-0.60155,-0.533992,-0.41862,-0.211632,0.291233,0.563778,0.762261,0.917657,1.05356,1.272233,1.625943,1.810189,1.886721,1.914875,1.926562,1.890851,1.857681,1.799178,1.728674,1.622705,1.484908,1.175998,0.88848,0.777604,0.440705,0.215633,0.088056,-0.062572,-0.19821,-0.352687,-0.567017,-0.653467,-0.727692,-0.787541,-0.816947,-0.826486,-0.783994,-0.717303,-0.694545,-0.689488,-0.699891,-0.710854,2
-1.261183,-1.294884,-1.310105,-1.320262,-1.27673,-1.270908,-1.260254,-1.227858,-1.136768,-0.992785,-0.784767,-0.002019,0.238481,0.437911,0.589705,0.689779,0.752707,0.823796,0.870913,0.867947,0.888462,0.895268,0.858512,0.829985,0.781312,0.687685,0.648212,0.545616,0.456535,0.348016,0.208081,0.046721,-0.144277,-0.751233,-0.928546,-1.076976,-1.205881,-1.302234,-1.355027,-1.362285,-1.351712,-1.258586,-1.238388,-1.220998,-1.274458,-1.27994,2
-2.012581,-2.021844,-1.993957,-1.943111,-1.833923,-1.67447,-1.469971,-0.942918,-0.366054,-0.103959,0.108553,0.286011,0.418856,0.504473,0.553471,0.574983,0.579739,0.555498,0.54817,0.567999,0.559548,0.573652,0.589424,0.578684,0.593964,0.59024,0.571219,0.581337,0.567039,0.575402,0.561579,0.569559,0.553919,0.583042,0.581938,0.569949,0.576982,0.563678,0.52759,0.42697,0.360089,0.27434,0.163402,0.019592,-0.333859,-1.007992,2
-1.065573,-1.071179,-1.032481,-0.980267,-0.866834,-0.689321,-0.224644,0.284664,0.50799,0.699334,0.842865,0.964993,1.070541,1.089912,1.086686,1.097158,1.079925,1.087516,1.064837,1.070717,1.052875,1.060001,1.055375,1.0163,1.016986,0.973375,0.927096,0.883118,0.772337,0.601155,0.498144,0.369302,0.053929,-0.293947,-0.601654,-0.744799,-0.950797,-1.025098,-1.076751,-1.107045,-1.115093,-1.110402,-1.068702,-1.047516,-1.051603,-1.030165,2
-1.177206,-1.172229,-1.111238,-0.879187,-0.817756,-0.778333,-0.760056,-0.688572,-0.672518,-0.654698,-0.607994,-0.540509,-0.412173,-0.098128,0.079075,0.379002,0.628002,0.854198,1.025043,1.087904,1.160932,1.187229,1.201477,1.186257,1.195936,1.165863,1.155304,1.054185,0.988377,0.818147,-0.07891,-0.475223,-0.63135,-0.757978,-0.813008,-0.835069,-0.819597,-0.843884,-0.881157,-0.963936,-1.081865,-1.295701,-1.327421,-1.327071,-1.271138,-1.262134,1
