@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute target {1,2,3,4,5,6}

@data
-0.701291,-0.435521,0.424874,1.144434,1.552256,1.513811,0.60883,-0.21478,-0.628162,-0.593008,-0.429188,0.670923,1.558341,1.49611,1.669804,0.658339,-0.214559,-0.643402,-1.217816,-1.138901,-0.695593,-1.296968,-1.102585,-0.645421,-0.704886,1
-0.713351,-0.252725,1.257145,1.486857,1.410036,1.228368,-0.502956,-0.735746,-0.689178,-0.467774,1.495865,1.648006,1.506875,1.65276,1.683038,1.67403,1.497617,-0.486666,-0.667633,-0.659401,-1.263796,-0.659726,-1.194595,-1.277209,-0.706194,1
-0.706772,-0.699571,-0.24077,0.871313,1.46861,1.531456,1.549,1.293427,0.638574,-0.226473,-0.632902,-0.709207,-0.439048,1.605562,1.476728,1.476204,1.690403,-0.266065,-0.709914,-0.762783,-1.174735,-1.218009,-0.782789,-1.247832,-0.655997,1
-0.675174,-0.461534,1.294875,1.566712,1.456508,0.881888,-0.478075,-0.652732,-0.651174,-0.587322,-0.417296,1.403743,1.529532,1.551127,1.651313,0.079157,-0.60727,-0.82848,-1.169349,-1.151402,-0.799493,-1.168156,-1.230943,-0.718031,-0.721126,1
-0.621944,-0.436637,1.373023,1.593033,1.56673,1.23967,0.586371,-0.241318,-0.65215,-0.687362,-0.658853,-0.493315,1.365641,1.506488,1.697678,-0.264,-0.6696,-0.610688,-0.655516,-0.939897,-1.185016,-0.821195,-1.196841,-1.13404,-0.685919,1
-0.670716,-0.495409,0.689475,1.409803,1.481333,1.43122,0.475576,-0.345881,-0.616932,-0.603757,-0.303919,1.424662,1.588418,1.425595,1.627222,1.559241,-0.421863,-1.177204,-1.332245,-1.281281,-0.639162,-1.26159,-1.346157,-0.637236,-0.581528,1
-0.65774,-0.547907,-0.340246,0.946778,1.397571,1.505943,1.448014,1.589032,1.450223,0.60988,-0.36408,-0.558474,-0.615631,-0.487842,-0.299057,1.170518,1.523984,1.497843,1.399166,1.525212,1.523984,-0.365307,-0.567765,-1.031776,-1.031776,6
-0.485045,-0.424104,-0.260094,1.375236,1.406151,1.331316,1.387899,0.78956,-0.203523,-0.408305,-0.518869,-0.48525,-0.342459,1.460224,1.556848,1.333484,1.358923,1.528443,1.535516,1.503802,1.162252,-0.045537,-0.43371,-1.064778,-1.064778,6
-0.520374,-0.356199,0.308376,1.066731,1.46982,1.495924,1.444702,1.502396,1.391396,-0.1854,-0.39687,-0.517742,-0.509538,-0.377006,1.438889,1.570071,1.592337,1.458193,1.47662,1.642681,0.157012,-0.284806,-0.447511,-1.044357,-1.044357,6
-0.57237,-0.500512,-0.310228,1.405721,1.477794,1.377297,1.512182,1.423358,1.047129,-0.403492,-0.549797,-0.562207,-0.205125,1.206757,1.406736,1.561161,1.569917,1.388844,1.40534,1.530708,1.339484,-0.080265,-0.503063,-1.047067,-1.047067,6
-0.511624,-0.438292,-0.074981,1.32957,1.348145,0.46808,-0.053158,-0.413374,-0.493755,-0.442529,-0.269666,1.148278,1.50467,1.574406,1.537475,1.341301,1.267872,1.325334,1.512382,1.570713,1.444493,-0.03882,-0.438683,-1.067741,-1.067741,6
-0.714552,-0.318928,0.575963,1.459996,1.546463,1.223739,0.507663,-0.360095,-0.673764,-0.067213,1.342901,1.557817,1.582272,1.454464,1.552868,1.477173,-0.212256,-0.655161,-0.598593,-1.300185,-0.713592,-0.793654,-1.24439,-1.278129,-0.626338,1
-0.611208,-0.516339,-0.110195,0.682157,1.117119,1.388708,1.520763,1.379593,1.096551,-0.339877,-0.539724,-0.623257,-0.571417,-0.373533,0.857451,1.517841,1.610864,1.468642,1.47542,1.590179,1.498909,1.289492,-0.544363,-1.027076,-1.027076,6
-0.596971,-0.515522,-0.326082,0.876675,1.493006,1.384044,1.463657,1.396061,0.949817,-0.341808,-0.55356,-0.634732,-0.544397,-0.332113,0.863618,1.493468,1.600234,1.387511,1.442974,1.593879,1.56892,1.371681,-0.555097,-1.032863,-1.032863,6
-0.584337,-0.496882,-0.315616,0.944625,1.594973,1.380798,1.552116,1.448334,1.027695,-0.407411,-0.549941,-0.569795,-0.435836,-0.237988,0.737832,1.404265,1.52909,1.408341,1.393578,1.505403,1.35634,-0.093993,-0.505861,-1.041454,-1.041454,6
-0.617494,-0.533651,-0.350591,1.171306,1.372014,1.464335,1.489547,1.253121,-0.147251,-0.511875,-0.591083,-0.497711,-0.305172,1.128915,1.529589,1.61845,1.591631,1.451852,1.465818,1.619315,1.537499,1.32196,-0.541215,-1.032282,-1.032282,6
-0.579338,-0.510594,-0.324151,0.968506,1.426046,1.480706,1.394651,1.02104,0.586764,-0.172555,-0.505503,-0.58713,-0.503915,-0.309592,1.544997,1.633053,1.600407,1.466572,1.437178,1.602158,1.584647,-0.323613,-0.504903,-1.035264,-1.035264,6
-0.950515,-0.633942,1.462481,1.394884,1.564576,0.926885,-0.842877,-0.947384,-0.648339,1.483618,1.631376,1.278233,1.708146,1.510737,-0.944832,-0.663274,-1.194344,-1.3763,-0.769915,-0.433821,-0.600622,-1.377177,-1.435164,-0.323272,-0.515856,4
-0.928921,-0.609898,1.480749,1.488854,1.715648,1.750563,1.179293,-0.577492,-0.814231,-0.866198,-0.650814,1.380524,1.528914,1.43352,1.579104,-0.885932,-0.445017,-1.21027,-1.198829,-0.637067,-0.529328,-0.636225,-1.333627,-1.345032,-0.454291,4
-0.643233,-0.540302,-0.324053,0.698341,1.595952,1.457351,1.451311,1.586568,1.399754,0.758203,-0.26747,-0.612018,-0.566587,-0.388036,1.288982,1.451851,1.514194,1.43524,1.443653,1.372681,1.448183,1.291463,-0.559911,-1.035616,-1.035616,6
-0.610039,-0.521657,-0.314213,0.942715,1.376343,1.519979,1.350261,1.435058,1.440992,0.555318,-0.428986,-0.601473,-0.603166,-0.455117,-0.231727,1.444206,1.560524,1.552118,1.363487,1.567322,1.568311,1.372758,-0.53738,-1.037907,-1.037907,6
-0.521952,-0.443891,-0.268457,0.943468,1.385647,1.468667,1.40916,1.444263,1.30519,0.6232,0.117502,-0.452494,-0.527112,-0.468719,-0.078826,1.544221,1.614537,1.38743,1.397794,1.527951,1.363026,-0.069187,-0.453152,-1.054361,-1.054361,6
