@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute target {1,2}

@data
-0.553834,-0.609242,-0.570648,-0.610006,-0.300489,0.107997,0.156526,0.276511,0.5268,1.212322,1.598645,2.144694,2.365941,2.445422,2.416763,2.479813,2.734687,2.764492,2.672401,2.773281,2.642214,1.86995,1.675069,1.779006,1.730094,1.520311,0.971587,0.644111,0.394969,0.463368,0.404139,0.0545,0.012085,0.226072,0.652135,0.726266,0.664363,0.200852,0.116403,0.163404,0.545906,0.516865,0.326569,0.26543,0.454961,0.090037,0.022402,-0.189292,-0.373856,-0.766675,-0.999386,-1.003207,-0.956206,-0.999768,-0.953531,-0.582111,-0.522883,-0.585932,-0.90271,-1.201145,-1.129689,-0.982573,-0.963467,-0.637136,-0.305457,-0.141909,-0.18165,-0.449898,-1.192356,-1.493084,-1.581354,-1.622623,2
-0.336299,-0.311362,-0.195822,-0.175249,-0.279775,-0.276035,-0.217226,0.06726,0.154123,0.176982,0.41866,0.487651,0.70273,0.833855,1.223491,1.461844,1.670273,1.946863,2.174618,2.472819,2.686651,3.350383,3.572112,3.569618,3.348928,3.051558,2.875339,2.852273,2.771852,2.462637,2.063234,1.817608,1.783528,1.80701,1.70373,1.168007,0.946278,0.808503,0.727251,0.644129,0.636024,0.584073,0.487235,0.101548,0.00284,-0.165482,-0.171717,0.029439,0.101964,0.098431,-0.057423,-0.12309,-0.015447,0.148928,0.026322,0.197554,0.21688,0.171163,-0.038097,-0.089218,-0.581094,-0.714713,-0.784951,-0.852072,-1.028499,-1.056345,-0.973431,-0.902361,-0.890101,-0.768119,-0.879711,-0.883243,2
-0.680972,-0.608779,-0.377759,-0.347771,-0.54473,-0.485864,-0.206345,-0.056405,0.388974,0.939867,1.090178,1.211241,1.329343,1.674391,1.916147,2.326355,2.634011,3.001273,3.126409,3.122336,3.002384,2.640675,2.41669,2.177155,1.412643,1.276771,1.461883,1.485947,1.377102,0.893219,0.808438,0.64702,0.251621,-0.101202,-0.153403,-0.123045,0.375276,0.462279,0.422665,0.044666,-0.03197,0.29975,0.418592,0.394898,0.219782,0.171283,0.395268,0.422295,-0.096389,-0.424037,-0.861641,-0.971968,-0.903477,-0.946423,-0.898664,-0.575829,-0.483273,-0.510299,-0.767234,-0.904958,-0.945312,-0.905328,-0.856458,-0.737987,-0.402194,-0.287054,-0.409968,-0.619145,-1.131535,-1.409202,-1.506941,-1.572841,2
-0.617622,-0.631201,-0.50188,-0.552638,-0.531301,-0.487655,-0.277186,-0.147866,0.418881,0.604779,0.788091,1.338996,1.677169,2.359011,2.42949,2.453415,2.537796,2.863684,2.950329,2.914119,2.655801,2.60375,2.445009,1.693981,1.521015,1.649365,1.628027,1.453768,0.99662,0.723754,0.519428,0.441836,0.043529,0.013462,0.378792,0.685281,0.743152,0.686575,0.427287,0.174466,0.118211,0.122737,0.280508,0.422438,0.12597,0.203886,-0.10713,-0.329237,-0.879496,-1.074123,-1.164324,-1.191481,-1.121325,-0.863331,-0.858481,-0.960321,-0.920878,-0.852662,-0.840376,-0.902774,-0.871413,-0.80837,-0.673553,-0.131054,0.089761,0.10043,-0.017575,-0.250675,-0.978749,-1.177579,-1.317892,-1.373177,2
-0.630487,-0.593026,-0.449965,-0.512938,-0.482259,-0.160937,0.251131,0.587631,0.675147,0.772351,0.900557,1.354929,1.653968,2.27982,2.356679,2.411901,2.512657,2.826552,2.879514,2.810082,2.522346,2.42934,2.262059,1.532544,1.384639,1.556442,1.561286,1.418225,1.003574,0.857929,0.761694,0.648343,0.474603,0.093861,0.063182,0.446185,0.77558,0.834678,0.769444,0.480093,0.270184,0.136165,0.138749,0.298925,0.382566,0.091923,0.170397,-0.102485,-0.324343,-1.012844,-1.168177,-1.224368,-1.130393,-1.142988,-1.028345,-1.090995,-0.87495,-0.800674,-0.639206,-0.438016,-0.023043,0.23563,0.269538,0.248224,-0.003666,-0.317238,-0.537158,-0.900462,-1.143956,-1.277652,-1.305748,-1.370335,2
-0.500495,-0.492448,-0.37087,-0.452497,-0.442724,-0.406222,-0.21279,-0.078278,0.030653,0.609514,0.784551,0.945506,1.455098,1.797988,2.030797,2.318215,2.524007,2.597873,2.601609,2.675763,2.993073,3.066365,3.022677,2.757965,2.69617,2.52027,1.726133,1.539024,1.647381,1.620076,1.450499,1.022246,0.772767,0.582209,0.480463,0.40171,0.034965,-0.020794,-0.0001,0.20023,0.435338,0.416656,0.074054,0.008522,0.027779,0.34049,0.246505,0.088712,0.178961,-0.065632,-0.235496,-0.744801,-0.935072,-1.027046,-1.069296,-1.038542,-0.872702,-0.878163,-0.979334,-0.957203,-0.847697,-0.896845,-0.763483,-0.402486,-0.252453,-0.243831,-0.318847,-0.462556,-0.954329,-1.091715,-1.1857,-1.220765,2
-0.675406,-0.684519,-0.532431,-0.572653,-0.511692,-0.425592,-0.301157,-0.060141,0.412149,0.583719,0.756861,1.294825,1.642365,2.145135,2.350957,2.427001,2.439256,2.52347,2.87698,2.97722,2.947368,2.674615,2.620567,2.466594,1.6895,1.499704,1.618483,1.595859,1.421146,0.977137,0.720096,0.528729,0.461483,0.057067,0.019359,0.450485,0.700299,0.758746,0.706584,0.234608,0.140024,0.134368,0.427232,0.40555,0.127769,0.120856,0.215126,0.216068,-0.090307,-0.286074,-0.940932,-1.050285,-1.13607,-1.09899,-0.932448,-0.99498,-0.903853,-0.947531,-0.901025,-0.948788,-0.937161,-0.862374,-0.694889,-0.047886,0.090061,0.100745,-0.006093,-0.236739,-0.961986,-1.151781,-1.285016,-1.333407,2
-0.860863,-0.88164,-0.789297,-0.811229,-0.748898,-0.210233,-0.016314,0.035244,0.136821,0.351517,0.930581,1.270709,1.920954,1.981747,1.972512,2.043308,2.446922,2.434994,2.235304,2.248385,2.127186,1.43885,1.289178,1.456934,1.45424,1.290717,0.828235,0.66856,0.464252,0.331125,0.313811,0.018315,0.147594,1.31034,1.440004,1.441928,1.298027,0.696262,0.358443,0.333433,0.480027,0.592762,0.526198,0.195689,0.328431,0.276104,-0.194458,-1.198298,-1.307185,-1.370286,-1.29949,-0.950127,-0.848166,-0.844318,-0.730044,-0.717347,-0.801994,-0.759286,-0.601534,-0.375295,-0.241014,0.168756,0.677409,0.896338,0.903263,0.685874,0.255327,-0.780063,-1.174827,-1.30757,-1.538811,-1.631538,2
-0.664675,-0.626403,-0.489442,-0.428079,-0.513482,-0.491657,-0.171872,0.122608,0.690059,0.791277,0.973785,1.363473,1.64625,2.278544,2.455042,2.901032,2.943101,2.862127,2.544872,2.415504,2.226353,1.48272,1.332475,1.495372,1.502331,1.376125,1.005099,0.786532,0.510714,0.360469,0.055235,0.020758,0.041001,0.384192,0.776411,0.824489,0.755534,0.45884,0.241855,0.112486,0.120394,0.264629,0.366479,0.319982,0.071999,0.156136,0.137791,-0.126957,-0.328443,-0.902853,-1.067648,-1.184681,-1.205874,-1.140715,-1.070811,-1.054996,-0.930055,-0.947769,-0.884191,-0.909496,-0.856989,-0.635575,0.085917,0.244385,0.260201,0.162146,-0.056421,-0.362604,-0.901588,-1.126797,-1.282419,-1.341568,2
-0.432651,-0.439577,-0.309862,-0.382577,-0.37725,-0.342623,-0.163899,-0.043507,0.067297,0.647419,0.803769,0.967311,1.474718,1.832965,2.078012,2.371802,2.587017,2.661863,2.652007,2.711671,3.032096,3.113867,3.071251,2.813951,2.753489,2.578493,1.767442,1.578064,1.671554,1.630802,1.45554,1.026442,0.780064,0.585358,0.502255,0.423947,0.034802,-0.036049,-0.044039,0.047853,0.121367,0.278783,0.308615,0.136283,-0.002488,-0.036848,0.2929,0.217521,0.07369,0.166115,0.08168,-0.199857,-0.3626,-0.762133,-0.90703,-0.967226,-1.011441,-1.001053,-0.88732,-0.86974,-0.985605,-0.823927,-0.876399,-0.861217,-0.734698,-0.477133,-0.407348,-0.470474,-0.878796,-1.039142,-1.107329,-1.131567,2
