@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute target {1,2}

@data
-0.52473,-0.702666,-0.827222,-1.200888,-0.987364,-1.449998,-0.062096,0.542887,0.685236,0.934346,0.560681,0.258189,0.471712,0.11584,-0.026509,0.098046,0.845378,1.272425,1.681678,1.770647,2.393423,2.731502,1.895202,1.023314,0.5073,0.382744,0.489506,-0.07989,-0.026509,-0.613698,-0.702666,-0.52473,-0.738254,-0.595905,-0.809428,-0.595905,-0.702666,-0.542524,-0.578111,-0.72046,-0.417968,-0.542524,-0.382381,-1.094126,-1.325443,-1.111919,-0.702666,-0.560317,-0.613698,0.080253,0.222602,0.525093,1.912995,1.023314,0.400538,0.080253,0.169221,1.005521,2.411217,2.749295,2.375629,1.699472,1.290219,0.667442,0.382744,-0.186651,-0.222239,-0.756047,-0.845015,-0.52473,-0.933983,-0.845015,-1.343236,-1.414411,-1.005158,-1.574553,-1.022951,-0.827222,-0.951777,-0.595905,-0.578111,-0.791634,-0.738254,-0.382381,-0.631492,-0.506937,-0.133271,-1.325443,-1.396617,-0.791634,0.275983,0.596268,0.293776,0.133634,0.329363,0.044666,-0.07989,0.11584,1.094489,1.930789,2.517978,2.393423,1.717266,0.222602,1
0.798086,-0.122336,-0.829089,-0.648292,-0.779781,-0.40175,-0.61542,-0.549675,-0.730473,-0.631856,-0.664728,-0.533239,-0.549675,-0.385314,-0.418187,-0.204517,-0.500367,-0.894834,-0.763345,-0.861962,-0.467495,-0.1059,0.255694,0.452928,0.206386,0.173514,0.107769,-0.138773,0.173514,0.387183,0.420055,0.798086,1.784253,2.491006,2.901909,3.016962,3.493609,3.641534,3.411428,3.000525,2.688239,1.817125,1.307606,0.288566,-0.1059,-0.418187,-0.418187,-0.61542,-0.598984,-0.352442,-0.566112,-0.483931,-0.582548,-0.434623,-0.533239,-0.451059,-0.681164,-0.714037,-0.582548,-0.336006,-0.171645,-0.237389,-0.122336,-0.220953,-0.533239,-0.714037,-0.434623,0.452928,0.4858,0.715905,0.847394,1.011756,1.028192,0.666597,0.452928,0.337875,0.403619,0.502236,0.962447,0.518672,0.288566,0.387183,0.650161,1.718508,2.014359,2.47457,2.934781,3.082706,3.099142,2.984089,2.425261,1.389786,0.913139,0.058461,-0.368878,-0.714037,-0.878398,-0.91127,-0.796217,-0.861962,-0.878398,-0.418187,-0.500367,-0.385314,1
0.033171,-0.130536,-0.048683,-0.171463,-0.048683,-0.294243,-0.21239,-0.376097,-0.253317,-0.539804,-0.33517,-0.294243,-0.417024,-0.089609,-0.171463,-0.007756,-0.130536,0.155951,0.278732,0.196878,0.196878,0.033171,0.237805,0.606146,0.524293,0.155951,0.115025,0.278732,0.155951,-0.21239,-0.744438,-0.826292,-0.457951,-0.417024,-0.989999,-0.662585,-0.826292,-0.744438,-1.194633,-1.194633,-1.440194,-1.317414,-1.481121,-1.399267,-1.481121,-1.317414,-1.399267,-1.317414,-1.399267,-1.23556,-1.071853,-0.867219,-0.867219,-0.662585,-0.498877,-0.130536,-0.130536,0.278732,0.237805,0.401512,1.015414,1.138195,1.301902,1.670243,1.833951,1.260975,1.260975,1.465609,1.465609,1.629316,1.956731,1.383756,1.506536,1.424682,0.933561,0.647073,0.483366,1.097268,0.974488,0.769854,0.769854,0.933561,0.851707,1.138195,1.056341,1.260975,1.220048,1.383756,2.243218,2.325072,2.161365,1.465609,0.728927,-0.171463,-0.253317,0.237805,0.115025,-0.376097,-0.785365,-0.703512,-0.949072,-0.417024,-0.539804,-0.498877,2
-1.748131,-1.670912,-1.786741,-1.786741,-1.670912,-1.786741,-1.516473,-1.593693,-1.207595,-1.207595,-1.323425,-1.130376,-1.207595,-0.937327,-1.014547,-0.782888,-0.821498,-0.358181,-0.47401,-0.280962,-0.435401,-0.242352,-0.203742,0.066526,0.066526,0.336794,0.298184,0.452623,0.568452,0.91594,0.91594,1.147598,1.031769,1.108988,0.761501,0.83872,0.143745,-0.165133,0.027916,0.568452,0.645672,0.298184,0.491233,0.452623,0.684281,0.259574,0.452623,0.182355,0.298184,0.83872,1.186208,1.147598,1.340647,1.302037,1.533696,1.340647,1.379257,1.533696,1.456476,1.533696,1.379257,1.379257,1.186208,1.379257,1.108988,1.147598,0.684281,0.568452,0.607062,-0.049303,-0.821498,-1.091766,-0.975937,-0.628449,-0.435401,-0.705669,-0.782888,-0.55123,-0.821498,-1.168986,-1.207595,-1.168986,-1.014547,-1.130376,-1.014547,-0.705669,-0.628449,-0.435401,-0.358181,0.027916,0.066526,0.182355,0.375404,0.259574,0.259574,0.800111,0.87733,1.224818,1.186208,1.302037,1.186208,0.607062,0.800111,0.722891,2
-0.732729,-1.139795,-1.102789,-0.732729,-0.17764,0.93254,3.004875,2.468288,2.542301,2.172241,2.061223,1.006552,0.56248,0.636492,0.266432,0.284935,-0.103628,-0.122131,-0.399675,-0.30716,-0.510693,-0.455184,-0.732729,-0.769735,-0.49219,-0.251651,-0.399675,-0.325663,-0.455184,-0.751232,-0.621711,-0.714226,-0.658717,-0.066622,0.599486,0.617989,0.914037,0.488468,0.525474,0.673498,0.525474,0.432959,0.469965,0.74751,0.210923,0.19242,0.00739,0.173917,0.099905,0.803019,2.542301,2.634815,2.22775,1.709666,1.635654,1.006552,0.74751,0.469965,0.00739,-0.103628,0.00739,-0.196143,-0.67722,-0.566202,-1.04728,-0.510693,-0.159137,-0.547699,-0.547699,-0.991771,-0.880753,-1.213807,-1.287819,-1.306322,-0.973268,-0.751232,-0.825244,-0.658717,-0.806741,-0.49219,-0.658717,-0.362669,-0.325663,-0.584705,-1.121292,-0.954765,-0.973268,-0.566202,0.692001,0.636492,0.432959,0.284935,0.803019,2.079726,2.671821,2.098229,0.654995,0.599486,-0.233149,-0.381172,-0.362669,-0.751232,-0.86225,-0.788238,1
-0.952376,-0.752459,-0.832426,-0.752459,-0.412599,-0.492566,-1.032343,-1.072326,-0.832426,0.287112,0.507021,0.666955,0.367079,0.327095,0.147169,0.447045,0.507021,0.26712,-0.212682,0.347087,0.547004,0.547004,0.047211,0.067203,0.26712,0.906855,2.68612,3.245888,3.625731,3.84564,3.925607,3.545764,3.205905,2.706111,2.666128,2.486202,1.986409,1.146756,1.066789,0.746921,0.467037,0.327095,-0.012764,0.067203,-0.232673,-0.452583,-0.412599,-0.572533,-0.492566,-0.612516,-0.452583,-0.832426,-0.532549,-0.792442,-0.512558,-0.752459,-1.012351,-0.992359,-0.732467,-0.532549,-0.252665,-0.032756,-0.232673,-0.552541,-0.732467,-0.572533,0.487029,0.806897,1.266707,0.806897,0.287112,0.247128,0.946839,0.38707,0.187153,0.367079,0.327095,0.207145,0.507021,1.106773,2.166335,2.526186,2.985996,3.005987,2.826062,1.526599,1.446632,0.26712,-0.012764,-0.432591,-0.832426,-0.792442,-0.952376,-0.712475,-0.752459,-0.912392,-0.292649,-0.472574,-0.472574,-0.752459,-1.092318,0.207145,0.84688,0.866872,1
0.987837,0.497048,0.282328,-0.024414,0.067609,-0.085763,-0.576551,-0.607225,-0.791271,-0.729922,-0.392505,-0.484528,-0.147111,-0.147111,0.282328,0.558397,0.527723,0.190306,0.773117,1.325253,1.478625,1.509299,1.846716,1.631996,1.816042,1.601322,1.724019,1.44795,1.478625,1.601322,2.766944,3.196384,2.797618,2.276156,1.908065,0.497048,0.374351,0.405025,0.00626,-0.484528,-0.607225,-0.453854,-0.668574,-0.791271,-0.821945,-0.545877,-0.821945,-0.975316,-1.098013,-1.343408,-1.43543,-1.343408,-1.466105,-1.128688,-1.251385,-1.190036,-0.699248,-0.791271,-0.607225,-1.282059,-0.760597,-0.545877,-0.300483,0.4357,1.018511,1.263905,0.926488,1.079859,0.957162,0.803791,0.527723,0.313003,-0.177786,-0.300483,0.036934,-0.055088,-0.545877,-0.116437,-0.729922,-1.005991,-0.300483,0.343677,-0.300483,0.159631,-0.331157,-0.453854,-0.791271,-1.619476,-0.269808,-0.085763,-0.024414,-0.116437,0.067609,-0.177786,-0.085763,0.159631,-0.300483,-0.515202,-0.729922,-0.729922,-0.269808,-0.576551,-0.42318,-0.699248,2
-0.533767,-0.12386,0.461722,0.373885,0.432443,0.315327,0.432443,0.315327,-0.563047,-0.153139,0.110373,0.081094,0.403164,1.105862,1.16442,1.076583,1.281537,1.545049,1.486491,1.867119,1.925677,1.457212,1.369374,1.51577,1.51577,0.666676,0.578838,0.110373,0.19821,-0.036023,0.051815,-0.270255,-0.299535,-0.592326,-0.563047,-0.826558,-0.768,-1.060791,-1.060791,-1.44142,-1.734211,-1.558536,-1.617094,-1.295024,-1.207187,-1.324303,-1.265745,-1.09007,-0.328814,0.315327,0.344606,0.608118,0.578838,0.84235,0.930188,0.84235,0.637397,0.608118,0.988746,1.047304,1.51577,1.750002,2.013514,2.072073,1.925677,1.867119,1.51577,0.84235,0.578838,0.286047,0.168931,-0.211697,-0.475209,-0.504488,-0.972954,-0.943675,-1.207187,-1.236466,-1.470699,-1.44142,-1.177908,-1.119349,-0.855838,-0.768,-0.650884,-0.826558,-0.738721,-0.943675,-0.914396,-0.358093,0.081094,0.52028,0.549559,0.930188,1.018025,0.725234,0.695955,0.871629,0.695955,0.549559,0.754513,0.754513,0.256768,0.403164,2
-0.105056,0.017301,0.56791,1.811878,2.546023,2.423666,2.505237,1.975021,0.160052,-0.06427,-0.533308,-0.41095,-0.431343,-0.288592,-0.5537,-0.737237,-0.676058,-0.75763,-0.981952,-0.879987,-0.635272,-0.594486,-0.920773,-0.75763,-0.614879,-0.879987,-0.920773,-1.063523,-0.941166,-1.04313,-0.859594,-0.90038,-0.655665,-0.696451,-0.431343,-0.472129,-1.022738,-0.839201,-0.961559,0.282409,0.527124,0.506731,0.731053,0.731053,0.302802,0.302802,0.139659,0.282409,1.200091,2.097379,2.770345,3.035453,2.749952,2.647988,2.097379,1.709914,0.465946,0.343588,-0.043877,-0.288592,-0.41095,-0.798415,-0.778023,-0.594486,-0.75763,-0.635272,-0.90038,-0.839201,-0.961559,-0.798415,-0.941166,-0.798415,-0.879987,-0.716844,-0.614879,-0.451736,-0.492522,-0.90038,-0.655665,-0.41095,-0.5537,-0.920773,-1.022738,-0.798415,0.037694,0.629089,0.588303,0.302802,0.302802,0.139659,0.119266,-0.043877,-0.084663,0.017301,0.404767,1.567163,2.219736,1.954629,1.363234,0.506731,-0.145842,-0.839201,-1.083916,-1.063523,1
-0.880085,-0.694683,-0.745247,-0.627263,-0.644118,-0.492425,-0.559844,-0.391296,-0.290168,-0.408151,-0.86323,-0.947504,-0.778956,-0.020491,0.164912,0.282895,0.249185,0.063783,0.114347,0.030073,0.148057,0.282895,0.822248,1.782971,2.979661,3.367321,3.367321,3.232483,2.457162,2.035793,1.193053,0.906522,0.434588,0.350314,-0.054201,-0.205894,-0.458716,-0.458716,-0.694683,-0.660973,-0.795811,-0.694683,-0.610409,-0.526135,-0.627263,-0.559844,-0.610409,-0.526135,-0.627263,-0.559844,-0.762102,-0.728392,-0.50928,-0.374442,-0.222749,-0.239603,-0.323877,-0.677828,-0.728392,-0.660973,-0.391296,0.400879,0.704265,0.822248,0.822248,0.518862,0.29975,0.114347,0.29975,0.636846,0.063783,0.249185,0.316605,0.552572,0.771684,2.592001,3.04708,3.097644,3.01337,1.327892,0.788539,0.350314,-0.12162,-0.47557,-0.846376,-1.031778,-0.778956,-0.89694,-0.913795,-0.795811,-0.812666,-0.728392,-0.880085,-0.728392,-0.542989,-0.660973,-0.913795,-0.880085,-0.694683,0.249185,0.451443,0.535717,0.619991,0.451443,1
