@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute target {1,2,3,4,5}

@data
-0.062023,-0.727201,-0.942256,-1.075875,-0.957273,-0.56919,-0.210175,-0.15538,-0.094825,0.044543,0.066514,0.030067,0.243669,0.151481,0.115982,0.238286,0.332464,0.378332,0.486168,0.538788,0.644471,0.719496,0.684247,0.65482,0.601287,0.573863,0.454412,0.34809,0.19098,-0.02103,-0.092049,-0.052825,-0.073224,-0.091417,-0.131786,-0.117659,-0.081139,-0.115637,-0.093168,-0.147088,-0.13802,-0.129411,1
-0.408129,-1.104907,-1.115213,-1.044338,-0.78186,-0.58095,-0.137239,0.053126,0.09796,0.258419,0.293857,0.393588,0.569365,-0.02421,0.471896,0.555366,0.656745,0.683196,0.850966,0.805806,0.718432,0.669442,0.653744,0.551361,0.384365,0.318572,0.185011,-0.00306,-0.052193,-0.139691,-0.191219,-0.216466,-0.203595,-0.237769,-0.191654,-0.209145,-0.223602,-0.262141,-0.225125,-0.175774,-0.192124,-0.273965,1
-0.176039,-0.642793,-0.940826,-0.908178,-0.64087,-0.393119,-0.109179,-0.166995,-0.199447,-0.122183,0.035366,0.203306,0.376665,0.059143,0.346036,0.471242,0.518461,0.603445,0.661389,0.695202,0.724612,0.572308,0.543478,0.4597,0.34672,0.269876,0.147091,0.082599,-0.031064,0.031086,-0.073106,-0.148434,-0.11219,-0.16577,-0.113395,-0.099987,-0.225549,-0.111659,-0.111353,-0.198706,-0.194069,-0.054433,1
0.041017,-0.568486,-0.921261,-0.976416,-0.868801,-0.807162,-0.542917,-0.157996,0.008707,0.131699,0.346892,0.429565,0.535796,0.149012,0.349927,0.373576,0.496813,0.585677,0.707696,0.664412,0.638653,0.572913,0.537997,0.527184,0.351859,0.246154,0.194066,0.04638,-0.068566,-0.143037,-0.108866,-0.158926,-0.128453,-0.15268,-0.122797,-0.185571,-0.173805,-0.155246,-0.164692,-0.144276,-0.163658,-0.155599,1
0.136839,-0.261338,-0.586196,-0.914472,-0.778112,-0.526847,-0.329909,-0.092803,0.046246,0.23928,0.275745,0.232671,0.419272,0.408879,0.146208,0.24472,0.267335,0.313724,0.339773,0.419449,0.471912,0.476169,0.521398,0.432662,0.41674,0.335659,0.244766,0.194754,0.093706,-0.066914,-0.163326,-0.284099,-0.271639,-0.219717,-0.26882,-0.262967,-0.212746,-0.200087,-0.238081,-0.152962,-0.137403,-0.132554,1
-0.405964,-0.903666,-1.060115,-0.906665,-0.495458,-0.175703,-0.077222,-0.01087,0.171283,0.214505,0.27497,0.455071,0.477332,-0.000553,0.264775,0.335499,0.407026,0.419011,0.56412,0.60295,0.538923,0.523396,0.487457,0.402724,0.289525,0.248708,0.11274,-0.028306,-0.121451,-0.183752,-0.162558,-0.121807,-0.179687,-0.150758,-0.113815,-0.099839,-0.102332,-0.186127,-0.130792,-0.146115,-0.1424,-0.069703,1
-0.171477,-0.762324,-1.035937,-1.063196,-0.829784,-0.709392,-0.28972,0.018068,0.118186,0.282351,0.402857,0.463657,0.5208,0.02162,0.396097,0.439809,0.584218,0.668253,0.710599,0.70216,0.624432,0.586836,0.519731,0.40835,0.346265,0.232807,0.167882,-0.016626,-0.107537,-0.141336,-0.174132,-0.18869,-0.160922,-0.18107,-0.184631,-0.148874,-0.146442,-0.209069,-0.194723,-0.168873,-0.177238,-0.141556,1
0.024974,-0.394683,-0.714246,-0.846644,-0.818346,-0.579175,-0.173583,0.034503,0.024405,0.161215,0.364874,0.488325,0.403301,-0.001386,0.306951,0.400195,0.476745,0.518804,0.56748,0.520306,0.565211,0.495893,0.400424,0.329878,0.227735,0.15425,0.038094,-0.126301,-0.096856,-0.153407,-0.127804,-0.131479,-0.125899,-0.086606,-0.196048,-0.187735,-0.205332,-0.227612,-0.135462,-0.1807,-0.171084,-0.147684,1
0.03106,-0.363895,-0.646982,-0.790463,-0.671932,-0.35122,0.090851,0.336822,0.263545,0.211701,0.205601,0.11338,-0.038014,-0.492917,0.192602,0.205265,0.228197,0.239507,0.324396,0.327679,0.422849,0.364026,0.258528,0.253719,0.200431,0.164127,0.229041,0.176596,0.130248,0.022804,-0.044928,-0.091012,-0.070482,-0.034157,-0.089034,-0.100121,-0.122168,-0.079018,-0.057837,-0.130497,-0.07613,-0.041348,1
0.036823,-0.114387,-0.191148,-0.29509,-0.294658,-0.208946,-0.087542,0.090783,0.181595,0.237149,0.375583,0.405132,0.304523,0.119146,-0.124965,-0.028188,0.017584,0.033754,0.033136,0.027089,-0.019733,-0.004551,-0.059191,-0.081691,-0.1072,-0.153457,-0.246124,-0.2703,-0.262983,-0.284486,-0.240817,-0.124697,-0.010865,0.077788,0.084227,0.074183,0.115655,0.109873,0.168727,0.130775,0.16668,0.234492,1
