@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute target {1,2,3}

@data
-0.812971,-0.770935,-0.601544,-0.4629,-0.305807,-0.176615,-0.042906,0.057135,0.409238,0.542402,0.626142,0.650265,0.692207,0.688567,0.670972,0.647101,0.582324,0.445057,0.229519,0.008093,-0.21157,-0.444443,-0.626413,-0.754071,2
-0.830309,-0.786801,-0.623596,-0.481692,-0.33572,-0.176677,-0.037196,0.066447,0.39559,0.549494,0.597484,0.630839,0.678316,0.705226,0.715735,0.688862,0.643032,0.468713,0.247881,0.02021,-0.211869,-0.426069,-0.636969,-0.792413,2
-0.840424,-0.818993,-0.646901,-0.498704,-0.347468,-0.206795,-0.059849,0.052178,0.413165,0.588831,0.629122,0.641968,0.680125,0.726163,0.716414,0.692351,0.625303,0.458992,0.239328,0.031901,-0.181241,-0.404718,-0.612566,-0.755861,2
-0.853014,-0.817983,-0.65694,-0.525103,-0.360793,-0.214561,-0.071289,0.038465,0.365809,0.521649,0.615569,0.654526,0.676071,0.7362,0.767129,0.737334,0.652099,0.520314,0.30187,0.06524,-0.180116,-0.409513,-0.624396,-0.784828,2
-0.877619,-0.803379,-0.584918,-0.472186,-0.306126,-0.139404,0.010543,0.106743,0.435292,0.597237,0.654997,0.637846,0.676568,0.716778,0.723782,0.670647,0.605483,0.442515,0.227535,-0.014605,-0.259243,-0.494511,-0.69347,-0.838389,2
-0.907554,-0.857497,-0.630052,-0.467948,-0.303584,-0.137915,-0.008502,0.128104,0.464298,0.569834,0.585049,0.584299,0.655518,0.719162,0.744279,0.705055,0.642032,0.448362,0.249433,0.017569,-0.213291,-0.44964,-0.654237,-0.821126,2
-0.949843,-0.929053,-0.669106,-0.517586,-0.356059,-0.206731,-0.060546,0.071501,0.335349,0.503941,0.636627,0.645842,0.675792,0.759521,0.809865,0.794887,0.747983,0.555183,0.335135,0.087388,-0.15623,-0.416874,-0.645003,-0.846176,2
-0.838925,-0.805117,-0.637019,-0.507645,-0.376012,-0.250656,-0.157609,-0.071226,0.304947,0.553948,0.705018,0.744617,0.724625,0.80663,0.838906,0.824321,0.698967,0.500098,0.266249,0.024515,-0.232906,-0.478064,-0.653907,-0.76902,3
-0.861938,-0.868291,-0.670836,-0.519273,-0.384359,-0.221694,-0.094518,0.048141,0.375822,0.50159,0.612263,0.672418,0.719798,0.763998,0.777606,0.776364,0.664398,0.471001,0.266121,0.049824,-0.153819,-0.386964,-0.586887,-0.759842,3
-0.907424,-0.878325,-0.659419,-0.50914,-0.333825,-0.189884,-0.037504,0.092226,0.425111,0.571735,0.629538,0.67525,0.743137,0.775872,0.776161,0.74021,0.661139,0.449283,0.249569,0.032126,-0.206545,-0.445273,-0.66668,-0.846243,3
-0.950303,-0.921969,-0.6659,-0.488992,-0.340571,-0.192463,-0.033839,0.107679,0.424911,0.557478,0.607403,0.678048,0.73276,0.800545,0.818696,0.816959,0.667598,0.459495,0.245228,0.015895,-0.211656,-0.454703,-0.66506,-0.845119,3
-0.944994,-0.902592,-0.64277,-0.497808,-0.341453,-0.189157,-0.05166,0.068313,0.369334,0.550378,0.638324,0.671691,0.682319,0.763774,0.807269,0.772484,0.698636,0.520297,0.290423,0.060767,-0.190332,-0.441315,-0.673636,-0.850917,3
-0.975936,-1.003705,-0.780325,-0.61789,-0.464816,-0.292752,-0.15177,-0.003166,0.332683,0.530115,0.683205,0.663514,0.665867,0.779439,0.837395,0.807359,0.808885,0.621455,0.41396,0.188416,-0.028352,-0.280441,-0.536961,-0.766056,3
-0.879843,-0.862574,-0.665837,-0.542855,-0.384744,-0.245095,-0.095066,0.030692,0.346,0.50463,0.625861,0.640474,0.688353,0.739528,0.719159,0.706459,0.676983,0.555712,0.35218,0.119784,-0.118528,-0.339311,-0.572099,-0.784755,2
-0.989215,-0.961447,-0.698482,-0.493059,-0.291227,-0.134309,0.001816,0.087099,0.410128,0.593206,0.751634,0.717914,0.616974,0.643207,0.6918,0.705758,0.669378,0.525353,0.313626,0.076572,-0.164075,-0.395795,-0.645581,-0.871668,2
-0.949048,-0.975133,-0.737038,-0.577479,-0.429614,-0.279641,-0.134483,0.010363,0.283634,0.439752,0.619507,0.660076,0.688769,0.768882,0.793393,0.796884,0.767223,0.624881,0.416404,0.203671,-0.028857,-0.288747,-0.545781,-0.770258,2
-0.950825,-0.94817,-0.713321,-0.553463,-0.413067,-0.269369,-0.125149,-0.002794,0.310757,0.492605,0.668879,0.71775,0.750765,0.82932,0.820709,0.831307,0.725481,0.527195,0.328989,0.12145,-0.105014,-0.350285,-0.579256,-0.789107,3
-0.938102,-0.941891,-0.677931,-0.516578,-0.363266,-0.195764,-0.057836,0.082959,0.40219,0.535395,0.550012,0.556118,0.604287,0.695479,0.737979,0.749805,0.73622,0.611679,0.380995,0.150136,-0.101279,-0.366584,-0.609386,-0.821833,2
-0.901175,-0.860719,-0.673859,-0.535777,-0.378657,-0.228874,-0.067747,0.033553,0.387837,0.564118,0.653875,0.677254,0.720122,0.789361,0.782304,0.781051,0.673337,0.498309,0.293176,0.053005,-0.189653,-0.426308,-0.627961,-0.812151,2
-0.930034,-0.894915,-0.63595,-0.46427,-0.306975,-0.158373,-0.002635,0.131099,0.494275,0.657792,0.664154,0.595975,0.639654,0.767942,0.734629,0.737499,0.648519,0.448663,0.250855,0.00495,-0.241007,-0.490243,-0.703583,-0.860668,3
-0.91572,-0.919173,-0.732391,-0.594088,-0.426009,-0.270459,-0.11405,-0.002044,0.293234,0.486822,0.646332,0.661886,0.665028,0.766583,0.826203,0.794453,0.741061,0.578977,0.386432,0.166554,-0.08115,-0.324051,-0.558248,-0.751536,3
-0.915106,-0.869941,-0.596696,-0.446168,-0.279624,-0.109657,0.048559,0.18033,0.498033,0.578069,0.583354,0.573298,0.593607,0.65012,0.675387,0.710841,0.645588,0.458092,0.236795,0.021218,-0.230904,-0.479547,-0.681561,-0.847985,2
-0.881018,-0.831651,-0.62411,-0.46924,-0.329943,-0.185084,-0.045251,0.04384,0.394576,0.581412,0.667305,0.692367,0.70488,0.783791,0.783805,0.754338,0.660407,0.462469,0.226658,-0.012447,-0.248732,-0.481817,-0.69821,-0.840858,2
-0.747518,-0.721882,-0.61267,-0.475441,-0.330323,-0.204246,-0.063095,0.07276,0.469282,0.581221,0.610168,0.649387,0.678424,0.676998,0.619349,0.568073,0.54194,0.404845,0.201549,0.014649,-0.214619,-0.405206,-0.587072,-0.6991,1
-0.750047,-0.751632,-0.584015,-0.432104,-0.309374,-0.16635,-0.044831,0.070512,0.408652,0.496388,0.531764,0.600653,0.591378,0.622009,0.601269,0.571919,0.550796,0.449557,0.236231,0.048056,-0.141956,-0.36155,-0.553224,-0.694822,1
-0.790914,-0.761051,-0.667781,-0.527003,-0.358843,-0.213619,-0.094291,0.009809,0.394784,0.574456,0.659366,0.714082,0.707731,0.675966,0.654507,0.647129,0.593037,0.466696,0.267007,0.048794,-0.16535,-0.38949,-0.588189,-0.722267,1
-0.796668,-0.801276,-0.691921,-0.548422,-0.381952,-0.249239,-0.106449,-0.000269,0.357536,0.49691,0.635265,0.688041,0.734751,0.758352,0.717217,0.678504,0.65133,0.484854,0.321824,0.086705,-0.147516,-0.374789,-0.578803,-0.741918,1
-0.842099,-0.808727,-0.656956,-0.512257,-0.349562,-0.184878,-0.064637,0.063272,0.398818,0.544215,0.645428,0.68465,0.734197,0.744861,0.704535,0.66416,0.604324,0.448019,0.24614,0.029697,-0.18653,-0.41867,-0.607571,-0.761814,1
-0.805629,-0.765687,-0.571455,-0.430137,-0.247237,-0.090788,0.027486,0.145496,0.506432,0.621244,0.606725,0.583308,0.645821,0.650801,0.651737,0.670666,0.584026,0.382104,0.161794,-0.068652,-0.314981,-0.521954,-0.696808,-0.811662,1
-0.810185,-0.755533,-0.593357,-0.43843,-0.27973,-0.139988,-0.00652,0.094972,0.466851,0.607608,0.644829,0.616844,0.649087,0.707044,0.682208,0.629433,0.566664,0.38559,0.179707,-0.042673,-0.275043,-0.49368,-0.645943,-0.773496,2
-0.820581,-0.816125,-0.682975,-0.55777,-0.397089,-0.257878,-0.129127,-0.035667,0.300546,0.508425,0.698813,0.73913,0.760867,0.762897,0.743797,0.729024,0.674527,0.503452,0.286894,0.062746,-0.167141,-0.367961,-0.570845,-0.735557,2
-0.810667,-0.798445,-0.639953,-0.506608,-0.346186,-0.200721,-0.048,0.089652,0.437836,0.55011,0.593692,0.621211,0.622968,0.685063,0.691298,0.662439,0.619615,0.474963,0.271483,0.046396,-0.180516,-0.398466,-0.599482,-0.750705,2
-0.878398,-0.843835,-0.632831,-0.493531,-0.340505,-0.185675,-0.052796,0.080748,0.461956,0.636313,0.678182,0.671393,0.697446,0.750537,0.731133,0.688794,0.602692,0.414431,0.23106,0.012664,-0.208633,-0.445914,-0.659094,-0.80053,2
-0.80086,-0.790708,-0.649652,-0.519854,-0.368172,-0.214289,-0.075524,0.044052,0.42167,0.55873,0.641454,0.652762,0.693421,0.737593,0.684372,0.637032,0.590065,0.43357,0.247235,0.065769,-0.153491,-0.387303,-0.579761,-0.743107,2
-0.879372,-0.820773,-0.627953,-0.490912,-0.341145,-0.195565,-0.065375,0.0374,0.350092,0.527356,0.630268,0.653745,0.674958,0.748548,0.771769,0.759455,0.673691,0.478753,0.273808,0.041369,-0.191964,-0.427277,-0.642555,-0.810424,2
-0.850763,-0.815645,-0.61378,-0.464763,-0.297959,-0.138401,-0.012074,0.105494,0.444387,0.524934,0.563652,0.552898,0.60325,0.687164,0.687927,0.694844,0.63351,0.461883,0.264669,0.04233,-0.19163,-0.432198,-0.626089,-0.794342,2
-0.872217,-0.849005,-0.656084,-0.509968,-0.346454,-0.20135,-0.05931,0.064199,0.402867,0.556933,0.647396,0.658174,0.662806,0.755263,0.738172,0.702687,0.646725,0.487716,0.276303,0.052706,-0.19247,-0.418558,-0.623256,-0.779877,2
-0.88456,-0.86179,-0.65959,-0.512681,-0.352394,-0.19642,-0.048679,0.059584,0.373494,0.555296,0.647077,0.652608,0.686075,0.755141,0.744066,0.708784,0.655416,0.497706,0.281036,0.06651,-0.169348,-0.405273,-0.628948,-0.810933,2
-0.916839,-0.86772,-0.684355,-0.521813,-0.373169,-0.205742,-0.053706,0.066185,0.411118,0.626091,0.701906,0.656302,0.701519,0.747427,0.764759,0.770466,0.686868,0.484714,0.265947,0.044047,-0.199061,-0.431274,-0.65372,-0.83423,2
-0.892485,-0.874323,-0.661151,-0.518977,-0.350181,-0.202467,-0.065812,0.058508,0.40727,0.562264,0.66141,0.659816,0.705447,0.769785,0.763541,0.734641,0.632117,0.460831,0.262978,0.057409,-0.176014,-0.402791,-0.620262,-0.802591,2
-0.913406,-0.839823,-0.574158,-0.425398,-0.283988,-0.153695,-0.008269,0.09921,0.420707,0.629982,0.66745,0.671692,0.693277,0.729737,0.745424,0.713906,0.657749,0.448207,0.228542,-0.02822,-0.286817,-0.529259,-0.741654,-0.888022,2
-0.878413,-0.865306,-0.662644,-0.499941,-0.360002,-0.199114,-0.033564,0.102467,0.438409,0.565407,0.589927,0.583658,0.612608,0.737142,0.704437,0.655174,0.636295,0.468543,0.28771,0.089329,-0.118461,-0.366997,-0.586183,-0.768308,2
-0.895452,-0.854558,-0.656567,-0.498428,-0.347876,-0.188367,-0.047785,0.06939,0.401269,0.56551,0.615018,0.611211,0.631086,0.73831,0.764328,0.778047,0.704108,0.529604,0.29849,0.069449,-0.19187,-0.429601,-0.674544,-0.850893,2
-0.914749,-0.869872,-0.636013,-0.496398,-0.34413,-0.204313,-0.052643,0.075205,0.397427,0.571219,0.736939,0.722743,0.729586,0.75421,0.766994,0.758757,0.652034,0.434463,0.229061,0.013138,-0.222489,-0.453064,-0.66662,-0.833845,3
-1.001618,-1.042429,-0.781613,-0.598073,-0.433057,-0.278573,-0.120168,0.007664,0.312875,0.509358,0.653782,0.574892,0.601925,0.707952,0.819461,0.835744,0.800769,0.701763,0.480744,0.24926,0.001566,-0.253508,-0.538548,-0.79421,3
-0.765049,-0.72262,-0.663961,-0.520587,-0.371448,-0.203196,-0.058141,0.072214,0.487088,0.577653,0.628513,0.617047,0.626335,0.612521,0.628535,0.585446,0.557977,0.456714,0.276556,0.063761,-0.170845,-0.373231,-0.56635,-0.697336,1
-0.790028,-0.777699,-0.657721,-0.532518,-0.374402,-0.228646,-0.066236,0.026128,0.388211,0.5338,0.598961,0.653684,0.633669,0.675378,0.66889,0.661395,0.604378,0.468881,0.298696,0.083828,-0.122603,-0.345702,-0.54943,-0.717207,1
-0.783784,-0.754982,-0.61805,-0.469875,-0.300479,-0.151343,0.007331,0.120798,0.536617,0.627149,0.672039,0.668824,0.669204,0.685203,0.609506,0.58435,0.529254,0.363711,0.166681,-0.059256,-0.283325,-0.493171,-0.633659,-0.709282,1
-0.813746,-0.790282,-0.620537,-0.478576,-0.327818,-0.199777,-0.048522,0.085692,0.447692,0.539461,0.624602,0.643683,0.676269,0.651812,0.66939,0.635963,0.580115,0.445971,0.248252,0.043374,-0.178097,-0.412836,-0.599836,-0.757727,1
-0.83125,-0.787449,-0.628962,-0.497214,-0.341467,-0.200878,-0.055139,0.061458,0.433605,0.568176,0.672918,0.70379,0.70392,0.737916,0.687004,0.65414,0.596008,0.430292,0.215478,0.005995,-0.219592,-0.43307,-0.620693,-0.761353,2
-0.837058,-0.828612,-0.679169,-0.526923,-0.398482,-0.230674,-0.096215,0.022607,0.400131,0.589745,0.708617,0.694097,0.725776,0.72936,0.724192,0.675184,0.633638,0.464507,0.266238,0.054309,-0.177496,-0.377049,-0.590743,-0.754472,2
-0.837679,-0.802493,-0.654329,-0.519453,-0.358286,-0.202831,-0.052226,0.070795,0.47138,0.605084,0.656224,0.684502,0.732913,0.744049,0.708941,0.660299,0.571682,0.386858,0.215675,0.013236,-0.201613,-0.408053,-0.600087,-0.765753,2
-0.867257,-0.840898,-0.627562,-0.476753,-0.309802,-0.177395,-0.005923,0.112977,0.422455,0.595523,0.674624,0.647205,0.659977,0.701036,0.686063,0.676607,0.602334,0.434484,0.235309,0.009915,-0.21937,-0.427795,-0.6374,-0.80415,2
-0.890486,-0.870311,-0.670401,-0.531055,-0.390772,-0.229584,-0.092076,0.03749,0.352461,0.501208,0.622629,0.652014,0.711858,0.768984,0.75827,0.724792,0.663972,0.525468,0.334422,0.108012,-0.130651,-0.370388,-0.593328,-0.78013,2
-0.838343,-0.814108,-0.628162,-0.489838,-0.339686,-0.181606,-0.031981,0.096335,0.448387,0.57059,0.650006,0.667564,0.693863,0.695527,0.697975,0.696686,0.580878,0.433192,0.220196,0.015745,-0.221307,-0.431179,-0.639913,-0.775025,2
-0.932117,-0.927088,-0.706273,-0.551042,-0.408263,-0.262596,-0.121495,0.008361,0.328714,0.47167,0.62864,0.692076,0.734188,0.795774,0.788153,0.799221,0.752803,0.579547,0.353422,0.117692,-0.11018,-0.348595,-0.593347,-0.789097,2
-0.938305,-0.981195,-0.784315,-0.637347,-0.488299,-0.333035,-0.194122,-0.047754,0.265338,0.468486,0.584543,0.641577,0.691778,0.799646,0.87327,0.849977,0.804759,0.675738,0.45585,0.246633,-0.005676,-0.254308,-0.497151,-0.727966,2
-0.914758,-0.868358,-0.651057,-0.503271,-0.349318,-0.198975,-0.056102,0.072846,0.409538,0.565972,0.652099,0.678601,0.698713,0.780322,0.795729,0.768006,0.653789,0.462264,0.256589,0.02533,-0.202003,-0.436999,-0.649656,-0.83297,2
-0.93122,-0.934489,-0.698139,-0.533876,-0.381322,-0.240694,-0.08696,0.041102,0.348127,0.495158,0.62358,0.630805,0.646996,0.744971,0.79562,0.800189,0.717192,0.576592,0.364663,0.134737,-0.107426,-0.355843,-0.591476,-0.803086,2
-0.929313,-0.910112,-0.67781,-0.531596,-0.386991,-0.230698,-0.077421,0.063151,0.38652,0.544081,0.646542,0.675823,0.7144,0.78533,0.807779,0.817953,0.701702,0.484816,0.293332,0.065099,-0.171361,-0.401564,-0.623959,-0.818774,2
-0.788004,-0.764831,-0.653458,-0.543408,-0.400614,-0.229441,-0.081828,0.032836,0.399671,0.504941,0.596614,0.62304,0.632686,0.647495,0.645865,0.613714,0.585639,0.497638,0.346898,0.124966,-0.100655,-0.334009,-0.514077,-0.698763,1
-0.760347,-0.756592,-0.583978,-0.430603,-0.303115,-0.14084,0.000329,0.136783,0.490169,0.540675,0.525455,0.529629,0.569804,0.613103,0.558599,0.567657,0.526151,0.401227,0.250423,0.060652,-0.166134,-0.375606,-0.58641,-0.720913,1
