@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute target {1,2}

@data
-0.261079,0.036573,0.603961,-0.300659,0.157761,-0.204407,0.064747,-0.418037,-0.084052,-0.766368,0.116163,0.084168,0.566363,0.167989,0.710013,-0.350534,-0.27524,-0.490482,-0.270651,0.413919,0.470631,-0.24129,-0.748734,0.401758,-0.644638,0.429733,-0.553376,-0.701713,0.534306,0.451984,0.187351,-0.001649,1.462963,0.048946,0.360934,0.002487,-0.239652,-0.286923,0.303733,-0.110431,0.096377,-0.766994,0.19543,-0.093777,0.62519,0.42147,-0.572193,-1.406749,0.191397,-0.589574,-0.47108,0.989938,0.463147,0.75076,-0.404677,-0.024945,-0.233459,0.533325,-0.86762,0.544625,-0.5329,0.685294,-0.194347,0.405701,0.019892,0.54536,-0.426623,0.399008,0.485503,0.694206,-1.294711,-0.073033,-0.166791,0.141576,-0.135576,0.351938,-0.612226,0.111978,0.245836,1.260232,-0.16022,-0.698481,-0.099287,-0.431501,-0.176227,-0.815734,0.415787,-0.298524,-0.092699,0.457117,-0.057677,-0.487378,-0.615553,-0.992008,-0.690361,-0.500806,-0.003933,0.054379,0.024893,0.629327,0.348875,1.251936,-0.237107,0.301927,-0.471205,-0.318196,0.734737,0.658688,0.286605,-0.089247,-0.39333,0.594328,-0.050871,0.06498,-0.417993,1.023114,-0.685195,-0.304712,0.441006,0.21931,-0.123194,-1.442366,-0.035022,-1.367969,0.598056,-0.273431,0.223572,-0.070822,0.788911,0.099903,-0.121821,0.083594,1.133351,0.760066,-1.089082,0.22996,0.535256,0.621872,-0.171173,0.459961,-0.463485,-0.616262,0.006119,-0.809684,0.107708,0.686847,-0.004801,-0.004331,0.01074,0.335572,1
0.913604,0.554283,-0.07963,-0.894627,0.523145,-0.274556,-0.063645,0.100352,-0.533661,-0.796036,-0.652621,0.2907,-0.481687,0.075519,0.60965,0.930482,-0.276729,-0.063433,0.373002,-0.576745,-0.051531,0.15256,0.016085,0.08545,-0.718368,0.057602,0.772959,0.045099,-0.151765,0.219309,0.18778,0.388452,0.505173,-0.161108,1.012401,0.653383,0.821297,0.062418,-0.215971,0.099147,-0.27109,-0.060287,0.376506,-0.231027,0.120789,0.370293,1.036197,0.827468,-0.089512,-0.19783,-0.135998,0.447936,0.068068,0.329398,0.409933,0.327541,-0.348405,-0.028385,-0.284227,0.810568,-0.091069,-0.114315,-0.236626,-0.627228,0.232592,0.139719,0.500853,-0.321207,-0.081864,-0.691948,0.199329,-0.186593,0.506911,-0.147404,-0.170285,0.020145,-0.614772,0.651661,-1.006452,0.47952,1.184537,-0.488874,-1.210451,-0.312148,-0.236774,-0.068435,-0.272682,-1.255267,0.293202,-0.669048,0.459782,0.046756,-1.549571,0.032602,0.496569,-0.138166,-0.156983,-0.826753,0.671021,-0.466946,0.098941,0.770866,0.322861,-0.415393,-0.265873,-0.46424,0.93335,0.492857,1.112295,0.564258,-0.407136,-0.243656,0.753487,-1.323711,-1.014536,0.032453,0.513637,-1.07697,0.423655,-0.646196,0.005018,0.794144,-0.181847,-0.592001,0.153719,1.055696,0.204636,-0.129507,-1.066969,-0.672138,-0.186708,-0.122824,-0.335761,-0.250516,-0.610734,-0.433944,-1.147846,0.319021,-0.220564,-0.131868,0.274158,0.458718,-0.636766,0.289714,-0.915012,1.000287,0.087268,0.171015,-0.150389,0.122291,1
-0.301775,-0.934964,0.072351,-0.392962,-0.841651,-0.542799,0.4511,0.780204,-0.082662,0.469516,1.038272,-0.775619,0.236383,0.317787,-0.206446,0.272119,-0.022704,0.197364,0.166412,-0.010591,0.996238,-0.06958,-0.602056,-0.668036,-0.543728,-0.122703,0.457493,0.610313,-0.315243,0.368262,-0.25588,0.832616,-0.307519,0.026091,0.836666,1.008534,-0.377254,0.504643,-0.329606,-0.532499,-0.314229,1.118822,-0.621993,-0.094617,0.306384,0.372436,0.208405,-0.410215,-0.303663,1.186892,-0.128801,-0.271902,-0.284569,-0.070508,0.375665,-0.368387,0.237409,-0.081567,0.746639,0.278759,-0.259107,-0.696998,-0.297925,0.913415,-0.351946,0.102796,0.360279,-0.55416,-0.343803,0.281085,0.085537,-0.008221,1.266847,-0.232453,-0.012511,-0.648523,-1.452538,-1.333799,-0.580317,-0.332046,0.959845,-0.619753,0.994579,-0.277152,-0.880295,-1.031109,-0.453474,0.794329,-0.325204,0.471902,0.637365,0.121801,0.777429,-1.217643,0.498024,0.056191,-0.298738,-0.070043,-1.039371,-0.17058,-0.314686,-0.323503,-0.46108,-0.321303,0.366831,-0.598337,-0.099553,-0.282732,0.555531,-0.002215,-0.318035,0.659918,1.385095,-0.476722,0.249648,0.482065,-0.040118,-0.527053,0.671617,0.302579,0.049424,-0.931022,0.871728,-0.234461,0.816655,0.566134,0.63738,1.242042,0.744943,-0.495063,-0.566545,0.032856,-0.852961,-0.315806,0.116199,0.253132,-0.557308,0.652409,0.851512,-1.038606,-0.265676,-0.363546,1.048382,-0.369984,-0.341591,-0.591333,-0.706605,0.156576,-0.029263,-0.359748,1
-1.181165,-0.489497,-0.283595,0.156221,-0.661796,-0.03581,-0.348347,0.702807,-0.359327,-0.057466,-0.44721,-0.666391,-0.558656,-0.085254,0.189595,-0.344348,0.111739,0.528244,0.415598,0.269257,-0.287031,-0.234104,0.674244,0.199121,-0.174023,-0.338371,0.574532,-0.192003,0.092136,-0.234797,-0.163668,0.057732,-0.212415,-0.323111,0.544535,-0.308487,-0.5824,0.735235,0.359431,-0.996671,-0.009363,-0.052474,0.056696,0.540776,0.294241,-0.117222,0.048452,1.310862,-0.079808,-0.344236,1.193189,0.786026,-0.212674,-0.215829,-0.509325,0.312658,-0.024066,0.271929,1.295806,-0.262344,0.119097,0.553971,0.787811,0.182593,0.188159,0.50367,-0.026053,0.531807,-0.133906,-0.082166,-0.045579,-0.760614,-0.394856,-0.907267,1.022727,-0.374117,0.474496,0.17966,-0.399648,-0.550111,-0.683719,-0.727174,0.440866,0.062693,0.078756,0.1406,-0.76254,0.47663,0.146777,-0.209143,-0.969695,0.081499,0.248103,-0.395033,0.604734,0.385783,0.687116,-0.256469,0.58688,-0.260902,-0.909626,0.180611,-0.888508,-0.295594,0.234539,-0.593626,0.616766,0.664613,0.413915,-0.558781,0.060378,-0.385374,1.209128,0.755098,-0.41642,0.883888,-0.499113,0.072337,0.94094,-0.533595,0.809065,-0.192421,-0.1012,1.043491,0.593851,0.022703,-0.659099,0.76623,-0.228649,-0.112439,-0.224992,-0.301971,-1.010035,-0.60554,-0.059348,-0.319919,-0.624943,0.118835,0.166051,0.199899,0.343213,0.818748,-0.581058,-0.519815,0.441653,0.104902,-1.034776,-0.482888,0.473019,0.101836,1
0.345978,-0.785385,0.81536,1.066339,0.034177,-0.031499,-0.560407,0.203802,0.273611,-0.340419,-1.153753,0.099567,-0.279475,-0.008592,1.439015,0.09106,0.717076,-0.613931,-0.594717,0.416421,0.256087,0.18821,0.169194,0.076852,-0.409367,-0.760362,0.466527,0.114059,0.539495,0.164405,0.113294,-0.393848,-0.816212,0.601209,1.245984,-0.482044,-0.246276,-0.822142,-0.468251,0.0701,-0.459666,-0.597973,0.573351,0.159639,0.3638,-0.010878,-0.594611,0.55603,1.028278,-0.06589,0.478433,0.967787,-0.016603,-0.813492,-0.227845,-0.845201,0.034108,-0.49083,0.414992,-0.834152,0.977358,-0.374821,0.074526,-0.308779,-0.348632,0.339883,-0.632752,-0.931714,-0.193228,-0.504198,-0.378288,0.14471,-0.125658,0.49296,-0.468133,-0.306581,0.408067,0.274492,0.113506,0.687949,0.003042,-0.116573,-0.188272,-0.426302,0.47574,0.836624,-0.379835,-0.496172,-0.920992,-0.12111,-1.07554,-0.125587,0.893628,0.506799,0.723408,-0.831948,0.010877,0.116113,-0.094581,0.936076,0.182966,-0.313791,-0.490686,-0.219709,1.16063,-0.290489,-0.402869,-0.461542,1.229962,0.103338,-0.129412,-0.188637,0.207103,1.300314,-0.619012,-0.34803,0.862829,0.690579,-0.557209,0.02152,0.281845,-0.008442,-0.552484,-0.343756,0.476597,-0.23393,0.265373,0.912576,0.026917,-0.064246,-0.376875,0.447392,0.79343,0.09889,-0.874494,0.004621,-0.414398,-0.244305,-0.445644,0.291597,-0.036764,0.485613,-0.260051,0.695799,0.14667,-0.650294,-1.179353,-0.449157,0.108213,-0.230089,1
0.100117,0.218099,-0.055576,0.071096,-0.235833,0.242178,-0.442216,-0.976009,-0.075449,1.110632,0.107153,-0.65484,0.168255,0.73382,0.397263,-0.596351,-0.572419,-0.448646,0.33789,1.153446,-0.180835,-0.067373,0.522192,-0.106904,-0.487026,-0.077108,0.709829,-0.807667,0.363973,-0.361701,-0.545039,0.33274,0.841351,-0.293106,-0.456414,-0.187591,-0.299588,-0.447531,-0.529314,-0.650893,0.547362,0.579397,0.052251,-0.044072,0.080573,-0.007757,-0.626237,0.661692,-0.692727,0.405161,0.125788,0.02756,-0.020478,0.500775,0.528112,0.469787,0.775015,-0.449164,0.206671,-1.201398,0.207912,0.407017,0.24004,-1.018738,-0.197165,-0.463568,-0.166695,0.154569,-0.513981,-0.021122,1.046002,-1.121014,0.389161,0.437764,-0.450428,0.07473,-0.04478,0.383593,-0.116859,0.170245,-0.001865,-0.787455,0.251085,-0.431648,0.152581,0.566027,-0.671277,0.753312,0.769797,0.029831,0.025319,0.204876,0.159484,-0.046947,0.052738,-0.434441,0.939975,-0.037191,0.263768,-0.289088,-1.251265,-0.541973,1.220584,0.242008,-0.271208,0.497565,0.639367,1.005198,-0.282105,-0.182104,0.851655,-1.163229,0.783975,0.374988,-0.077105,-0.180878,-0.202956,-0.565799,0.40955,0.509308,-1.020171,0.329114,1.064416,0.227639,-0.141494,0.452285,0.493547,-0.922316,0.146328,-0.221157,0.418451,0.981131,-0.167816,0.710213,-0.67394,0.294413,-0.252169,-0.513768,0.058151,-0.890407,-0.920233,0.265915,-0.261449,-0.651364,-0.808773,-0.059917,-1.482651,1.057213,-0.27345,0.70479,1
0.259357,0.16098,-0.162698,0.358614,0.321441,-0.683935,-0.243764,0.527415,1.159802,0.075608,-0.199229,-0.479839,0.147742,-0.488626,-0.011152,-0.692941,-0.004523,0.315389,-0.48113,-0.658369,0.384824,-0.474948,0.496988,-0.243011,0.845876,-0.501682,0.107175,0.329125,0.632705,-0.954807,0.47595,0.456868,0.32822,-0.524081,0.579581,0.576813,-0.374368,0.106428,0.794723,0.271337,0.543317,0.648594,0.033737,0.370464,0.364632,0.345335,1.198158,0.888459,-0.080155,-0.357037,0.194853,-1.000705,-0.282287,-0.014322,-0.605557,0.120423,-0.205227,0.02781,-0.633369,0.045408,0.402209,-0.690605,0.382809,-0.435829,-0.668946,0.157944,-0.71484,0.008402,-0.311073,-0.737111,-0.973287,-0.343286,-0.179257,-0.488695,0.496088,0.384007,0.482117,0.070964,-0.057766,-0.824183,0.643268,1.006826,-0.766284,-0.297979,-0.707201,-0.525738,-0.967965,0.30644,0.530521,-0.43491,0.099278,0.39791,-0.293713,0.319751,0.732224,-0.579319,0.540877,0.013354,0.657453,0.803135,0.058655,-1.059247,-0.385267,-0.118467,0.524481,0.930856,1.125263,0.409552,-0.926801,-0.644172,0.411006,-1.089925,-0.040677,-0.163429,-0.296976,0.689254,-0.197566,1.016328,-0.539862,-0.391615,-0.27966,-1.140357,0.424357,-1.347079,0.110419,-0.127461,-1.274611,-0.406571,-0.117265,0.25959,0.503113,0.425478,-0.286558,0.160633,0.510623,-0.262745,0.056216,-0.428786,-0.167486,0.012144,-0.258193,0.126368,0.841821,-0.921732,-0.895457,-0.948996,0.198767,0.206105,0.881113,1.097722,1
-0.25233,0.063029,-0.044887,-0.430321,0.801341,0.267528,-0.262236,-0.065367,0.465254,-1.015991,0.234645,0.448089,-0.266147,-0.181539,-0.856074,0.518402,0.364397,-0.550753,-0.2231,0.108477,0.23291,0.501034,0.303642,-0.547952,0.310718,0.418863,-0.049356,-0.623415,0.317643,-0.037857,0.639147,0.336519,0.803782,-0.200259,-1.190713,-0.365175,-0.069347,0.053706,0.261846,-0.707197,0.500629,-0.207864,0.828967,0.278906,-0.115302,-0.841094,-0.823267,-0.736382,-0.377754,0.268865,0.34995,0.767884,0.152998,0.853675,0.94166,-0.54301,0.563788,0.244752,0.966472,-0.736319,-0.092381,-0.35014,0.554739,-0.135985,-0.224157,-0.359794,-0.240139,-0.520033,-0.808005,0.079878,-0.044739,-0.162729,-0.513516,0.885827,-0.303316,0.501714,0.031847,0.893721,-0.282952,-0.377515,-0.228442,-0.286553,-0.839179,-0.436868,0.101904,0.251208,0.722376,-0.695083,-0.543709,0.344759,0.634381,-1.205692,-0.659761,0.684235,-0.071524,-0.682013,-0.064393,-0.249878,0.931945,0.511256,-0.464139,0.489244,-0.261416,0.585799,1.042581,0.913574,0.326173,0.664514,0.079825,-0.163696,0.020073,0.141973,-1.171341,0.328341,0.601149,0.00048,-0.398486,-0.382038,-0.54133,-0.634739,0.514729,0.301086,0.406255,-0.045299,-0.702964,0.310214,-1.422914,-0.33963,0.027019,0.944259,0.542935,-0.008435,0.065049,-0.117219,-0.129997,-1.25119,-0.765734,0.284889,0.863641,-0.809776,1.183855,-0.265136,0.223491,0.450615,-0.442107,-0.034838,0.847395,0.048985,0.028362,0.087224,1
0.124527,0.272355,0.003045,-0.88606,-0.137016,0.512247,-0.70233,0.4652,-0.54194,-0.267324,-0.204791,0.364689,0.836839,0.595468,-0.161782,0.422479,0.332047,0.54937,-0.255634,-1.434574,0.616706,-0.114037,0.182359,-0.304889,-0.590629,-0.068685,-1.138374,0.806967,0.101392,-0.61642,0.365304,0.302521,-0.036798,-0.603524,0.144666,-0.439575,-0.322726,0.171106,0.026667,0.559882,0.179271,-0.585975,-0.309334,0.684176,0.383587,0.187686,-1.071012,-0.34772,-0.018143,-0.23524,1.27681,1.106365,0.214144,-0.675506,-0.293127,0.344692,0.621972,0.252508,-1.068458,-0.961618,0.416416,1.102529,-0.053621,-0.109663,-0.3323,-0.641451,0.568005,-0.8429,-0.352981,1.188071,0.066806,-0.596433,-0.323849,0.200558,-0.380533,-0.340292,0.086677,-0.178987,-0.716236,-0.237946,0.668049,0.819688,0.965508,-0.380082,1.141721,0.640143,-1.008456,0.386465,-0.415266,0.675793,0.525711,-0.884501,0.630204,0.457168,0.438829,1.142325,-0.821816,-0.20722,-0.348362,0.53367,-0.925353,1.432784,-0.676987,0.641237,-0.205776,-0.147111,-0.862366,0.243383,-0.943393,1.134082,-1.310208,0.046608,0.082755,-0.841835,-0.009343,-0.344251,-0.445298,0.632752,1.03899,-0.049825,-0.672186,-0.952957,0.037634,0.667322,0.235415,-0.304195,-0.747052,-1.165627,-0.303701,-1.068242,-0.061888,-0.245156,-0.314565,-0.245214,-0.16859,0.160299,0.508107,0.494979,0.009276,-0.584209,0.784555,0.818258,0.681875,0.599905,-0.060436,-0.018308,0.841094,-0.115905,0.716746,0.62133,1
0.479393,-0.663326,-0.013122,-0.266988,0.780764,-0.26627,0.039751,-0.756612,-0.104937,0.169702,-0.477913,-0.110838,-0.091221,-0.813141,0.17304,-0.328655,0.00555,-0.016322,-0.676582,0.125172,0.339815,-0.002149,-0.411553,-0.124944,0.276614,0.322635,-0.331036,-0.373995,-0.110999,-0.756188,0.211951,-0.560963,1.009905,0.645422,0.109074,0.130378,0.473507,-0.339788,-0.228278,0.867056,-0.485045,-0.166215,-0.174558,-0.580704,-0.598425,-0.012415,-0.185349,0.469321,0.045936,0.405964,-0.98614,-0.644042,0.629234,-0.46078,-0.490848,-0.111364,0.217808,-0.862687,-0.421812,-1.023553,0.162448,-0.460684,0.372081,0.595999,0.205187,0.411409,-0.061057,0.119447,-0.714834,0.579873,-0.836353,-0.013147,-0.436796,0.022622,0.621275,-0.438534,0.103649,-1.109028,0.340277,0.430872,-0.646695,1.08521,-1.16023,-0.681906,-0.077474,0.025414,-1.056044,-0.855911,0.87894,-1.127002,-0.131391,0.174559,-0.165641,0.630339,-0.202961,-0.101326,-0.31595,-0.051067,-0.569078,1.403522,-0.828411,-0.247128,0.532798,0.808919,-0.328382,0.047098,0.578478,1.305986,-0.012475,0.055779,-0.449253,0.891383,0.747258,-0.233068,0.46082,0.777951,0.613762,0.51515,0.027117,-0.56289,0.548825,0.099605,-0.194299,0.615225,-0.341706,0.948512,-0.112716,0.066954,1.21986,0.236778,0.215867,0.92444,0.140926,0.328208,-0.036042,0.794277,-0.426489,-0.345878,-1.053641,0.639034,-0.18053,0.821146,0.630763,0.462212,0.36728,-0.544138,0.634866,-0.657141,0.560993,0.070193,1
