@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute target {1,2}

@data
0.129044,0.137839,0.147166,0.157065,0.167693,0.178958,0.191108,0.203976,0.217154,0.229877,0.242115,0.254189,0.265785,0.277336,0.289237,0.301489,0.31383,0.325901,0.338997,0.352146,0.364459,0.375946,0.386626,0.396509,0.40603,0.4157,0.425627,0.435599,0.445853,0.457203,0.4691,0.481342,0.493419,0.503982,0.512918,0.520499,0.526745,0.531591,0.535136,0.537432,0.538714,0.538883,0.538212,0.53675,0.534671,0.532347,0.530009,0.527576,0.524979,0.522282,0.51937,0.51597,0.511769,0.50655,0.500209,0.49277,0.484377,0.475296,0.465323,0.454598,0.44335,0.431412,0.41945,0.407639,0.395329,0.382705,0.370125,0.357228,0.343907,0.330216,0.316283,0.301918,0.287133,0.272458,0.257708,0.243075,0.228806,0.214841,0.201426,0.188219,0.175011,0.161553,0.148022,0.134684,0.121591,1
0.147113,0.155529,0.16423,0.172732,0.181722,0.192124,0.203629,0.215152,0.227071,0.239296,0.251407,0.26326,0.27483,0.286929,0.299042,0.310481,0.322568,0.335531,0.348051,0.361089,0.373754,0.384795,0.394392,0.403548,0.412882,0.422081,0.431636,0.441648,0.451689,0.46244,0.474286,0.486772,0.499222,0.510414,0.519388,0.526987,0.533522,0.538683,0.542598,0.544801,0.545604,0.545372,0.544195,0.542141,0.5394,0.536026,0.532385,0.52851,0.524499,0.520292,0.515784,0.511142,0.506025,0.500213,0.493615,0.486113,0.477848,0.468867,0.45914,0.449011,0.438389,0.427283,0.415773,0.40394,0.392053,0.379969,0.367494,0.355121,0.342616,0.329583,0.316305,0.30263,0.288683,0.274468,0.260352,0.246598,0.232833,0.219529,0.206712,0.1937,0.180744,0.167681,0.154197,0.141019,0.128175,1
0.137159,0.145384,0.154014,0.162832,0.172509,0.183504,0.195192,0.207738,0.220946,0.233933,0.245804,0.257013,0.268334,0.279887,0.292072,0.304454,0.317395,0.330031,0.342391,0.355086,0.367334,0.378758,0.388644,0.397789,0.40696,0.415887,0.424463,0.433343,0.442919,0.453506,0.465064,0.476823,0.487949,0.497732,0.506068,0.513144,0.518984,0.523441,0.526744,0.528985,0.530143,0.530334,0.529838,0.528625,0.526792,0.524486,0.522213,0.520133,0.518037,0.51574,0.51303,0.509807,0.505833,0.500987,0.494836,0.487523,0.479051,0.469179,0.458485,0.447402,0.435957,0.424095,0.411982,0.399453,0.386762,0.374044,0.360946,0.347411,0.333625,0.319767,0.305474,0.290908,0.275958,0.260555,0.245015,0.229541,0.214548,0.200266,0.186299,0.172365,0.158473,0.144549,0.130648,0.116888,0.103276,1
0.128754,0.13715,0.145928,0.15528,0.165135,0.175438,0.187082,0.199286,0.211476,0.224561,0.237931,0.250442,0.262317,0.274164,0.286213,0.298699,0.31114,0.323923,0.337012,0.350253,0.363663,0.375799,0.38644,0.396402,0.405896,0.415283,0.42503,0.434962,0.444976,0.455526,0.467526,0.479941,0.491597,0.501585,0.510309,0.51797,0.52426,0.529204,0.532656,0.534697,0.535678,0.535604,0.534671,0.532847,0.530203,0.526972,0.523487,0.520099,0.516756,0.513313,0.509633,0.505397,0.500437,0.494798,0.488249,0.480936,0.472904,0.463876,0.454253,0.444188,0.433441,0.422257,0.410997,0.399819,0.388184,0.376115,0.363745,0.350932,0.338176,0.325475,0.312166,0.298452,0.284742,0.270875,0.257202,0.243507,0.22989,0.216422,0.203175,0.189908,0.176506,0.163201,0.149956,0.136848,0.124162,1
0.133823,0.143134,0.152955,0.16363,0.174839,0.186906,0.199902,0.212803,0.225855,0.238903,0.251184,0.263029,0.274644,0.286705,0.299295,0.311787,0.324642,0.337639,0.350899,0.363872,0.375987,0.387347,0.397623,0.407279,0.416412,0.42527,0.434095,0.443288,0.453383,0.464076,0.47573,0.487801,0.498649,0.507996,0.515829,0.522177,0.527265,0.53126,0.534178,0.535835,0.536507,0.536297,0.535412,0.533772,0.531511,0.528946,0.526383,0.523885,0.521374,0.518841,0.516115,0.512987,0.509116,0.504171,0.498013,0.490776,0.482389,0.473019,0.462854,0.451892,0.440491,0.429006,0.417103,0.404826,0.392495,0.379718,0.366726,0.353731,0.340242,0.326527,0.312638,0.29793,0.282984,0.268519,0.253668,0.238831,0.22441,0.210463,0.197466,0.184844,0.171884,0.158308,0.14478,0.131441,0.11867,1
0.16177,0.168396,0.175464,0.183111,0.191297,0.200048,0.209876,0.220566,0.231547,0.24293,0.254446,0.265578,0.276056,0.286648,0.29829,0.30974,0.32127,0.33338,0.346246,0.359327,0.371695,0.383368,0.394153,0.404426,0.414238,0.423759,0.433604,0.443878,0.454229,0.464858,0.476845,0.489489,0.501403,0.512244,0.521982,0.530492,0.537734,0.543484,0.547568,0.550175,0.551645,0.551638,0.550587,0.548607,0.545814,0.542496,0.538814,0.5349,0.530983,0.527126,0.523001,0.518555,0.513528,0.507616,0.500829,0.492829,0.483705,0.474245,0.464236,0.453347,0.441955,0.43022,0.418071,0.405629,0.392985,0.38086,0.368545,0.355592,0.342571,0.329357,0.315564,0.301179,0.286906,0.272704,0.258573,0.24409,0.229556,0.215492,0.201466,0.187717,0.174205,0.160894,0.147148,0.13281,0.11871,1
0.130287,0.13904,0.148672,0.158135,0.168284,0.179583,0.191456,0.204037,0.217033,0.229693,0.242045,0.254503,0.266466,0.278297,0.290514,0.302582,0.31473,0.327408,0.340801,0.353749,0.365857,0.376856,0.38683,0.396243,0.404987,0.413556,0.422773,0.432452,0.442354,0.452678,0.464451,0.476916,0.488604,0.498767,0.507175,0.514144,0.519685,0.523969,0.527072,0.52898,0.5299,0.529711,0.528603,0.526691,0.524221,0.521362,0.518285,0.51522,0.51208,0.508761,0.505302,0.501315,0.49652,0.490948,0.48437,0.476866,0.468432,0.459068,0.448916,0.438368,0.427407,0.415913,0.404328,0.392677,0.380589,0.368117,0.355676,0.34285,0.32945,0.315246,0.300553,0.286066,0.271205,0.256195,0.241404,0.226782,0.212446,0.198676,0.185578,0.17275,0.159778,0.146687,0.133164,0.119458,0.106547,1
0.116463,0.12454,0.132628,0.141504,0.151296,0.161951,0.173941,0.186622,0.199879,0.213379,0.226159,0.238564,0.25086,0.263022,0.275533,0.288065,0.300693,0.313395,0.326569,0.339687,0.351864,0.363982,0.374859,0.384697,0.394496,0.40344,0.412744,0.422997,0.433071,0.443512,0.455747,0.468659,0.480488,0.491016,0.500088,0.507808,0.51455,0.519852,0.523846,0.526537,0.528157,0.528608,0.528154,0.526864,0.524902,0.522561,0.520084,0.51768,0.515359,0.513013,0.510382,0.507347,0.503556,0.498796,0.492951,0.486076,0.478036,0.468847,0.459184,0.448991,0.438028,0.426752,0.415462,0.404337,0.392941,0.381011,0.368723,0.35605,0.343091,0.329748,0.316275,0.302818,0.289063,0.275129,0.261558,0.248237,0.234725,0.221155,0.207963,0.194898,0.182105,0.169246,0.155923,0.142847,0.130117,1
0.14439,0.153598,0.163412,0.173578,0.184315,0.195674,0.207735,0.220332,0.233272,0.245772,0.257438,0.26937,0.281701,0.293728,0.305433,0.317195,0.328936,0.340793,0.353903,0.366975,0.378974,0.389875,0.399224,0.407753,0.416078,0.424365,0.433008,0.442377,0.45229,0.463388,0.476403,0.488672,0.500155,0.510423,0.518603,0.525162,0.530454,0.534477,0.537183,0.538529,0.538751,0.537952,0.536385,0.533854,0.530496,0.526508,0.522005,0.517385,0.512718,0.507738,0.502559,0.497167,0.491045,0.484258,0.477014,0.469087,0.460487,0.451147,0.441117,0.430612,0.419778,0.408779,0.39725,0.385308,0.373169,0.360655,0.347879,0.334849,0.321662,0.307875,0.293998,0.280127,0.265729,0.251536,0.237163,0.222781,0.209558,0.19667,0.183825,0.170915,0.157751,0.144414,0.131076,0.118638,0.106446,1
0.132287,0.141827,0.151204,0.161153,0.172348,0.184447,0.197405,0.210501,0.223964,0.237615,0.250386,0.262739,0.274951,0.286996,0.299552,0.312515,0.325491,0.338508,0.351521,0.364598,0.376881,0.387826,0.3978,0.407128,0.416026,0.424602,0.433795,0.443677,0.453907,0.465088,0.477514,0.489927,0.50155,0.512011,0.52095,0.528571,0.53488,0.539657,0.543007,0.545059,0.54598,0.545795,0.544781,0.542977,0.540639,0.5379,0.534859,0.531622,0.528495,0.525556,0.522322,0.51842,0.513653,0.508196,0.501808,0.494278,0.485988,0.476878,0.466706,0.455698,0.444597,0.433711,0.422395,0.410593,0.398361,0.385739,0.37331,0.360617,0.347337,0.333967,0.320597,0.306803,0.292498,0.278281,0.264145,0.250041,0.236345,0.222876,0.209599,0.196823,0.183886,0.170473,0.156826,0.143451,0.130537,1
