@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute target {1,2}

@data
0.263124,0.265167,0.266046,0.265864,0.264905,0.263625,0.262281,0.261102,0.260172,0.259477,0.259012,0.258665,0.258454,0.258351,0.258328,0.258301,0.25827,0.258273,0.258301,0.258388,0.258569,0.258775,0.259027,0.259298,0.259572,0.25984,0.260105,0.26035,0.260602,0.260832,0.261045,0.261273,0.261479,0.261674,0.261843,0.262019,0.262194,0.262354,0.262496,0.262618,0.262722,0.262794,0.262875,0.262954,2
0.272273,0.270697,0.269119,0.26761,0.266194,0.264946,0.263831,0.262781,0.261898,0.261086,0.260383,0.259763,0.259213,0.258714,0.258314,0.257937,0.257615,0.257314,0.257045,0.25677,0.256474,0.256164,0.255824,0.255481,0.25514,0.254797,0.254467,0.254157,0.25386,0.253563,0.253266,0.252961,0.252658,0.252353,0.252033,0.251692,0.251349,0.250996,0.250625,0.250273,0.24992,0.249565,0.249216,0.248879,2
0.263015,0.26562,0.267911,0.269967,0.271975,0.27383,0.27546,0.276818,0.277987,0.279141,0.280341,0.281604,0.283079,0.284771,0.286686,0.288817,0.291083,0.293318,0.295359,0.297111,0.298506,0.299629,0.300466,0.301119,0.301565,0.301912,0.302192,0.302479,0.302797,0.303131,0.303534,0.30397,0.304367,0.30479,0.305233,0.305723,0.306254,0.306731,0.306871,0.306503,0.305904,0.305252,0.304514,0.303825,1
0.274227,0.276317,0.27831,0.28024,0.282073,0.283854,0.285626,0.287414,0.289209,0.290978,0.292755,0.294475,0.296093,0.297534,0.298699,0.299513,0.299931,0.300027,0.299807,0.299421,0.298989,0.298548,0.298126,0.297716,0.297364,0.297068,0.29683,0.296706,0.296683,0.296726,0.296861,0.296933,0.296735,0.296073,0.294945,0.293573,0.292084,0.290533,0.289064,0.287666,0.286349,0.285043,0.283638,0.28208,1
0.241559,0.241866,0.242391,0.243096,0.243837,0.244549,0.245123,0.245569,0.245865,0.245998,0.246012,0.24595,0.245821,0.245673,0.245507,0.245371,0.245227,0.245086,0.244913,0.244753,0.244568,0.244342,0.2441,0.243854,0.243569,0.243258,0.242896,0.2425,0.24206,0.241568,0.241018,0.240445,0.239778,0.239099,0.238398,0.237687,0.236968,0.236235,0.235524,0.234775,0.234048,0.233279,0.232536,0.231806,2
0.285241,0.28286,0.280617,0.278497,0.276545,0.274775,0.273211,0.271853,0.270586,0.269395,0.26829,0.267283,0.2663,0.265333,0.264438,0.263572,0.262762,0.26199,0.261263,0.260569,0.259919,0.25927,0.258622,0.257989,0.257304,0.256628,0.255942,0.255184,0.254403,0.253605,0.252778,0.251989,0.25117,0.250316,0.249455,0.248622,0.247813,0.24699,0.246161,0.245311,0.244505,0.24368,0.242803,0.241929,2
0.292792,0.311881,0.33093,0.349867,0.368627,0.387024,0.404925,0.422263,0.438649,0.453909,0.467817,0.480186,0.490761,0.499401,0.506211,0.511077,0.514311,0.516147,0.516773,0.516493,0.515926,0.515137,0.514269,0.513315,0.512157,0.510416,0.507631,0.503203,0.496526,0.487583,0.47619,0.462498,0.446805,0.429615,0.411392,0.392495,0.37317,0.353518,0.333718,0.31377,0.293798,0.273691,0.253614,0.233425,2
-0.159672,-0.135686,-0.111693,-0.08768,-0.063642,-0.039602,-0.015566,0.008519,0.032578,0.056682,0.080791,0.104914,0.129048,0.153168,0.177361,0.201546,0.225807,0.250072,0.274348,0.298631,0.322901,0.347214,0.371547,0.395814,0.419846,0.443455,0.466033,0.487009,0.506123,0.522838,0.536918,0.548074,0.556425,0.561867,0.564843,0.565535,0.564185,0.560997,0.556008,0.549231,0.540697,0.530125,0.517469,0.502857,2
0.424095,0.423991,0.423612,0.423165,0.422727,0.422327,0.422102,0.422013,0.422004,0.422065,0.422213,0.422378,0.422537,0.422738,0.422916,0.423122,0.423323,0.423552,0.423431,0.422819,0.421168,0.417856,0.412416,0.404762,0.394697,0.382263,0.367738,0.351409,0.333733,0.314917,0.295591,0.275771,0.255786,0.235834,0.215753,0.195777,0.175853,0.155982,0.136124,0.116278,0.096416,0.076584,0.056768,0.036977,2
0.336657,0.349014,0.360292,0.370519,0.379802,0.388075,0.395485,0.40194,0.407662,0.412667,0.417064,0.420902,0.424443,0.427798,0.431054,0.434205,0.437128,0.439737,0.441688,0.442993,0.443516,0.443487,0.443101,0.4425,0.441768,0.440985,0.439909,0.438415,0.436495,0.434221,0.431579,0.428392,0.424571,0.420094,0.414758,0.408331,0.400977,0.392426,0.382639,0.371677,0.359094,0.345159,0.329741,0.313265,1
