@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute target {1,2}

@data
0.101953,0.092942,0.083877,0.074857,0.065937,0.057183,0.048596,0.040219,0.032062,0.024171,0.016509,0.009032,0.001666,-0.005655,-0.012913,-0.020124,-0.027354,-0.034586,-0.041822,-0.049075,-0.056313,-0.063417,-0.070332,-0.077031,-0.083509,-0.089743,-0.095815,-0.101687,-0.107359,-0.112896,-0.118352,-0.123757,-0.129105,-0.134443,-0.139751,-0.145054,-0.150236,-0.155191,-0.159912,-0.164415,-0.168701,-0.17275,-0.176508,-0.18004,-0.183424,-0.186614,-0.18958,-0.192314,-0.194865,-0.197288,-0.199654,-0.201988,-0.20425,-0.206428,-0.208395,-0.210074,-0.211475,-0.212681,-0.213648,-0.214314,-0.21465,-0.214661,-0.214371,-0.2139,-0.213464,-0.213168,-0.212897,-0.212564,-0.212187,-0.211798,-0.211385,-0.21105,-0.210798,-0.210549,-0.210291,-0.210019,-0.209732,-0.20948,-0.209299,-0.209226,-0.209233,-0.209317,-0.209454,-0.20963,-0.209803,-0.209949,-0.209994,-0.209871,-0.209692,-0.209455,-0.209136,-0.208736,-0.208374,-0.208041,-0.207687,-0.207203,-0.206444,-0.20537,-0.20409,-0.202676,-0.201149,-0.199388,-0.197319,-0.195003,-0.192483,-0.189828,-0.186969,-0.183881,-0.180588,-0.17712,-0.173364,-0.169352,-0.165204,-0.160959,-0.15669,-0.152279,-0.14761,-0.142659,-0.137453,-0.132024,-0.126376,-0.12046,-0.114247,-0.107713,-0.100871,-0.093792,-0.086534,-0.079165,-0.071655,-0.063894,-0.055888,-0.04776,-0.039597,-0.031481,-0.023418,-0.01542,-0.007445,0.000486,0.008379,0.016185,0.023928,0.031648,0.03934,0.046978,0.054524,0.062013,0.069465,0.076824,0.084064,0.09115,0.098174,0.105172,0.112137,1
0.09711,0.089995,0.082787,0.075505,0.068135,0.06066,0.053114,0.045599,0.038201,0.030936,0.023833,0.016909,0.010154,0.00347,-0.00318,-0.009817,-0.016447,-0.023076,-0.029576,-0.035835,-0.041868,-0.047627,-0.053128,-0.058427,-0.063499,-0.068475,-0.073399,-0.078332,-0.083223,-0.088083,-0.092929,-0.097751,-0.102503,-0.10723,-0.11176,-0.116034,-0.120006,-0.123701,-0.127096,-0.130264,-0.133297,-0.136247,-0.139145,-0.141905,-0.144605,-0.147124,-0.149435,-0.151616,-0.153661,-0.155525,-0.157242,-0.158832,-0.160353,-0.161831,-0.163305,-0.164733,-0.16609,-0.167223,-0.168097,-0.168677,-0.168928,-0.168798,-0.168331,-0.167589,-0.166581,-0.16533,-0.163915,-0.162384,-0.160709,-0.15892,-0.15692,-0.154621,-0.152056,-0.149404,-0.146721,-0.144087,-0.14158,-0.139103,-0.136662,-0.134224,-0.131892,-0.129637,-0.127528,-0.125565,-0.123748,-0.12206,-0.120368,-0.11868,-0.116974,-0.11526,-0.11356,-0.111849,-0.110132,-0.108427,-0.106731,-0.105142,-0.103598,-0.10207,-0.100555,-0.09909,-0.0976,-0.096087,-0.094565,-0.093035,-0.091479,-0.089925,-0.088348,-0.086767,-0.08515,-0.083487,-0.081749,-0.079867,-0.077829,-0.075694,-0.073388,-0.070841,-0.068154,-0.065426,-0.062502,-0.059363,-0.056016,-0.052365,-0.048426,-0.044386,-0.040283,-0.035964,-0.031423,-0.026704,-0.021829,-0.016833,-0.011737,-0.006508,-0.001117,0.004412,0.010079,0.015885,0.021832,0.027999,0.034297,0.04068,0.04718,0.053775,0.060517,0.067436,0.074536,0.081798,0.089247,0.096865,0.104516,0.112095,0.119673,0.127227,0.134702,1
0.102759,0.095295,0.087797,0.080254,0.072667,0.065061,0.057417,0.049752,0.042089,0.034428,0.02677,0.019142,0.011587,0.004217,-0.002919,-0.009808,-0.016426,-0.02286,-0.029171,-0.035457,-0.041706,-0.047934,-0.054127,-0.060264,-0.066334,-0.072307,-0.078155,-0.08386,-0.089484,-0.095071,-0.10067,-0.1063,-0.111956,-0.1176,-0.123214,-0.128714,-0.13401,-0.139038,-0.143816,-0.148302,-0.152514,-0.156451,-0.160165,-0.16369,-0.167004,-0.170089,-0.172958,-0.175628,-0.178125,-0.180447,-0.182654,-0.184762,-0.186765,-0.188607,-0.190235,-0.191643,-0.192796,-0.19371,-0.194406,-0.194918,-0.195326,-0.19565,-0.195864,-0.196,-0.196014,-0.195805,-0.195356,-0.19466,-0.19372,-0.192518,-0.191093,-0.189476,-0.187695,-0.185718,-0.183675,-0.181653,-0.179683,-0.177806,-0.176144,-0.174606,-0.173148,-0.17174,-0.170342,-0.168934,-0.167521,-0.166125,-0.16475,-0.163392,-0.162057,-0.160771,-0.159555,-0.158451,-0.157486,-0.156641,-0.155868,-0.155133,-0.154356,-0.153539,-0.152678,-0.151752,-0.150719,-0.149554,-0.148231,-0.146728,-0.145045,-0.143246,-0.141289,-0.139126,-0.13676,-0.134187,-0.131391,-0.128407,-0.125222,-0.121826,-0.11824,-0.114444,-0.110424,-0.106234,-0.101899,-0.097386,-0.092666,-0.087743,-0.082618,-0.077196,-0.07153,-0.065662,-0.059596,-0.0533,-0.046788,-0.040092,-0.033229,-0.026246,-0.019168,-0.011998,-0.004737,0.00261,0.010021,0.017499,0.025064,0.03274,0.040574,0.048596,0.056727,0.064868,0.072993,0.081091,0.089121,0.097073,0.104924,0.112658,0.120258,0.127757,0.135176,2
0.079947,0.071826,0.063719,0.055524,0.047272,0.038972,0.030614,0.02225,0.013858,0.005529,-0.002604,-0.010505,-0.018163,-0.025599,-0.032889,-0.040166,-0.047469,-0.054775,-0.062113,-0.069382,-0.076479,-0.083421,-0.090244,-0.097014,-0.103714,-0.110385,-0.117002,-0.1236,-0.130156,-0.136704,-0.143247,-0.149739,-0.156035,-0.162019,-0.167711,-0.173129,-0.178273,-0.183159,-0.187847,-0.192413,-0.196941,-0.201375,-0.205664,-0.209736,-0.213535,-0.217075,-0.220424,-0.223626,-0.226635,-0.229528,-0.232342,-0.235074,-0.237781,-0.240424,-0.242925,-0.245168,-0.247081,-0.248707,-0.250141,-0.2515,-0.25279,-0.253977,-0.254983,-0.255917,-0.256803,-0.257703,-0.258644,-0.259608,-0.260614,-0.26163,-0.262705,-0.263839,-0.264968,-0.266122,-0.267294,-0.268465,-0.269621,-0.270776,-0.27191,-0.273045,-0.274173,-0.275259,-0.27621,-0.276882,-0.277417,-0.277807,-0.278029,-0.278117,-0.277999,-0.277751,-0.277315,-0.276584,-0.275722,-0.27473,-0.273575,-0.272244,-0.270738,-0.268948,-0.266972,-0.264848,-0.262559,-0.26006,-0.257364,-0.254467,-0.251355,-0.247928,-0.244216,-0.240275,-0.236069,-0.231577,-0.226806,-0.221797,-0.216558,-0.211144,-0.205666,-0.20008,-0.194344,-0.188446,-0.182386,-0.176083,-0.169562,-0.162855,-0.155982,-0.148986,-0.141881,-0.134634,-0.127188,-0.119631,-0.112022,-0.104413,-0.096822,-0.089259,-0.081694,-0.074124,-0.066592,-0.059006,-0.051293,-0.04341,-0.035359,-0.027161,-0.018935,-0.010804,-0.00286,0.004978,0.012818,0.020792,0.028861,0.036999,0.045084,0.05314,0.061127,0.069048,0.076907,1
0.093249,0.086719,0.080291,0.073879,0.067428,0.060941,0.054446,0.047963,0.041429,0.034774,0.027905,0.020905,0.013812,0.006678,-0.00043,-0.007527,-0.014653,-0.021798,-0.028928,-0.035894,-0.042626,-0.049156,-0.055515,-0.061617,-0.06756,-0.073382,-0.079154,-0.084876,-0.090574,-0.096284,-0.101941,-0.107534,-0.112927,-0.118068,-0.122934,-0.127613,-0.132161,-0.13661,-0.141077,-0.145533,-0.149968,-0.154336,-0.158655,-0.162958,-0.167245,-0.171461,-0.17562,-0.179635,-0.183445,-0.187015,-0.190341,-0.193362,-0.196107,-0.198675,-0.201137,-0.203549,-0.205894,-0.208058,-0.20994,-0.211569,-0.212899,-0.214011,-0.214935,-0.215697,-0.216322,-0.216717,-0.216861,-0.216796,-0.216467,-0.216047,-0.215514,-0.214761,-0.213884,-0.212767,-0.211405,-0.209839,-0.207953,-0.2058,-0.203454,-0.201057,-0.198625,-0.196176,-0.193793,-0.191511,-0.189263,-0.187,-0.184757,-0.182521,-0.180271,-0.178054,-0.175875,-0.173791,-0.171811,-0.169943,-0.168143,-0.166423,-0.164746,-0.163062,-0.161351,-0.159629,-0.157896,-0.156147,-0.154394,-0.152623,-0.150942,-0.14935,-0.147849,-0.146316,-0.144691,-0.142924,-0.140933,-0.138686,-0.1362,-0.13341,-0.130375,-0.12718,-0.123764,-0.120097,-0.116191,-0.112078,-0.107755,-0.103367,-0.098996,-0.094507,-0.089831,-0.085016,-0.079978,-0.07472,-0.069301,-0.063761,-0.058071,-0.052227,-0.046241,-0.040071,-0.033743,-0.027216,-0.020554,-0.013735,-0.006741,0.000435,0.007765,0.015137,0.022578,0.030087,0.037718,0.045554,0.053575,0.061788,0.070157,0.078685,0.087405,0.096241,0.10517,1
0.122528,0.114295,0.106043,0.097769,0.089461,0.081116,0.072712,0.064282,0.055843,0.047465,0.03925,0.031213,0.02336,0.015653,0.008109,0.000715,-0.006554,-0.013779,-0.020958,-0.028141,-0.035286,-0.04242,-0.049552,-0.056663,-0.063681,-0.070478,-0.077084,-0.083475,-0.089638,-0.09568,-0.101589,-0.107426,-0.113201,-0.118924,-0.124631,-0.130258,-0.135713,-0.140974,-0.146023,-0.150803,-0.155446,-0.159932,-0.164239,-0.168471,-0.172646,-0.176763,-0.180802,-0.184682,-0.188375,-0.191836,-0.19504,-0.198008,-0.200753,-0.203282,-0.205594,-0.207698,-0.209678,-0.211551,-0.213275,-0.214737,-0.215953,-0.216921,-0.217616,-0.218107,-0.218445,-0.218666,-0.218819,-0.218845,-0.218651,-0.218264,-0.217693,-0.216943,-0.215969,-0.214807,-0.213451,-0.211874,-0.210086,-0.208248,-0.206552,-0.205002,-0.203484,-0.201945,-0.20041,-0.198851,-0.197263,-0.195704,-0.194163,-0.192679,-0.19123,-0.189758,-0.188285,-0.186789,-0.185285,-0.183828,-0.18246,-0.181207,-0.180091,-0.179037,-0.177951,-0.176842,-0.175623,-0.174264,-0.172756,-0.171154,-0.169411,-0.167559,-0.165568,-0.163384,-0.161017,-0.15846,-0.155708,-0.152781,-0.149657,-0.146381,-0.142966,-0.139395,-0.135662,-0.131797,-0.127729,-0.123357,-0.118742,-0.113956,-0.10901,-0.103912,-0.098637,-0.093188,-0.087564,-0.081763,-0.075766,-0.069592,-0.063271,-0.05682,-0.05025,-0.043556,-0.036808,-0.029999,-0.023066,-0.016036,-0.008902,-0.001618,0.005828,0.013429,0.021197,0.029135,0.03724,0.045431,0.053639,0.061863,0.070083,0.078282,0.086474,0.094621,0.102723,2
0.037518,0.030721,0.023826,0.016935,0.010098,0.00326,-0.003598,-0.010487,-0.017413,-0.024329,-0.031222,-0.038066,-0.044829,-0.051401,-0.057759,-0.063922,-0.069899,-0.075797,-0.081687,-0.087555,-0.093374,-0.099129,-0.104794,-0.110304,-0.11569,-0.120923,-0.126029,-0.131027,-0.135861,-0.140601,-0.145238,-0.14981,-0.154296,-0.158647,-0.162885,-0.166984,-0.17094,-0.174721,-0.17837,-0.181908,-0.185376,-0.188677,-0.19183,-0.194809,-0.197656,-0.200368,-0.202913,-0.205263,-0.207372,-0.209225,-0.210815,-0.212124,-0.213198,-0.214079,-0.214784,-0.215282,-0.215566,-0.215623,-0.215439,-0.214972,-0.21423,-0.213176,-0.211869,-0.210275,-0.208419,-0.206264,-0.203808,-0.201174,-0.198324,-0.195339,-0.19234,-0.189344,-0.186338,-0.183339,-0.180377,-0.177487,-0.174601,-0.171683,-0.168711,-0.165693,-0.162678,-0.159695,-0.156713,-0.153715,-0.150808,-0.148034,-0.145402,-0.142806,-0.140209,-0.137599,-0.134956,-0.132315,-0.129655,-0.127064,-0.124491,-0.121933,-0.11938,-0.116748,-0.113985,-0.111085,-0.10801,-0.104772,-0.101374,-0.097815,-0.094157,-0.090359,-0.086418,-0.082288,-0.077923,-0.07344,-0.068852,-0.064132,-0.059309,-0.054401,-0.049459,-0.044404,-0.039257,-0.033916,-0.028381,-0.022771,-0.017064,-0.01133,-0.005526,0.000364,0.006361,0.012509,0.018813,0.02525,0.0318,0.03852,0.045433,0.052534,0.059768,0.067195,0.074749,0.082338,0.08998,0.097624,0.105276,0.112979,0.120737,0.128583,0.136536,0.144629,0.152859,0.1611,0.169195,0.177189,0.185115,0.192997,0.200889,0.208761,0.216562,1
0.118564,0.111029,0.103539,0.096007,0.088494,0.080995,0.073485,0.065967,0.058447,0.0509,0.043333,0.035734,0.028118,0.020489,0.01289,0.00533,-0.002205,-0.009584,-0.016742,-0.023718,-0.030494,-0.03716,-0.043734,-0.050202,-0.056655,-0.063056,-0.069438,-0.075816,-0.082254,-0.088626,-0.094855,-0.100878,-0.106774,-0.112531,-0.118168,-0.123682,-0.129092,-0.13439,-0.139604,-0.144769,-0.149915,-0.155044,-0.160135,-0.165224,-0.170255,-0.175184,-0.179875,-0.184326,-0.188535,-0.192503,-0.19621,-0.199675,-0.202896,-0.205872,-0.208636,-0.211165,-0.213496,-0.215623,-0.217571,-0.219343,-0.220909,-0.222289,-0.223473,-0.224527,-0.225428,-0.226118,-0.226579,-0.226795,-0.226769,-0.226532,-0.226091,-0.225502,-0.224801,-0.224058,-0.223227,-0.222248,-0.22119,-0.220106,-0.218997,-0.217872,-0.216734,-0.215592,-0.214453,-0.21332,-0.21223,-0.211117,-0.210006,-0.208909,-0.207856,-0.206865,-0.205944,-0.205079,-0.204245,-0.203413,-0.202452,-0.201334,-0.200092,-0.198662,-0.197016,-0.195198,-0.193198,-0.191068,-0.18881,-0.186454,-0.183973,-0.181364,-0.1787,-0.176058,-0.173373,-0.170505,-0.16745,-0.16418,-0.160752,-0.157115,-0.153264,-0.149208,-0.144892,-0.140335,-0.135546,-0.130553,-0.125379,-0.120019,-0.114574,-0.109016,-0.103311,-0.097338,-0.09112,-0.084704,-0.078101,-0.071285,-0.064291,-0.057138,-0.049844,-0.042414,-0.034825,-0.027155,-0.019428,-0.011653,-0.003864,0.003954,0.011783,0.019619,0.027439,0.035212,0.042961,0.050694,0.05838,0.066045,0.073745,0.081418,0.089081,0.096729,0.104338,1
0.090299,0.083056,0.075727,0.068325,0.060863,0.053338,0.045778,0.038187,0.030582,0.023178,0.016035,0.009109,0.002394,-0.004117,-0.010465,-0.01669,-0.022849,-0.028958,-0.035033,-0.041061,-0.047067,-0.053021,-0.058931,-0.06479,-0.070492,-0.075986,-0.081279,-0.086354,-0.09125,-0.096044,-0.100774,-0.105418,-0.109959,-0.114413,-0.118771,-0.123024,-0.127148,-0.131155,-0.135011,-0.138742,-0.142436,-0.146106,-0.149719,-0.153288,-0.156798,-0.160295,-0.163796,-0.167183,-0.170312,-0.173173,-0.175749,-0.178058,-0.180105,-0.181892,-0.18345,-0.184825,-0.186065,-0.18724,-0.188384,-0.189312,-0.190011,-0.190496,-0.19078,-0.190881,-0.190727,-0.190331,-0.189672,-0.188758,-0.187577,-0.186126,-0.184468,-0.182647,-0.180694,-0.178641,-0.176465,-0.174126,-0.17156,-0.168797,-0.165994,-0.163189,-0.160378,-0.157603,-0.154882,-0.15221,-0.14962,-0.147106,-0.144665,-0.14229,-0.139973,-0.137637,-0.135293,-0.132969,-0.130695,-0.128442,-0.126194,-0.123958,-0.12174,-0.119519,-0.117297,-0.115077,-0.112869,-0.110658,-0.108406,-0.106171,-0.104007,-0.101896,-0.099761,-0.097571,-0.095426,-0.093265,-0.091082,-0.088883,-0.086659,-0.084374,-0.082059,-0.079668,-0.077134,-0.074445,-0.07156,-0.068536,-0.06534,-0.062027,-0.058575,-0.054951,-0.051136,-0.047158,-0.043014,-0.03869,-0.034152,-0.029453,-0.024563,-0.019473,-0.014173,-0.008677,-0.003008,0.002805,0.008799,0.014991,0.021403,0.02802,0.034838,0.041812,0.048835,0.055931,0.063106,0.070402,0.077823,0.085381,0.093041,0.100806,0.108649,0.116567,0.124538,2
0.104084,0.096193,0.088212,0.080159,0.072045,0.06389,0.05569,0.047502,0.039312,0.031128,0.02296,0.014838,0.006853,-0.000985,-0.008616,-0.016057,-0.023361,-0.030576,-0.03772,-0.044799,-0.051827,-0.058816,-0.065748,-0.072597,-0.0793,-0.085818,-0.092152,-0.098313,-0.104282,-0.110073,-0.115661,-0.121126,-0.12648,-0.131756,-0.136921,-0.142041,-0.147119,-0.152172,-0.157222,-0.162288,-0.167373,-0.172384,-0.177206,-0.181796,-0.186101,-0.190157,-0.193963,-0.197493,-0.200741,-0.203752,-0.206482,-0.20893,-0.211097,-0.21299,-0.214647,-0.216059,-0.217227,-0.21813,-0.218752,-0.219052,-0.219047,-0.218783,-0.218228,-0.217455,-0.216509,-0.21539,-0.214166,-0.21286,-0.211496,-0.210016,-0.208436,-0.206709,-0.204932,-0.203261,-0.201657,-0.200034,-0.198399,-0.196766,-0.195112,-0.193445,-0.19176,-0.190072,-0.188482,-0.18701,-0.185665,-0.184444,-0.183381,-0.182383,-0.181369,-0.180356,-0.179341,-0.17832,-0.177299,-0.176235,-0.175158,-0.174083,-0.172982,-0.17185,-0.170688,-0.1695,-0.168295,-0.16708,-0.165836,-0.164427,-0.16284,-0.161053,-0.159072,-0.156837,-0.154374,-0.151689,-0.148779,-0.145699,-0.142528,-0.13923,-0.135745,-0.132006,-0.128026,-0.123776,-0.119308,-0.114695,-0.109957,-0.105098,-0.100075,-0.094899,-0.089599,-0.084202,-0.078659,-0.072871,-0.066835,-0.060543,-0.05406,-0.047371,-0.040514,-0.033521,-0.026464,-0.01936,-0.012243,-0.00513,0.001976,0.009121,0.016285,0.023449,0.030623,0.037788,0.044911,0.052025,0.059126,0.0662,0.073233,0.080217,0.087151,0.094091,0.101073,2
