@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute target {1,2,3,4,5,6}

@data
0.403798,0.394095,0.383339,0.369468,0.351732,0.329009,0.301758,0.270319,0.23538,0.197299,0.155205,0.111491,0.067727,0.023329,-0.020897,-0.06345,-0.102317,-0.136334,-0.167017,-0.193064,-0.214371,-0.231317,-0.244078,6
0.414426,0.402796,0.391471,0.37746,0.359404,0.337029,0.310217,0.27919,0.243615,0.204198,0.161184,0.118255,0.075947,0.033182,-0.011105,-0.057238,-0.101456,-0.142383,-0.178927,-0.211719,-0.240321,-0.264859,-0.284335,6
0.419692,0.407835,0.395012,0.379102,0.359346,0.335913,0.30793,0.276139,0.241428,0.203445,0.161681,0.120273,0.078775,0.036732,-0.006776,-0.050351,-0.090855,-0.128066,-0.161332,-0.190638,-0.216532,-0.238214,-0.255671,6
0.415042,0.402741,0.390984,0.377191,0.359596,0.337305,0.310673,0.279797,0.244074,0.205063,0.162083,0.118825,0.075854,0.033601,-0.009867,-0.054847,-0.097606,-0.13641,-0.171338,-0.202215,-0.22957,-0.25208,-0.270015,6
0.408567,0.397977,0.386338,0.371501,0.352647,0.329535,0.302426,0.271137,0.236118,0.197313,0.154453,0.110864,0.068028,0.024297,-0.020444,-0.064443,-0.105577,-0.143494,-0.176685,-0.20582,-0.23134,-0.252983,-0.270027,6
0.417237,0.405489,0.392916,0.377667,0.358657,0.335428,0.307977,0.27596,0.23999,0.199152,0.155579,0.112843,0.07119,0.028655,-0.015769,-0.059914,-0.101169,-0.138688,-0.171244,-0.199963,-0.224706,-0.24478,-0.260515,6
0.40907,0.398801,0.387705,0.373768,0.355788,0.333301,0.306746,0.275965,0.241065,0.202965,0.16082,0.118171,0.074575,0.030933,-0.013233,-0.056414,-0.097161,-0.133776,-0.165504,-0.192977,-0.216263,-0.235283,-0.250856,6
0.417846,0.40594,0.393215,0.378482,0.359752,0.336631,0.309289,0.277831,0.243116,0.204582,0.161762,0.118555,0.076519,0.034409,-0.009217,-0.052345,-0.09312,-0.130209,-0.163635,-0.193315,-0.219148,-0.240226,-0.256479,6
0.405291,0.395445,0.385139,0.372246,0.355646,0.334633,0.309114,0.278946,0.244203,0.205866,0.163869,0.120165,0.077203,0.033795,-0.010468,-0.055027,-0.096422,-0.13416,-0.167417,-0.196811,-0.221587,-0.241885,-0.258354,6
0.413987,0.402754,0.391356,0.377103,0.358887,0.336111,0.308357,0.276215,0.240666,0.202052,0.158767,0.115972,0.073462,0.029814,-0.014832,-0.058366,-0.09877,-0.135011,-0.167857,-0.196678,-0.220982,-0.241121,-0.257611,6
0.417482,0.404372,0.391555,0.37653,0.358275,0.335735,0.308587,0.277718,0.242621,0.2038,0.16083,0.116807,0.073699,0.030327,-0.014391,-0.059496,-0.101897,-0.140905,-0.176036,-0.207504,-0.235586,-0.259677,-0.279693,6
0.40234,0.392801,0.382108,0.368742,0.350926,0.328814,0.302772,0.272931,0.239151,0.201763,0.161471,0.118123,0.074254,0.030812,-0.013752,-0.057673,-0.099135,-0.135773,-0.168556,-0.198033,-0.223635,-0.244835,-0.261547,6
0.411958,0.400456,0.388594,0.373957,0.357634,0.337892,0.31381,0.28546,0.252495,0.214887,0.173314,0.12948,0.086616,0.044279,0.001305,-0.043044,-0.085678,-0.124831,-0.159009,-0.188908,-0.214573,-0.235913,-0.252908,6
0.409382,0.399064,0.387731,0.374542,0.357576,0.33647,0.310615,0.280124,0.245187,0.207341,0.166321,0.123194,0.080125,0.037356,-0.006425,-0.050322,-0.092697,-0.130894,-0.164604,-0.194594,-0.220387,-0.242461,-0.260007,6
0.417808,0.405468,0.392217,0.377555,0.359136,0.336383,0.308992,0.276864,0.240739,0.201344,0.159359,0.117308,0.074643,0.031281,-0.012223,-0.054257,-0.09274,-0.12738,-0.158309,-0.184884,-0.207278,-0.225251,-0.239349,6
0.419552,0.40702,0.394499,0.380386,0.362358,0.339907,0.312637,0.281192,0.245914,0.207427,0.165059,0.122465,0.080431,0.036592,-0.008597,-0.053003,-0.094966,-0.133976,-0.1694,-0.200835,-0.22828,-0.251379,-0.270165,6
0.40656,0.396744,0.385912,0.371713,0.353556,0.330863,0.304172,0.273186,0.237436,0.197641,0.154189,0.110438,0.067711,0.024186,-0.020861,-0.064814,-0.10555,-0.142906,-0.176495,-0.205964,-0.23064,-0.250778,-0.266188,6
0.413834,0.402501,0.3911,0.37675,0.359106,0.336826,0.31041,0.279009,0.242897,0.203351,0.160964,0.119295,0.077465,0.033742,-0.011694,-0.055603,-0.096992,-0.135001,-0.168681,-0.19835,-0.223698,-0.244816,-0.261463,6
0.401636,0.390002,0.378616,0.365204,0.348491,0.328239,0.303927,0.275339,0.242662,0.205679,0.16439,0.119341,0.071029,0.019592,-0.030419,-0.07989,-0.130591,-0.181957,-0.229817,-0.273819,-0.314148,-0.35041,-0.382462,6
0.405746,0.395617,0.385598,0.373404,0.357228,0.336313,0.310856,0.280819,0.247191,0.209778,0.167612,0.124307,0.080615,0.03758,-0.006978,-0.051791,-0.093716,-0.132339,-0.167369,-0.198435,-0.225537,-0.248157,-0.266693,6
0.418605,0.405446,0.392591,0.37711,0.359,0.336594,0.309769,0.278699,0.244209,0.206315,0.165109,0.122577,0.080431,0.038066,-0.005419,-0.04911,-0.089981,-0.127736,-0.160937,-0.190241,-0.215198,-0.235721,-0.252528,6
0.382573,0.367449,0.354533,0.341045,0.324729,0.306531,0.287014,0.265803,0.241441,0.211702,0.176618,0.138611,0.095969,0.051138,0.004421,-0.040914,-0.081157,-0.115957,-0.14287,-0.161784,-0.172936,-0.175893,-0.17294,3
0.40491,0.394481,0.382872,0.369155,0.351374,0.32908,0.302359,0.271123,0.235367,0.196098,0.152775,0.109708,0.066763,0.022446,-0.023614,-0.067642,-0.108347,-0.145077,-0.177846,-0.206766,-0.231337,-0.251625,-0.267082,6
0.40913,0.398542,0.387571,0.373438,0.35601,0.334294,0.307405,0.276275,0.240736,0.201736,0.158733,0.115455,0.072449,0.028465,-0.016578,-0.059265,-0.096927,-0.131313,-0.162198,-0.189523,-0.212283,-0.230457,-0.244373,6
0.401146,0.392335,0.382155,0.368679,0.35081,0.328543,0.301972,0.271372,0.236102,0.197761,0.154989,0.111409,0.068098,0.025086,-0.019125,-0.061353,-0.100712,-0.135114,-0.165553,-0.19155,-0.213199,-0.230175,-0.24244,6
0.408234,0.397923,0.386787,0.373133,0.355193,0.332817,0.305791,0.274513,0.239313,0.200966,0.158514,0.114587,0.071721,0.027874,-0.01773,-0.061826,-0.103278,-0.141024,-0.174365,-0.204076,-0.229642,-0.251088,-0.268021,6
0.402328,0.393081,0.382583,0.368951,0.351071,0.328761,0.301963,0.270943,0.235388,0.196573,0.153905,0.11047,0.06731,0.023307,-0.021626,-0.065464,-0.106077,-0.14354,-0.176988,-0.206791,-0.232345,-0.25321,-0.268757,6
