@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute target {1,2,3,4}

@data
0.20834,0.207559,0.206773,0.20598,0.205169,0.204339,0.203486,0.202611,0.201718,0.200809,0.199886,0.198953,0.198009,0.197049,0.196069,0.19507,0.194049,0.193003,0.191933,0.190841,0.189725,0.188584,0.187412,0.186205,0.184963,0.183692,0.182394,0.181071,0.179735,0.178392,0.177047,0.175708,0.174379,0.173063,0.171764,0.170473,0.169184,0.167908,0.166652,0.165422,0.16424,0.163117,0.162037,0.160996,0.159987,0.15898,0.157946,0.156879,0.155782,0.154666,0.153551,0.15245,0.151363,0.150288,0.149222,0.148169,0.147131,0.146116,0.145133,0.144191,0.143288,0.142416,0.141593,0.140821,0.140105,0.139461,0.138913,0.138428,0.138055,0.137741,0.137487,0.137289,0.137122,0.136997,0.136912,0.136905,0.137006,0.137278,0.137713,0.138367,0.139368,0.140797,0.142755,0.145465,0.149028,0.153473,0.159895,0.167366,0.175809,0.184917,0.194581,0.204127,0.213257,0.221274,0.228331,0.234209,0.23903,0.242332,0.244542,0.2459,0.246398,0.246395,0.246038,0.245346,0.244444,0.243329,0.24204,0.24063,0.239111,0.237494,0.235778,0.233986,0.232109,0.230154,0.228127,0.226025,0.223844,0.221601,0.219304,0.21696,0.214577,0.212166,0.209737,0.207306,0.204889,0.202497,0.200134,0.197799,0.195471,0.193127,0.190736,0.188278,0.185731,0.183081,0.18033,0.177487,0.174556,0.171547,0.168469,0.165333,0.162144,0.158896,0.155562,0.152106,0.148483,0.144646,0.140554,0.136181,0.131533,0.126638,0.121517,0.116172,0.11059,0.104789,0.098833,0.092806,0.086785,0.080845,0.075037,0.069384,0.063866,0.058402,0.052885,0.047212,0.041311,0.035177,0.028871,0.022503,0.016222,0.010168,1
0.21003,0.209274,0.208509,0.207734,0.206947,0.206144,0.20532,0.204474,0.203606,0.202719,0.201818,0.200906,0.199981,0.199041,0.198079,0.197095,0.196089,0.195061,0.19401,0.192931,0.191828,0.190698,0.189533,0.188335,0.187104,0.185841,0.184552,0.183244,0.181925,0.180597,0.17927,0.177947,0.176631,0.175324,0.174031,0.172748,0.171463,0.170188,0.168933,0.167706,0.166523,0.165396,0.16431,0.163259,0.162239,0.161218,0.160174,0.159099,0.157996,0.15687,0.155744,0.154634,0.153538,0.152452,0.151374,0.150307,0.14925,0.148214,0.147206,0.146239,0.14531,0.144406,0.143546,0.142737,0.141984,0.1413,0.140705,0.14017,0.139732,0.13934,0.138989,0.138675,0.13838,0.138119,0.137897,0.137757,0.137729,0.137883,0.138206,0.13875,0.139647,0.140983,0.142863,0.145514,0.149038,0.153454,0.159843,0.1673,0.175745,0.184843,0.194444,0.203892,0.213003,0.221005,0.22804,0.233914,0.238741,0.242048,0.244255,0.245609,0.246107,0.246102,0.245741,0.24504,0.244131,0.243013,0.24172,0.240303,0.23878,0.237159,0.235442,0.233649,0.231771,0.229816,0.227788,0.225684,0.223505,0.221262,0.218964,0.21662,0.214235,0.211816,0.209379,0.206938,0.204511,0.202106,0.199728,0.19737,0.195016,0.192641,0.19022,0.18773,0.185152,0.182478,0.179704,0.176837,0.173886,0.170857,0.167761,0.164606,0.161399,0.158134,0.154784,0.15132,0.147698,0.143863,0.139776,0.135416,0.130785,0.125903,0.12079,0.115444,0.109857,0.10405,0.098077,0.092021,0.085971,0.079989,0.074122,0.068407,0.062821,0.057295,0.051733,0.046028,0.040098,0.03394,0.027619,0.021247,0.014975,0.008922,1
0.209886,0.20912,0.208348,0.207566,0.206769,0.205952,0.205114,0.204255,0.203376,0.202479,0.201568,0.200649,0.199719,0.198772,0.197806,0.196818,0.195807,0.194774,0.193718,0.192637,0.191533,0.190399,0.189232,0.188032,0.186797,0.185533,0.184237,0.182919,0.181588,0.180246,0.178901,0.177565,0.176239,0.174924,0.173623,0.17233,0.171037,0.169751,0.168484,0.167243,0.166049,0.164917,0.163827,0.162779,0.161761,0.160742,0.159699,0.158623,0.157516,0.156391,0.155267,0.154152,0.153049,0.15196,0.150879,0.149815,0.148761,0.147728,0.146724,0.145761,0.144837,0.143943,0.143091,0.142287,0.141537,0.140857,0.140269,0.139734,0.139294,0.138901,0.138549,0.138233,0.137934,0.137666,0.137437,0.13729,0.137262,0.137424,0.137757,0.138312,0.139225,0.140575,0.142458,0.145101,0.148608,0.153005,0.1594,0.166847,0.175289,0.18439,0.194056,0.203585,0.212702,0.220726,0.227791,0.233678,0.238512,0.241816,0.244018,0.245371,0.245863,0.24585,0.245484,0.244784,0.243873,0.24275,0.241453,0.240032,0.238498,0.236867,0.235141,0.233337,0.231449,0.229483,0.227442,0.225326,0.223135,0.220881,0.218576,0.216224,0.21383,0.211405,0.208961,0.206516,0.204082,0.201674,0.199299,0.196949,0.194607,0.192244,0.189837,0.187363,0.184801,0.182135,0.179365,0.176502,0.173554,0.170526,0.167427,0.164268,0.161059,0.157789,0.154437,0.150968,0.147335,0.143486,0.139385,0.13501,0.130362,0.125462,0.120334,0.114981,0.109398,0.103594,0.097623,0.091578,0.085544,0.079588,0.073764,0.068096,0.062558,0.057074,0.051536,0.045847,0.039933,0.033779,0.027457,0.021084,0.014803,0.008745,1
0.206974,0.206241,0.205502,0.204749,0.203984,0.203202,0.202398,0.201572,0.200725,0.199861,0.198983,0.198095,0.197197,0.196283,0.195351,0.1944,0.193429,0.192434,0.191415,0.19037,0.1893,0.188205,0.187076,0.185908,0.184703,0.183471,0.182214,0.180931,0.179632,0.178326,0.177019,0.175721,0.174432,0.173152,0.171879,0.170614,0.169353,0.168104,0.166875,0.165668,0.164505,0.163409,0.162355,0.161338,0.160354,0.159373,0.158368,0.15733,0.156257,0.155166,0.154077,0.152997,0.151928,0.150874,0.149829,0.148797,0.147777,0.146779,0.145808,0.144877,0.143987,0.143128,0.142314,0.141552,0.140845,0.140201,0.139642,0.139137,0.138728,0.138371,0.138049,0.13776,0.13749,0.137252,0.137052,0.136937,0.13694,0.137135,0.137502,0.138091,0.139041,0.140426,0.142343,0.145019,0.148549,0.152938,0.159358,0.166838,0.17528,0.184372,0.194024,0.203526,0.212677,0.220742,0.227856,0.233783,0.238659,0.241994,0.244232,0.245617,0.246131,0.246145,0.245805,0.245128,0.24424,0.243136,0.241863,0.240466,0.238957,0.237352,0.235652,0.233874,0.232013,0.230075,0.228062,0.22597,0.2238,0.221571,0.219286,0.216957,0.214588,0.212188,0.209771,0.207351,0.204945,0.202565,0.200216,0.197894,0.195581,0.193252,0.190879,0.188435,0.185901,0.183265,0.180526,0.177691,0.174774,0.171781,0.168718,0.165598,0.162427,0.159197,0.155882,0.152445,0.14884,0.145022,0.140952,0.136603,0.131978,0.127106,0.122012,0.116689,0.111131,0.105361,0.099431,0.093425,0.087429,0.081516,0.075741,0.070126,0.064654,0.059246,0.053789,0.048171,0.042325,0.03625,0.029999,0.023681,0.017455,0.011449,1
0.208678,0.207926,0.207169,0.206401,0.205622,0.204826,0.204008,0.203168,0.20231,0.201435,0.200546,0.199645,0.198731,0.1978,0.196851,0.195884,0.194894,0.193879,0.192842,0.191782,0.190694,0.18958,0.188439,0.187262,0.186047,0.184801,0.183527,0.182234,0.180929,0.179614,0.1783,0.176993,0.175694,0.174404,0.173122,0.171848,0.170578,0.16932,0.168081,0.166868,0.165702,0.164597,0.163532,0.162501,0.161502,0.160505,0.159486,0.158435,0.157353,0.156249,0.155145,0.154051,0.152967,0.151897,0.150834,0.149784,0.148743,0.147723,0.14673,0.145774,0.144856,0.143965,0.143119,0.142327,0.141592,0.140927,0.140354,0.139836,0.139421,0.139064,0.138755,0.138489,0.138245,0.138041,0.137879,0.137804,0.137854,0.1381,0.138524,0.139174,0.140174,0.14161,0.143582,0.146303,0.149875,0.154327,0.160729,0.168161,0.176564,0.185638,0.195252,0.204658,0.213674,0.221636,0.228628,0.234443,0.239217,0.242475,0.244646,0.245969,0.24644,0.246417,0.246041,0.245331,0.244413,0.243282,0.241979,0.240553,0.239021,0.237394,0.235669,0.233866,0.231979,0.230018,0.227981,0.225866,0.223678,0.221428,0.219125,0.216775,0.214384,0.211961,0.209518,0.207072,0.204635,0.202221,0.199839,0.197482,0.19513,0.192759,0.190343,0.187859,0.185284,0.182606,0.179831,0.176963,0.17401,0.17098,0.167882,0.164724,0.161512,0.158243,0.15489,0.151422,0.147795,0.143963,0.139882,0.135524,0.130894,0.126016,0.120905,0.11556,0.109979,0.104179,0.098215,0.092163,0.086111,0.080133,0.074281,0.068585,0.063022,0.05752,0.051976,0.046283,0.040371,0.034239,0.027942,0.02159,0.015328,0.009286,1
0.209941,0.209156,0.208364,0.207565,0.206752,0.205919,0.205062,0.204182,0.203284,0.202366,0.201436,0.200498,0.199549,0.198586,0.197609,0.196614,0.195598,0.194561,0.193503,0.192425,0.191329,0.19021,0.189062,0.187881,0.186671,0.185437,0.184176,0.182894,0.181601,0.1803,0.178998,0.177706,0.176424,0.175153,0.173897,0.172647,0.171393,0.170148,0.168924,0.167724,0.166568,0.165471,0.164418,0.163406,0.162424,0.161439,0.160427,0.159381,0.158303,0.157204,0.156105,0.155015,0.153936,0.152871,0.151814,0.150768,0.149733,0.14872,0.147735,0.14679,0.145883,0.145,0.144157,0.143362,0.14262,0.141942,0.141346,0.140802,0.140346,0.139931,0.139547,0.139187,0.138837,0.13851,0.138218,0.138011,0.137927,0.138039,0.138326,0.138845,0.139736,0.141081,0.142981,0.145656,0.149199,0.153627,0.160033,0.167482,0.175918,0.185049,0.194701,0.204203,0.213334,0.221363,0.228433,0.234296,0.239099,0.242385,0.244576,0.245918,0.246396,0.246368,0.245984,0.245267,0.244345,0.243211,0.241902,0.240466,0.23892,0.237279,0.235545,0.233732,0.231833,0.229859,0.22781,0.225684,0.223479,0.221212,0.21889,0.216521,0.214113,0.211674,0.209214,0.206748,0.204294,0.201873,0.199487,0.197127,0.194774,0.192401,0.189981,0.187492,0.184912,0.18223,0.179446,0.176564,0.173593,0.170542,0.16742,0.164242,0.161016,0.15773,0.154358,0.15086,0.147192,0.143307,0.139158,0.134727,0.13002,0.125065,0.119878,0.114463,0.108822,0.102966,0.096947,0.090859,0.08479,0.078808,0.072965,0.067286,0.061755,0.056291,0.050783,0.045129,0.039249,0.033125,0.026813,0.020428,0.014123,0.008035,2
0.208528,0.20778,0.207026,0.206262,0.205478,0.204677,0.20386,0.203021,0.20216,0.201282,0.200393,0.199492,0.198578,0.197649,0.196701,0.195733,0.194742,0.193729,0.192695,0.191637,0.19056,0.18946,0.188332,0.187171,0.185977,0.184755,0.183507,0.182239,0.180958,0.179672,0.178387,0.177111,0.175845,0.174585,0.173334,0.17209,0.170847,0.169614,0.1684,0.16721,0.166063,0.164976,0.163932,0.162927,0.161949,0.160971,0.159966,0.158929,0.157859,0.156764,0.155668,0.154585,0.153512,0.152447,0.151391,0.150348,0.149315,0.148301,0.147312,0.14636,0.145448,0.144561,0.143715,0.142917,0.142173,0.141497,0.140906,0.140371,0.139923,0.139515,0.139143,0.138798,0.138463,0.138154,0.13788,0.137688,0.137612,0.137729,0.138025,0.138554,0.139455,0.140808,0.142718,0.145405,0.148971,0.153422,0.15985,0.167362,0.175857,0.184985,0.194623,0.20412,0.213261,0.221284,0.228336,0.234217,0.239046,0.242352,0.244559,0.245912,0.246405,0.246395,0.24603,0.245332,0.244426,0.243306,0.242011,0.240593,0.239065,0.237445,0.235732,0.233942,0.23207,0.23012,0.228093,0.225988,0.223806,0.221561,0.219259,0.216911,0.214519,0.212097,0.209658,0.207213,0.204781,0.202375,0.2,0.197653,0.195313,0.192953,0.190546,0.188069,0.185502,0.182837,0.180068,0.177199,0.174244,0.17121,0.168109,0.164953,0.161745,0.158478,0.15513,0.151663,0.148028,0.144173,0.140059,0.135666,0.130995,0.126069,0.120913,0.115527,0.109911,0.104079,0.098088,0.092021,0.085963,0.079988,0.074148,0.068469,0.062931,0.057464,0.051967,0.046328,0.040462,0.034358,0.028078,0.021731,0.015465,0.009409,2
0.208577,0.207824,0.207063,0.206293,0.205508,0.204703,0.203876,0.203028,0.202158,0.201271,0.200373,0.199465,0.198544,0.197609,0.196657,0.195686,0.194696,0.193681,0.192644,0.191585,0.190504,0.1894,0.188269,0.187108,0.185915,0.184693,0.183445,0.182175,0.180895,0.179607,0.178321,0.177044,0.175776,0.174517,0.173267,0.172025,0.170785,0.169555,0.168344,0.167159,0.166016,0.164933,0.163894,0.162891,0.161918,0.160945,0.159948,0.158916,0.157848,0.156759,0.155671,0.154592,0.153523,0.152465,0.151417,0.15038,0.149352,0.148344,0.147364,0.146423,0.14552,0.144642,0.143808,0.143022,0.142288,0.14162,0.141036,0.140505,0.140062,0.139662,0.139297,0.138957,0.138626,0.13832,0.138048,0.137858,0.137788,0.137914,0.138222,0.13876,0.139666,0.141027,0.142942,0.145634,0.1492,0.153662,0.160127,0.167641,0.176129,0.185267,0.194877,0.204351,0.21348,0.221472,0.228491,0.234354,0.23918,0.242485,0.244693,0.246052,0.246552,0.246548,0.246186,0.24549,0.244586,0.243471,0.242183,0.240769,0.239244,0.237626,0.235913,0.23412,0.232244,0.230291,0.228262,0.226154,0.223969,0.221723,0.219422,0.217073,0.214681,0.212258,0.209818,0.207373,0.20494,0.202532,0.200156,0.197808,0.19547,0.193115,0.190709,0.188233,0.18567,0.183004,0.180232,0.177363,0.174408,0.171373,0.16827,0.165115,0.161908,0.158641,0.155288,0.151814,0.148171,0.144308,0.140183,0.135773,0.131088,0.126154,0.120999,0.115618,0.109993,0.104147,0.09814,0.092058,0.08599,0.080011,0.074174,0.068502,0.062974,0.057518,0.052023,0.04638,0.040514,0.034412,0.02812,0.021754,0.01547,0.0094,2
0.209489,0.208695,0.207893,0.207084,0.206264,0.205423,0.204559,0.203676,0.202773,0.201853,0.200921,0.199979,0.199028,0.198061,0.197079,0.196078,0.195054,0.19401,0.192948,0.191868,0.19077,0.189648,0.188501,0.187328,0.186126,0.184897,0.183643,0.182369,0.181085,0.179793,0.178504,0.177228,0.175962,0.174707,0.173467,0.172231,0.170995,0.169771,0.168562,0.167375,0.166234,0.165153,0.164114,0.163114,0.162148,0.161182,0.160187,0.159155,0.158091,0.157007,0.155923,0.154846,0.153779,0.152721,0.151672,0.150634,0.149606,0.148598,0.147618,0.146679,0.145776,0.144898,0.144064,0.143277,0.142539,0.141868,0.141282,0.140744,0.140289,0.139877,0.139498,0.139143,0.138793,0.138463,0.138163,0.137938,0.13783,0.137912,0.138166,0.138649,0.139499,0.140805,0.142668,0.145315,0.14885,0.15328,0.159707,0.1672,0.175695,0.184855,0.194499,0.204002,0.213136,0.221157,0.228214,0.234094,0.238915,0.242211,0.244411,0.245755,0.246239,0.24622,0.245843,0.245134,0.244217,0.243083,0.241774,0.240342,0.2388,0.237161,0.235428,0.233618,0.231727,0.229759,0.227714,0.225588,0.223385,0.221122,0.218802,0.216436,0.214028,0.211585,0.209122,0.206655,0.204205,0.201783,0.199395,0.197036,0.194688,0.192324,0.189912,0.187428,0.184853,0.182175,0.179394,0.176514,0.173544,0.170493,0.167371,0.164192,0.160963,0.157672,0.154297,0.150799,0.147128,0.143234,0.139076,0.134633,0.12991,0.124936,0.119731,0.1143,0.108645,0.102775,0.096744,0.090636,0.084548,0.078557,0.072702,0.067005,0.061458,0.055992,0.050495,0.044845,0.038965,0.032844,0.026533,0.02015,0.013846,0.007749,2
0.208531,0.207792,0.207048,0.206297,0.205534,0.204753,0.203949,0.203124,0.20228,0.20142,0.200548,0.199662,0.198761,0.197845,0.19691,0.195957,0.19498,0.193979,0.192956,0.191909,0.190839,0.189742,0.188616,0.187456,0.186263,0.185043,0.183797,0.182533,0.181259,0.179974,0.178689,0.177409,0.176134,0.174867,0.17361,0.172359,0.171111,0.169873,0.16865,0.16745,0.166295,0.165197,0.164137,0.163115,0.162121,0.161126,0.160107,0.159055,0.157971,0.156864,0.155759,0.154666,0.153587,0.152515,0.151451,0.150398,0.149355,0.148328,0.147326,0.146362,0.145434,0.144531,0.143669,0.142858,0.142105,0.141418,0.140816,0.140274,0.139827,0.139423,0.13905,0.138703,0.138369,0.13806,0.137784,0.137589,0.137511,0.137624,0.137908,0.138416,0.139287,0.140607,0.14248,0.145131,0.148661,0.153097,0.159538,0.16704,0.175526,0.184664,0.194323,0.203824,0.212929,0.22093,0.227973,0.233855,0.238683,0.241982,0.244187,0.245546,0.246045,0.246042,0.245686,0.244997,0.244101,0.242993,0.241712,0.240307,0.238793,0.237182,0.235476,0.233696,0.231834,0.229895,0.227881,0.225788,0.223617,0.221383,0.219095,0.216763,0.214387,0.211977,0.209548,0.207113,0.204685,0.202279,0.199899,0.197543,0.195189,0.192813,0.19039,0.187897,0.185315,0.182632,0.179853,0.176981,0.174021,0.170983,0.167879,0.164721,0.161511,0.158243,0.154896,0.151434,0.147814,0.143987,0.139913,0.135568,0.130947,0.126071,0.120959,0.11561,0.110022,0.104209,0.098228,0.092164,0.086092,0.080089,0.074212,0.068493,0.062913,0.057399,0.05185,0.04616,0.040257,0.034133,0.027843,0.021499,0.015246,0.009209,2
