@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute target {1,2}

@data
-0.018461,-0.013432,-0.009992,-0.015343,-0.01259,-0.016515,-0.007882,-0.00476,-0.000218,-0.001464,0.004957,0.007765,0.010792,0.014375,0.018606,0.016161,0.019923,0.01968,0.019093,0.017427,0.012601,0.007699,0.005719,0.002314,0.004405,0.00246,0.001656,0.006551,0.013836,0.013526,0.018196,0.023317,0.018947,0.02001,0.02231,0.018058,0.017996,0.019166,0.017044,0.020061,0.015558,0.011282,0.011268,0.008284,0.016791,0.012085,0.009783,0.004751,0.010305,0.010407,0.018214,0.021186,0.014324,0.018165,0.018748,0.023598,0.030948,0.02915,0.030854,0.038661,0.043966,0.050241,0.047908,0.052824,0.054196,0.057736,0.0541,0.050825,0.044104,0.039372,0.032253,0.037889,0.034486,0.030585,0.03125,0.035657,0.038414,0.037313,0.038605,0.040364,0.037783,0.045481,0.052802,0.048117,0.044867,0.045692,0.053677,0.054143,0.051944,0.054115,0.051245,0.049208,0.051099,0.055018,0.060393,0.064346,0.066619,0.06878,0.065849,0.058126,0.049984,0.051671,0.042743,0.048103,0.043328,0.044245,0.049902,0.051719,0.050715,0.045672,0.050556,0.058433,0.064225,0.067069,0.068706,0.06673,0.059254,0.06398,0.072499,0.070768,0.064121,0.060497,0.06703,0.066532,0.07111,0.063891,0.064746,0.067242,0.072668,0.069342,0.064155,0.067109,0.070316,0.064873,0.060419,0.05798,0.056988,0.057991,0.053413,0.054555,0.04811,0.050724,0.049208,0.052855,0.055934,0.050232,0.042045,0.041502,0.044991,1
0.015461,0.014054,0.019257,0.018463,0.017866,0.013554,0.014008,0.010116,0.007497,0.008807,0.005347,0.004994,0.005071,0.00087,0.002057,0.006771,-0.000605,0.001244,-0.003184,-0.001416,0.000424,-0.000813,-0.002206,-0.00707,-0.008322,-0.008437,-0.012925,-0.019162,-0.02391,-0.021769,-0.024695,-0.026435,-0.029791,-0.036559,-0.031594,-0.035415,-0.039373,-0.040949,-0.049514,-0.045782,-0.04285,-0.049611,-0.050332,-0.052107,-0.052376,-0.048272,-0.052119,-0.057131,-0.06136,-0.053689,-0.047792,-0.054476,-0.053703,-0.050125,-0.057265,-0.055175,-0.058981,-0.058277,-0.060339,-0.061426,-0.061862,-0.062387,-0.064875,-0.064941,-0.056958,-0.054488,-0.056091,-0.052945,-0.055608,-0.049044,-0.041415,-0.044698,-0.046581,-0.042512,-0.040334,-0.039216,-0.041131,-0.042349,-0.04983,-0.043741,-0.049315,-0.05675,-0.053403,-0.047498,-0.049138,-0.048091,-0.045003,-0.046202,-0.042743,-0.041349,-0.03826,-0.042329,-0.039058,-0.038994,-0.03053,-0.033817,-0.026571,-0.032414,-0.024493,-0.024567,-0.022955,-0.023051,-0.027116,-0.034113,-0.033485,-0.030135,-0.031108,-0.037407,-0.041478,-0.049084,-0.050191,-0.054619,-0.052533,-0.055439,-0.048618,-0.047049,-0.045744,-0.040535,-0.035688,-0.043222,-0.043464,-0.042661,-0.048914,-0.048902,-0.045632,-0.047918,-0.055268,-0.053094,-0.048014,-0.043692,-0.038492,-0.031672,-0.032274,-0.034894,-0.031803,-0.024198,-0.020905,-0.021433,-0.0269,-0.025669,-0.025634,-0.027919,-0.034134,-0.030443,-0.028445,-0.02419,-0.021769,-0.020974,-0.013656,1
-0.012512,-0.021507,-0.017529,-0.014504,-0.013218,-0.011368,-0.003723,-0.002204,-0.006336,-0.007822,-0.012663,-0.016951,-0.009467,-0.018553,-0.025394,-0.026356,-0.024596,-0.028887,-0.029384,-0.025422,-0.017416,-0.013273,-0.009455,-0.004695,-0.003108,-0.005083,-0.008111,-0.006879,-0.007396,-0.000042,-0.004325,0.002077,0.005324,0.000129,-0.006761,-0.010332,-0.013476,-0.015797,-0.01602,-0.010252,-0.011479,-0.012641,-0.013417,-0.011023,-0.010685,-0.017441,-0.009449,-0.011351,-0.010722,-0.006274,-0.009311,-0.00634,-0.010709,-0.012458,-0.008957,-0.012706,-0.009424,-0.011281,-0.010835,-0.009952,-0.012262,-0.007078,-0.006302,-0.009429,-0.015966,-0.014732,-0.014776,-0.012308,-0.007964,-0.004676,-0.011582,-0.009894,-0.011062,-0.010606,-0.007431,-0.006471,-0.002727,0.000864,0.00355,0.0049,0.005122,-0.002045,-0.002918,-0.003446,0.001347,-0.000449,0.006877,0.010993,0.006404,0.00723,0.00632,0.007988,0.005976,0.003863,0.004307,0.000546,-0.001005,-0.004962,-0.004742,-0.003747,-0.002781,0.001095,0.00075,-0.000639,-0.005507,-0.006608,-0.001037,-0.001714,0.001879,-0.001838,-0.008402,-0.004724,-0.006144,-0.011848,-0.014166,-0.010601,-0.012844,-0.012118,-0.011363,-0.002729,-0.003499,-0.000813,-0.001401,-0.001113,-0.001834,-0.005132,-0.008284,-0.007413,-0.013027,-0.015034,-0.008961,-0.008098,-0.007857,-0.00081,0.002579,0.001122,0.005873,0.007371,0.012172,0.004784,0.010793,0.009057,0.012715,0.00472,0.010665,0.01267,0.011599,0.013237,0.015901,1
-0.051049,-0.05073,-0.052867,-0.056174,-0.051403,-0.050252,-0.046531,-0.0378,-0.040828,-0.033011,-0.031471,-0.027735,-0.024953,-0.025403,-0.018385,-0.021127,-0.014456,-0.014074,-0.017552,-0.017894,-0.023105,-0.028146,-0.029348,-0.032996,-0.035517,-0.036446,-0.03492,-0.040269,-0.034124,-0.036751,-0.04357,-0.041182,-0.044067,-0.037256,-0.031235,-0.037634,-0.033526,-0.04088,-0.046127,-0.055047,-0.049767,-0.043508,-0.044702,-0.04599,-0.051355,-0.044334,-0.049726,-0.054523,-0.055557,-0.053551,-0.047488,-0.051134,-0.049968,-0.050448,-0.05055,-0.052397,-0.045012,-0.053346,-0.049168,-0.053695,-0.051336,-0.045782,-0.045073,-0.045739,-0.039405,-0.038831,-0.033232,-0.031132,-0.029151,-0.026594,-0.027284,-0.026047,-0.0188,-0.021551,-0.02133,-0.024002,-0.023985,-0.026016,-0.030051,-0.034901,-0.030719,-0.033181,-0.030718,-0.02538,-0.025662,-0.022852,-0.024203,-0.020954,-0.020922,-0.019483,-0.017519,-0.016203,-0.013734,-0.007429,-0.008496,-0.014235,-0.017729,-0.014596,-0.013856,-0.017846,-0.01775,-0.018065,-0.017428,-0.01761,-0.011996,-0.014746,-0.01267,-0.013995,-0.020501,-0.029113,-0.024066,-0.025521,-0.019857,-0.019215,-0.019955,-0.017241,-0.018179,-0.014074,-0.013304,-0.02207,-0.016706,-0.023308,-0.020638,-0.017004,-0.022136,-0.026259,-0.029496,-0.022203,-0.027484,-0.02704,-0.027698,-0.026468,-0.027518,-0.023961,-0.02169,-0.027282,-0.023271,-0.017463,-0.018469,-0.01325,-0.012509,-0.013842,-0.021645,-0.016544,-0.015068,-0.017231,-0.014315,-0.008469,-0.003067,1
0.030183,0.030571,0.030225,0.026354,0.018494,0.017815,0.01786,0.024628,0.017747,0.020001,0.016546,0.017553,0.013526,0.018603,0.026207,0.017051,0.018997,0.015395,0.019363,0.019846,0.016904,0.013029,0.010548,0.006834,0.00938,0.017374,0.023312,0.020985,0.017794,0.020261,0.012114,0.01554,0.018033,0.022757,0.022933,0.016265,0.01825,0.015288,0.014051,0.011739,0.011246,0.020731,0.015095,0.014283,0.010369,0.005818,0.008386,0.006557,0.010829,0.009153,0.006511,-0.002459,-0.010931,-0.006182,-0.003494,-0.002025,-0.000241,0.005249,0.010571,0.008343,0.004157,0.001946,0.005346,0.003032,0.001418,0.005313,0.007752,0.010482,0.010121,0.011594,0.015018,0.01481,0.012342,0.014834,0.010639,0.011124,0.017649,0.012429,0.007607,0.005618,-0.001822,0.005555,0.001752,0.005081,0.010984,0.010147,0.003453,-0.000317,0.005592,0.009169,0.012788,0.019856,0.027203,0.025543,0.01992,0.012982,0.011185,0.007973,0.005542,0.00025,-0.001121,0.000286,0.005397,0.001268,0.001624,-0.001061,-0.000299,0.007119,0.011296,0.005502,0.007272,0.006352,0.004179,0.009258,0.009678,0.007973,0.006649,0.001424,-0.001258,0.003986,0.002636,-0.001653,0.00022,-0.001101,-0.001546,-0.004498,-0.003989,-0.003389,-0.012432,-0.016431,-0.017829,-0.019246,-0.024247,-0.025226,-0.020973,-0.01816,-0.022166,-0.018704,-0.022608,-0.020274,-0.028293,-0.02083,-0.017568,-0.013235,-0.012432,-0.017182,-0.01597,-0.011611,-0.01369,1
0.03175,0.030417,0.023853,0.025018,0.026337,0.024142,0.022227,0.024744,0.024891,0.028591,0.028257,0.031684,0.032215,0.030819,0.023841,0.016244,0.013172,0.007576,0.01364,0.013162,0.005818,0.006046,0.01167,0.007935,0.002785,0.0038,0.008268,0.014868,0.020541,0.022215,0.020133,0.016501,0.013401,0.007924,0.015786,0.016291,0.014843,0.021598,0.025237,0.026907,0.028646,0.021832,0.023735,0.019228,0.015285,0.013888,0.007243,0.011288,0.003799,0.003653,-0.002766,-0.001777,-0.004561,-0.011502,-0.014284,-0.013054,-0.007309,-0.013419,-0.012071,-0.010775,-0.012824,-0.016981,-0.018023,-0.019069,-0.020798,-0.023718,-0.027245,-0.030089,-0.028696,-0.028997,-0.029016,-0.027056,-0.018825,-0.01924,-0.019367,-0.017186,-0.020758,-0.018693,-0.018094,-0.014417,-0.007326,0.001201,0.004906,-0.000957,0.000795,-0.00458,-0.008861,-0.005169,-0.008041,-0.012525,-0.012723,-0.016546,-0.016199,-0.023377,-0.028676,-0.034002,-0.029819,-0.033803,-0.035566,-0.039353,-0.041536,-0.033451,-0.026449,-0.029873,-0.034985,-0.034361,-0.037275,-0.041045,-0.040713,-0.039054,-0.035687,-0.033778,-0.033347,-0.035147,-0.034455,-0.037443,-0.037733,-0.042595,-0.034421,-0.036942,-0.037508,-0.032046,-0.033192,-0.037108,-0.032552,-0.025584,-0.023633,-0.029155,-0.02178,-0.026268,-0.022035,-0.013421,-0.012702,-0.012962,-0.018993,-0.020153,-0.02695,-0.029298,-0.027237,-0.032715,-0.026265,-0.022621,-0.030076,-0.030384,-0.027884,-0.02903,-0.032057,-0.02895,-0.030445,1
0.000327,-0.000204,-0.003967,-0.004043,-0.004931,-0.012597,-0.011764,-0.011452,-0.014683,-0.021842,-0.017042,-0.021635,-0.021431,-0.026818,-0.024057,-0.021794,-0.01586,-0.021012,-0.021995,-0.021321,-0.018702,-0.022284,-0.023895,-0.028711,-0.025884,-0.028095,-0.023427,-0.028608,-0.032736,-0.028478,-0.026127,-0.033486,-0.028225,-0.026282,-0.02193,-0.027077,-0.023538,-0.020771,-0.023859,-0.026587,-0.024003,-0.026774,-0.027864,-0.024139,-0.026748,-0.028809,-0.02679,-0.027648,-0.030898,-0.03512,-0.031184,-0.03441,-0.031274,-0.034581,-0.038799,-0.031221,-0.030327,-0.034463,-0.033152,-0.026759,-0.02745,-0.024975,-0.020825,-0.023909,-0.018528,-0.021809,-0.016672,-0.01059,-0.002841,-0.005833,-0.004681,0.000582,0.001556,-0.003917,-0.000921,-0.008615,-0.011449,-0.013615,-0.005394,-0.007642,-0.00828,-0.008855,-0.017163,-0.011969,-0.003799,-0.001399,0.002692,0.005041,0.006261,0.000088,0.007933,0.006356,-0.001868,-0.003888,-0.009973,-0.00978,-0.008288,-0.006877,-0.002933,-0.006368,-0.007497,-0.009914,-0.001399,0.007385,0.009352,0.007167,0.005336,0.007353,0.010817,0.013065,0.016906,0.016324,0.017626,0.01935,0.01928,0.019409,0.016626,0.015916,0.015279,0.022733,0.025043,0.032715,0.03272,0.025541,0.032162,0.028662,0.025813,0.032909,0.029596,0.029214,0.034554,0.035473,0.028444,0.031095,0.031509,0.030448,0.037311,0.042764,0.041755,0.04707,0.050782,0.054886,0.056884,0.048412,0.054071,0.057265,0.061759,0.058067,0.055458,1
-0.012916,-0.014263,-0.008106,-0.006182,-0.008606,-0.008796,-0.00731,-0.002285,-0.003819,-0.004501,-0.005859,-0.005845,-0.007628,-0.006953,-0.003588,-0.001404,-0.007513,-0.016785,-0.015935,-0.011728,-0.012267,-0.021207,-0.016281,-0.019066,-0.021512,-0.016953,-0.020044,-0.023204,-0.022765,-0.019219,-0.020176,-0.02346,-0.024113,-0.027257,-0.024875,-0.023062,-0.028012,-0.030057,-0.031199,-0.030017,-0.029898,-0.03548,-0.028683,-0.030084,-0.032433,-0.035059,-0.02941,-0.025161,-0.021744,-0.016688,-0.013526,-0.01891,-0.020492,-0.017915,-0.017162,-0.016912,-0.007426,-0.005902,-0.007938,-0.01334,-0.010084,-0.015459,-0.015191,-0.01509,-0.013227,-0.005081,-0.003422,-0.000943,-0.00725,-0.000945,0.007005,0.014098,0.018099,0.017838,0.017475,0.015201,0.01557,0.016572,0.018414,0.009738,0.012377,0.012414,0.012919,0.015177,0.01489,0.009539,0.012575,0.010886,0.010166,0.012259,0.009328,0.014983,0.016623,0.021113,0.025036,0.029559,0.025736,0.026799,0.031417,0.031739,0.030907,0.029797,0.027726,0.031631,0.035589,0.029749,0.032007,0.032775,0.025675,0.028785,0.033042,0.029275,0.022693,0.028573,0.028507,0.027113,0.03037,0.033198,0.033726,0.036859,0.041352,0.034622,0.033437,0.031915,0.024917,0.028546,0.024166,0.029486,0.035265,0.044062,0.043994,0.043363,0.043552,0.038285,0.039009,0.033626,0.04167,0.042918,0.045907,0.044668,0.042128,0.043045,0.048125,0.043715,0.039775,0.039848,0.044862,0.045139,0.045621,1
-0.01858,-0.015069,-0.016858,-0.014045,-0.009984,-0.001796,0.004525,0.007931,0.00274,0.005676,0.010363,0.010899,0.011597,0.005892,-0.000415,0.006015,0.005433,0.000736,0.003538,0.003619,0.009167,0.011618,0.012386,0.013152,0.010354,0.016416,0.015263,0.016374,0.012402,0.014959,0.020525,0.019044,0.017136,0.021932,0.023996,0.023151,0.027043,0.030892,0.034865,0.031778,0.022666,0.026783,0.028413,0.036179,0.037524,0.037213,0.037701,0.043726,0.046528,0.045249,0.054125,0.052919,0.053661,0.052623,0.051426,0.051097,0.056549,0.052618,0.056413,0.058595,0.064359,0.057542,0.049782,0.050446,0.049683,0.047569,0.054678,0.05786,0.06305,0.063196,0.057453,0.056149,0.06066,0.063521,0.059812,0.058898,0.058099,0.06116,0.059546,0.062132,0.061933,0.062337,0.059775,0.053968,0.051831,0.048238,0.046604,0.052235,0.050398,0.056125,0.0571,0.060526,0.062377,0.060049,0.058116,0.062967,0.06313,0.068634,0.071559,0.07579,0.071383,0.076265,0.067338,0.071075,0.07563,0.070781,0.071542,0.06926,0.06232,0.062804,0.063262,0.071821,0.078025,0.075127,0.079315,0.077282,0.08273,0.084332,0.082045,0.080149,0.08156,0.081262,0.081771,0.081579,0.082733,0.078442,0.080999,0.088684,0.089307,0.087101,0.092429,0.087907,0.086784,0.089925,0.091475,0.086935,0.085168,0.079341,0.076756,0.076678,0.078817,0.073674,0.070965,0.075049,0.075114,0.077249,0.076529,0.070741,0.077303,1
0.037616,0.042213,0.036409,0.04191,0.040215,0.04184,0.044486,0.038547,0.033077,0.033163,0.025408,0.027606,0.032513,0.03906,0.041671,0.036046,0.038491,0.037815,0.039856,0.044828,0.041964,0.038901,0.039228,0.047301,0.045201,0.040119,0.034723,0.03511,0.03789,0.034492,0.038814,0.035125,0.030336,0.028446,0.028434,0.023191,0.021443,0.026507,0.022635,0.026279,0.023686,0.027038,0.020731,0.016147,0.015027,0.019486,0.01882,0.017717,0.018179,0.015109,0.01778,0.02275,0.026104,0.031802,0.032214,0.033517,0.033284,0.033345,0.034348,0.034214,0.036726,0.036865,0.044787,0.049452,0.048298,0.051473,0.047956,0.046348,0.041491,0.039777,0.03192,0.037194,0.038386,0.039934,0.042371,0.04072,0.041975,0.04462,0.04593,0.045739,0.050094,0.048648,0.048456,0.052596,0.058516,0.059276,0.064674,0.065691,0.07151,0.067123,0.071331,0.071311,0.076992,0.084022,0.076982,0.081246,0.073246,0.070784,0.069837,0.072791,0.067888,0.068393,0.07408,0.074607,0.07099,0.075562,0.068318,0.063635,0.062153,0.059617,0.055717,0.062856,0.060312,0.061023,0.060357,0.0639,0.058129,0.05898,0.054548,0.056207,0.056633,0.052243,0.052008,0.051274,0.049747,0.048258,0.048619,0.04632,0.043284,0.039169,0.037893,0.042198,0.045827,0.046529,0.042594,0.047368,0.041442,0.042776,0.047528,0.046002,0.045841,0.038493,0.034681,0.031023,0.028446,0.035441,0.036153,0.029404,0.033049,1
