@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute target {1,2}

@data
0.081638,0.039803,-0.0355,-0.119169,-0.186105,-0.22794,-0.22794,-0.211206,-0.186105,-0.165188,-0.152637,-0.127536,-0.089885,-0.052234,-0.014582,0.027252,0.06072,0.090005,0.106738,0.115105,2
0.106059,0.083815,0.050448,-0.021847,-0.116387,-0.160876,-0.160876,-0.13307,-0.099704,-0.077459,-0.08302,-0.110826,-0.121948,-0.105265,-0.066337,-0.027409,-0.005164,0.005958,0.01152,0.022642,1
0.10886,0.095022,0.053507,-0.015683,-0.094099,-0.154064,-0.190966,-0.186353,-0.158677,-0.121775,-0.075648,-0.047972,-0.029521,-0.006458,0.016606,0.044282,0.062733,0.071958,0.081184,0.085796,2
0.143709,0.118121,0.066946,-0.009817,-0.08658,-0.156033,-0.192587,-0.199898,-0.177965,-0.148722,-0.12679,-0.104857,-0.08658,-0.064648,-0.035405,-0.002507,0.026737,0.048669,0.06329,0.070601,2
0.060327,0.040083,-0.012551,-0.077332,-0.154259,-0.219039,-0.25143,-0.247381,-0.235234,-0.223088,-0.214991,-0.198795,-0.154259,-0.097576,-0.032795,0.027937,0.060327,0.08462,0.108912,0.133205,1
0.116031,0.071157,-0.011112,-0.09712,-0.171909,-0.224262,-0.242959,-0.231741,-0.205564,-0.175649,-0.145733,-0.119556,-0.089641,-0.063464,-0.044767,-0.02233,0.000107,0.022544,0.041241,0.05246,2
0.013571,-0.020056,-0.091513,-0.171376,-0.238629,-0.268053,-0.259646,-0.234426,-0.196596,-0.154563,-0.116733,-0.083106,-0.049479,-0.011649,0.021977,0.055604,0.085027,0.110247,0.139671,0.164891,2
-0.027944,-0.070544,-0.137994,-0.212544,-0.272894,-0.301295,-0.301295,-0.276444,-0.244494,-0.208994,-0.173494,-0.141544,-0.109594,-0.070544,-0.024394,0.018206,0.053707,0.085657,0.117607,0.146007,2
0.047468,0.007555,-0.062292,-0.147107,-0.221944,-0.251878,-0.2419,-0.211966,-0.18702,-0.152096,-0.127151,-0.097216,-0.062292,-0.017391,0.027511,0.057446,0.082391,0.102348,0.112326,0.127293,2
0.001286,-0.026421,-0.07491,-0.137253,-0.185741,-0.192668,-0.158034,-0.095691,-0.033348,-0.005641,-0.005641,-0.033348,-0.040275,-0.026421,0.01514,0.056702,0.08441,0.098264,0.112118,0.105191,1
0.09157,0.053945,-0.004202,-0.079452,-0.151281,-0.21969,-0.264156,-0.277838,-0.260735,-0.233372,-0.202588,-0.164963,-0.127338,-0.089713,-0.06235,-0.034986,-0.007623,0.023161,0.050525,0.067627,2
-0.047281,-0.06794,-0.0886,-0.121655,-0.191898,-0.266272,-0.2828,-0.249744,-0.204293,-0.162974,-0.142315,-0.146447,-0.134051,-0.092732,-0.043149,0.002302,0.022962,0.039489,0.060149,0.08494,1
0.039936,0.010945,-0.067743,-0.158857,-0.241687,-0.291385,-0.312093,-0.299668,-0.278961,-0.24997,-0.220979,-0.191989,-0.158857,-0.134008,-0.105017,-0.080168,-0.05946,-0.034611,-0.005621,0.031653,2
0.123762,0.095157,0.03386,-0.043784,-0.121427,-0.170465,-0.194984,-0.203157,-0.186811,-0.162292,-0.133687,-0.109168,-0.076476,-0.035611,0.001168,0.029773,0.046119,0.054292,0.050206,0.046119,2
0.160618,0.140063,0.086622,0.016737,-0.061369,-0.123033,-0.151809,-0.16003,-0.151809,-0.131254,-0.1107,-0.094256,-0.06548,-0.028482,0.008515,0.037292,0.057846,0.061957,0.061957,0.057846,2
0.189434,0.166006,0.133206,0.08635,0.025436,-0.02142,-0.049534,-0.058905,-0.05422,-0.044848,-0.035477,-0.026106,-0.016734,0.002008,0.030122,0.067607,0.091035,0.100407,0.095721,0.08635,2
0.113225,0.094429,0.063102,0.006713,-0.074737,-0.149922,-0.156188,-0.143657,-0.149922,-0.149922,-0.131126,-0.11233,-0.093534,-0.081003,-0.068472,-0.04341,-0.005818,0.031775,0.063102,0.081898,1
0.232474,0.200831,0.133027,0.060701,0.001937,-0.038746,-0.065868,-0.074908,-0.083949,-0.088469,-0.092989,-0.079428,-0.047786,-0.007103,0.029059,0.060701,0.074262,0.069742,0.065222,0.065222,2
0.084806,0.094024,0.070979,0.011062,-0.081119,-0.159472,-0.200953,-0.210171,-0.191735,-0.173299,-0.16869,-0.150254,-0.1226,-0.062683,0.006453,0.057152,0.080197,0.089415,0.089415,0.094024,1
-0.030281,-0.067655,-0.137065,-0.217153,-0.281223,-0.313258,-0.313258,-0.275884,-0.23851,-0.211814,-0.190457,-0.1691,-0.131726,-0.094351,-0.062316,-0.024942,0.012433,0.049807,0.087182,0.129895,2
