@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute target {1,2}

@data
5.450787,3.211986,1.419402,-1.063216,-3.15206,-5.540444,-6.787474,-6.501853,-6.406244,-6.281365,-5.762734,-4.430624,-3.08248,-4.632069,-6.356262,-8.569342,-8.633631,-6.742448,-4.753169,-2.66764,-0.988838,0.683672,2.163144,4.574914,6.710755,8.985817,11.357752,10.977196,9.03216,6.953346,4.36403,1.964885,0.739968,2.005868,2.891278,3.017968,2.058126,1.052125,2.411795,5.694387,7.795986,9.609732,11.060306,9.733448,7.825396,5.254717,2.977918,0.978578,-0.765535,-2.454585,-3.907328,-6.149678,-7.942437,-9.042452,-7.200878,-5.668459,-3.766343,-2.883614,-4.314875,-5.441547,-6.1063,-5.855518,-6.338586,-6.046805,-4.09117,-1.797503,0.410054,2.619033,4.305317,5.623448,4.024954,1.905661,0.314609,-2.062794,-4.040091,-3.212829,-2.491706,-1.188298,0.798822,2.395686,4.078356,4.627828,3.094279,1.544967,-0.074637,-0.485854,-0.592551,-0.219141,1.351544,2.743094,4.189648,3.477271,1.460893,0.139597,-1.911292,-3.205696,-4.191197,-4.774863,-2.271652,-0.086464,1.619403,3.5077,5.744962,1
3.869517,1.286466,-1.267123,-3.719695,-5.791799,-7.960836,-8.171175,-6.146757,-3.741362,-1.220086,1.285805,4.149295,6.747538,9.732835,10.817814,8.045826,5.229762,2.704624,0.628857,-2.491611,-4.231979,-2.781324,-1.544371,-0.45407,0.926879,1.476982,0.487273,-0.67693,-1.656832,-2.882975,-3.845183,-1.741603,1.26259,3.316328,5.658901,8.622658,10.935358,9.230519,6.273581,3.693124,0.911968,-1.652699,-4.249684,-6.54952,-7.972704,-6.883283,-4.692499,-2.342962,0.179231,2.95702,4.169136,1.538764,-0.636685,-1.65624,-3.899571,-5.950416,-7.422455,-7.742271,-5.141179,-2.496313,-0.171633,1.746918,4.677872,7.309282,10.390265,9.697693,6.499351,3.74839,1.044411,-1.906756,-4.799913,-4.979987,-3.448635,-2.834806,-0.131984,-0.30865,-1.508471,-1.260719,0.048887,-1.536139,-3.568674,-4.60981,-5.561235,-3.238905,-0.247125,2.507197,5.203179,8.08322,10.373138,8.387856,5.485936,2.715222,0.406303,-1.3859,-3.98916,-6.82509,-8.267318,-7.054008,-5.319363,-3.032813,-1.617384,-0.13182,2.88672,1
9.83536,7.507263,5.407042,3.047981,0.937888,-1.455354,-3.437777,-5.951778,-6.588624,-4.24565,-1.982906,0.279872,2.337191,1.21905,-1.310673,-3.50498,-5.670475,-8.103315,-7.948348,-6.014986,-4.599714,-2.720161,-0.373278,0.189451,-1.878023,-4.115033,-6.126234,-7.873172,-6.732626,-4.015617,-1.725558,1.098139,4.010508,6.556664,8.860224,8.272789,5.605799,3.75817,1.112001,-1.19773,0.784336,3.327428,4.313156,4.178487,2.898306,0.131439,-1.180953,1.576139,3.990686,5.968302,8.221202,9.067276,6.812113,4.427968,1.451804,-1.302112,-3.716476,-6.252671,-8.092509,-6.544494,-4.641763,-2.324736,-0.188544,0.346822,-1.939475,-3.926622,-5.638792,-7.163879,-8.888629,-7.086828,-4.840252,-2.54663,-0.393453,2.011224,1.70905,-0.677998,-2.826736,-5.347217,-6.73562,-4.74791,-2.670748,-0.450694,1.77527,4.026411,6.229855,8.545538,10.488378,9.19699,6.843121,4.782321,2.50694,0.433057,-1.84813,-3.21231,-3.310561,-3.226911,-2.962792,-1.100839,1.132196,3.201034,5.4996,7.51289,9.934571,1
4.50737,2.233118,0.116999,-2.317834,-4.555821,-4.937976,-5.416842,-7.493431,-7.540897,-7.661783,-5.419789,-2.650039,-0.282942,2.583072,5.147323,7.252002,8.958465,7.507981,5.432268,4.100372,1.19739,-0.440398,-1.490893,-3.159705,-6.37387,-7.113667,-7.03627,-7.246398,-6.621532,-6.960008,-7.69063,-7.699194,-7.784494,-6.222211,-3.247247,-1.662618,-0.458278,0.973687,1.743795,4.364711,5.694705,7.604201,7.120173,6.093665,3.772058,0.786338,-1.907862,-4.562089,-7.16265,-8.267492,-8.212856,-6.410309,-4.752414,-2.798657,-0.801801,1.419671,3.511998,5.404569,5.921798,4.137869,2.331038,0.277427,-1.733032,-3.624945,-6.159056,-6.381077,-3.216123,-0.357973,2.732956,4.906569,7.779703,9.700696,7.492412,4.043183,1.704155,-1.05476,-0.884812,0.119453,1.746821,2.892067,3.867748,3.964658,3.148484,1.935095,0.34248,-0.668806,-0.907878,1.990879,4.48542,7.734278,10.412263,8.679783,6.292574,4.045359,1.067743,-1.552393,-4.837656,-4.744816,-2.93484,-2.031227,-0.227376,1.20329,3.195539,1
5.416214,3.735038,0.109173,-1.436924,1.128452,3.879314,5.908713,9.843965,11.318892,8.533777,5.083387,2.638943,0.377356,-1.984779,-4.777161,-4.834764,-2.722013,-1.36829,0.337815,1.507044,0.807177,-1.012239,-2.232602,-4.218947,-5.130466,-2.590061,-0.113935,2.017222,4.491348,8.019137,10.798336,9.397651,5.456967,3.442839,0.412533,-1.161537,1.590265,4.573288,5.196276,2.051246,-0.650653,-2.448742,-5.099577,-7.112426,-9.325555,-10.535462,-10.8021,-8.695641,-5.336624,-2.458695,-0.573238,0.946432,2.710217,3.615396,6.335888,6.583894,5.199726,3.680624,0.913705,-1.203068,-4.586127,-6.639971,-5.523512,-4.093124,-1.294054,0.210645,-0.349611,2.242105,4.597051,3.744443,0.360306,-0.99372,1.778206,4.698202,4.471804,1.419944,-0.252481,0.301104,-1.83168,-4.18211,-5.836386,-6.284611,-3.792253,-0.435904,1.010426,3.507649,5.607187,7.011379,5.645105,3.487733,2.232238,0.078954,-2.059694,-5.007559,-8.188776,-10.656751,-10.422308,-9.133077,-6.898588,-4.831276,-2.112872,-0.293939,3.063152,1
3.437396,1.485485,-0.678987,-3.409039,-4.265327,-1.620856,0.570272,3.072932,5.434176,8.5717,10.129414,8.434379,6.784283,4.219963,1.566621,-0.451699,-2.690024,-5.258363,-4.840099,-4.276463,-3.750131,-2.786287,-2.920373,-3.963772,-4.641663,-5.40208,-5.897382,-3.053287,-0.818762,1.470765,3.130319,5.532728,7.521539,9.449365,9.258673,6.153372,3.693865,1.487189,-0.668899,-2.954285,-4.715201,-2.586301,-0.256382,1.011997,3.246006,1.60697,-0.510418,-2.613074,-4.184121,-5.711132,-7.252121,-8.499729,-9.609866,-9.549654,-6.793142,-4.660399,-1.945301,0.483374,3.08702,5.470442,8.450438,9.241343,7.491923,6.014235,3.813084,1.157931,-1.535472,-4.022763,-3.766681,-2.010664,0.237371,1.944841,0.156367,0.827967,1.08214,1.078033,1.996787,0.558462,-1.842429,-3.747846,-3.908396,-1.40018,1.349789,3.880898,6.380656,8.092665,9.954149,8.618903,5.54796,3.362798,1.115707,-1.389309,-4.004824,-6.434976,-8.889628,-8.795556,-7.791267,-6.887158,-5.226844,-3.725647,-2.127554,-0.129937,2.207056,1
9.550388,7.97366,6.505255,4.405109,1.494706,-0.981017,-2.656079,-5.034132,-5.821409,-4.791614,-4.393241,-3.321691,-3.219299,-4.32036,-5.087071,-5.819955,-4.623298,-2.29363,-0.686637,1.659698,3.980242,6.506707,8.012429,9.595553,8.00205,5.320518,2.881138,0.749279,-1.452574,-3.486027,-4.631601,-1.635371,-0.011467,1.449622,3.103062,1.278513,-0.799935,-3.168445,-4.507637,-6.390022,-8.053639,-9.49368,-9.449016,-7.190604,-5.104101,-2.481543,0.729877,2.850128,5.434912,7.65649,9.524458,7.8436,6.413894,4.664458,1.91279,-0.622496,-3.265393,-4.120775,-2.791854,-0.442004,1.67526,1.419441,0.898812,1.146994,1.072518,2.022054,0.297735,-1.753599,-3.598019,-4.289831,-2.477027,0.160202,2.80786,5.535312,7.345801,9.175867,9.478242,7.00296,4.537345,2.062277,0.065525,-3.334914,-5.719031,-8.238409,-9.492864,-8.468584,-7.356955,-5.353839,-3.917025,-2.168123,0.160863,2.317134,2.406927,0.626236,-1.258849,-4.452571,-4.629873,-2.577793,-0.53325,1.494542,3.764139,6.050709,8.744882,1
3.015921,1.4925,-0.474622,-2.644157,-4.673921,-5.714864,-6.996575,-6.831045,-5.266031,-3.579885,-1.596521,0.763015,3.012692,5.631284,8.126289,10.631821,10.111923,7.618746,5.384168,2.6529,0.396121,-1.972584,-4.537004,-6.489348,-7.476486,-7.078506,-6.720103,-6.671965,-6.799119,-7.407141,-7.59191,-5.842337,-3.59603,-1.224658,0.792342,3.204505,5.753549,8.146224,9.851367,8.113052,5.482669,3.005869,0.663143,-1.549248,-3.756955,-5.524876,-7.194697,-7.365315,-6.306448,-5.462635,-3.606407,-1.149005,0.644638,2.938003,3.129685,1.053862,-0.799175,-2.511492,-3.297016,-4.332654,-4.747852,-5.267915,-4.121488,-1.725187,0.67177,3.089522,5.192211,7.428357,9.811009,8.888651,6.355431,4.089265,1.664369,-1.165383,-2.579304,-0.831763,1.142911,-0.114691,0.513642,1.137567,-0.163189,0.928308,0.140995,-2.311687,-1.369278,1.288662,3.835113,5.966358,8.414988,9.835714,8.015226,5.49691,3.188728,0.73895,-1.51042,-3.895259,-4.891138,-4.543351,-3.775666,-2.84646,-1.737835,-0.02693,2.214585,1
10.20061,8.111652,5.915209,3.532416,1.149496,-0.770668,-2.774781,-4.859218,-6.53343,-7.835789,-7.542196,-7.089927,-7.187242,-7.115085,-7.837695,-7.248839,-5.465073,-3.79498,-1.646185,0.115976,2.620891,5.112762,7.638118,9.428522,7.820295,5.262975,2.919085,0.627414,-1.082588,-2.733953,-4.281483,-5.823966,-7.180215,-7.242383,-6.005405,-4.991404,-2.799426,-0.509544,1.647798,3.377652,2.476909,0.076369,-2.089984,-3.100493,-3.993431,-4.700758,-4.457021,-2.235745,0.267907,2.580376,4.925062,7.126555,9.721495,9.901012,7.707624,5.154118,2.896421,0.541481,-1.623999,-1.894098,0.479488,1.288352,0.211794,1.501758,0.688016,0.360741,1.41535,-0.89049,-1.983658,-0.012066,2.325099,4.552075,7.063177,9.49656,9.748869,6.926512,4.462927,2.316146,-0.207745,-2.802272,-4.639261,-4.737796,-4.000854,-2.919552,-2.034622,0.277046,2.672427,2.099125,0.028543,-2.376091,-4.458346,-5.621287,-7.159827,-7.124084,-5.801955,-4.582403,-3.241586,-1.516092,0.351841,2.358732,4.733054,6.937108,9.406048,1
8.742829,6.768289,4.390681,2.304808,0.155087,-2.065731,-1.120051,1.396211,3.058438,3.661825,2.976304,1.353411,-1.001738,-2.22755,-0.235887,1.919512,3.840341,5.85455,8.107074,8.989069,6.78711,3.928403,1.793018,-0.408448,-2.518665,-5.328368,-7.155614,-8.445686,-7.435891,-6.12846,-4.88567,-2.970367,-0.720465,-0.14008,-2.370339,-4.12662,-5.341117,-6.259969,-7.813865,-6.066305,-3.258632,-0.602315,2.206483,3.2983,1.015199,-1.13164,-3.829891,-5.150812,-3.502584,-0.96529,1.509892,4.199465,6.898662,9.670137,10.162552,7.585106,4.889026,2.500906,-0.172356,-1.17513,-1.331431,-1.084331,-0.986907,1.30564,3.859951,6.333944,8.715595,10.960114,10.685833,8.253066,5.699841,2.765439,0.163788,-2.492949,-4.836544,-4.937125,-2.116857,0.216183,2.774152,2.712369,0.316172,-2.622293,-5.466604,-7.83614,-6.975083,-5.812857,-4.806211,-3.36208,-1.475135,-0.501156,-2.390103,-4.422314,-5.989126,-7.08762,-8.672955,-8.088038,-6.459029,-4.122244,-1.702475,0.360551,2.616852,4.812064,7.618905,1
