@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute target {1,2}

@data
-2.687185,-4.288321,-4.74678,-4.83329,-5.030682,-5.349133,-5.392553,-4.766267,-3.603817,-2.807055,-1.491689,1.334216,2.88252,4.039558,5.289086,4.153266,3.562792,3.265136,3.055234,1.893212,1.144068,1.058738,2.104244,3.087755,3.576131,2.549343,1.373841,1.08407,2.412963,4.377609,5.141806,5.073389,3.784107,2.461688,-0.528804,-1.867897,-0.98931,-0.528366,0.946677,3.843435,6.582112,8.893783,7.193431,8.080402,6.10633,4.907117,6.272332,0.166421,-4.503454,-5.505617,-6.182392,-8.773339,-9.331763,-9.543117,-9.579211,-9.667309,-9.699464,1
-2.787399,-4.052742,-4.452295,-4.810646,-5.008191,-5.151622,-5.20576,-4.671526,-3.278928,-2.354654,-1.609218,0.776746,2.46414,3.446518,4.549487,3.66581,3.403141,3.044847,3.644319,2.557648,1.658716,1.395695,2.360682,3.759903,4.273767,3.053636,1.651815,1.537701,2.49864,4.467512,5.04831,5.070984,4.103889,2.999787,-0.430184,-1.82314,-0.696404,-0.438825,0.387453,3.387051,5.641492,7.941945,7.487021,8.145561,5.667866,4.697631,6.716138,0.444368,-4.731836,-6.413357,-7.150956,-8.954119,-9.360999,-9.554996,-9.58938,-9.686685,-9.736356,1
-2.217922,-3.840442,-4.51452,-4.460773,-4.77338,-5.199801,-5.251344,-4.617329,-3.61758,-2.778286,-1.335559,1.578187,3.015454,4.177796,5.567138,4.549443,3.725281,3.343969,2.92121,2.098641,1.187362,1.022027,1.985376,2.912524,3.393461,2.492512,1.351529,1.029603,2.251268,4.651089,5.229471,5.202211,3.430585,2.365457,-0.683601,-1.919046,-1.331183,-0.848899,0.29356,3.735367,6.489816,8.953756,7.362509,8.542722,5.87353,4.213159,5.734235,-0.05016,-4.375858,-5.241452,-5.769235,-8.824319,-9.52069,-9.780732,-9.81913,-9.93214,-9.976868,1
-2.544939,-3.798715,-4.335005,-4.558947,-4.924933,-5.136045,-5.190934,-4.611808,-3.256614,-2.412138,-1.512551,0.832269,2.218893,3.537787,4.196859,3.938173,3.163376,2.866425,3.117013,2.116067,1.222132,1.068026,2.069132,3.248982,4.113899,2.715535,1.471334,1.048378,2.229219,4.574175,5.19277,5.024903,3.663784,2.689794,-0.456803,-1.727671,-1.052027,-0.459148,0.608986,3.642944,6.135293,8.789636,8.096581,8.657167,6.595934,4.768558,6.327291,0.212512,-4.547005,-6.037712,-6.646163,-8.879076,-9.343524,-9.592161,-9.613146,-9.736047,-9.780713,1
-2.912068,-4.522207,-4.949513,-4.959448,-5.158224,-5.484566,-5.474324,-4.909412,-3.63814,-2.86355,-1.464432,1.687082,3.278277,4.519625,5.67692,4.334155,3.662306,3.272711,3.202002,1.865775,1.130794,0.990543,2.238878,3.361961,3.85152,2.816248,1.483304,1.091367,2.60874,4.709318,5.359867,5.033167,3.578379,2.108134,-1.105566,-2.100065,-1.198148,-0.692641,0.841094,4.103269,7.086372,9.033952,7.05759,8.498561,5.514782,4.257798,5.324146,-0.955021,-4.880999,-5.590508,-5.944928,-8.534297,-9.034528,-9.244052,-9.252661,-9.343404,-9.365935,1
-2.379456,-3.894015,-4.345968,-4.734779,-5.030784,-5.12649,-5.147692,-4.524908,-2.928031,-2.000404,-1.31986,0.9999,2.388323,3.157329,4.38781,3.771306,3.576518,3.232462,3.681844,2.815398,1.816446,1.547757,2.372671,3.42168,4.22755,3.224723,1.943495,1.48432,2.36979,3.729549,4.903279,5.110338,3.923056,3.051503,0.018556,-1.294406,-0.321198,0.010928,0.655345,2.891813,4.589791,7.100821,6.718296,7.871198,6.323224,5.012815,6.746839,1.217646,-4.319301,-5.919859,-6.772894,-9.31611,-9.934392,-10.149681,-10.199113,-10.292403,-10.342575,1
-2.405099,-3.867976,-4.436239,-4.627915,-4.911093,-5.183308,-5.244854,-4.687187,-3.411292,-2.544941,-1.301503,1.44312,2.692637,4.453925,5.64069,4.051979,3.617279,3.114093,3.402469,2.39847,1.358773,1.111109,2.187218,3.664225,4.090881,2.75864,1.352999,0.806826,2.270997,4.424251,5.275836,4.900404,3.270085,1.882788,-1.183518,-2.430136,-1.509007,-1.104509,-0.017181,3.511575,6.713004,9.107889,7.745538,8.483941,5.678341,4.416404,6.150074,-0.33663,-4.718368,-5.891114,-6.446,-8.680685,-9.173172,-9.388199,-9.41301,-9.512841,-9.550685,1
-2.16552,-3.693409,-4.359867,-4.511638,-4.780077,-5.025696,-5.16404,-4.609117,-3.41756,-2.760975,-1.752534,0.856515,1.986346,3.397379,4.018237,3.422293,2.943064,2.704649,2.776404,1.766995,1.107536,0.957446,2.198533,3.202204,3.808488,2.684566,1.533146,1.228923,2.339564,4.211783,5.133583,5.392348,3.776406,2.494214,-0.235443,-1.686618,-1.071645,-0.73359,0.513563,3.733459,5.999556,9.400324,8.251416,8.725969,6.441418,4.966404,6.593821,0.715961,-4.089852,-5.33549,-5.914379,-8.872541,-9.524642,-9.790572,-9.828454,-9.952965,-10.005888,1
-3.001875,-4.136543,-4.516968,-4.84071,-5.063259,-5.027248,-5.100546,-4.783034,-3.180236,-2.024277,-1.0763,1.431836,3.048835,4.643411,5.200148,4.213909,3.569274,3.130035,3.455603,2.379321,1.51252,1.308906,2.326929,3.873201,4.724168,2.817731,1.495474,1.179488,2.586552,4.795325,5.403983,4.945872,3.520923,2.346193,-1.022126,-2.281605,-1.537792,-1.202129,-0.368001,3.022717,6.468822,8.837942,7.3309,8.105145,4.962027,4.40872,6.603267,-0.898198,-5.182277,-6.905531,-7.455931,-8.703675,-8.879952,-9.071032,-9.05599,-9.155025,-9.178913,1
-3.260918,-4.803125,-5.102572,-5.187873,-5.222173,-5.423877,-5.414337,-4.792348,-3.324154,-2.558241,-1.293337,1.400127,2.787403,4.056047,4.857744,4.073691,3.670536,3.14423,3.314485,2.357334,1.395574,1.345531,2.233589,3.459447,4.013094,2.966861,1.692597,1.330066,2.77156,4.484882,5.344951,5.10732,3.466301,2.316498,-0.698453,-2.010965,-0.751509,-0.536281,0.461584,3.551561,6.491273,8.872897,7.376479,8.266016,5.226138,4.430878,6.340396,-0.032493,-4.632531,-5.76502,-6.336728,-8.638887,-9.1393,-9.346823,-9.370035,-9.463306,-9.501804,1
-3.383341,-4.401334,-4.733359,-5.025016,-5.204789,-5.096298,-5.11076,-4.817322,-3.379199,-2.079067,-1.300043,1.381635,2.975705,4.497434,4.700862,3.676555,3.402984,2.73505,2.897942,1.801416,1.113658,0.95562,2.185491,3.746239,4.298274,2.658835,1.222662,0.772752,2.471712,4.965182,5.671587,4.990934,3.403981,1.992782,-1.245675,-2.396303,-1.565263,-1.180251,0.07042,3.937631,8.011594,10.87992,8.11515,8.753096,4.532655,3.840787,5.672434,-1.244047,-5.19531,-6.589221,-7.028657,-8.263876,-8.441048,-8.624573,-8.607427,-8.69877,-8.72203,1
-3.299426,-5.025017,-5.193522,-5.085738,-5.17856,-5.448374,-5.35056,-4.837048,-3.559594,-2.933029,-1.154145,1.878408,3.409849,5.053199,5.876505,4.716207,3.869382,3.595205,3.422157,2.174285,1.464804,1.494551,2.68234,3.600946,4.007829,2.843231,1.783345,1.112268,2.79727,4.72418,5.11193,4.776714,3.204257,2.001799,-1.261602,-2.412248,-1.484127,-1.123696,0.127782,3.437389,6.775271,9.040746,7.072033,7.510559,4.860086,4.098772,5.755253,-0.010054,-4.382207,-5.582194,-6.206985,-8.530854,-9.030978,-9.238613,-9.248113,-9.337486,-9.364382,1
