@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute target {1,2,3,4,5}

@data
-14.211481,-11.942409,0.415958,-3.489505,-0.878655,-3.568222,-2.673779,-3.888572,-1.081779,-0.558476,1.137179,0.824508,2.161085,2.515185,3.366169,3.079729,2.457438,1.983261,1.542874,2.234817,7.712307,9.886036,2.42076,-1.6175,-1.410787,-1.386318,3.015111,1.955066,1
-17.207201,-8.494238,3.126093,-0.496741,1.230712,-1.082451,-0.734346,-2.08885,0.081883,0.618198,1.496377,0.619639,1.441553,1.431109,2.474949,1.87837,1.878234,0.839787,1.042822,3.989721,9.926585,6.220431,-2.296649,-4.188736,-3.700923,-3.059147,3.92204,1.130778,1
-14.570625,-10.505172,0.388533,-3.203392,-1.178242,-3.349926,-2.382314,-3.740364,-1.142117,0.139164,1.449207,0.86865,1.676218,1.716005,3.171439,2.937328,2.419168,2.200526,1.953819,4.987356,10.118134,7.929888,-0.343149,-1.388373,-2.8244,0.685513,2.167498,-0.18037,1
-12.340797,-13.677528,1.712677,-2.721343,0.294421,-3.069381,-2.159102,-4.103417,-1.83797,-1.141417,0.967874,0.10729,1.7363,1.374996,3.066431,2.648362,3.161479,2.114196,2.418687,4.631533,9.513274,6.555747,-0.49799,-2.273595,-1.971708,-1.64663,3.380235,3.757377,1
-9.170812,-13.764595,0.949487,-3.985791,-1.610586,-5.21879,-4.256383,-6.10579,-2.607103,-1.284993,0.711624,0.284179,1.529603,1.826656,2.893905,2.572586,3.128912,2.484644,2.113337,2.521235,6.994725,8.443678,2.47383,-1.449433,-0.805441,-0.285316,5.167708,6.448925,1
-16.56564,-7.353997,0.025742,-2.53579,-1.510213,-3.74918,-3.638466,-4.518552,-2.192906,-0.869449,-0.003052,-0.267621,0.632615,1.212094,2.508694,2.898575,2.437512,1.729133,1.825472,4.508468,9.517331,7.4186,0.170193,-0.911448,-0.810094,0.590062,5.69228,3.759641,1
-14.914514,-11.281173,2.038348,-2.213646,0.129787,-2.761813,-1.819911,-3.946296,-1.497419,-0.375816,1.130172,0.481412,1.677033,1.156323,2.688661,2.44721,2.639988,1.211499,2.147032,4.489361,9.6867,6.244639,-0.974455,-2.802341,-1.856031,-1.473941,4.560658,3.188532,1
-11.677553,-12.901013,1.723816,-3.06172,-0.490922,-3.855158,-2.791788,-5.285095,-1.888253,-1.164808,0.91547,-0.176525,1.227711,1.15247,3.268292,3.144661,2.994231,1.819088,2.413741,4.774993,9.211258,5.581436,-0.848826,-1.733219,-1.746924,0.102496,6.689985,2.602156,1
-12.719736,-12.701732,1.58241,-3.184467,-0.183695,-3.594676,-2.674936,-4.834561,-1.185549,-0.412191,1.195004,0.342137,1.623503,1.822555,3.570669,3.00723,3.376966,2.102419,2.304212,2.172749,5.515314,3.78219,1.429705,-1.223443,-0.431431,0.073279,11.341592,-2.095517,1
-10.005072,-10.150142,-2.102056,-4.242084,-2.501863,-3.896137,-3.333613,-4.110588,-2.84907,-2.723201,-1.682557,-2.283822,-1.627002,-1.4409,-0.338105,0.11682,0.719815,0.632825,1.38634,3.503747,5.773351,3.309849,0.363588,3.976762,5.381893,7.973876,11.576084,8.571262,1
-15.072108,-9.518421,1.671083,-2.260049,-0.283039,-3.994423,-3.286585,-4.816983,-1.99124,-1.141701,0.517029,0.383204,1.472513,1.910038,3.269178,2.336099,2.294864,1.38827,1.384496,1.80055,7.390008,8.504115,1.863424,-2.10336,-0.891993,-0.761278,5.469465,4.466844,1
-12.807902,-10.774821,0.744056,-3.440411,-1.312663,-4.190571,-3.65882,-6.21656,-3.999451,-2.506522,-0.206795,-0.583717,0.459287,0.52135,2.231827,2.455806,2.549796,1.916425,2.027709,2.550447,6.557968,8.43673,2.981029,0.332145,1.027021,1.906225,7.82189,5.178522,1
-15.920399,-10.37945,1.014987,-1.775027,-0.41257,-2.848972,-2.490142,-3.403891,-0.992265,0.134677,1.406255,0.398294,1.383432,1.510423,3.039613,2.611803,2.409717,1.638293,1.914803,4.733771,10.655596,4.906709,-2.121454,-2.408903,-2.411169,-0.170358,5.440941,2.135288,1
2.761942,-15.323079,9.949987,3.335985,6.534269,0.345172,0.805738,-4.330305,-2.023523,-1.282258,1.714007,0.216527,1.770413,0.565784,3.094112,1.89788,2.572873,-0.619527,-0.334343,-2.395042,-0.834678,1.974754,3.17352,-5.395828,-4.652723,-7.582905,5.06629,-1.005039,1
-15.128307,-12.164183,-0.55247,-3.694027,-1.035833,-3.166028,-2.196889,-3.713515,-1.529362,-0.872924,0.531628,-0.02901,1.186433,0.949849,2.552444,2.956854,3.109602,2.341704,2.677293,4.228539,8.439894,6.116092,0.644062,-1.081997,-0.705065,0.244488,6.612791,3.277937,1
-13.809709,-10.806279,0.224864,-3.256077,-1.372139,-4.01655,-3.437439,-4.77827,-1.700725,-0.583779,0.934196,0.603258,2.005389,2.425231,3.644396,2.950828,3.061613,2.041696,1.869706,3.368692,8.524259,7.30298,-0.139962,-2.234905,-2.143906,-1.080192,4.479753,5.92307,1
-9.821861,-15.50847,0.518583,-2.986308,-0.45986,-3.448513,-2.233848,-3.773409,-1.01294,-0.72058,0.810419,-0.189749,1.340055,1.260273,3.138761,3.06334,3.354897,1.949212,2.633418,5.578309,9.894504,5.26539,-0.96777,-1.980523,-1.970674,-0.520759,5.803554,0.984547,1
-13.9075,-13.718381,-0.241476,-3.022588,-0.48208,-2.571663,-1.297786,-2.188685,-0.027645,0.226742,1.099404,0.523206,1.13752,1.552418,2.478768,2.843547,2.677902,2.292955,2.285221,6.044788,9.130523,7.03289,0.068367,-0.181517,-1.738818,2.065791,2.714626,-4.796529,1
-6.162907,-13.619275,4.478819,-1.730902,1.594206,-2.697188,-1.620731,-4.235659,-1.115773,-0.891285,1.38538,0.274398,2.002442,1.521247,3.25293,1.966824,2.073229,0.486761,1.127914,3.741292,10.14873,5.023693,-2.709606,-4.583378,-4.175599,-3.636091,4.838428,3.2621,1
1.449145,-15.62581,2.953857,-1.931954,0.37543,-4.080051,-4.270956,-8.229058,-6.027442,-3.982451,-0.877107,-0.763137,1.301278,1.228037,3.126767,2.650958,3.127105,1.998858,1.672251,0.916516,1.440985,4.518381,6.053216,0.146769,-1.008576,-1.013069,4.314902,10.535155,1
-16.057518,-10.559869,-0.624134,-3.137987,-1.300547,-3.024053,-2.697414,-3.399636,-1.330461,-0.39317,0.520622,-0.04167,0.771161,0.973914,2.202893,2.532034,3.294712,2.211411,3.040194,5.248504,8.875235,5.034209,0.518616,-0.467607,-0.032976,1.487859,7.66291,-1.307235,1
-6.955696,-14.700656,3.499764,-1.671689,1.132005,-2.900618,-2.029379,-4.64233,-1.710483,-1.335229,0.88535,0.210825,1.527543,1.15633,2.678815,1.554344,2.151781,1.018426,1.212734,3.214197,9.554989,8.277482,-0.306265,-4.361191,-3.172896,-3.682878,5.244879,4.149843,1
-16.210802,-10.694017,-0.813199,-3.094535,-1.310814,-2.552548,-1.387274,-1.844524,-0.381844,-0.245058,0.275028,-0.20594,0.012535,0.557841,1.708747,2.752609,3.143608,2.866815,2.540742,5.621984,10.02561,8.058833,1.030058,-0.090422,-1.434077,1.958623,2.977235,-3.265212,1
-13.130623,-8.961313,-3.280092,-5.052721,-3.907892,-5.093204,-4.722668,-5.145209,-2.924598,-2.242432,-1.181006,-0.958864,-0.034786,0.618979,1.642307,2.007769,2.396755,2.341553,2.773382,4.212722,6.817399,6.07099,3.280249,2.979142,3.13236,4.863938,7.191809,6.306056,1
-13.033963,-10.423022,0.02583,-3.384513,-1.601027,-4.403918,-4.005677,-5.249309,-2.729523,-1.623593,0.282549,-0.297527,1.031219,1.031995,2.537486,2.589175,2.508225,2.024446,2.120236,4.361338,8.745017,6.819043,0.412267,-1.028604,-1.034162,0.129763,6.931215,7.265035,1
-5.520429,-16.883875,1.043125,-2.884366,-0.203538,-3.777218,-2.887288,-5.458161,-2.685323,-1.596987,1.144642,0.587195,2.059445,1.800177,3.635344,2.693609,2.904732,1.759625,2.232572,1.252617,3.723875,9.773704,9.336825,-2.071053,-0.948459,-3.251258,3.174324,1.046143,1
-14.028802,-13.641107,0.495363,-3.16668,-0.754211,-3.163053,-2.393205,-3.761306,-0.962294,-0.430141,0.617809,-0.037264,1.187846,1.340776,3.372361,3.240857,3.576205,2.144198,2.381616,2.575858,7.474511,7.547951,2.165729,-1.924993,-0.616061,-1.772468,7.549247,0.981258,1
-1.780826,-14.891034,-0.746017,-3.916936,-1.685771,-4.685904,-4.229096,-6.417661,-4.4146,-3.100212,-1.05389,-1.363475,-0.229437,-0.218042,1.111492,1.17426,1.796059,1.045831,1.425007,1.438166,5.383844,9.670376,6.703738,0.661728,1.389898,0.986906,6.316278,9.629318,1
-20.777544,-4.764124,-0.09433,-1.033084,-0.858857,-2.110227,-2.413736,-2.411583,-0.650261,0.437507,0.588247,0.859229,0.934584,1.631802,2.80595,2.428415,2.12667,1.601742,1.753802,4.463169,8.827358,6.108199,-0.601502,-2.150614,-1.951591,-0.905756,4.850583,1.305952,1
-15.715974,-11.312376,0.574504,-2.731501,-0.54344,-2.76006,-1.790683,-3.242608,-1.013654,-0.747191,0.34616,-0.634766,0.806414,0.589754,1.989928,1.60251,2.424202,1.496221,2.386714,5.007092,9.14014,5.387458,0.041632,-0.532292,-0.059595,0.746505,7.910722,0.634184,1
-1.213488,-1.540272,-1.640558,-2.062446,-2.423659,-1.91513,-0.621677,0.617863,0.525446,0.435244,0.504747,0.937145,2.961451,3.447918,2.789019,3.302936,7.028839,10.227253,4.324435,-1.118353,-1.681648,-1.446424,2.335074,5.378473,-4.706813,-18.502356,-4.290807,-1.652212,1
-7.27347,-4.322547,3.394817,5.177989,7.190191,7.695877,7.832064,5.269781,2.760374,1.969839,2.544355,1.879546,1.322359,0.487313,0.723951,-0.29167,0.143064,-1.008094,-0.971444,-1.762126,-1.740624,-0.334262,4.981576,-2.215944,-7.307761,-8.919466,-5.051922,-12.173764,1
-18.255273,-8.870206,0.166619,-1.857076,-0.390553,-2.073878,-1.868747,-2.485673,-0.310124,0.570226,0.946973,0.658147,1.448521,1.649266,2.787206,2.553468,2.624642,1.598307,2.356493,4.708434,9.438661,5.263174,-1.158222,-2.652463,-2.272451,-1.22517,5.634835,1.014864,1
-8.735516,-10.758675,-4.386368,-5.853567,-4.435297,-5.217187,-4.392821,-4.867735,-3.778149,-3.069369,-1.553737,-1.374563,-0.514138,-0.059599,0.884825,1.277994,1.873372,2.154911,2.469225,3.010905,5.510281,7.793906,5.157548,3.963313,4.375266,5.369465,7.754237,7.401476,1
-7.536747,-12.620197,0.587031,-3.963844,-1.238324,-4.88578,-4.918055,-7.403002,-4.297684,-2.419528,0.418301,0.2644,1.907014,2.161977,3.995495,3.549517,3.321724,2.120609,2.62588,1.456027,5.007938,9.569114,6.236361,-1.627816,-0.458207,-1.875449,3.299793,6.723451,1
-12.232237,-11.765954,1.375849,-2.959459,-0.803915,-4.142599,-3.404428,-5.489998,-2.229661,-1.405016,0.337386,-0.505483,0.727553,0.86976,3.015744,2.72017,3.115468,1.45577,1.808049,1.77495,7.057674,6.993304,2.465137,-1.674966,-0.318332,-1.302472,9.196395,5.321313,1
-10.539119,-13.935216,-0.42034,-3.191478,-2.031034,-3.439056,-1.551695,-2.26294,-1.477928,-1.667437,-0.121421,-1.655596,-0.492009,-0.052696,1.47894,2.006545,2.439227,2.065948,2.25297,2.332776,7.074711,11.136607,4.702193,0.730433,2.287265,3.188144,6.071481,-4.929277,1
-12.129617,-11.652342,-3.013686,-5.285919,-3.254745,-4.75501,-3.918772,-4.836532,-2.711985,-2.195998,-0.694985,-0.708352,0.19587,0.592856,2.02799,2.350357,2.289844,2.397498,2.527401,3.757461,6.684436,6.822181,2.910371,2.331019,2.4787,3.532233,6.57717,7.682556,1
-13.795412,-10.819159,1.18329,-2.986363,-0.972908,-4.047912,-3.39388,-5.458977,-2.353072,-1.549313,0.712026,0.746255,2.018302,2.580008,3.828716,3.109863,3.01342,1.953539,1.93512,2.431282,7.532656,7.737735,1.765671,-1.784656,-0.564698,-0.440922,5.688661,1.930727,1
-8.047337,-18.076608,2.855537,-1.599358,3.465305,0.37128,1.758056,-1.616,1.429113,1.333608,3.604416,2.22621,3.30382,2.670213,4.114325,2.622552,2.988194,0.558709,0.913834,-0.412172,0.864946,2.935435,2.507589,-3.978566,-4.371713,-6.393628,1.125109,2.847132,1
-6.695623,-13.225975,0.728988,-3.891395,-1.599217,-5.321594,-4.740413,-7.087962,-3.996974,-2.973146,-0.543867,-0.990006,1.38109,1.719948,3.327372,2.377159,2.58434,1.325105,2.287444,1.428714,4.501272,9.296276,9.193121,0.181127,0.610498,-0.575727,5.273748,5.425698,1
-10.380884,-13.025663,1.191057,-4.849832,-1.315695,-2.790992,-0.915758,-3.121212,-2.423358,-2.86561,-1.011524,-1.818202,-1.219213,-1.658651,-0.688896,-0.745251,0.33002,0.272228,1.460533,1.414145,2.785403,3.195874,7.94442,6.916015,2.893054,3.384814,5.318977,11.724199,1
-10.358529,-11.597236,-2.851947,-5.404873,-3.41265,-5.111812,-4.283595,-5.075374,-2.921955,-2.512891,-1.228769,-1.460481,-0.205316,0.106581,1.636242,1.841796,2.282846,2.010226,2.511297,3.504696,6.394587,5.633179,3.566808,2.978448,3.741136,4.724072,10.011606,5.481909,1
-11.88575,-11.429623,2.493415,-2.643277,-0.241829,-4.305998,-3.603097,-5.253594,-0.798846,-0.378491,1.429381,1.18864,2.612676,2.774402,4.052161,2.707481,2.414796,1.160036,1.196348,2.151422,7.707809,6.50471,-0.737994,-3.258919,-3.236599,-1.38292,5.25991,5.503748,1
-11.392065,-12.900778,0.551822,-3.601353,-0.879029,-4.219049,-3.230424,-5.366542,-1.894407,-0.989802,0.880386,0.651377,2.117954,2.247735,3.566685,2.458622,2.370333,1.873582,1.793407,2.616046,7.63116,9.156357,1.654491,-1.94828,-1.748673,-0.803775,5.829493,3.574728,1
-16.817773,-11.861469,-2.140557,-2.959475,-1.880836,-2.375506,-0.974704,-0.893781,0.899488,2.744181,2.906019,1.70948,2.105939,1.726867,1.44194,2.064439,0.76081,1.791094,4.302643,8.276462,8.479081,4.341354,0.106565,-0.03253,-1.335912,1.231262,-1.062582,-2.552498,1
-14.927905,-10.398169,-0.734612,-3.6453,-2.043943,-4.157447,-3.975028,-4.22637,-1.646377,-0.775992,0.657383,0.622307,1.5919,2.167936,3.489619,3.125829,2.8049,2.236128,2.3166,3.494189,7.824563,7.693382,1.160152,-1.432091,-1.153602,-0.536391,5.132616,5.335725,1
-12.40369,-12.744809,3.817516,-1.830765,1.215728,-3.590302,-2.793028,-5.481393,-1.964244,-0.457403,1.70484,1.405242,2.825611,2.749235,4.77078,4.153351,3.957393,2.503252,1.994569,1.04839,2.336019,5.885295,4.067938,-2.244889,-2.541009,-2.791208,6.003126,-1.595543,1
-8.204999,-13.76637,3.180919,-2.503805,-0.213833,-4.311813,-3.435376,-6.154531,-3.330458,-2.433453,-0.005868,-0.545346,1.317933,1.229406,3.546539,2.069509,2.832,1.253388,2.017263,0.630325,3.668656,9.468553,9.089868,-0.977423,-0.48478,-2.68379,6.046985,2.700496,1
