@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute target {1,2}

@data
0.221196,2.61038,1.951088,4.584797,9.289936,-1.481962,4.087213,4.916116,2.771226,-0.322796,2.018301,-2.256654,1.80933,-1.868763,3.055885,-1.609984,-1.214963,-1.662508,0.246064,-3.830072,3.14108,2.125719,0.847221,-0.815635,-0.75933,-3.576856,1.460766,-1.959459,2.705417,0.379426,1.986469,0.282831,4.255228,-2.846725,1.513895,-1.872993,1.421594,2.611903,2.866913,2.431574,-2.968516,-2.605968,0.040029,1.237023,-4.32645,-0.073329,0.992093,1.770263,-2.030448,0.835643,-1.087045,-0.878863,-2.239065,-1.482459,-0.686525,-3.713651,0.616059,2.529268,-4.19293,2.557707,-2.265352,-0.836844,2.57224,-2.328093,1.213623,1.983204,-1.83368,3.12424,2.610812,-3.225858,3.026818,-2.475977,-2.857976,-0.560391,0.571682,-3.491696,0.520942,-0.748585,-3.395567,-0.813176,-1.159776,0.945641,1.678114,0.433584,-1.749171,-0.113984,-0.207538,-2.690222,-2.731812,2.220928,-2.172076,1.527773,-1.653736,-2.088834,5.132565,-3.025436,-0.578781,-1.517813,-3.181097,-0.931318,0.803369,-3.345922,-0.190531,2
1.152122,-2.721352,-1.123567,-2.313259,-0.973204,1.109398,-2.180878,0.934174,1.213787,-1.289123,-2.375926,1.671139,2.172527,-0.349821,3.068865,-2.0263,-1.358971,-2.119374,-1.415605,-2.102085,-1.199567,2.919037,3.424053,2.688173,-1.733467,-1.77043,-1.738194,-1.757925,-1.786172,-1.659116,-1.993462,-1.040141,3.391195,0.163164,-0.32574,-2.946244,0.746487,1.159058,4.22415,-0.73634,-1.913175,-1.76527,-1.675087,-1.874921,-1.61099,-1.907886,-1.659984,-0.555415,2.365641,2.323329,3.02167,-0.071396,-0.990413,11.219691,0.24083,6.390277,-0.132198,1.167474,2.644767,-3.96858,0.88288,-0.901172,-1.453998,-2.241696,-1.157327,0.788594,-1.081576,-2.706672,0.265846,0.478753,-2.16162,1.212024,-1.597788,-1.981891,-1.459666,-2.124654,-1.292225,-2.369262,-0.754763,0.991315,-0.502675,1.813923,-1.857969,-1.901028,0.935122,-1.514148,-1.851817,-1.590692,1.400337,-2.129314,-1.652426,-0.149775,0.238349,-1.871926,11.665072,7.893517,8.832822,1.137734,-2.547487,-1.065363,2.227726,3.15748,-2.25199,1
1.790024,-1.022251,0.756151,0.162981,2.936153,-0.174667,3.51168,-3.732134,0.278312,2.912977,5.227275,-3.446338,-0.289592,-2.511659,-1.030711,-0.012265,6.501493,2.314438,2.289737,-3.947812,2.628644,0.897526,5.054621,-1.87938,1.906259,0.049632,-2.078343,-1.321513,-1.740383,-1.387385,-1.900817,-0.57343,3.511293,-2.784646,-0.654469,-2.498147,2.604123,0.945178,-1.443795,-2.13793,1.304179,-0.820148,-1.929076,0.617992,1.767083,-0.70644,0.870245,-0.687454,0.681094,0.657087,-3.195676,0.635098,0.372168,-0.060558,0.693459,-2.591628,3.732981,4.621763,0.429715,-0.630692,-2.812369,1.015077,0.09001,0.18024,-0.028368,-2.140244,-1.294122,-1.684528,-1.579725,-1.452701,-1.80934,-1.175975,-2.240585,0.025444,0.458586,-1.732942,0.697634,1.068241,-0.944904,7.744746,9.943725,-2.310467,-0.745459,-2.295137,-0.931345,-2.149263,-1.039051,-2.068626,-1.107821,-1.948269,2.073309,-2.745624,1.488857,-0.517445,-1.818157,-1.511747,-1.553583,-1.620016,-1.55783,-1.009192,7.576264,-0.240157,-1.76916,1
-2.661843,-2.574058,-2.755116,-2.468477,-2.883334,-2.298733,-3.138715,-1.781276,0.944512,1.554407,-0.126788,-1.691445,-0.064603,-3.987135,-0.443166,1.366989,-0.568771,-3.903403,0.141987,0.317499,-1.021046,-2.962294,-2.417211,-2.828459,-2.504643,-1.228802,0.092227,2.123418,-3.330447,-0.076779,1.642738,-1.483011,3.128408,-3.460829,0.034381,-3.270851,-1.979697,-3.440856,-1.231238,-0.046126,0.662429,-1.342893,-0.560756,-2.267622,-2.777248,-2.776279,-0.084678,2.235168,-4.015428,-1.342071,-1.882801,-0.611616,4.401059,-3.714131,-1.223476,0.092551,-0.995285,0.676271,-1.385732,-1.593335,0.712721,1.670204,-0.173156,-3.377238,-1.700192,1.475158,5.65154,3.795847,4.236851,4.263155,2.401078,2.206634,1.269193,1.385221,4.207919,3.51593,1.351902,5.325259,-4.001306,0.594678,-1.941846,6.791754,1.941609,7.346592,2.682534,4.719891,1.661991,1.240588,-0.698068,-2.467438,4.932729,1.851956,-0.006259,3.424733,-2.164039,-1.776274,0.691094,5.898226,0.828814,3.061104,-1.506558,1.292554,-2.828631,1
2.886449,1.893418,3.694011,1.238731,-3.333876,-0.245163,-0.715204,0.999118,1.210861,0.475713,-4.216639,-1.42962,-1.928763,-2.395309,1.683162,-2.709309,-0.942354,0.945642,3.788602,0.378218,-3.658476,-1.526068,-1.743076,-2.047518,-0.939189,2.649552,1.127771,4.32892,-2.881242,2.469011,0.156823,-2.387635,-2.721829,1.067894,-3.151816,4.032543,1.381779,-1.41045,2.183647,-2.434462,2.146678,-0.818142,-2.636646,0.678569,-2.841019,-3.122526,-2.812378,-1.746956,6.417058,7.652036,-0.141603,1.209775,6.25208,-1.532471,-2.71489,-0.342441,-3.611718,4.438536,3.089267,-0.735855,-0.917697,-0.760488,0.798179,3.352362,0.663017,-0.779571,-0.205583,-1.493185,1.53983,-0.039896,-4.07882,0.366992,-0.349643,0.465048,-0.174044,0.92332,-3.107606,-0.802565,-3.023589,-0.889398,-1.951603,-1.395604,-4.047813,-0.800263,1.421079,-0.114951,0.049537,-0.992838,1.555979,6.344415,-3.289249,1.439629,-0.360918,1.520889,0.626265,-0.728631,3.846469,5.036671,-1.0075,-1.982998,-0.807676,-1.018738,0.569969,2
5.091285,-3.278793,0.170986,-2.457038,2.403043,-0.562207,-1.466168,-0.862425,-1.85001,1.322497,1.30318,-2.1941,-0.522069,-1.718681,-0.692484,7.241102,3.582919,-2.665783,2.29314,3.858314,-0.64853,-1.698892,-0.582517,-2.078081,0.755224,4.442087,-2.369898,-0.467034,-1.809019,-0.55157,-2.019877,0.294785,1.329134,1.028683,7.123849,-4.036886,2.856038,-0.256924,-1.044578,-1.544966,-0.758707,-1.68903,-0.640124,-1.821285,-0.466314,-2.075943,-0.045182,-2.948879,4.573033,-0.852536,3.297989,8.883523,-3.610902,0.497323,-2.812006,1.604147,0.629589,-1.540667,-0.979424,2.811775,-1.529021,-0.930258,-1.447569,-0.931221,-1.485418,-0.844457,-1.677595,-0.231665,2.09295,-1.641977,-1.047469,2.560771,-1.127279,-1.117996,-1.498285,-0.000564,1.758701,-2.219948,-0.414107,-1.938771,-0.356403,-2.391036,3.15739,0.128943,-1.584169,-1.06142,-1.191392,-1.299532,-0.985674,-1.537063,-0.626298,-2.302542,3.657339,2.033464,4.746477,-1.016313,1.29097,1.791942,-3.202795,1.296935,1.110666,2.086017,0.15156,1
-2.15348,-2.068212,-2.317128,-1.088017,3.058717,2.260827,3.523056,0.575398,-2.377817,-1.820781,-2.531075,3.648361,-1.559837,3.329042,3.180669,-4.442502,2.766206,-3.324929,0.131971,-1.406314,-1.799911,-2.556369,2.777347,-2.414275,4.882936,3.447858,-2.549231,1.107126,-1.008701,-1.224371,-2.524366,-2.150946,-1.106784,-0.020566,-2.395404,4.345121,-3.206104,-1.341331,-2.844594,-1.290208,-0.092747,-2.325723,-1.774972,0.699375,-2.486468,-2.185802,-0.775155,2.297276,-0.450465,1.140074,-1.543615,-0.401575,-0.918474,2.565223,-2.192649,7.579769,3.880622,0.355247,0.347954,0.090941,-1.376505,2.04934,-0.006186,-0.239785,1.865964,4.794751,1.610734,-3.385672,-1.22291,-0.349892,-1.538137,-1.080585,1.606929,0.856063,-2.53946,2.047894,1.540645,-2.7956,-1.424742,-3.061988,3.098443,0.710451,-2.16112,3.55062,0.044311,-3.528593,-0.304566,1.010758,-1.703373,-3.249381,2.068422,-0.383844,0.916125,-1.995136,6.716802,2.154543,-0.6213,3.239885,-2.128085,2.355453,1.143291,3.852233,-1.457017,1
-2.594315,1.185292,0.553612,2.750167,-0.863408,-2.936848,6.883971,-0.219583,1.792704,1.713364,0.985019,-3.137113,3.103304,-2.095416,1.191991,3.234751,3.833631,0.980708,-1.551415,0.799899,-2.813421,1.49288,-3.851184,-0.819233,-1.207361,-3.336557,-0.911213,-1.602092,-1.805833,-0.581723,3.73417,-1.673524,3.018697,-1.972817,1.628315,6.90089,-0.454418,-2.613439,-3.005454,-2.423949,-3.074256,2.119545,-2.375823,-2.79745,-1.576664,2.506386,-0.231221,-2.387043,1.142826,-2.983381,2.010504,0.428153,-1.887318,3.847433,-0.074445,1.559477,1.359908,0.154629,1.005169,0.646562,-1.907323,2.150784,0.293249,-0.921867,1.496061,-3.389092,-1.360816,-0.157868,4.869333,1.503024,-1.582705,-3.493629,5.164832,2.297273,-3.216186,0.721655,5.272875,-0.328581,-3.824913,-1.882556,-3.565061,-1.609232,-0.240498,-0.539453,-0.397302,0.681685,-1.479873,4.293295,0.498511,5.652953,3.930026,-3.957583,0.37252,-4.190731,-1.535374,-3.740993,5.226903,0.802698,3.403554,0.718984,-3.47413,-2.436454,-2.824028,1
-1.021712,-1.053798,-0.989014,-1.087781,-0.952935,-1.127008,-0.90909,-1.177667,-0.848113,-1.254997,-0.743004,-1.412404,-0.469854,-2.028899,2.412747,7.919375,1.176524,-0.759007,2.884185,-1.388015,-0.801819,-1.234165,-0.818674,-1.262403,-0.761615,-1.356262,-0.564298,3.97832,-0.919725,-1.28456,-0.684219,-1.466012,-0.481402,-1.737568,-0.053471,-2.606567,10.968433,4.949179,-2.16095,-0.669286,-0.632703,4.067252,-1.914072,-0.543379,-1.303951,-0.962532,-0.64492,4.774058,-2.073913,0.072474,4.942411,-1.510334,-0.747598,-1.291427,-0.734031,-1.394698,-0.55437,-1.683348,-0.05072,-2.786744,5.254495,4.197591,-2.933172,0.189894,-1.961636,-0.244845,-1.741112,-0.336624,-1.766739,-0.139668,-2.376859,2.977626,5.626566,-2.819319,0.343127,-2.551148,1.813977,6.068048,-2.086295,-0.572751,-1.238819,-0.98393,-0.913904,-1.401521,0.212831,2.542207,6.741601,-0.111785,-1.898933,0.539946,2.728535,-1.894848,-0.433961,-1.595905,-0.375718,-1.947932,0.906863,4.78737,-2.018707,-0.557173,-1.292259,-0.892262,-1.07278,1
1.528296,-2.96783,-2.004226,-0.385617,1.273904,-0.535052,-0.496293,-0.198433,1.750429,-2.238322,0.626561,0.970028,-2.887182,0.983015,-1.539201,-3.720202,4.548502,-2.979429,-0.862445,-1.378729,1.483566,4.752282,-3.305204,-0.230521,-3.844363,3.519183,5.65362,3.432862,-1.046993,0.635705,-1.111629,-0.940767,1.496407,2.654683,0.360378,-0.296139,-1.464389,0.949272,-0.805028,1.588323,-2.557781,-0.131093,2.472505,-0.832257,-3.673826,-0.557285,4.220735,0.325939,-0.531078,2.307685,-1.967984,0.329229,-3.316318,1.241467,-2.369806,1.604996,-1.179703,-2.613098,0.65236,-2.059949,-2.855306,3.080775,-0.325128,-1.585398,-0.932093,-1.782003,-0.730218,0.461979,0.475841,0.963768,4.808509,-1.653902,-0.18898,0.44685,-2.796428,-0.678215,-1.081691,-0.818755,-0.387247,-3.300745,-0.838508,3.281972,-0.463047,0.894358,-2.0796,-3.283848,-0.919653,-0.466321,-0.799381,-0.596248,-3.389468,0.698832,1.190532,2.971734,-3.330472,-1.593366,0.096363,10.590604,12.245031,2.031759,3.352938,-2.37055,-2.67904,1
