@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute target {1,2}

@data
-3.208388,-3.20679,-3.288584,-3.305702,-3.318632,-3.294284,-3.305217,-3.259309,-3.248338,-3.199164,-3.226818,-1.171466,3.214808,7.737048,9.199215,9.09523,9.274068,9.078577,8.831851,6.471752,2.747613,-2.024098,-3.922968,-3.398667,-3.331483,-3.193491,-3.171258,-3.179085,-3.199974,-3.196448,2
-3.229389,-3.199803,-3.153372,-3.128654,-3.028,-3.075756,-3.017582,-3.024813,-2.947791,-2.861229,-0.901286,3.167175,7.173783,9.392011,9.51051,9.612734,9.618588,8.728461,5.650456,2.031372,-2.57256,-4.056548,-3.837857,-3.492137,-3.328016,-3.221653,-3.229971,-3.208309,-3.200797,-3.169566,2
-3.889101,-3.825323,-3.856544,-3.90166,-3.878609,-3.843971,-3.887537,-3.580345,-3.031536,-2.852148,-0.200267,5.733316,8.459127,8.472388,8.49494,8.417212,8.279779,8.188389,7.00609,3.22468,-0.467689,-2.483736,-3.008141,-3.147056,-2.706929,-3.282929,-3.694233,-3.649826,-3.563483,-3.524859,1
-3.734413,-3.726506,-3.723985,-3.738342,-3.700434,-3.746308,-3.261353,-2.806286,-2.866701,-1.592051,2.288947,7.238357,8.904894,8.865727,8.919114,8.82991,8.792626,7.57913,3.926944,0.047771,-2.123549,-2.622127,-2.784337,-2.794072,-3.493091,-3.990535,-3.808693,-3.618542,-3.631055,-3.63104,1
-2.99668,-2.924481,-2.916752,-2.846932,-2.926333,-2.79644,-2.945431,-2.693885,-2.984508,-0.446899,3.69538,7.540922,10.439479,10.062937,10.241983,10.031761,7.897901,2.964138,-2.558824,-3.643065,-3.134573,-2.882539,-2.591005,-2.987218,-2.929474,-3.017891,-3.041119,-3.185808,-3.225898,-3.198743,2
-2.780174,-2.869031,-2.985693,-3.040312,-3.142248,-3.033606,-3.142478,-2.972422,-3.286538,-0.88449,4.542886,7.548388,9.493937,9.505559,9.643767,9.503453,8.087824,4.475412,2.181546,-1.016982,-3.642858,-4.076906,-3.654528,-3.49836,-3.454605,-3.453974,-3.4708,-3.517694,-3.518752,-3.540322,2
-6.497628,-6.505088,-6.374614,-6.325218,-6.344224,-2.688353,2.966574,4.138855,4.447006,4.382707,4.490658,4.433242,4.491425,4.418538,4.501722,4.446419,4.475919,4.37932,4.371138,4.288249,4.253976,3.838693,3.031869,0.206242,-4.626606,-6.85485,-6.421716,-6.146829,-6.37415,-6.403276,2
-10.065134,-10.059768,-10.086763,-10.060681,-10.112106,-7.342803,-0.535703,2.757388,2.810801,2.754377,2.863458,2.880607,2.946667,2.937253,2.970387,2.903139,2.904838,2.856352,2.87067,2.775942,2.855536,2.730205,2.857894,2.770085,2.956829,2.812336,3.014903,2.571968,1.589096,-3.127775,2
-5.329099,-5.363808,-5.31527,-5.187805,-1.162546,4.275521,5.432712,5.439099,5.42176,5.410515,5.3267,5.346921,5.293948,5.302711,5.269092,5.308182,5.229866,4.847832,3.848609,1.079647,-3.031639,-5.361475,-5.485047,-5.245929,-5.243149,-5.212146,-5.240109,-5.244162,-5.24215,-5.16878,2
-5.879363,-5.793559,-5.943997,-5.128739,-3.840287,-3.535554,-3.350928,-1.352065,2.608992,5.040999,5.99254,5.93954,6.049398,5.944765,5.987913,5.917458,5.987459,5.925231,5.9125,5.463778,3.582808,0.685408,-1.872222,-3.776506,-4.15655,-4.133218,-4.25984,-5.173014,-6.495694,-6.347252,1
