@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute target {1,2,3}

@data
-1.284487,-1.343596,-1.260162,-1.016057,-0.888641,-0.821253,-0.478737,-0.127437,-0.305434,-0.806671,-1.074539,-1.081031,-0.945297,-1.265324,-1.455657,-1.339653,-1.246519,-1.27144,-1.471129,-1.564814,-1.494957,-1.352717,-1.123529,-0.894571,-0.726901,-0.783958,-0.9251,-1.02201,-1.0319,-1.0011,-0.882559,-0.704746,-0.737476,-1.092312,-1.23939,-1.316391,-1.337689,-1.270666,-1.063125,-0.468792,0.455536,0.420282,-0.127679,-0.564792,-0.870363,-0.746183,-0.391116,-0.415008,-0.634044,-1.049132,-0.788773,-0.101343,1.138611,2.542759,3.898944,5.462931,6.945076,6.470079,5.23253,4.93524,5.107642,5.967765,7.576055,10.232987,13.591658,16.063359,16.129771,14.010787,11.024038,7.605176,4.404793,1.602885,-0.827699,-2.492319,-3.619274,-4.373158,-4.976442,-5.49401,-5.967199,-6.273355,-6.512199,-6.66756,-6.802252,-6.907492,-6.993009,-7.050657,-7.11025,-7.154798,-7.181179,-7.209851,1
-1.240176,-1.307395,-1.215201,-0.980977,-0.826611,-0.762023,-0.417359,-0.071076,-0.242252,-0.749984,-1.041613,-1.056327,-0.939683,-1.255641,-1.440652,-1.31555,-1.221452,-1.231488,-1.435493,-1.530606,-1.445091,-1.300839,-1.074913,-0.858438,-0.700358,-0.77982,-0.918338,-1.006866,-1.024232,-0.997347,-0.874808,-0.701579,-0.743165,-1.089898,-1.253873,-1.319284,-1.34668,-1.282934,-1.078113,-0.477514,0.42421,0.404845,-0.151006,-0.578469,-0.891814,-0.758472,-0.415131,-0.430867,-0.653318,-1.06058,-0.816469,-0.126331,1.076747,2.506301,3.840702,5.442123,6.903271,6.393782,5.128548,4.879599,5.056278,5.950992,7.545667,10.295287,13.6173,16.008482,16.365617,14.036859,10.949742,7.510958,4.344215,1.542751,-0.852772,-2.508727,-3.604858,-4.361731,-4.948361,-5.473168,-5.972875,-6.288373,-6.524987,-6.689619,-6.816232,-6.922841,-7.011395,-7.069877,-7.133706,-7.174943,-7.20029,-7.231414,1
-1.2311,-1.291338,-1.197246,-0.950873,-0.843238,-0.809264,-0.47342,-0.117523,-0.304432,-0.796039,-1.050363,-1.042661,-0.887967,-1.19761,-1.381615,-1.245102,-1.147578,-1.189214,-1.406147,-1.51622,-1.461996,-1.33563,-1.115342,-0.886361,-0.718987,-0.784707,-0.917134,-1.004663,-1.024993,-1.011853,-0.891009,-0.708664,-0.738385,-1.094173,-1.242464,-1.32023,-1.343395,-1.272496,-1.057755,-0.480577,0.417898,0.363332,-0.177564,-0.583326,-0.896903,-0.772602,-0.409008,-0.413726,-0.664985,-1.080059,-0.838631,-0.156839,1.025745,2.423565,3.768536,5.323507,6.739853,6.323383,5.19372,4.961972,5.163998,6.038862,7.595162,10.320203,13.658214,15.974031,16.241319,14.024345,11.037688,7.597122,4.43723,1.602552,-0.794633,-2.473103,-3.595133,-4.350366,-4.890211,-5.39027,-5.945568,-6.298021,-6.540939,-6.706736,-6.838354,-6.949374,-7.033956,-7.096039,-7.158076,-7.200874,-7.228002,-7.259174,1
-1.23436,-1.291613,-1.203907,-0.959204,-0.84893,-0.813692,-0.47565,-0.122575,-0.320879,-0.831046,-1.102078,-1.089329,-0.943376,-1.263831,-1.441738,-1.280671,-1.160465,-1.189368,-1.408352,-1.513935,-1.453245,-1.324103,-1.11019,-0.879607,-0.723917,-0.807511,-0.914556,-1.003488,-1.013369,-1.006066,-0.888465,-0.69598,-0.726571,-1.088801,-1.237387,-1.322452,-1.342866,-1.275376,-1.059824,-0.469321,0.434855,0.389874,-0.16037,-0.57276,-0.890045,-0.761123,-0.408333,-0.428363,-0.659959,-1.075243,-0.829338,-0.145557,1.053827,2.450985,3.815731,5.384907,6.819582,6.360902,5.216078,4.971635,5.181702,6.035667,7.622004,10.322237,13.63305,15.921868,16.160142,14.031885,11.026001,7.642393,4.426798,1.61854,-0.796786,-2.47692,-3.598931,-4.34923,-4.898444,-5.401751,-5.949078,-6.299504,-6.543379,-6.702833,-6.8368,-6.945896,-7.031139,-7.091561,-7.152402,-7.19712,-7.224915,-7.254786,1
-1.211845,-1.269062,-1.189403,-0.947119,-0.827964,-0.795086,-0.463695,-0.122247,-0.292207,-0.790251,-1.044685,-1.047398,-0.90166,-1.224149,-1.404283,-1.263679,-1.168012,-1.201539,-1.402591,-1.511554,-1.447724,-1.310674,-1.091134,-0.8736,-0.717793,-0.789627,-0.91854,-1.0091,-1.030905,-1.012605,-0.893401,-0.71771,-0.741692,-1.100681,-1.249152,-1.324333,-1.347674,-1.274782,-1.074981,-0.495554,0.401753,0.350949,-0.188624,-0.596849,-0.907633,-0.783175,-0.431365,-0.447768,-0.665032,-1.079633,-0.837307,-0.174623,1.013884,2.366786,3.697043,5.258414,6.70365,6.260905,5.146315,4.95132,5.167196,6.057308,7.666409,10.385861,13.691136,15.893138,16.23932,14.081169,11.090623,7.651652,4.454962,1.639869,-0.766272,-2.441325,-3.563803,-4.316016,-4.878312,-5.398608,-5.942283,-6.293612,-6.537005,-6.699557,-6.83401,-6.941944,-7.03011,-7.091509,-7.152017,-7.199323,-7.22219,-7.24967,1
-1.180675,-1.249666,-1.182013,-0.933017,-0.836295,-0.80898,-0.484319,-0.146113,-0.335566,-0.82214,-1.073139,-1.061129,-0.909281,-1.227661,-1.419885,-1.282616,-1.183328,-1.219266,-1.417001,-1.521119,-1.461668,-1.336041,-1.13249,-0.911866,-0.751756,-0.821976,-0.93925,-1.016687,-1.043186,-1.018107,-0.896668,-0.7109,-0.745217,-1.089258,-1.245622,-1.315186,-1.339514,-1.269277,-1.070563,-0.492321,0.393431,0.355959,-0.179748,-0.580527,-0.903305,-0.783063,-0.442519,-0.455728,-0.681399,-1.055556,-0.813949,-0.149305,1.001825,2.353175,3.648475,5.206256,6.606083,6.198415,5.158394,4.959467,5.21989,6.084651,7.696606,10.406821,13.661124,16.017965,16.276181,14.104982,11.04827,7.654816,4.459054,1.674273,-0.732213,-2.410922,-3.543951,-4.313178,-4.900166,-5.417854,-5.932616,-6.268332,-6.513365,-6.672256,-6.809567,-6.917087,-7.007003,-7.067728,-7.129005,-7.172371,-7.201179,-7.231457,1
-1.164475,-1.226021,-1.148236,-0.909406,-0.812537,-0.794825,-0.47378,-0.114994,-0.314355,-0.808746,-1.055988,-1.045736,-0.889553,-1.213277,-1.390555,-1.269287,-1.173768,-1.206535,-1.401966,-1.507366,-1.449655,-1.324921,-1.112693,-0.905689,-0.747133,-0.807081,-0.92542,-1.010354,-1.026662,-1.011268,-0.888905,-0.710631,-0.739484,-1.088696,-1.240117,-1.314684,-1.341872,-1.266952,-1.06604,-0.50943,0.377662,0.328326,-0.19497,-0.592889,-0.890581,-0.785583,-0.43511,-0.461523,-0.669821,-1.0692,-0.814363,-0.172536,1.019642,2.339514,3.650952,5.178065,6.586596,6.218847,5.128668,4.926082,5.198902,6.105839,7.726027,10.43253,13.734897,15.909216,16.186993,14.001671,11.113828,7.715886,4.506823,1.715111,-0.713361,-2.400716,-3.553233,-4.330536,-4.928276,-5.438955,-5.956479,-6.289073,-6.53566,-6.698536,-6.836992,-6.945096,-7.032872,-7.094057,-7.158947,-7.204361,-7.230249,-7.259013,1
-1.170702,-1.230039,-1.146331,-0.906861,-0.80771,-0.777989,-0.444172,-0.106437,-0.300634,-0.79147,-1.049048,-1.029935,-0.882366,-1.198195,-1.3831,-1.253732,-1.169222,-1.195776,-1.406047,-1.504119,-1.446935,-1.319637,-1.106074,-0.884422,-0.731935,-0.794374,-0.924588,-1.017942,-1.03669,-1.012748,-0.898416,-0.712644,-0.742948,-1.097192,-1.247277,-1.324122,-1.344173,-1.270865,-1.072672,-0.508254,0.358647,0.322647,-0.202359,-0.592031,-0.903353,-0.785531,-0.436774,-0.446081,-0.665078,-1.068434,-0.828696,-0.174208,0.978407,2.320434,3.629419,5.196255,6.614132,6.193787,5.123957,4.924163,5.17129,6.080374,7.678168,10.425616,13.68875,15.962507,16.261168,14.043301,11.085157,7.663661,4.510831,1.690645,-0.730822,-2.410613,-3.549303,-4.319879,-4.914014,-5.435603,-5.955175,-6.289118,-6.534127,-6.697114,-6.833231,-6.942584,-7.02905,-7.092822,-7.157766,-7.200587,-7.224938,-7.256231,1
-0.988285,-1.011108,-0.89204,-0.634505,-0.636547,-0.704142,-0.441821,-0.088069,-0.268309,-0.77927,-0.971645,-0.946898,-0.786917,-1.145823,-1.380828,-1.269739,-1.208818,-1.244642,-1.413651,-1.513072,-1.477688,-1.37839,-1.198909,-0.995908,-0.8408,-0.87196,-0.971517,-1.038953,-1.057283,-1.040386,-0.92767,-0.729479,-0.738694,-1.070891,-1.207957,-1.272727,-1.287111,-1.224078,-1.05005,-0.531384,0.305206,0.250197,-0.201721,-0.585032,-0.898217,-0.820403,-0.478757,-0.492352,-0.707236,-1.048532,-0.82451,-0.215104,0.875434,2.139703,3.379928,4.805324,6.154239,5.864475,5.038384,5.011253,5.378723,6.30962,7.930987,10.600654,13.782249,15.993812,16.191974,13.913304,11.114914,7.776495,4.594243,1.815987,-0.592734,-2.310654,-3.507543,-4.331723,-4.980348,-5.516507,-5.978623,-6.2966,-6.545024,-6.711545,-6.852289,-6.963716,-7.054652,-7.120786,-7.180048,-7.232666,-7.255181,-7.286642,1
-1.018789,-1.039383,-0.909672,-0.640326,-0.645265,-0.716716,-0.457194,-0.105118,-0.280064,-0.772823,-0.96753,-0.924339,-0.768026,-1.123173,-1.360459,-1.255939,-1.204865,-1.245424,-1.422735,-1.514334,-1.485368,-1.375304,-1.192764,-0.987904,-0.830305,-0.862363,-0.968758,-1.046212,-1.068166,-1.04962,-0.936688,-0.736127,-0.749009,-1.080595,-1.217246,-1.281136,-1.294413,-1.228945,-1.055687,-0.531172,0.306914,0.250977,-0.208713,-0.594178,-0.905342,-0.821338,-0.480686,-0.491454,-0.698902,-1.051924,-0.834129,-0.212412,0.896296,2.145094,3.364743,4.832739,6.154567,5.942001,5.06254,5.022156,5.377744,6.331766,7.917803,10.593684,13.760124,15.96572,16.114516,14.028997,11.130483,7.767974,4.58824,1.795833,-0.615784,-2.333576,-3.52576,-4.340248,-4.978621,-5.508676,-5.981224,-6.294236,-6.541481,-6.708537,-6.85016,-6.957844,-7.048898,-7.10872,-7.173186,-7.216974,-7.244035,-7.273918,1
