@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute target {1,2,3,4,5,6,7}

@data
10.709321,5.298839,0.578961,-3.87616,-6.931038,-6.145594,-6.545459,-3.437654,1.383789,4.607292,2.093521,-1.188378,-2.652536,1.251446,5.861832,4.435172,-1.046009,-2.211082,0.532926,3.755789,2.049553,-2.79258,-6.163344,-6.253175,-6.603277,-3.875181,0.802876,5.427474,10.932676,1
10.811437,3.638776,-0.673581,-5.977544,-6.750055,-1.692176,4.934524,5.239117,-0.908974,-7.447483,-8.317969,-1.264076,2.293007,1.071229,-0.150644,-0.405108,-0.51448,3.161878,-0.451396,-6.901896,-4.779726,2.506874,5.638821,0.59216,-5.174442,-3.776057,-0.108614,4.312499,11.093896,4
12.048058,6.348338,1.749345,-3.097819,-6.978025,-6.775064,-2.622147,0.845203,-0.762189,-4.244515,0.127693,3.961165,2.769143,-1.062268,-3.588274,-1.319372,2.568398,3.718835,0.068086,-3.701395,-0.281486,-0.259156,-4.388012,-7.392967,-6.469144,-2.177768,2.170113,6.625895,12.119331,6
2.88034,-2.082321,-7.106216,-8.300801,-2.006147,0.391711,0.093538,-2.736277,-3.628024,-1.406896,3.926058,7.114292,12.406975,9.233811,4.772853,-0.21318,-3.520074,-3.03354,-0.513306,-0.403467,-2.166314,-7.707935,-7.941574,-3.956568,1.320405,3.091017,4.020989,3.768672,3.701981,5
10.959348,4.163655,1.161902,-4.035071,-7.956722,-6.92004,-5.408232,-1.723845,1.508736,4.138218,2.747158,0.657066,-4.358322,-2.92988,1.632935,5.957104,0.827381,-4.198568,-0.893634,2.844273,3.910619,1.361653,-2.877331,-6.226515,-7.45114,-3.984451,1.277851,4.559855,11.255997,2
11.837065,6.334063,1.895209,-2.368642,-6.672906,-8.023893,-4.908248,-0.77066,0.853823,-2.96515,-2.075768,2.939712,3.560122,0.231894,-2.852967,-2.268281,1.433851,3.97107,1.525965,-3.034435,-0.635235,0.823854,-3.125675,-7.077897,-6.75132,-2.545199,1.954845,6.602316,12.112486,6
11.701738,6.256548,1.768132,-2.743052,-6.95648,-7.907057,-4.134049,0.166747,0.474946,-3.418776,-1.928311,3.207641,3.50131,0.737221,-2.743912,-1.372983,2.511472,3.737069,0.392446,-2.992791,0.258745,-0.393453,-4.764368,-7.716905,-6.279905,-2.03416,2.145294,6.626952,11.899942,6
10.606283,5.131687,0.744216,-3.492953,-6.337273,-5.318599,-5.589189,-3.52077,1.997815,3.112625,0.271758,-2.548115,0.104337,3.789659,6.269493,5.685087,0.244792,-2.773126,-1.243401,1.104852,-1.260939,-5.213998,-6.653671,-6.322282,-6.03603,-2.378233,1.944643,6.443616,11.237717,1
10.179937,3.80299,0.72359,-2.417621,-5.295471,-7.331271,-5.519731,-3.61064,0.708138,2.912438,2.71174,-2.362628,-2.786217,1.441766,7.666292,7.587925,0.290598,-3.762969,-1.09335,1.174931,1.360589,-1.432914,-4.850973,-6.629479,-7.36289,-3.464647,1.381071,4.812742,11.166054,2
11.696847,5.481082,1.160548,-4.030426,-7.070307,-5.818135,-2.080044,0.972718,-1.788672,-4.564763,0.635207,4.289503,2.700091,-1.694561,-3.420122,-0.693897,3.248508,3.775544,-0.299085,-3.17188,-0.058,-1.199656,-5.051822,-7.279157,-6.190358,-1.724994,2.553966,7.126198,12.495666,6
11.552489,5.963717,1.487541,-3.242936,-7.2069,-7.458801,-3.301532,0.607209,-0.227186,-3.895979,-0.248296,3.94619,3.170945,-0.12733,-3.302736,-1.08507,2.688514,3.731174,-0.144319,-3.181496,0.251954,-0.63258,-4.93126,-7.652715,-6.181435,-1.855239,2.324379,6.873116,12.078582,6
12.131148,5.875398,2.095924,-2.478874,-6.420154,-5.710906,-2.514787,1.411597,-1.707364,-6.158142,-4.364815,3.122364,2.72065,2.206069,0.611001,-2.049762,1.931864,3.362958,-0.623298,-6.287263,-4.252173,0.469994,-1.533883,-5.486008,-5.876924,-1.826694,2.429505,6.50113,12.421446,7
11.637175,6.071978,1.643299,-3.009322,-7.1216,-7.744572,-3.993351,0.14793,0.704313,-3.289899,-2.103598,3.207239,3.892799,0.636532,-2.840264,-2.005645,1.8216,3.880126,1.24354,-2.888926,-0.286431,-0.092931,-4.484386,-7.450942,-6.396525,-2.092212,2.17804,6.718752,12.017278,6
12.404006,6.309411,2.234084,-2.010749,-6.198456,-6.152818,-2.390489,1.071541,-2.398883,-6.422225,-1.445563,2.857737,1.7049,2.836042,-1.8205,-1.470113,2.06455,2.702636,-0.285281,-5.946627,-3.879557,0.579045,-2.274658,-5.848513,-5.97005,-1.636901,2.314831,6.549522,12.52308,7
10.750665,3.403918,-0.724341,-5.412229,-6.112771,-0.617071,5.616688,5.841929,-1.001761,-6.996882,-7.522389,1.983906,0.018982,1.087735,-1.574837,-0.813917,1.237107,1.929541,-2.366047,-8.402483,-3.72135,3.038851,5.891007,-0.265353,-5.705498,-4.322107,-0.337582,4.061956,11.03433,4
11.636371,6.047561,1.569355,-3.087478,-7.066879,-7.067426,-2.892344,0.970285,-0.301962,-3.56884,0.735682,4.108856,2.407097,-1.483618,-3.061296,0.266733,3.367482,3.327331,-1.342368,-3.159856,0.481281,-1.226186,-5.478014,-8.070084,-6.248962,-1.840221,2.278637,6.698098,12.000761,6
10.698737,5.579455,1.051104,-3.033063,-6.49967,-6.188596,-5.47198,-5.573716,-1.152439,2.661117,2.131224,-1.415876,-1.838087,1.955978,5.121898,7.013627,3.511175,-1.413353,-2.458333,0.248764,0.524832,-3.432278,-6.242755,-6.154018,-5.827569,-2.741411,1.866822,6.08884,10.989572,1
10.455375,3.03893,-1.175803,-6.321174,-4.70906,1.105487,6.626666,4.059045,-2.921708,-8.773298,-5.868749,2.390209,-1.030652,0.596567,-1.540495,-1.345062,1.346222,1.744033,-1.583571,-8.240512,-4.38495,2.661071,6.306812,0.055707,-5.405816,-3.414286,0.526635,4.630662,11.171716,4
10.601518,3.688585,-0.694558,-5.635516,-6.853719,-1.777991,4.477236,6.624995,0.59169,-5.248137,-9.328987,-2.356328,2.856341,-0.091756,0.442531,-0.811177,0.785306,3.246021,-1.924485,-7.535832,-3.874736,2.927326,5.11591,-0.626884,-5.617148,-3.860173,-0.136943,4.162105,10.854807,4
12.367373,5.656367,1.889729,-3.188276,-6.312138,-5.001317,-1.218471,1.067643,-3.134384,-6.492019,-1.628349,2.828788,1.754788,2.235565,-2.061242,-1.331526,2.380989,2.674177,-0.306702,-5.852433,-3.98701,0.651669,-2.576272,-5.416753,-5.819549,-1.843813,2.581521,7.076195,13.005452,7
12.131141,6.226131,1.680469,-3.499213,-6.85421,-6.130899,-1.9503,1.112443,-1.076385,-4.790524,0.116193,3.952337,2.855344,-1.675667,-4.301243,-3.042294,1.557067,3.910514,1.991011,-3.480857,-1.972187,0.823756,-2.700546,-6.362483,-6.69159,-2.795747,2.020794,6.610734,12.336209,6
11.713034,5.933463,1.412883,-3.486897,-7.245538,-6.928836,-2.848493,0.873469,-0.305102,-4.082232,-0.255598,4.133696,2.971481,-0.981544,-3.266017,-1.199873,2.651498,3.647856,0.079672,-3.072054,0.108637,-0.904186,-5.010499,-7.54238,-6.158257,-1.770754,2.399151,6.917226,12.216193,6
11.947203,5.648905,1.745598,-2.584074,-6.787006,-6.128117,-3.181447,1.245226,-1.18339,-5.713104,-4.362413,2.931813,2.423722,2.285603,1.412602,-2.106403,1.664588,3.232878,-0.467051,-5.952662,-3.34145,0.531838,-2.742972,-6.065744,-5.52343,-0.905061,2.507545,6.887406,12.579395,7
12.494414,6.523413,2.381793,-2.734888,-6.121627,-5.552183,-1.501345,0.870073,-3.418691,-6.611074,-0.962829,2.763277,2.015765,1.693731,-2.50478,-1.128206,2.024911,2.893407,-0.715732,-6.041388,-4.062102,0.624667,-1.837138,-5.511375,-5.764756,-1.481958,2.512956,6.59532,12.556346,7
5.229373,2.846283,2.969607,-2.52502,-7.08406,-7.435453,-1.861171,-0.087031,-0.646429,-4.344932,-4.76983,-1.177165,3.398991,6.360749,11.834121,9.805848,5.103093,1.705211,-2.804795,-4.725871,-1.754742,-0.690214,-2.366642,-7.506257,-6.746698,-2.730805,2.05131,2.632381,5.320148,5
10.701922,3.566507,-0.91759,-5.531369,-6.573533,-1.018475,5.449672,6.001317,-0.926081,-6.702112,-7.736896,1.790142,0.942852,0.517789,-0.845259,-0.728369,1.382891,2.139411,-3.783198,-8.035735,-2.533151,4.085425,5.542588,-1.060643,-5.926417,-3.954509,-0.453385,3.728301,10.877906,4
10.910189,5.179487,0.603397,-3.719488,-6.140843,-5.335473,-5.716208,-2.735173,2.255291,2.731387,-0.654783,-3.040859,-0.021221,3.850779,6.437562,5.539103,-0.354897,-2.954742,-1.32189,1.699479,-0.468116,-4.432806,-6.656284,-6.187925,-6.028144,-2.811027,1.748325,6.282775,11.342104,1
10.618918,4.416358,1.07175,-2.548499,-7.231144,-7.142402,-5.776701,-2.84837,0.501386,3.47895,3.361287,-0.301912,-3.222883,-0.39125,5.199685,7.230695,0.979101,-3.393681,-1.308205,2.225755,1.466605,-1.555822,-4.971778,-6.738823,-7.307656,-3.136591,1.312389,4.916099,11.096742,2
11.39826,5.771038,1.381244,-3.33362,-7.416867,-7.764856,-3.902262,0.3175,0.850394,-3.000937,-3.056168,2.616052,4.339146,1.581243,-2.234496,-2.712972,1.006135,3.387496,1.948942,-1.888895,-0.782612,-0.656838,-4.880674,-7.313949,-5.928454,-1.567686,2.516641,7.174552,12.15264,6
12.26264,6.063422,2.170478,-1.977335,-6.263682,-6.009825,-2.22889,1.290326,-2.375523,-6.403276,-2.071822,3.223951,2.124318,3.054421,-1.801044,-0.697473,2.615995,2.783897,-0.79512,-6.237243,-3.009336,0.604539,-3.142673,-6.042426,-6.082822,-1.931154,2.178392,6.310211,12.387053,7
11.748506,6.113995,1.792243,-1.184636,-4.709715,-7.471524,-6.276138,-3.177594,1.814228,3.258653,1.163447,-1.715807,2.807621,0.273255,-2.284011,-2.20999,1.892111,1.745428,0.236269,1.412646,-1.944372,-5.288006,-7.387468,-6.866321,-4.217617,-0.947368,2.234837,7.033936,12.153392,3
12.496707,6.585518,2.28764,-2.681927,-6.351366,-5.830092,-2.313635,1.122821,-2.581302,-6.298436,-1.649484,2.807827,2.14249,2.152476,-2.285672,-0.479964,2.320179,2.576691,-1.153227,-6.300929,-3.064849,0.714458,-2.217747,-5.77726,-5.825853,-1.572986,2.25133,6.396439,12.530153,7
10.80417,5.839432,1.253048,-2.910085,-6.323038,-6.34645,-5.916599,-5.196976,-0.666853,2.587298,1.717424,-1.762298,-1.119248,3.003021,7.282971,5.342658,0.319963,-2.26066,-0.07739,2.348617,0.51413,-4.457416,-5.897223,-5.99954,-6.376579,-3.111242,1.079739,5.622964,10.706161,1
10.646145,4.556119,1.360292,-2.519583,-7.194412,-6.864701,-5.684578,-2.833132,0.673783,3.063626,2.303977,-1.696079,-3.832984,-0.382867,5.325857,8.057295,1.816699,-3.274221,-2.548696,1.827037,1.828655,-0.930494,-4.53996,-6.251541,-7.066242,-3.189009,1.379126,4.837943,11.131945,2
11.826159,6.202146,1.695285,-3.042086,-7.074421,-7.376498,-3.256257,0.706468,0.183811,-3.826892,-1.048541,3.785905,3.449521,-0.070266,-3.16483,-1.575948,2.316847,3.59445,0.326596,-3.151661,-0.097123,-0.524673,-4.842103,-7.578661,-6.33982,-2.00744,2.19656,6.670274,12.023196,6
12.392847,6.243742,2.308913,-1.995169,-6.174238,-6.021765,-2.495772,1.077357,-2.154922,-6.573271,-2.778075,3.026153,1.765934,2.780843,-1.137162,-2.236359,1.247037,3.038227,0.690216,-5.189747,-5.001698,0.273206,-1.571324,-5.500935,-5.906119,-1.642813,2.4344,6.575927,12.524568,7
10.213041,3.773459,0.910605,-2.941295,-7.520345,-7.083039,-5.668743,-2.82472,1.060756,3.696117,3.40674,-1.016621,-2.622381,1.110428,6.343868,5.794896,-1.214112,-2.715183,1.005047,3.017406,0.723574,-2.489586,-5.671529,-7.111879,-7.34635,-2.507364,1.505117,5.041855,11.13024,2
10.524405,5.406042,0.968334,-3.201575,-6.311982,-6.12636,-6.067262,-3.782657,1.014681,2.330191,-0.45514,-2.399639,0.368048,5.456748,7.773336,3.435632,-0.9972,-2.175631,1.047479,2.150971,-0.874917,-5.392329,-5.684322,-6.154921,-6.261506,-2.783261,1.382527,5.980502,10.829806,1
10.394896,5.116422,0.715111,-3.519652,-6.497797,-5.632583,-5.645423,-3.909183,1.617648,3.027768,0.398667,-2.442043,-0.060385,3.832953,6.906507,5.497046,0.339002,-2.656686,-1.268557,1.100009,-1.040891,-5.107427,-6.506347,-6.19651,-5.886883,-2.270576,2.012078,6.532618,11.150217,1
10.026717,2.695142,-1.367522,-6.32827,-5.237902,0.347302,6.087484,5.336084,-1.517839,-7.314238,-7.863527,1.344875,1.273997,0.023143,-1.199471,-0.729246,1.763906,1.909163,-4.628023,-7.802541,-2.15253,4.583624,6.305647,-0.668762,-5.804907,-3.865567,-0.296917,4.264743,10.815433,4
10.969066,4.45102,1.020175,-2.382348,-7.583588,-6.768069,-5.988661,-3.411223,-0.319785,2.944816,3.529564,0.923208,-3.163645,-2.042868,2.510472,7.438974,4.1446,-2.822256,-3.170792,0.467199,1.383444,0.173148,-3.083303,-6.465789,-6.962376,-3.670334,1.408827,5.044532,11.425992,2
9.935937,6.125134,2.1073,-2.455321,-5.959106,-7.214608,-5.946598,-5.976359,-1.729587,2.441429,3.035246,-0.376577,-1.034142,2.253252,6.658896,5.768179,0.905876,-1.631849,0.588312,2.494366,0.11989,-4.756913,-5.997686,-6.394068,-6.529992,-3.210862,0.956387,5.497495,10.325968,1
5.329982,2.812136,3.402991,-0.790366,-5.138969,-8.807283,-5.190086,-1.106949,0.290251,-1.970253,-4.560498,-3.692794,1.376814,4.671041,9.561386,11.749961,7.038377,3.452377,-0.628119,-4.379144,-3.038282,-1.077678,-0.871763,-5.593132,-7.827756,-4.158796,1.611732,2.595199,4.939618,5
10.459779,3.093068,-1.193765,-6.27516,-4.818451,0.820907,6.43035,5.133856,-1.783415,-7.768724,-7.752682,1.469793,-0.014622,0.421165,-1.243609,-1.475782,1.172974,1.733381,-1.234253,-8.028476,-4.619909,2.340069,6.329683,0.556092,-5.347397,-3.81019,-0.063988,4.390827,11.078477,4
4.514783,3.537966,2.966264,-2.153022,-6.301605,-8.717477,-3.630344,-0.501031,0.37872,-2.816963,-4.664232,-3.009073,2.405267,5.359829,10.928476,10.913676,5.989821,2.526177,-1.962342,-4.609369,-2.341681,-0.500916,-0.702611,-5.886418,-7.766892,-3.870424,1.880591,3.357137,4.675694,5
4.108814,3.396735,3.208106,-2.479222,-6.738456,-8.585726,-3.108343,-0.289044,0.558734,-2.40233,-4.204426,-1.700422,3.230947,6.364726,11.592244,9.863782,5.301943,1.754235,-2.651489,-3.866595,-1.267415,-0.443871,-2.464609,-7.321948,-7.58625,-4.130244,1.969032,3.336942,4.55415,5
