@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute target {1,2,3,4,5,6}

@data
-2.163636,4.726422,7.252282,2.742957,-2.819208,0.28372,6.6239,8.028947,6.131522,-1.143737,-4.764367,-6.163981,-4.139384,-4.59121,-6.208967,-3.79526,1
-2.34062,3.962817,7.266921,2.666152,-3.294498,0.199973,6.954615,8.399245,6.134177,-1.112674,-4.026966,-5.8684,-4.954827,-3.409355,-6.027748,-4.548811,1
-2.412318,4.414712,7.502734,3.132914,-3.064798,0.322013,6.633797,8.072046,5.979604,-1.34707,-4.18101,-5.829946,-4.726731,-4.261962,-6.158363,-4.075623,1
-2.268837,4.246519,7.57901,2.972335,-2.960207,0.267578,6.714528,8.039388,6.018485,-1.022953,-4.430792,-5.914833,-4.624453,-4.575135,-6.011347,-4.029287,1
-2.066481,4.578212,7.650624,2.823277,-3.020724,-0.172224,6.413903,8.333,5.977692,-1.367751,-3.830079,-5.698596,-5.024789,-4.477897,-5.983868,-4.134301,1
-2.269959,4.440477,7.187503,3.379317,-2.47107,-0.320666,6.580643,7.758575,6.313031,-0.787623,-4.378091,-6.419954,-4.63016,-3.855864,-6.603031,-3.923127,1
-1.791,4.891486,7.652842,4.401677,-1.880042,-0.51353,5.948155,7.651208,5.540852,-0.95598,-5.172889,-5.124663,-5.178645,-5.147761,-5.164598,-5.157114,6
-1.324044,4.700892,7.051948,2.682047,-2.329007,1.579713,6.788736,7.351854,5.920163,-0.543722,-5.266474,-5.310859,-5.332831,-5.318913,-5.326364,-5.32314,6
-1.666089,4.144228,7.573713,3.81452,-1.891056,0.013294,6.164111,7.895882,5.877426,-0.655086,-5.168959,-5.20983,-5.229461,-5.217821,-5.223618,-5.221254,6
-1.59551,4.807622,7.482199,4.131829,-1.944187,-0.136263,6.120019,7.56692,5.644719,-0.68533,-5.240517,-5.193656,-5.262058,-5.219154,-5.244065,-5.232567,6
-1.412205,4.579531,6.89754,2.291639,-2.287915,2.165439,7.124843,7.012407,6.095459,-0.500307,-5.277867,-5.330148,-5.343948,-5.336388,-5.339597,-5.338484,6
-2.459474,4.143711,7.686019,3.768531,-2.587241,-0.523114,6.477055,7.79884,6.074464,-0.964124,-4.089475,-6.095269,-4.759886,-3.963043,-6.413595,-4.093401,1
-1.723719,4.730634,7.525017,3.292735,-2.508602,0.376501,6.574815,7.864875,5.550866,-0.888201,-5.136239,-5.10649,-5.15205,-5.126139,-5.140064,-5.133941,6
-1.709066,4.480766,7.401979,3.592353,-2.483168,0.49356,6.527025,7.731258,5.795523,-0.848959,-5.184773,-5.124033,-5.188565,-5.150112,-5.171835,-5.161953,6
-1.630773,4.851577,7.72587,5.253068,-1.132205,-1.350217,5.099633,7.513249,5.632627,-0.739233,-5.210651,-5.168908,-5.231258,-5.193065,-5.214816,-5.204898,6
