@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute target {1,2}

@data
-2.907722,-3.052885,-2.969753,-1.969394,-0.30377,1.781875,8.507089,12.039976,13.418144,12.948939,8.92874,5.267977,1.97386,1.897767,0.027839,1.277476,2.495872,3.619735,1.9421,0.916185,0.515531,1.401131,2.002652,2.775861,1.849693,1.452167,2.178018,1.128965,-0.285777,-2.504935,-4.840272,-4.903519,-4.886255,-4.962646,-4.414556,-2.885293,-2.966449,-4.880623,-5.700421,-4.885704,-4.37897,-2.919369,-1.041458,-1.658074,-5.283053,-7.664166,-8.082527,2
-1.576256,-1.007507,-1.491426,0.011611,2.310831,3.605817,7.77148,11.954853,16.936273,14.044438,9.261808,5.157619,3.021053,2.7891,0.325923,-0.361175,-0.927068,0.181864,0.494819,0.003094,-0.660575,-0.364396,0.222386,0.750473,0.305449,0.26717,0.956863,0.851064,0.075491,-1.411129,-3.491655,-3.892784,-4.15813,-4.102217,-4.220616,-4.295885,-4.911089,-5.241426,-4.90618,-4.4596,-4.475981,-4.376608,-4.012931,-3.863301,-4.25352,-4.420113,-4.417912,2
-3.14354,-1.961923,-2.457633,-2.232756,2.229288,6.081055,8.876587,12.864641,15.326918,11.287602,6.978963,5.527476,3.173549,1.379487,-0.884127,0.428673,1.488462,2.355566,1.039369,0.351069,-0.220743,0.776898,1.401525,2.126099,1.257725,1.055031,2.023465,0.986805,-0.548848,-2.696487,-4.821112,-4.679997,-4.621505,-4.636269,-4.28463,-2.853718,-2.599264,-3.800097,-4.599071,-4.646557,-4.479915,-3.607488,-1.709299,-2.483319,-5.700317,-7.501187,-7.846447,2
-3.094587,-2.623186,-2.761557,-1.644798,1.009329,3.299882,8.774489,12.22569,14.343735,12.240413,8.155153,5.364854,2.513972,1.797192,0.095715,1.556437,2.691326,3.728464,2.045462,1.024813,0.416478,1.1675,1.704528,2.103655,1.168548,0.727114,0.993037,0.332306,-0.944673,-3.258543,-5.451312,-5.764383,-5.936281,-5.821389,-5.309012,-4.404469,-4.400232,-4.742853,-4.362738,-4.387338,-4.263225,-2.374601,0.170677,-0.571401,-4.261646,-6.430964,-6.841581,2
-3.003671,-2.346284,-2.561901,-1.772945,1.410755,4.107532,8.544769,12.007958,14.000349,11.386059,7.553912,5.422424,2.8773,2.011975,0.340219,1.872169,3.10761,4.178991,2.314135,1.272194,0.538913,1.204201,1.621548,1.903744,1.00189,0.559265,0.788762,0.256838,-0.913615,-3.276307,-5.718183,-6.003232,-6.020826,-5.718842,-5.640935,-5.150913,-5.329599,-5.410337,-5.063563,-4.58241,-4.255649,-2.075706,0.789198,0.586836,-3.607775,-6.393563,-6.81329,2
-2.443858,-1.965692,-2.228359,-1.343163,1.691443,4.186788,9.383569,13.063328,14.895858,12.703755,8.151084,5.506856,2.799705,1.97975,-0.211069,0.698448,1.316396,2.26423,1.216842,0.512191,-0.038094,0.654016,1.23868,1.719107,0.985866,0.505017,0.810155,0.414101,-0.639059,-2.600485,-4.759893,-5.090755,-5.314843,-5.277138,-5.01734,-4.388123,-4.534322,-4.870213,-4.507443,-4.369101,-4.376546,-3.132481,-1.470289,-1.871828,-4.329568,-5.828573,-6.088953,2
-3.314265,-2.738666,-2.86809,-1.763237,0.998299,3.168112,8.614253,12.194501,14.413734,12.354968,8.020498,5.270588,2.562495,1.889727,0.127,1.634931,2.783227,3.811741,2.155461,1.082939,0.493659,1.173754,1.759612,2.096399,1.071659,0.691712,1.045908,0.442036,-0.795895,-3.048141,-5.335557,-5.596193,-5.663982,-5.551304,-5.328952,-4.719348,-4.717164,-4.866344,-4.646325,-4.652516,-4.351044,-2.452383,0.173885,-0.518703,-4.177722,-6.278595,-6.646671,2
-4.316979,-4.009382,-3.951968,-2.700034,-0.727118,0.977774,6.795876,9.852956,11.88271,10.446631,7.146363,4.508294,1.659703,1.14622,0.632255,3.569403,5.911088,7.056323,3.898145,2.150011,1.515171,2.33937,2.704028,2.902236,1.44288,1.207972,1.498208,0.23644,-1.523576,-4.391887,-6.589581,-6.786292,-6.744478,-6.606703,-6.003497,-4.746561,-4.258968,-4.071677,-3.690793,-3.869908,-3.385055,-0.206111,4.080492,2.480135,-3.918123,-7.423669,-8.118323,2
-3.174024,-2.264174,-2.465612,-1.895723,1.673144,4.608717,8.461435,12.17781,14.313532,11.32446,7.231963,5.416677,3.016941,1.846961,0.126866,1.800886,3.14004,4.11725,2.199128,1.122567,0.430575,1.114974,1.568508,1.806554,0.863305,0.466737,0.732841,0.227596,-0.991767,-3.28564,-5.682761,-5.937361,-5.94891,-5.735227,-5.72408,-5.375219,-5.399617,-5.18805,-4.714064,-4.463622,-4.157193,-2.017915,0.87283,0.390382,-3.695775,-6.260513,-6.675437,2
-2.130206,-1.679607,-1.899679,-1.102792,1.876708,4.293251,9.566248,13.349769,15.092304,13.009456,8.285136,5.538383,2.825843,2.074583,-0.348412,0.282698,0.692809,1.622314,0.859994,0.25199,-0.279834,0.361103,0.968195,1.482973,0.863535,0.426979,0.743887,0.440463,-0.555219,-2.316322,-4.413921,-4.810664,-5.048263,-5.0199,-4.857391,-4.356412,-4.540248,-4.882337,-4.446385,-4.259983,-4.268998,-3.372153,-2.19951,-2.597861,-4.422112,-5.450996,-5.649415,2
-3.525717,-3.123104,-3.192851,-1.915666,0.492499,2.364526,8.372388,11.740027,13.77244,12.204385,7.969061,5.086567,2.264641,1.861952,0.350895,2.180197,3.628117,4.698682,2.60629,1.351749,0.776768,1.483989,2.043779,2.315209,1.168608,0.754645,1.016427,0.349198,-0.938477,-3.32371,-5.610684,-5.868147,-5.925305,-5.812629,-5.568463,-4.951006,-4.841193,-4.819101,-4.530627,-4.476744,-4.238874,-1.991313,0.981422,0.156297,-4.038425,-6.432323,-6.866402,2
-3.468762,-3.212993,-3.301581,-2.084931,0.147202,1.971801,7.871998,11.121071,13.257494,11.546139,7.565048,4.775943,2.071696,1.572737,0.471733,2.720822,4.519159,5.556224,3.090985,1.635525,1.044915,1.859561,2.342431,2.572634,1.33865,0.958035,1.205085,0.395268,-1.029605,-3.583842,-5.802351,-6.109392,-6.171118,-6.101739,-5.754822,-5.004704,-4.924587,-5.154758,-5.128118,-4.763858,-3.95499,-1.305954,2.188488,0.878532,-3.995964,-6.638135,-7.18697,2
