@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute target {1,2}

@data
-8.038629,-8.845342,0.057651,8.936046,8.087944,8.666077,8.231852,-4.74462,-9.310895,-0.435953,1.249878,1.526402,1.142507,1.590152,1.163472,1.575462,1.159026,1.554394,1.140687,1.566188,1.123639,1.621455,1.128489,1.683241,0.917293,2.080013,-2.001961,-6.124425,-5.394319,-5.720717,-5.585004,2
5.357596,4.986877,5.889479,2.791225,0.38013,2.006448,4.023175,5.539749,5.270183,3.866783,-4.79025,-4.494832,-5.17109,-4.914752,-5.263683,-5.111374,-5.209279,-5.224924,-5.225861,-5.300587,-4.841204,-4.903087,-4.386147,-5.482872,-1.616222,5.930391,4.866188,5.44238,5.087709,5.298508,5.199346,2
1.827019,1.715039,1.911447,1.694532,1.526574,-2.813209,-1.071068,-0.020969,3.64036,-1.229004,11.216782,6.887356,-4.453661,-0.001342,-2.890051,-0.841396,-2.418978,-1.080927,-2.122421,-1.248761,-1.945984,-1.364136,-1.918571,-1.754834,-1.914025,-1.850902,-1.871824,-2.189678,0.556555,2.171316,1.854761,2
-5.413048,-5.216396,-5.757414,-3.848391,3.937317,1.321389,-1.853469,-6.273531,-4.568354,-6.457215,0.028406,5.374707,4.595455,4.948941,4.575516,4.748668,4.5224,4.620086,4.496596,4.665718,4.670673,5.277535,4.832171,5.314492,3.540071,-5.208871,-5.344139,-5.411037,-5.354136,-5.391007,-5.373133,2
-5.367681,-5.555349,-5.129979,-5.989063,1.234185,1.580921,-1.395405,-5.111374,-5.368942,-5.782436,-3.127787,4.881152,4.62601,5.095103,4.691914,4.823784,4.665426,4.688045,4.705943,4.603579,4.870606,4.818308,5.396036,4.35696,5.815844,-0.3698,-6.277039,-4.993007,-5.64663,-5.288522,-5.450799,2
2.111042,2.105,2.005067,2.404421,1.677503,-3.662313,-1.040151,0.967752,3.429603,-0.232924,13.190846,2.024892,-3.802415,-1.406176,-3.122481,-1.775718,-2.7478,-2.015182,-2.550747,-2.053231,-2.310836,-2.213924,-2.41857,-2.477648,-2.427016,-2.823247,0.580816,2.448326,1.904465,2.174945,2.055696,2
5.23457,5.0893,5.554663,4.208418,1.421922,2.90503,3.719197,5.666038,4.940604,5.295191,-3.407298,-4.946999,-4.854023,-4.858512,-5.143045,-4.99542,-5.320647,-5.057972,-5.361879,-5.001386,-5.438693,-4.497779,-4.910742,-4.190515,-5.287124,2.403843,5.880983,4.994238,5.445299,5.201713,5.31102,2
5.629559,5.450417,6.002552,3.764913,2.429249,4.151997,4.725587,6.16471,5.146855,6.274656,-1.572645,-5.019965,-4.346577,-4.955845,-4.676653,-4.991322,-4.692931,-5.004077,-4.715947,-5.056308,-4.77154,-5.099067,-3.98997,-4.241972,-3.531806,-4.577446,-1.120124,6.107825,5.326321,5.670234,5.519319,2
-6.071074,-6.315154,-5.747859,-6.923177,4.004004,9.651099,6.383606,-5.597468,-6.051836,-6.63153,-2.238967,3.528787,2.380173,3.30246,2.794262,3.257948,3.012139,3.277111,3.165402,3.250865,3.277818,3.18597,3.065108,2.02457,2.295243,1.593208,2.816596,-1.854265,-6.758756,-5.875677,-6.200606,2
-6.194281,7.438337,9.33722,10.087451,6.795727,-8.519753,-1.616398,2.22813,2.143657,2.204071,2.221751,2.149736,2.252668,2.107209,2.285595,2.10165,2.3435,2.048741,2.431591,1.896204,2.76081,-2.700406,-5.573921,-4.774497,-5.219994,-4.92498,-5.133492,-4.982401,-5.092054,-5.01393,-5.087942,1
