@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute attr145 numeric
@attribute attr146 numeric
@attribute attr147 numeric
@attribute attr148 numeric
@attribute attr149 numeric
@attribute attr150 numeric
@attribute attr151 numeric
@attribute attr152 numeric
@attribute attr153 numeric
@attribute attr154 numeric
@attribute attr155 numeric
@attribute attr156 numeric
@attribute attr157 numeric
@attribute attr158 numeric
@attribute attr159 numeric
@attribute attr160 numeric
@attribute attr161 numeric
@attribute attr162 numeric
@attribute attr163 numeric
@attribute attr164 numeric
@attribute attr165 numeric
@attribute attr166 numeric
@attribute attr167 numeric
@attribute attr168 numeric
@attribute attr169 numeric
@attribute attr170 numeric
@attribute attr171 numeric
@attribute attr172 numeric
@attribute attr173 numeric
@attribute attr174 numeric
@attribute attr175 numeric
@attribute attr176 numeric
@attribute attr177 numeric
@attribute attr178 numeric
@attribute attr179 numeric
@attribute attr180 numeric
@attribute target {1,2,3,4,5}

@data
8.889408,9.75465,9.469951,8.966958,7.29028,5.600497,4.286714,2.761969,0.631888,-0.832219,-0.51591,0.386415,0.163589,0.578229,1.354533,2.95031,5.203957,7.815211,10.152942,11.224823,10.716056,11.408045,12.844099,13.369349,12.441319,10.526568,7.552402,5.468255,3.015851,0.173775,-1.649359,-2.289305,-2.771004,-2.819415,-3.630462,-3.786181,-2.051164,0.380526,2.73339,4.491322,4.45751,4.01453,3.958728,3.061453,1.162732,-0.676618,-2.469802,-3.754605,-4.610979,-5.595274,-5.898483,-6.018231,-5.041913,-3.581227,-2.008025,0.018295,2.176542,4.802424,4.993051,6.400795,6.711997,5.491595,4.234691,2.735822,0.8827,-1.426011,-3.570931,-5.616128,-7.860643,-7.557141,-8.300425,-10.513256,-12.463582,-11.89372,-10.302874,-8.537533,-6.739351,-4.824008,-2.314932,0.442796,2.369336,2.946169,3.084913,2.644305,1.587374,-0.59468,-2.483978,-3.150183,-3.214092,-1.846978,-1.457658,-0.517312,-0.885838,-1.560738,-2.107872,-1.901107,-1.02406,0.948812,3.793369,4.784223,4.001359,0.938815,-1.271833,-2.433434,-3.956953,-5.395356,-7.972439,-9.343193,-8.361342,-6.963098,-5.713215,-4.180984,-2.841042,-1.414507,-0.85947,-0.574209,-0.311036,-1.27517,-1.981346,-3.411766,-3.159993,-3.599281,-5.304595,-6.060548,-5.121845,-6.201713,-6.219629,-5.291991,-4.380735,-4.749834,-5.484381,-3.972229,-3.529293,-2.775851,-0.977535,1.031613,3.185097,5.161397,6.684239,6.441886,6.483584,6.457146,6.109504,4.907112,3.936755,2.01884,0.746299,0.781659,-1.358465,-2.897054,-4.693191,-5.11478,-4.535379,-4.192454,-2.843917,-0.917013,1.047146,2.861526,3.03884,3.024271,3.104668,2.667287,2.007936,1.891018,1.691814,1.520758,1.384505,1.066824,0.85852,0.396444,0.018368,-0.41449,-0.692846,-1.069698,-1.135596,-1.201858,-1.009228,-1.657696,-1.978912,-2.30504,1
-0.607784,0.091321,-1.106306,-0.700131,1.054906,1.045929,0.125384,1.343341,-0.154056,0.909862,-0.999599,-0.672984,0.760928,1.186685,2.491035,0.173741,-0.178228,0.140526,-0.413334,-1.934928,-0.6963,-1.585908,1.375345,-0.436137,-0.744356,-1.738697,0.650251,-1.116724,2.600886,2.25771,1.574269,2.003843,2.004065,3.28907,1.355485,2.817489,2.651245,3.609412,3.34166,3.566405,2.25876,3.487234,3.188018,3.110869,2.553141,2.962124,3.059658,2.256284,1.797848,3.267379,4.365635,3.761231,1.72992,3.981112,3.570667,3.085501,2.638443,4.023381,2.722511,2.179597,2.142432,2.941525,0.523934,0.468226,1.84131,2.898462,1.547699,3.571462,3.614268,3.155777,3.230267,3.149108,2.27649,2.795543,1.595848,0.898038,1.535223,0.798359,1.436552,0.69877,1.680732,1.142847,1.956956,2.397148,1.055982,2.591067,2.823013,1.457062,1.525895,4.486718,3.124741,2.851227,4.000892,2.906036,3.735773,2.811252,3.735639,3.106347,3.107958,2.022877,2.225146,3.597515,2.674461,2.704288,2.859509,1.756497,2.023075,2.522429,3.388987,2.45904,3.677277,1.365887,2.254626,2.507106,1.562998,1.126634,1.520134,2.076416,2.227142,3.470363,2.491616,2.152041,2.584611,2.600365,2.316304,3.178152,2.568489,2.978143,2.332318,1.628253,2.787767,2.546007,0.629858,0.56386,0.264554,0.048767,-0.406793,0.107082,0.824611,-1.023282,-1.400061,-1.809097,-3.131325,-2.27357,-1.051837,-0.872735,-0.193527,-0.158194,-1.775804,0.390167,-1.041381,1.274908,-0.465554,-0.723158,-1.926538,-2.094184,-2.997272,-3.097181,-2.28698,-2.249942,-3.556623,-5.655337,-6.139423,-4.665532,-4.571751,-4.569315,-7.25114,-9.691041,-12.065476,-15.954945,-18.229112,-16.918194,-16.001425,-16.156714,-15.410358,-16.098176,-14.998881,-16.187755,-15.407739,-14.734146,1
2.564242,2.945353,2.639361,1.993375,-1.485307,-1.929255,-0.337134,2.006563,1.594619,2.101553,2.180044,2.85252,0.691311,1.062422,1.454999,-1.016405,-4.151486,-8.559125,-0.64504,0.242683,1.120927,0.099117,-3.087892,-6.68297,-6.750568,-4.859004,-2.904062,-1.458656,0.893155,0.128842,1.569105,2.245353,1.421482,-3.290274,-4.264985,-5.442381,-7.10158,-5.877451,-4.462835,-1.45673,-0.860959,-1.57687,-3.449366,-6.557526,-7.524013,-6.158916,-4.27816,-2.754968,-2.80907,-3.503603,-5.305018,-5.709448,-4.26479,-2.510068,-3.527018,-5.243103,-6.039968,-4.133137,-2.53773,-2.521285,-3.200581,-3.907636,-4.632401,-3.882136,-3.17478,-2.345307,-2.436586,-3.557205,-4.803861,-5.416658,-4.730149,-3.760433,-2.357241,-2.020285,-1.245046,-1.419684,-3.024666,-4.040771,-4.601629,-4.770611,-3.460045,-2.050795,-1.465416,-1.491123,-3.038915,-4.334048,-4.196209,-3.59675,-3.533302,-4.098616,-4.525709,-3.558341,-3.099672,-2.717517,-2.756878,-3.431762,-4.348152,-4.271962,-4.993729,-4.90038,-4.361176,-3.856984,-3.071716,-3.540485,-4.439999,-5.012961,-5.556833,-6.479281,-5.182719,-3.874617,-3.64934,-2.343809,-1.442217,-0.259662,0.026036,0.186516,3.014243,4.523483,4.392904,4.422665,1.387804,0.390886,0.502972,0.957557,2.343372,3.36967,1.911368,1.443108,2.436439,2.862123,3.518792,3.563346,2.888282,2.597266,2.371989,2.212222,1.975753,3.124752,3.725253,3.925748,4.033979,3.584299,3.099625,3.914742,4.246752,4.04733,4.265766,4.607124,4.675679,5.108942,4.375818,3.69111,3.184097,3.413821,3.890514,4.406233,4.392759,2.349934,2.739691,2.749202,3.103179,1.964631,0.453769,2.781079,3.408289,4.757398,6.178393,6.600046,6.544142,6.375583,6.999547,7.549774,7.29791,8.328591,11.789611,15.517073,18.815361,20.197576,19.459025,18.516974,1
-11.9683,-11.320772,-9.804469,-8.845468,-8.415105,-6.994884,-6.470319,-6.711163,-7.324415,-5.003939,-3.472788,-3.687067,-2.581557,-2.432017,-1.989826,-1.746844,-2.760605,-2.295989,-1.70266,-2.243189,-2.797654,-2.169959,-1.767185,-1.476198,-1.389283,-0.832573,-0.97439,-1.49018,-2.540254,-1.993737,-1.336085,-0.726102,-0.91889,-0.497199,0.330629,0.322641,-1.212178,-1.79082,-1.323993,-0.744261,-0.651556,-0.720216,-1.081814,-1.279617,-0.219388,1.642679,3.7801,5.387174,6.215379,7.89223,8.346634,7.124208,6.116226,5.257876,6.037292,6.449382,6.681237,6.6519,5.957599,6.363343,6.180821,6.28578,6.278513,5.497231,5.000515,4.502972,4.605243,4.660644,5.249738,5.114254,4.867147,4.895592,4.66032,4.501886,4.485724,4.574446,4.246727,4.037256,3.957516,3.867313,4.112481,4.635075,4.676776,4.547364,4.329048,4.354425,4.28112,4.073423,3.67142,3.66501,3.520193,3.728998,3.217382,3.419596,3.807697,4.115169,4.286115,4.477129,3.876797,4.024317,3.814636,3.952358,3.893094,3.540023,3.468804,3.894214,3.579381,3.882703,3.793115,3.609743,3.754965,3.386999,3.258939,3.303354,3.348885,3.48096,3.190793,3.281632,3.199246,3.042603,3.060849,2.979955,2.650792,2.551989,1.997996,1.999862,1.62704,1.568753,1.245996,1.452409,1.252738,1.333417,1.265836,1.299979,1.273062,0.943296,1.322369,1.438904,1.374093,1.251311,1.107823,1.509167,1.247912,1.667342,1.238383,1.190903,-0.015375,-1.806844,-3.807034,-5.968003,-7.094337,-7.804966,-7.294927,-6.432414,-6.074438,-5.614456,-5.488254,-5.661922,-6.04292,-6.715601,-6.223774,-5.997599,-5.613978,-5.704411,-7.297994,-8.070068,-8.307402,-8.696747,-9.020404,-9.027642,-9.262706,-8.740717,-9.162387,-9.850523,-9.89571,-10.020265,-9.812648,-9.733811,-8.637222,-8.771917,1
7.969691,7.933581,7.788191,7.882983,7.491176,9.497843,12.179238,11.726228,11.91961,10.763132,9.134976,8.766024,7.875396,5.343076,3.144123,-0.528531,-3.785295,-4.57816,-4.092719,-3.48424,-3.113202,-4.00143,-5.893572,-6.084812,-5.059464,-3.814282,-3.093011,-3.285338,-2.969467,-1.853464,-1.317757,0.640396,1.020308,0.423768,-1.137288,-1.821107,-3.453331,-3.819589,-3.204194,-3.828774,-3.731127,-4.447183,-4.852612,-4.294595,-3.982019,-3.261156,-2.973424,-3.009466,-4.234864,-4.934885,-4.257167,-3.625735,-3.665551,-3.069836,-1.978136,-1.509065,-2.185018,-3.201798,-3.58479,-3.49246,-3.560963,-3.873013,-4.115201,-4.251641,-4.309444,-4.392961,-3.951517,-3.888174,-3.106239,-2.401921,-2.002669,-1.93803,-1.637177,-2.367928,-2.86825,-2.981529,-3.074398,-2.978459,-2.696029,-2.469322,-3.351294,-3.286345,-3.489518,-3.277967,-3.434492,-3.180689,-3.113727,-2.402784,-2.464588,-2.405719,-2.06557,-3.26237,-3.233554,-3.161216,-3.001364,-2.935044,-2.511364,-2.175074,-0.519544,-0.493528,-1.081358,-0.794471,-0.54567,-0.858399,-1.169101,-1.018488,-1.480355,-1.820676,-2.957849,-3.395055,-3.70957,-4.252335,-4.334714,-3.02388,-1.628892,0.18186,0.28229,0.700058,0.782753,0.674712,-0.283998,-1.023945,-1.336503,-1.676184,-1.118512,-0.889981,-0.895529,-1.02662,-1.485237,-0.650203,-0.391073,-1.150608,-1.738959,-2.001043,-2.198457,-1.936114,-2.572403,-2.774319,-2.498628,-2.167621,-2.26201,-2.095764,-2.156155,-1.649877,-1.624377,-1.307963,-1.396207,-1.136707,-1.078638,-0.814535,-0.601724,-0.073456,-0.086427,1.313249,4.250378,3.849317,3.705558,3.47448,3.240527,3.066211,2.767181,2.656239,2.274042,2.608399,3.468577,4.871226,6.48794,8.843729,10.111111,10.14516,10.100989,9.86898,10.204079,10.97852,12.417799,13.070644,14.450404,16.651135,16.168199,14.145629,1
4.941358,5.44465,5.673791,6.031331,6.484205,6.26475,5.743672,5.742981,5.556277,5.535425,5.941991,6.411567,6.755939,7.504901,8.032681,7.946617,7.879422,7.515237,7.256933,6.759255,6.318199,6.21252,6.405328,6.736124,7.116625,7.427022,7.585712,7.261334,6.511829,5.654409,4.845768,4.124993,3.614667,3.518544,3.576182,3.859881,4.261506,4.215141,4.166535,4.328552,4.634589,4.986228,5.071631,4.572047,4.300614,4.541454,4.913736,5.283307,4.943525,4.701972,4.598868,5.101708,5.353632,4.756012,4.269932,3.603263,3.446678,3.135531,2.922097,2.906927,2.938006,2.913852,2.478835,2.252332,2.223604,1.977229,1.550582,0.125847,-1.779628,-2.349047,-2.430584,-2.464927,-2.469276,-2.498868,-2.633234,-1.915678,-1.502005,-1.192231,-0.713782,-0.243519,-0.081466,-0.027385,-0.077955,0.088303,0.386961,0.850954,1.111231,0.890464,0.538176,0.543405,0.982899,1.365955,1.97429,2.592366,2.85985,2.700708,2.495866,2.792322,3.048879,3.313492,2.806642,2.578671,2.278231,1.274099,0.044906,-0.555147,-0.911111,-1.216328,-1.74583,-2.069342,-2.518896,-2.663737,-2.93102,-2.963751,-3.680767,-4.208193,-4.108253,-4.348612,-4.682398,-5.057261,-5.937048,-6.659716,-7.064274,-6.812971,-6.223639,-5.635781,-5.303503,-5.156203,-4.651949,-3.61873,-2.911328,-2.509672,-2.094284,-2.024664,-1.880778,-0.859932,-0.57295,-0.977998,-0.775899,-0.673082,-0.961888,-1.276982,-1.727987,-1.890828,-2.15489,-2.757804,-2.972626,-2.423889,-1.878901,-1.573314,-1.323009,-1.720942,-2.334921,-3.565886,-4.569356,-5.363651,-5.836321,-6.130134,-6.473505,-6.418629,-6.585794,-7.645359,-8.260185,-8.572278,-8.882558,-8.799282,-9.134026,-10.080615,-11.479622,-12.45204,-12.088264,-11.003,-10.300807,-9.995544,-9.266274,-8.215172,-7.376972,-6.572057,-5.602096,-5.134521,1
-3.025461,-4.098489,-4.059382,-3.287381,-2.265916,-1.530532,-0.812822,-0.604713,-0.911198,-1.948201,-2.779014,-4.157544,-4.475934,-3.013113,-3.189156,-3.221951,-3.418172,-6.053373,-8.082428,-8.418398,-8.139655,-7.825302,-7.488867,-6.974953,-6.270802,-5.495858,-5.013685,-4.881622,-4.545096,-5.490738,-5.656254,-3.477863,-2.997693,-4.314911,-4.411394,-4.052545,-3.754954,-3.155724,-3.307352,-3.23256,-1.548842,-1.239334,-2.438687,-3.00243,-2.181729,-2.662868,-1.351222,-0.921135,-1.502282,-1.01903,-1.43723,-1.704399,-2.496686,-2.455326,-2.087888,-2.331278,-2.400314,-2.168424,-2.209791,-2.54854,-3.054849,-2.924588,-2.460738,-2.604296,-2.944767,-3.121354,-2.896578,-3.206445,-3.680189,-3.388876,-3.125364,-2.921694,-3.10854,-2.992632,-3.092434,-3.114904,-3.377337,-3.229141,-3.124775,-3.33208,-3.135087,-3.284681,-3.016449,-3.068847,-3.338082,-3.368384,-3.468798,-3.16943,-3.110728,-3.435899,-3.097376,-3.130802,-3.063312,-3.686225,-3.859328,-4.133779,-4.009232,-4.633461,-4.565862,-4.41547,-4.056058,-3.350781,-3.272008,-2.892649,-1.544677,-0.470623,0.795902,0.121837,-0.392241,0.026574,-0.424946,-0.70056,1.188446,2.649855,3.815721,4.667835,4.612888,3.929323,3.378666,3.263412,2.151802,2.034385,1.920245,1.977925,2.362719,2.395961,2.246068,2.153866,2.459505,2.35101,1.902723,1.907889,1.520218,1.554088,1.523917,1.622468,1.778353,1.184038,1.432197,1.225823,0.378251,-0.660947,-1.0417,-1.229664,-0.754043,0.848594,2.13774,3.090137,4.232881,4.725962,4.997038,7.384543,8.062583,7.484603,7.593409,9.052358,9.722607,9.585541,9.161427,8.056286,6.495449,6.730556,7.896774,9.465819,10.826819,12.124795,12.736548,11.985755,10.82273,8.684069,7.167823,6.908105,7.779957,9.111294,10.611281,10.751103,11.401177,12.279859,13.527901,13.05472,1
-7.224329,-7.419529,-8.008903,-8.682857,-9.632588,-10.196653,-10.731094,-11.015291,-10.921028,-10.690405,-10.10138,-9.394171,-8.273106,-6.550433,-5.498334,-4.394479,-3.161028,-3.266081,-3.385213,-3.400529,-2.797359,-2.134105,-0.82711,0.144362,0.980353,1.485087,2.34723,3.384784,3.999879,4.336963,4.79934,4.670953,5.678347,6.10361,6.846259,7.147276,7.820222,7.866221,7.950748,7.752121,7.790178,7.203451,6.882878,6.829282,6.351057,6.131807,5.937858,5.747874,6.193375,6.599953,6.604658,6.306927,6.038045,5.831261,5.730058,5.579488,5.622457,5.487994,5.658999,5.838057,5.972036,5.886342,5.669935,5.593884,5.546904,5.325169,5.469586,5.295307,5.186671,4.997195,4.681647,4.669449,4.723361,4.8229,5.133428,5.346891,5.349635,5.246558,5.230307,4.662936,3.981671,3.553877,2.984971,2.827872,2.47029,2.342732,2.820641,3.054764,3.243132,3.689631,4.202168,3.961555,3.707417,3.339895,2.788939,2.654866,2.267559,2.263126,2.187489,1.916305,2.541279,3.009599,2.943142,2.971351,2.670602,2.672652,2.462423,2.977874,3.018233,3.37376,2.505278,1.015558,-0.119566,-1.015086,-1.004968,-0.782652,-0.502296,-1.074148,-1.7687,-1.961705,-2.674003,-2.842455,-3.021442,-3.305815,-3.210767,-2.828364,-2.743158,-2.504306,-2.19194,-1.829385,-2.033878,-2.193746,-2.388266,-2.455439,-2.514605,-2.934684,-3.434093,-3.83025,-3.789797,-3.802745,-3.768838,-3.80239,-3.831131,-3.890727,-3.841934,-3.910768,-4.046925,-4.157547,-4.270586,-4.163604,-4.177456,-4.221548,-4.186158,-4.278033,-4.280591,-4.303137,-4.292072,-4.259116,-4.234166,-4.303778,-4.28812,-4.302135,-4.194588,-4.131173,-4.174319,-4.189852,-4.292235,-4.467181,-4.450004,-4.437975,-4.508208,-4.45224,-4.631568,-4.7769,-5.243589,-5.693457,-6.069563,-6.617855,-7.415165,-7.889307,1
1.608484,1.113516,2.273369,0.392472,1.142371,5.205809,6.005902,6.726431,6.432191,6.617315,6.825626,8.809626,10.52261,11.235221,12.628391,12.967128,12.176157,11.453088,10.671679,9.944612,9.16487,8.440013,7.65561,6.935181,6.141338,5.440732,4.617801,4.681107,5.071874,5.137638,5.552232,6.109891,6.244781,5.560887,5.817197,6.162367,5.913713,5.515798,5.188428,4.901645,4.06339,3.480455,3.110127,2.990215,3.239268,2.944239,1.839591,1.332019,1.677862,1.946879,2.048834,2.14381,2.200646,2.776946,3.21538,3.098171,3.357435,3.518971,3.467688,3.12923,3.26352,3.589809,3.880046,3.354314,3.612834,3.483066,4.197476,3.564317,3.606926,3.096929,2.918834,2.909038,3.323245,3.297873,3.490614,3.363082,2.665567,1.954721,1.378069,0.604542,-1.134495,-1.318254,-2.608339,-3.230463,-3.597421,-4.567165,-4.793314,-5.592348,-5.907594,-6.067831,-5.982812,-5.976798,-6.280687,-6.161102,-5.901014,-5.453204,-4.750181,-4.75729,-5.088445,-4.162646,-3.025917,-2.374843,-3.891894,-5.538509,-6.237933,-5.079506,-4.11958,-3.639248,-3.503733,-2.610571,-1.32976,-0.826593,-0.435942,-0.22486,-0.037371,-0.527092,-1.517831,-1.982805,-1.615029,-1.421933,-1.228356,-0.376957,0.01057,0.056246,-0.035384,0.039906,-0.407624,-0.933173,-1.796242,-3.019269,-4.270417,-5.243124,-5.478837,-5.781017,-6.397629,-6.74915,-6.990347,-7.000359,-6.675795,-6.585674,-7.047845,-6.956354,-7.147359,-7.129649,-6.875506,-6.888247,-6.857391,-6.916791,-7.016843,-6.796935,-6.824029,-6.903849,-6.134468,-5.22729,-4.581957,-3.690361,-3.14237,-3.225626,-3.227594,-2.884757,-2.199303,-1.592147,-0.71353,0.157358,0.926835,-0.054593,-1.396201,-2.883779,-3.599614,-3.71349,-3.850773,-3.872128,-3.979617,-3.987633,-4.006884,-4.029712,-4.255636,-4.167021,-3.919456,-3.39355,1
-2.509144,-2.465642,-2.636748,-2.62854,-2.848787,-3.402168,-4.174372,-4.696481,-4.388254,-4.191431,-4.266364,-4.018,-3.182118,-2.846774,-3.481368,-4.822267,-5.922771,-6.600055,-7.559288,-7.804015,-8.016879,-7.648506,-8.102006,-8.964522,-8.868362,-8.426638,-7.689736,-6.739441,-6.106265,-6.454786,-6.154799,-4.964604,-4.940566,-4.619218,-3.54816,-2.031885,-0.561342,-0.333885,0.028078,0.895837,2.044352,3.043447,3.507252,3.894184,4.010107,4.265053,3.702061,3.341334,3.344822,3.510283,3.675601,3.612158,3.253231,2.740792,2.171086,1.836252,1.684214,1.284709,0.987183,0.418413,-0.01207,-1.120823,-2.349758,-2.939896,-2.948039,-3.566378,-4.219219,-3.520991,-2.988682,-2.630913,-2.176566,-1.676566,-0.757929,-0.197031,-0.001224,0.939158,2.185356,2.015798,2.379531,3.054858,4.663906,6.395011,5.913585,6.635513,6.737218,5.934458,5.203358,3.86934,-0.139806,-2.506907,-2.783562,-2.401118,-2.105935,-2.89013,-4.715797,-5.311463,-5.562857,-5.933586,-7.27847,-7.828014,-7.003437,-6.75041,-6.374516,-6.921011,-6.647005,-7.329133,-7.301877,-6.513151,-5.292314,-3.778083,-2.624677,-1.354887,-0.565897,0.505763,1.940998,2.787245,2.864884,3.426783,4.742234,5.756888,7.418364,7.38677,7.3772,7.231662,6.987292,6.041348,5.41036,6.027813,4.507707,3.706708,2.584296,2.778773,2.2453,1.877017,0.532105,0.266229,-0.285964,-1.493125,-1.245125,-1.137874,-1.08125,-0.520918,0.446159,1.574183,2.331621,2.555577,4.036597,5.621593,6.72979,8.396309,9.031455,9.308372,9.0812,9.629685,10.140232,10.17891,9.650158,9.442846,9.337885,8.617407,8.053271,7.607119,7.163325,7.031369,6.234762,4.883235,3.752838,3.167713,2.041562,0.774031,-0.184283,-1.958365,-3.585036,-4.87975,-5.575604,-5.58328,-5.596735,-5.322802,-4.610387,-3.703668,1
