@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute target {1,2}

@data
4.367087,3.646546,2.984577,2.275913,1.612347,1.590913,1.677052,1.673042,1.513554,1.277336,1.057068,0.752289,0.41211,0.054871,-0.398914,-0.857965,-1.366467,-1.933272,-2.506084,-3.07474,-3.672484,-4.164537,-4.557764,-4.701677,-4.038711,-3.260983,-2.541973,-1.785001,-1.098196,-0.923606,-0.386647,0.121505,0.830648,0.758784,1.249135,1.293097,1.097236,0.870425,0.69838,0.663769,0.287534,-0.239511,-0.754,-1.166768,-1.535125,-1.831747,-2.035958,-2.169318,-2.269771,-2.732737,-3.378606,-3.767514,-3.318922,-2.795402,-2.213808,-1.598857,-0.896461,-0.135697,0.629006,1.480499,2.331306,3.183914,4.002499,4.560336,4.362441,3.466238,2.522134,2.274367,3.069324,3.838896,4.169739,3.36305,2.480748,1.632115,0.769393,-0.079369,-0.832347,-1.553724,-2.233668,-2.627014,-2.948514,-3.189442,-3.337985,-3.345431,-3.253363,-2.970545,-2.597157,-2.236116,-1.907202,-1.594139,-0.996571,-0.459002,0.243343,0.952166,1.621045,2.281218,2.929276,3.338128,3.536886,3.506821,3.276296,3.570282,4.114127,1
0.940225,0.724068,0.322045,-0.051158,0.345873,1.03829,0.956707,0.295505,-0.25821,-0.336969,-0.899821,-1.553208,-2.061957,-2.040358,-1.820809,-1.750987,-1.718765,-1.706575,-1.65112,-1.421135,-1.234283,-0.934555,-0.500169,-0.032827,0.4272,0.938261,1.532164,2.177534,2.724588,3.192316,3.461147,3.608951,3.82427,3.790834,3.779222,3.815725,3.805308,3.629224,3.188705,2.571293,1.740578,1.061116,0.493851,-0.055507,-0.693875,-1.355749,-2.033974,-2.622338,-3.235112,-3.765148,-4.16357,-4.482243,-4.588804,-4.531133,-4.50278,-4.201063,-3.880581,-3.485695,-2.946181,-2.390331,-1.803928,-1.259941,-0.469264,0.30168,0.861869,1.451566,2.19544,2.998237,3.710095,4.445522,4.537721,4.427313,4.276144,4.055227,3.968463,3.588903,3.115119,2.541912,1.815794,1.479352,1.067832,0.611315,0.226738,0.007083,-0.226277,-0.551063,-0.968753,-1.26361,-1.793492,-2.081436,-2.431075,-2.515976,-2.689208,-2.772235,-2.6906,-2.629947,-2.374995,-1.744671,-1.204498,-1.243963,-0.723052,-0.066564,0.343212,1
1.277889,0.984042,0.378774,-0.129516,-0.633398,-1.057807,-1.366656,-0.853551,-0.292777,0.161347,0.505406,0.345594,0.096042,-0.358293,-0.446698,-0.735448,-0.926325,-1.111423,-1.222743,-1.155197,-1.037499,-0.894012,-0.639482,-0.324401,0.108268,0.472977,1.013256,1.42172,1.953931,2.547198,3.171719,3.675358,4.076676,4.151114,4.152779,3.959886,3.218201,2.496424,1.752898,1.075339,0.417962,-0.295034,-1.042218,-1.760684,-2.384378,-2.892946,-3.395882,-3.696957,-4.050484,-4.266625,-4.42663,-4.51574,-4.330039,-4.108196,-3.738186,-3.302799,-2.833049,-2.306813,-1.776808,-1.220695,-0.614786,0.007185,0.689582,1.446235,2.170346,2.759053,3.370205,3.994045,4.550237,4.667072,4.627927,4.526902,4.393169,4.172541,4.146328,3.692654,3.065818,2.424405,1.84699,1.498853,1.069854,0.620771,0.258501,-0.120573,-0.590473,-0.982735,-1.380327,-1.769719,-2.113272,-2.422365,-2.661664,-2.873649,-2.903934,-2.877212,-2.88375,-2.757784,-2.575375,-2.128515,-1.615781,-1.016598,-0.459129,0.124255,0.739305,1
4.107129,3.507634,2.847758,2.211163,1.582162,1.046748,0.568826,0.41684,0.149032,-0.185029,-0.5672,-0.956088,-1.351453,-1.610812,-1.866744,-2.057919,-2.286304,-2.303938,-2.381367,-2.475903,-2.520656,-2.393595,-1.910827,-1.199178,-0.612808,-0.030714,0.626537,1.258798,1.107634,0.566049,0.00621,-0.544172,-1.008798,-1.408016,-0.888561,-0.293712,0.198896,0.446971,0.18497,-0.1085,-0.509381,-0.745805,-0.94348,-1.187889,-1.365986,-1.406192,-1.448698,-1.381625,-1.153417,-0.877552,-0.47034,0.247241,0.950122,1.757093,2.501709,2.795721,3.145453,3.34852,3.466135,3.525447,3.539604,3.537084,3.402079,3.22472,2.646935,2.041562,1.489293,1.060034,0.541127,0.108955,-0.449065,-1.017079,-1.768276,-2.397847,-2.977458,-3.444606,-3.921586,-4.301236,-4.549014,-4.727686,-4.829416,-4.781638,-4.491829,-4.130297,-3.695197,-3.228722,-2.694217,-2.118384,-1.518577,-0.884652,-0.182115,0.503163,1.28446,1.994227,2.661069,3.272598,3.926778,4.511669,4.629111,4.557394,4.513685,4.376491,4.168721,1
4.020497,4.203509,4.223751,4.110748,3.559641,2.820095,2.124747,1.417481,0.729556,0.257167,-0.328868,-0.801073,-1.324025,-1.81951,-2.278116,-2.602648,-1.935611,-1.618532,-1.230149,-0.641522,-0.066445,0.366694,0.927183,1.033843,0.749932,0.948211,1.111073,1.1893,1.52141,1.470855,0.896544,0.30504,-0.053298,-0.584675,-1.213592,-1.752292,-2.392227,-2.807658,-3.029963,-3.181476,-3.06685,-2.773588,-2.568331,-2.29601,-1.902161,-1.572273,-1.231701,-0.922574,-0.707756,-0.525576,-0.403354,-0.216823,-0.005632,0.129084,0.233215,0.388259,0.579723,0.862308,1.1711,1.760072,2.343657,2.911274,3.423599,3.978419,4.080288,4.097414,4.228673,4.316961,4.203687,3.90402,3.53752,3.045828,2.540816,1.987806,1.328933,0.568845,-0.071088,-0.840675,-1.600873,-2.256232,-2.887236,-3.408516,-3.878888,-4.207359,-4.523737,-4.636166,-4.706404,-4.483406,-4.208263,-3.882231,-3.392883,-2.930412,-2.372071,-1.799076,-1.241004,-0.63393,-0.03996,0.559413,1.170449,1.78639,2.356245,2.925219,3.448227,1
4.394421,3.721059,3.243561,2.825735,2.624927,2.07661,1.463757,0.906618,0.363508,-0.12448,-0.594016,-1.031292,-1.332494,-1.727625,-2.05364,-2.381059,-2.690575,-3.011384,-3.286084,-3.588634,-3.834672,-4.037861,-4.062136,-4.114879,-3.661373,-2.863097,-2.30767,-1.656827,-1.03134,-0.468428,0.179042,0.58323,1.029593,1.521226,2.144259,2.189153,2.511267,2.140793,1.863709,1.850978,1.69204,1.5474,1.323374,1.134912,0.545939,0.23137,-0.297167,-0.707733,-0.971957,-1.161716,-1.493327,-1.896086,-2.177495,-2.054732,-1.810596,-1.292094,-0.77018,-0.083054,0.664728,1.318476,1.970984,2.7174,3.446313,3.295193,3.232549,2.924389,2.430353,1.634879,0.884025,0.33977,-0.296104,-0.840946,-1.312025,-1.896944,-2.282736,-2.608567,-2.91816,-3.114905,-3.310333,-3.365805,-3.413885,-3.302157,-3.163428,-2.957642,-2.737682,-2.456269,-2.135907,-1.789205,-1.391196,-0.863853,-0.068573,0.763319,1.543415,2.18849,2.85643,3.49117,3.982676,4.299523,4.548209,4.640964,4.597569,4.491423,4.431297,1
4.389423,4.010077,3.612282,3.121554,2.569712,1.975217,1.500801,1.056915,0.679363,0.301368,-0.066779,-0.459668,-0.802051,-1.117764,-1.404463,-1.702582,-1.996566,-2.267654,-2.547789,-2.799339,-3.011705,-3.118083,-3.01066,-2.813053,-2.541031,-2.12989,-1.551095,-1.034713,-0.554873,-0.171031,0.294819,0.612432,0.341405,0.779691,0.383843,0.134267,-0.06456,-0.135414,-0.107993,-0.435508,-0.819872,-1.247847,-1.625933,-2.009346,-2.637099,-2.42946,-2.078366,-1.655379,-1.215177,-0.721384,-0.194589,0.325648,0.860738,1.402124,1.939588,2.49092,3.057598,3.64341,3.840946,3.296305,2.756109,2.469618,2.997034,2.593908,2.071332,1.53055,1.005404,0.467108,-0.070351,-0.601022,-1.114102,-1.618327,-2.108504,-2.579859,-3.022258,-3.448511,-3.824399,-4.10686,-4.254743,-4.212734,-4.076727,-3.830453,-3.513592,-3.144779,-2.759153,-2.266767,-1.76186,-1.193704,-0.626422,-0.066748,0.538787,1.170842,1.80149,2.400649,2.969322,3.518577,4.017035,4.375312,4.678073,4.80285,4.68651,4.651926,4.557711,1
3.596442,3.135145,2.573567,2.1422,1.640003,1.149282,0.846084,0.612346,0.42466,0.27137,0.149052,0.042936,-0.055302,-0.141687,-0.268827,-0.36383,-0.514807,-0.710424,-0.9083,-1.078073,-1.322948,-1.566854,-1.827437,-2.02705,-2.20968,-1.834763,-1.298259,-0.858344,-0.396662,0.166724,-0.088747,-0.47843,-0.803564,-0.968686,-0.918656,-0.823209,-1.016811,-1.472396,-1.577702,-1.727889,-1.674339,-1.615893,-1.413306,-1.352828,-1.175122,-0.93178,-0.62408,-0.164694,0.209441,0.82366,1.390198,1.943345,2.534422,3.07106,3.642629,4.290464,4.660763,4.855724,4.7449,4.33395,3.806869,3.25428,2.928544,2.546156,2.042278,1.452365,0.805073,0.160569,-0.459204,-1.048429,-1.66511,-2.223626,-2.677995,-3.164048,-3.585547,-4.036278,-4.460055,-4.739414,-4.937469,-4.952762,-4.825615,-4.572859,-4.209694,-3.79219,-3.321305,-2.818955,-2.295381,-1.75417,-1.199673,-0.611195,0.006037,0.631367,1.191253,1.71069,2.176787,2.621825,3.031134,3.421209,3.674466,3.675433,3.842294,3.678259,3.655096,1
3.891285,3.379353,2.809205,2.26201,1.734325,1.230006,0.910642,0.667496,0.52244,0.345698,0.189994,0.054611,-0.102803,-0.220169,-0.430575,-0.606399,-0.771968,-1.002221,-1.233845,-1.364731,-1.562364,-1.684173,-1.642797,-1.755831,-1.826454,-1.914175,-1.932346,-1.38982,-0.922688,-0.626092,-0.296049,-0.056753,-0.277343,-0.363658,-0.288537,-0.131386,-0.680489,-1.192706,-1.741714,-2.131591,-2.043928,-1.87152,-1.882809,-1.862534,-1.903334,-1.829946,-1.67602,-1.512656,-1.065894,-0.510686,0.076179,0.686717,1.29017,1.895946,2.48186,3.0946,3.770475,4.232869,4.472704,4.49586,4.579619,4.215281,3.816899,3.574646,3.194253,2.708698,2.04208,1.294664,0.545754,-0.125045,-0.871664,-1.441392,-2.073867,-2.543238,-3.059451,-3.516553,-3.956727,-4.30421,-4.523889,-4.670517,-4.68189,-4.506294,-4.243684,-3.865817,-3.411266,-2.92698,-2.376148,-1.847971,-1.289979,-0.723186,-0.10254,0.544419,1.192877,1.745858,2.28722,2.722627,3.168999,3.576847,3.893419,3.955504,4.023476,3.893525,3.900199,1
3.740516,3.203483,2.763716,2.212518,1.753975,1.381646,1.054827,0.742236,0.48881,0.246768,0.062016,-0.113937,-0.29504,-0.492797,-0.700749,-0.877686,-1.111113,-1.284302,-1.489205,-1.769238,-2.001486,-2.232461,-2.347483,-2.07802,-1.461704,-0.866801,-0.440827,0.048886,0.623113,0.650595,0.163157,-0.219682,-0.426614,-0.746042,-0.799224,-0.794708,-1.149112,-1.246985,-1.634993,-2.07329,-2.412006,-2.619911,-2.590469,-2.490179,-2.567514,-2.529122,-2.088025,-1.654256,-1.074953,-0.467787,0.140763,0.752807,1.307246,1.935188,2.538135,3.169806,3.856127,4.070889,4.436219,4.719166,4.797933,4.663484,4.174104,3.588902,2.958878,2.462807,1.797006,1.147318,0.527803,-0.099231,-0.739119,-1.317684,-1.825437,-2.238551,-2.711272,-3.154796,-3.528257,-3.857832,-4.137744,-4.268375,-4.28371,-4.209648,-3.980432,-3.717215,-3.378612,-2.986112,-2.538227,-2.037069,-1.532437,-0.955692,-0.325321,0.325789,0.995583,1.580186,2.199405,2.751189,3.241475,3.646118,3.972836,4.146749,4.176175,3.912623,3.841524,1
