@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute target {1,2}

@data
-2.350628,-2.025941,-2.420913,-2.478444,-2.475472,-2.683945,-2.784327,-2.59988,-2.071782,-1.579107,-1.150378,0.016948,1.304225,1.707493,2.530449,2.367158,1.961057,1.543566,1.656171,1.14074,0.643879,0.531693,0.831888,1.353446,1.724457,1.501344,0.912111,0.56616,0.7824,1.903558,2.490252,2.574418,2.210151,1.569523,0.320048,-0.866842,-0.788205,-0.259001,-0.025892,1.321297,2.759373,4.083993,4.025547,3.736101,3.992121,2.305823,3.307092,1.346211,-1.48996,-2.764699,-2.740986,-3.961371,-4.601961,-4.706607,-4.743679,-4.749781,-4.70089,1
-2.43215,-1.96841,-2.228346,-2.454715,-2.473734,-2.620673,-2.684885,-2.545416,-1.962198,-1.30879,-1.058724,-0.114435,0.981495,1.480665,2.180055,2.025342,1.856756,1.495425,1.802103,1.576728,0.889876,0.716207,0.950089,1.614595,2.033781,1.978855,1.072632,0.727724,0.872756,1.964367,2.570503,2.677727,2.290317,1.768113,0.465651,-0.850962,-0.715821,-0.134753,-0.025252,1.008125,2.460258,3.467386,3.883766,3.685451,3.949155,2.130665,3.314662,1.444571,-1.570588,-3.068656,-3.324501,-4.184244,-4.634875,-4.72489,-4.756706,-4.765446,-4.726633,1
-2.290189,-1.78933,-2.25072,-2.301049,-2.317633,-2.582209,-2.728496,-2.537067,-2.075137,-1.562088,-1.017759,0.207897,1.240105,1.780496,2.464297,2.499636,2.042483,1.56932,1.614691,1.23316,0.716095,0.632418,0.795724,1.203641,1.591248,1.571604,0.893776,0.592137,0.661145,2.044539,2.56353,2.60835,2.009625,1.445552,0.373575,-0.940933,-0.853051,-0.483358,-0.197221,0.97048,2.842665,4.042401,4.098517,4.100207,3.976126,1.964611,3.10359,1.122384,-1.474036,-2.699015,-2.519738,-3.893648,-4.685154,-4.815717,-4.86306,-4.873848,-4.82557,1
-2.37548,-1.816325,-2.181407,-2.358527,-2.382925,-2.62398,-2.640707,-2.517527,-2.008718,-1.27094,-1.01659,-0.157036,0.929213,1.548931,2.084505,1.989267,1.861799,1.28402,1.640684,1.086546,0.729536,0.536199,0.751495,1.362818,2.029502,1.711989,0.935186,0.56571,0.732868,1.966188,2.529853,2.613274,2.10758,1.592916,0.461044,-0.819004,-0.752898,-0.290435,-0.003104,1.112811,2.670319,3.891614,4.547058,4.019262,4.422947,2.261377,3.348333,1.296851,-1.586474,-2.960132,-3.071524,-4.084149,-4.634352,-4.74306,-4.779287,-4.791433,-4.755684,1
-2.386321,-2.151287,-2.504558,-2.539671,-2.534778,-2.732796,-2.819511,-2.665434,-2.130453,-1.543371,-1.163101,0.181347,1.380306,1.963522,2.745447,2.579334,2.151671,1.453007,1.655925,1.185123,0.528581,0.519181,0.844227,1.529357,1.813807,1.700016,0.948657,0.539088,0.901191,2.102791,2.508003,2.642811,2.003757,1.465612,0.070557,-0.967161,-0.894756,-0.401491,-0.094989,1.351903,3.016815,4.362979,3.921472,3.919117,3.837321,1.868918,3.129297,0.653536,-1.804153,-2.862432,-2.66296,-3.849099,-4.467499,-4.561955,-4.59009,-4.595648,-4.551164,1
-2.34496,-1.840932,-2.224049,-2.41671,-2.46915,-2.606231,-2.646787,-2.449614,-1.834769,-1.090738,-0.93008,0.028814,1.085124,1.261914,2.092952,2.155451,1.716524,1.564143,1.859106,1.527932,1.026341,0.861364,1.007818,1.445643,1.935265,1.893226,1.20516,0.821638,0.865698,1.716007,2.151686,2.652291,2.097448,1.720472,0.578968,-0.611368,-0.556975,0.155277,0.145351,0.947836,1.947987,3.012104,3.636102,3.560128,4.076789,2.394765,3.418612,1.901427,-1.276705,-2.879233,-3.032259,-4.242615,-4.893455,-5.011106,-5.047964,-5.055304,-5.00636,1
-2.280125,-1.805275,-2.241316,-2.347429,-2.358557,-2.621604,-2.69933,-2.526791,-2.015214,-1.420663,-1.016442,0.132887,1.159636,1.693989,2.780118,2.437153,1.988395,1.432059,1.704018,1.401244,0.760638,0.558795,0.840224,1.580883,1.994044,1.695603,0.959295,0.454461,0.629864,1.955401,2.510796,2.599929,1.961408,1.404242,0.065181,-1.156741,-1.057778,-0.476897,-0.313621,0.880909,2.746963,4.169364,4.22701,3.89648,3.974363,1.939776,3.24708,1.06368,-1.652268,-2.904643,-2.92509,-3.952607,-4.519518,-4.622445,-4.651839,-4.662451,-4.617244,1
-2.248419,-1.786775,-2.178405,-2.28892,-2.319941,-2.527112,-2.61488,-2.521368,-1.983037,-1.459887,-1.175726,-0.134146,0.903026,1.404981,2.000923,1.85396,1.574112,1.193574,1.436359,1.078708,0.518145,0.450957,0.87345,1.40429,1.805161,1.611346,0.900418,0.685977,0.748352,1.934903,2.565023,2.661537,2.272978,1.564547,0.47533,-0.69196,-0.786256,-0.271254,-0.151942,1.247594,2.464302,4.011827,4.61146,4.164226,4.187653,2.26593,3.469944,1.458037,-1.251472,-2.709105,-2.621595,-3.961221,-4.700171,-4.829552,-4.869012,-4.881855,-4.835019,1
-2.405749,-1.996772,-2.243156,-2.457328,-2.488343,-2.575307,-2.583888,-2.57674,-2.000598,-1.106121,-0.838574,0.148606,1.183801,1.947398,2.56413,2.162747,2.14076,1.508004,1.862288,1.417428,0.874815,0.791905,0.966516,1.579748,2.279926,1.910832,0.943437,0.653894,0.85428,2.157371,2.566876,2.670094,1.981695,1.506838,0.163861,-1.120516,-1.037043,-0.607807,-0.476621,0.67876,2.558573,4.006867,3.914425,3.572702,3.892126,1.642576,3.705418,0.939597,-1.933695,-3.254022,-3.556798,-4.142741,-4.417215,-4.476093,-4.493806,-4.499861,-4.459498,1
-2.50004,-2.318387,-2.579164,-2.664726,-2.586986,-2.705458,-2.802079,-2.62229,-1.961349,-1.337216,-1.032172,0.071837,1.05896,1.770971,2.364099,2.215684,2.035956,1.457804,1.7522,1.399145,0.742597,0.663658,0.853222,1.393833,1.944457,1.749262,1.100642,0.625758,0.952507,2.000123,2.58156,2.722153,1.922034,1.466765,0.338348,-0.961895,-0.745113,-0.239637,-0.098405,1.065858,2.806188,4.096703,4.110943,3.895202,3.737455,1.78543,3.384784,1.338227,-1.609205,-2.854511,-2.865338,-3.925436,-4.509908,-4.60503,-4.637056,-4.64231,-4.600653,1
