@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute attr115 numeric
@attribute attr116 numeric
@attribute attr117 numeric
@attribute attr118 numeric
@attribute attr119 numeric
@attribute attr120 numeric
@attribute attr121 numeric
@attribute attr122 numeric
@attribute attr123 numeric
@attribute attr124 numeric
@attribute attr125 numeric
@attribute attr126 numeric
@attribute attr127 numeric
@attribute attr128 numeric
@attribute attr129 numeric
@attribute attr130 numeric
@attribute attr131 numeric
@attribute attr132 numeric
@attribute attr133 numeric
@attribute attr134 numeric
@attribute attr135 numeric
@attribute attr136 numeric
@attribute attr137 numeric
@attribute attr138 numeric
@attribute attr139 numeric
@attribute attr140 numeric
@attribute attr141 numeric
@attribute attr142 numeric
@attribute attr143 numeric
@attribute attr144 numeric
@attribute target {1,2}

@data
-0.906079,-0.892415,-0.884013,-0.878384,-0.87438,-0.871407,-0.869123,-0.867321,-0.865869,-0.864678,-0.863685,-0.862847,-0.862132,-0.861514,-0.860977,-0.860505,-0.860087,-0.859715,-0.859382,-0.85908,-0.858807,-0.858557,-0.858328,-0.858116,-0.857919,-0.857735,-0.857562,-0.857398,-0.857241,-0.857091,-0.856945,-0.856803,-0.856663,-0.856523,-0.856382,-0.856238,-0.856089,-0.855932,-0.855764,-0.85558,-0.855375,-0.855139,-0.854862,-0.854523,-0.854092,-0.853513,-0.852679,-0.851348,-0.848842,-0.842213,-0.769601,-0.87845,-0.866328,-0.862849,-0.86119,-0.860215,-0.85957,-0.859111,-0.858767,-0.858499,-0.858284,-0.858107,-0.85796,-0.857836,-0.857729,-0.857637,-0.857558,-0.857488,-0.857427,-0.857374,-0.857327,-0.857287,-0.857251,-0.857221,-0.857195,-0.857173,-0.857156,-0.857142,-0.857132,-0.857126,-0.857123,-0.857124,-0.857128,-0.857137,-0.857149,-0.857165,-0.857185,-0.857209,-0.857238,-0.857272,-0.857311,-0.857356,-0.857406,-0.857464,-0.857528,-0.857601,-0.857682,-0.857774,-0.857876,-0.857991,-0.858119,-0.858264,-0.858426,-0.858609,-0.858817,-0.859052,-0.859319,-0.859625,-0.859977,-0.860384,-0.860857,-0.861413,-0.86207,-0.862855,-0.863805,-0.864971,-0.866427,-0.868282,-0.870711,-0.874003,-0.878678,-0.885802,-0.898023,-0.926047,-0.854025,-1.084999,5.673622,7.360561,7.5585,8.21103,8.404811,8.405051,8.399603,8.200437,7.546747,7.579202,7.578528,7.534762,7.411747,5.789437,6.199138,-1.27585,-0.992651,-0.931552,1
-1.503514,-1.501016,-1.49921,-1.497862,-1.496832,-1.496033,-1.495406,-1.494912,-1.494522,-1.494217,-1.493981,-1.493803,-1.493673,-1.493584,-1.493532,-1.493511,-1.493519,-1.493552,-1.493609,-1.493687,-1.493785,-1.493902,-1.494038,-1.494191,-1.494361,-1.494548,-1.494753,-1.494974,-1.495213,-1.49547,-1.495746,-1.496041,-1.496357,-1.496695,-1.497056,-1.497443,-1.497857,-1.498302,-1.49878,-1.499296,-1.499855,-1.500463,-1.501128,-1.501862,-1.502679,-1.503602,-1.504666,-1.505931,-1.507514,-1.509687,-1.513305,-1.523437,-1.444152,-1.499362,-1.505924,-1.50968,-1.512874,-1.516097,-1.519655,-1.523819,-1.528933,-1.535531,-1.544575,-1.558053,-1.580937,-1.629992,-1.788839,5.77245,5.942175,5.364042,5.248276,5.552455,5.442438,5.662023,5.509635,3.072012,-0.028437,-1.284184,-1.374467,-1.406683,-1.423552,-1.434152,-1.441557,-1.4471,-1.451457,-1.45501,-1.457994,-1.460561,-1.462819,-1.464842,-1.46669,-1.468409,-1.470038,-1.471612,-1.473165,-1.474732,-1.476353,-1.478077,-1.479963,-1.482099,-1.484606,-1.487674,-1.491614,-1.496971,-1.504803,-1.517453,-1.541259,-1.601445,-1.762016,4.296582,4.823532,5.791553,4.190006,4.113351,3.836275,3.943141,3.842892,3.407395,3.309996,3.312966,3.315888,3.318039,3.319748,3.321284,3.32287,3.324761,3.327379,3.331768,3.342199,3.208701,3.442561,3.312916,3.425126,3.241151,3.353815,3.344309,3.353456,3.381537,3.511635,-1.525491,-1.541469,-1.522372,-1.512745,-1.507134,1
-0.862006,-0.855623,-0.849721,-0.84459,-0.840166,-0.836329,-0.832971,-0.830001,-0.827348,-0.824955,-0.822777,-0.820779,-0.81893,-0.817209,-0.815593,-0.814069,-0.812621,-0.811237,-0.809908,-0.808624,-0.807377,-0.80616,-0.804967,-0.803791,-0.802627,-0.801469,-0.800311,-0.799149,-0.797977,-0.796788,-0.795578,-0.79434,-0.793067,-0.791751,-0.790385,-0.788958,-0.78746,-0.785877,-0.784196,-0.782397,-0.780459,-0.778356,-0.776055,-0.773514,-0.770681,-0.767485,-0.763834,-0.7596,-0.754602,-0.748578,-0.741122,-0.731578,-0.718798,-0.700557,-0.671853,-0.618343,-0.474473,1.332092,8.095315,8.003974,7.923518,8.020735,8.309612,8.640601,8.227985,8.03143,-0.913914,-0.607785,-0.645428,-0.522342,-0.601522,-0.563796,-0.825301,-0.833513,-0.83423,-0.833219,-0.831715,-0.830109,-0.828561,-0.82715,-0.825946,-0.825062,-0.824766,-0.826005,-0.836076,-0.789242,-0.807567,-0.809664,-0.80989,-0.809543,-0.808959,-0.80826,-0.8075,-0.806705,-0.805891,-0.805063,-0.804227,-0.803384,-0.802534,-0.801677,-0.800812,-0.799936,-0.799049,-0.798147,-0.797229,-0.796291,-0.795329,-0.794341,-0.793322,-0.792267,-0.791171,-0.790028,-0.788831,-0.787571,-0.786241,-0.784827,-0.783318,-0.781698,-0.779947,-0.778041,-0.775953,-0.773646,-0.771073,-0.768175,-0.764872,-0.761058,-0.756585,-0.751243,-0.744721,-0.736539,-0.725914,-0.711472,-0.690548,-0.657178,-0.594554,-0.428723,2.861013,6.912248,7.626603,8.20501,8.145774,0.127762,-0.84997,-0.866531,1
-0.579317,-0.577401,-0.575729,-0.574258,-0.572955,-0.571794,-0.570757,-0.569828,-0.568996,-0.568253,-0.567592,-0.567012,-0.56651,-0.566092,-0.565766,-0.565545,-0.56546,-0.565558,-0.565934,-0.566785,-0.568591,-0.572904,-0.589054,-0.439777,-0.538679,-0.547355,-0.550403,-0.551852,-0.55263,-0.553067,-0.553308,-0.553427,-0.553467,-0.553453,-0.553401,-0.553321,-0.55322,-0.553105,-0.552978,-0.552842,-0.552699,-0.552552,-0.5524,-0.552245,-0.552088,-0.551929,-0.551768,-0.551606,-0.551443,-0.551279,-0.551114,-0.550949,-0.550783,-0.550617,-0.55045,-0.550282,-0.550114,-0.549945,-0.549776,-0.549606,-0.549435,-0.549263,-0.54909,-0.548916,-0.548741,-0.548565,-0.548387,-0.548209,-0.548028,-0.547847,-0.547663,-0.547478,-0.547291,-0.547103,-0.546913,-0.546721,-0.546527,-0.546332,-0.546135,-0.545937,-0.545739,-0.54554,-0.545343,-0.545147,-0.544955,-0.544769,-0.544592,-0.544431,-0.544292,-0.544188,-0.544139,-0.544182,-0.544383,-0.544885,-0.546053,-0.549168,-0.564059,-0.502241,-0.528038,-0.531897,-0.533148,-0.533543,-0.533535,-0.533291,-0.532883,-0.532347,-0.531699,-0.530946,-0.530086,-0.529114,-0.528021,-0.526791,-0.525405,-0.523838,-0.522057,-0.520018,-0.517664,-0.514919,-0.511678,-0.507796,-0.503061,-0.497159,-0.489595,-0.47955,-0.46556,-0.444724,-0.410381,-0.343135,-0.153954,5.554634,8.185339,11.548626,12.596439,13.374687,12.446724,10.709707,-0.726678,-0.623119,-0.604873,-0.596616,-0.591295,-0.587329,-0.584164,-0.581541,1
-0.506961,-0.503826,-0.501148,-0.498912,-0.497156,-0.496021,-0.495931,-0.498459,-0.515836,-0.437767,-0.469039,-0.473104,-0.474046,-0.474045,-0.473661,-0.473101,-0.472454,-0.471769,-0.471068,-0.470367,-0.469672,-0.468988,-0.468319,-0.467665,-0.467027,-0.466405,-0.465799,-0.465207,-0.464631,-0.464068,-0.463518,-0.462981,-0.462456,-0.461942,-0.461438,-0.460944,-0.460459,-0.459983,-0.459514,-0.459053,-0.458599,-0.458151,-0.457709,-0.457272,-0.456839,-0.456412,-0.455988,-0.455567,-0.45515,-0.454735,-0.454323,-0.453912,-0.453503,-0.453095,-0.452688,-0.452281,-0.451874,-0.451467,-0.451059,-0.45065,-0.450239,-0.449826,-0.449411,-0.448993,-0.448572,-0.448148,-0.447719,-0.447286,-0.446847,-0.446404,-0.445954,-0.445497,-0.445034,-0.444562,-0.444082,-0.443593,-0.443094,-0.442585,-0.442064,-0.44153,-0.440983,-0.440421,-0.439844,-0.43925,-0.438638,-0.438007,-0.437354,-0.436678,-0.435977,-0.435249,-0.434493,-0.433704,-0.432881,-0.432019,-0.431117,-0.430169,-0.429171,-0.428118,-0.427004,-0.425823,-0.424567,-0.423228,-0.421795,-0.420256,-0.418599,-0.416806,-0.414858,-0.412732,-0.4104,-0.407827,-0.404972,-0.40178,-0.398185,-0.394099,-0.389407,-0.383957,-0.377537,-0.369848,-0.360451,-0.348671,-0.137253,-0.312755,-0.282979,-0.235704,-0.146894,0.093405,7.24262,13.687514,13.016399,13.844375,14.200396,-0.496848,-0.713847,-0.648755,-0.609454,-0.583725,-0.565499,-0.55185,-0.541214,-0.532675,-0.525664,-0.519806,-0.514846,-0.510606,1
3.261625,-0.821486,-0.781502,-1.179082,2.559663,0.123581,0.009193,0.586409,-0.981204,-0.611552,-0.520712,3.469031,-0.392927,-0.259468,0.428532,-1.052302,-0.552892,0.200343,-1.282409,-0.863607,-0.741971,3.267163,-0.583994,-0.448025,0.231477,-1.278946,-0.872687,-0.756919,3.249933,-0.601201,-0.463385,0.219761,-1.284843,-0.869672,-0.739944,3.290404,-0.514857,-0.250071,2.275743,-1.374466,-0.82194,-0.002347,-1.395391,-0.757211,1.827231,-1.843729,-1.405633,2.655314,-1.217375,-1.190769,-1.184844,2.732758,-1.238662,-1.338659,-1.747387,-0.264926,-1.030006,-1.557335,-0.13281,-0.94558,-1.508492,2.106901,-0.513902,-1.163586,2.468343,-0.049426,-0.285587,3.577308,-0.335035,-0.153308,2.297562,-1.43046,-0.971311,-0.284104,-1.913945,-1.955654,1.809301,-0.733325,-1.347109,0.064944,-0.73193,-1.272399,0.15345,-0.63944,-1.177129,0.252807,-0.533385,-1.060382,0.386499,-0.372026,-0.850331,0.695774,0.213638,2.532374,-1.316485,-1.286491,0.415375,0.013084,2.391807,-1.37329,-0.992648,3.026347,-0.882923,-0.896778,2.97828,-1.109491,-1.821231,3.648476,2.971403,-1.144263,-1.201233,0.46203,0.040267,2.408956,-1.360523,-0.979955,3.043461,-0.85493,-0.84589,3.080134,-0.868351,-0.901642,2.968363,-1.091436,-1.5242,2.157265,-0.409416,-1.018082,0.427355,-0.280381,3.495714,-0.556572,-0.928289,0.670784,0.234384,2.615833,-1.100738,-0.534672,1.974909,-1.836139,-1.837315,1.973801,-0.524402,-1.030336,1
-2.280701,1.779894,-0.712603,-1.307028,2.349075,-0.163649,-0.41186,3.416186,-0.576186,-0.620939,3.271872,-0.697101,-0.741342,3.126719,-0.923941,-1.329771,2.415982,0.025915,0.433508,-1.212785,-0.91375,3.01797,-1.007726,-1.419267,0.059191,-0.7083,-1.23433,0.19847,-0.591892,-1.130107,0.296803,-0.49485,-1.03011,0.404768,-0.371487,-0.87778,0.617222,0.002234,0.472308,-1.233957,-1.288002,2.525005,0.157207,0.569068,-1.090692,-0.849011,-1.186547,0.336369,-0.386235,-0.85288,0.674044,0.069949,0.1594,2.565454,-1.217933,-0.903222,-1.164777,0.445751,-0.116152,-0.004215,2.412386,-1.369666,-1.062893,-1.344559,0.225404,-0.42178,-0.543482,3.300663,-0.764037,-1.190255,2.507093,-0.033029,-0.599268,0.918634,0.363711,0.940924,-0.552094,0.045483,2.631336,-0.983702,-0.340471,2.251738,-1.431097,-1.048142,-1.254312,0.411882,-0.064943,0.555894,-0.915782,-0.316245,2.247312,-1.435886,-1.007327,3.038131,-0.884582,-1.179087,0.469926,0.064624,2.457655,-1.282954,-0.866615,3.209109,-0.580104,0.068075,-1.538975,-1.520794,2.353986,0.04657,0.526006,-1.044793,-0.653083,3.413732,-0.352545,0.358526,-1.099195,-0.570756,0.22665,-1.172918,-0.530474,2.070173,-1.563124,-1.023827,-0.249396,-1.747182,-1.402357,-1.653452,-0.028511,-0.554049,-0.001878,-1.589368,-1.259508,2.685347,-1.347058,-1.770907,1.906524,-0.680497,-1.311186,2.32994,-0.18667,-0.429866,3.41567,-0.529881,-0.41114,1.903357,1
2.56395,-1.464916,-1.050612,-0.947991,3.306842,-0.897666,-0.899951,-0.914935,3.271043,-1.005148,-1.134308,-1.58448,2.390555,-0.299626,-0.620742,-1.099408,0.535297,-0.120787,-0.03582,2.529802,-1.55262,-1.256156,-1.584967,2.45826,-0.166853,-0.379341,3.780338,-0.432412,-0.343502,0.33956,-1.322513,-0.929549,-0.85499,3.377327,-0.859001,-0.937074,-1.332056,0.332209,-0.335525,-0.355178,0.267984,-1.461526,-1.195409,-1.560474,2.450406,-0.220529,-0.530939,-1.006484,0.618783,-0.079483,-0.169636,4.053913,-0.081403,0.174632,2.876437,-1.018526,-0.318239,2.502475,-1.349274,-0.643187,2.149738,-1.78426,-1.323584,3.003222,-1.234462,-1.607477,0.044084,-0.708195,-1.184132,0.484088,-0.103326,0.499655,-1.152497,-0.659442,0.111688,-1.51838,-1.119916,3.149236,-1.136549,-1.539875,2.483156,-0.142999,-0.345707,3.83492,-0.335103,-0.122732,2.510053,-1.515963,-1.153254,-1.411568,0.338148,-0.24061,-0.091773,2.5389,-1.459455,-1.014976,-0.878735,3.41907,-0.719588,-0.584373,0.130455,-1.508435,-1.097833,-1.009523,3.233557,-0.994637,-1.067403,-1.461035,0.197287,-0.494053,-0.59897,3.582265,-0.647646,-0.649022,3.574913,-0.626659,-0.599654,3.664589,-0.459562,-0.211843,2.461082,-1.496912,-0.959675,-0.16385,-1.807593,-1.487972,-1.812594,2.236939,-0.383397,-0.594004,3.563779,-0.655884,-0.581257,0.075081,-1.638809,-1.364102,-1.723819,2.291043,-0.375869,-0.680482,-1.145306,0.503002,-0.137559,-0.032238,1
-0.259373,-0.023456,2.43102,-1.101686,-0.465586,2.092772,-1.407377,-0.778573,1.727216,-1.922061,-1.852636,1.959811,-0.265317,0.211323,-1.315753,-0.939362,3.006994,-0.681998,-0.028283,-1.516125,-1.15073,2.735638,-1.128879,-1.471906,0.039392,-0.589096,3.12779,-0.786745,-1.125457,0.4484,0.033766,2.349873,-1.301405,-0.906197,3.042479,-0.710764,-0.645532,3.258136,-0.450989,-0.188595,2.285555,-1.231389,-0.581456,1.990612,-1.49362,-0.842455,1.702419,-1.856332,-1.425098,2.518571,-1.301453,-1.596471,-0.008019,-0.431955,1.845134,-1.906329,-1.915566,-0.36294,-1.058232,-1.527994,2.079263,-0.329545,-0.532672,3.24355,-0.559844,-0.392321,1.956916,-1.780153,-1.772978,1.986426,-0.29351,0.111673,-1.543081,-1.578461,2.15448,-0.125826,0.306199,-1.263656,-0.93786,2.930179,-0.936299,-1.261077,0.308489,-0.126516,2.145138,-1.609281,-1.597904,2.180884,-0.060656,0.418236,-1.071632,-0.534854,1.902792,-1.790359,-1.752653,2.034284,-0.213746,0.239564,-1.315122,-0.977793,2.89959,-0.958744,-1.275733,0.302247,-0.122177,2.165321,-1.560743,-1.518731,0.14247,-0.256391,2.029811,-1.723267,-1.723817,2.020786,-0.318228,3.360252,-0.429598,0.161972,-1.403462,-1.368421,0.286721,-0.09805,2.227822,-1.42598,-1.045093,2.870976,-0.961822,-1.257287,0.344045,-0.04821,2.295098,-1.302891,-0.735592,1.720588,-1.979199,-1.974123,1.735235,-0.713541,-1.279028,2.305334,-0.10775,-0.308003,3.472233,-0.338608,1
-1.395167,-1.448676,2.418802,-0.073602,-0.28016,3.663813,-0.349193,-0.280664,0.342768,-1.282731,-1.015336,-1.345051,2.490671,-0.001639,-0.195748,3.772904,-0.191486,0.008994,2.513347,-1.295872,-0.893663,-0.794451,3.241296,-0.774596,-0.843656,-1.215938,0.366586,-0.267395,-0.286614,0.304021,-1.341181,-1.091377,-1.442132,2.363154,-0.180642,-0.483689,-0.945957,0.584264,-0.097715,-0.209669,3.762835,-0.234425,-0.152768,0.484625,-1.124004,-0.834529,-1.133111,2.751099,0.347899,0.38497,2.871022,-0.895355,-0.362121,0.448228,-1.005782,-0.456389,0.352716,-1.099297,-0.547854,0.26235,-1.189843,-0.640043,0.166833,-1.290737,-0.748972,0.046155,-1.42876,-0.913578,-0.162181,-1.718762,-1.400376,-1.702986,-0.129735,-0.862502,-1.355629,0.147083,-0.610365,-1.095985,0.45799,-0.133278,0.397319,-1.237618,-0.906852,3.119429,-0.969686,-1.358919,2.476668,0.056511,0.486425,-1.176673,-0.856156,3.168813,-0.911291,-1.300104,0.254444,-0.430932,3.430999,-0.700637,-1.098195,0.483971,-0.097297,0.435045,-1.203367,-0.880785,3.131439,-0.981004,-1.411017,2.344205,-0.277282,-0.893444,2.86693,0.419557,0.847809,-0.796246,-0.43195,3.678181,-0.218566,0.029346,2.581121,-1.161598,-0.622914,0.184466,-1.269677,-0.666423,1.893895,-1.9892,-1.995947,1.871296,-0.714154,-1.337611,2.364536,-0.262821,-0.873003,0.637408,0.024709,0.543693,-1.096797,-0.766261,3.266751,-0.802873,-1.174023,0.416379,-0.171859,0.330772,1
