@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute target {1,2,3,4}

@data
4.631862,4.439444,3.778442,3.049571,2.33708,1.62326,0.922483,0.256807,-0.382471,-0.984369,-1.59143,-2.105992,-2.565533,-2.956892,-3.247317,-3.427997,-3.470464,-3.340858,-3.175435,-2.81345,-2.507851,-2.095264,-1.6929,-1.229849,-0.716325,-0.160614,0.310171,0.829424,1.318938,1.68627,2.006875,2.305527,2.959571,3.664443,4.18431,4.356994,3.842102,3.126711,2.482552,2.167464,1.720032,1.326302,0.87742,0.395313,-0.041663,-0.544375,-0.967703,-1.429177,-1.8306,-2.33965,-2.596261,-2.979774,-3.185816,-3.295042,-3.263718,-3.181741,-2.96774,-2.64171,-2.233663,-1.752328,-1.156434,-0.563002,0.061745,0.699561,1.375016,2.09656,2.832041,3.553109,4.218008,2
3.851464,3.709056,3.124217,2.430032,1.72377,1.021126,0.404802,-0.270584,-0.808709,-1.357935,-1.833254,-2.32192,-2.607742,-2.941673,-3.115843,-3.306242,-3.374277,-3.312672,-3.127385,-2.834769,-2.528941,-2.1552,-1.817199,-1.343036,-0.823729,-0.193269,0.369379,1.059845,1.756617,2.395034,3.041232,3.639791,3.985579,4.02279,3.930515,3.633855,3.144485,2.518069,1.901315,1.202036,0.507663,-0.060752,-0.722691,-1.229209,-1.692081,-2.192983,-2.525813,-2.773435,-2.822422,-3.036431,-2.852464,-2.812077,-2.655796,-2.666609,-2.467044,-2.075493,-1.735234,-1.319408,-0.84469,-0.235339,0.368251,1.049323,1.643357,2.345427,3.013482,3.57489,3.848904,3.791826,3.786216,3
4.755335,4.546867,3.866161,3.193606,2.57691,1.994101,1.415663,0.806982,0.155147,-0.494662,-1.010875,-1.514623,-1.987943,-2.309433,-2.537268,-2.724452,-2.919178,-3.044331,-3.055169,-2.948345,-2.727182,-2.613172,-2.340614,-2.032349,-1.637371,-1.166408,-0.651276,0.001663,0.664753,1.249486,1.824725,2.377345,3.007083,3.692239,4.367617,4.764888,4.080114,3.381104,2.70898,2.12849,1.550754,0.970918,0.388612,-0.270578,-0.917182,-1.418437,-1.897328,-2.267321,-2.55348,-2.753823,-2.819035,-2.998199,-3.056099,-2.994337,-2.816277,-2.723022,-2.480359,-2.194847,-1.833123,-1.362765,-0.773497,-0.2179,0.437077,1.039686,1.609123,2.173098,2.760227,3.435182,4.138321,4
3.770678,3.632005,3.40604,2.813231,2.149041,1.442796,0.726664,0.085601,-0.577546,-1.094857,-1.638516,-2.071469,-2.515868,-2.764082,-2.859827,-3.103012,-3.227659,-3.226883,-3.100901,-2.859361,-2.756345,-2.513018,-2.071035,-1.638119,-1.137654,-0.543938,0.022811,0.710708,1.379903,2.112979,2.763258,3.37266,3.833421,3.978985,3.988928,3.851034,3.601391,3.055928,2.425585,1.769382,1.049912,0.466712,-0.208746,-0.758182,-1.212584,-1.696579,-2.145021,-2.395805,-2.756279,-2.785608,-2.94729,-2.991843,-3.026068,-2.935389,-2.865796,-2.545078,-2.142776,-1.773718,-1.321655,-0.704377,-0.092298,0.515439,1.222468,1.947603,2.578737,3.222368,3.639356,3.746502,3.723055,3
3.973291,3.732306,3.229184,2.645902,2.062167,1.479719,0.9064,0.352195,-0.176331,-0.704476,-1.212823,-1.696901,-2.198517,-2.665045,-3.032029,-3.304194,-3.491536,-3.51784,-3.377743,-3.098691,-2.72035,-2.276453,-1.863407,-1.343468,-0.809605,-0.299302,0.218776,0.764605,1.328672,1.922623,2.502344,3.084773,3.655549,4.056488,4.075152,4.010889,3.551507,2.992925,2.404812,1.812713,1.226472,0.667731,0.115444,-0.427771,-0.941626,-1.428684,-1.905232,-2.38797,-2.743257,-3.116928,-3.388502,-3.516923,-3.47717,-3.27832,-2.955149,-2.54646,-2.165026,-1.659279,-1.154738,-0.628163,-0.117039,0.415831,0.962277,1.544391,2.128105,2.731163,3.295334,3.824142,3.953061,3
4.715747,4.345769,3.649687,2.94253,2.238498,1.564386,0.89341,0.237072,-0.38478,-0.977668,-1.550713,-2.084373,-2.526383,-2.938044,-3.210128,-3.389069,-3.440269,-3.355936,-3.137376,-2.845836,-2.423404,-2.08019,-1.546658,-1.091662,-0.587641,-0.043647,0.424183,0.923949,1.393977,1.784607,2.010338,2.305591,2.931727,3.612126,4.272581,4.344654,3.724158,3.041932,2.405024,2.022263,1.666859,1.193745,0.723745,0.258955,-0.224546,-0.720466,-1.230992,-1.696935,-2.105156,-2.437747,-2.871198,-3.101862,-3.316383,-3.337676,-3.28638,-3.166363,-2.873931,-2.493595,-2.053942,-1.550845,-0.977153,-0.38698,0.254216,0.885241,1.548485,2.234247,2.927999,3.641997,4.326229,2
4.676839,4.38869,3.689057,3.017183,2.420728,1.834138,1.220152,0.545109,-0.068707,-0.710574,-1.244951,-1.741713,-2.161874,-2.426076,-2.657665,-2.780674,-3.00886,-3.118571,-3.10681,-2.97595,-2.746394,-2.614885,-2.365127,-2.022127,-1.599341,-1.105788,-0.539584,0.101386,0.761731,1.417713,1.975647,2.554666,3.188787,3.866298,4.553877,4.661886,4.029653,3.349353,2.683683,2.109802,1.537664,0.945634,0.280419,-0.327466,-0.942911,-1.447429,-1.911325,-2.234873,-2.517115,-2.659936,-2.721269,-2.887411,-2.93536,-2.867201,-2.705446,-2.58179,-2.406633,-2.123974,-1.757653,-1.263213,-0.690325,-0.12675,0.506829,1.165071,1.728127,2.273426,2.868023,3.539132,4.213049,4
4.068374,3.809635,3.266766,2.657468,2.050088,1.429399,0.808936,0.250672,-0.305233,-0.835771,-1.338838,-1.805085,-2.274912,-2.650685,-3.040523,-3.186647,-3.344124,-3.360568,-3.229844,-2.971066,-2.610997,-2.307222,-1.886367,-1.426542,-0.953077,-0.432489,0.102892,0.675084,1.244559,1.887396,2.495052,3.104402,3.672365,4.122632,4.213054,4.04587,3.530645,2.989741,2.384209,1.777784,1.144821,0.561759,-0.014015,-0.538678,-1.060168,-1.541223,-1.978971,-2.43512,-2.860575,-3.049664,-3.280412,-3.372376,-3.315053,-3.117867,-2.917031,-2.526785,-2.139732,-1.661592,-1.184762,-0.675027,-0.132654,0.410636,0.996008,1.602304,2.221737,2.830746,3.403907,3.958134,4.044623,3
4.589648,4.318258,3.636724,2.976696,2.404967,1.8113,1.183673,0.571812,-0.069114,-0.713081,-1.238866,-1.743165,-2.151555,-2.478973,-2.758171,-2.89771,-3.116216,-3.218751,-3.196416,-3.048736,-2.996866,-2.679318,-2.410767,-2.052284,-1.619607,-1.103126,-0.494898,0.099976,0.757716,1.414823,2.022891,2.566447,3.205016,3.876444,4.544626,4.762397,4.081309,3.407825,2.762037,2.191988,1.639239,1.017606,0.424493,-0.216963,-0.840764,-1.356166,-1.807375,-2.183577,-2.386941,-2.554233,-2.66942,-2.795179,-2.846676,-2.789962,-2.69287,-2.54525,-2.384428,-2.113121,-1.751937,-1.28198,-0.707883,-0.160197,0.479295,1.100503,1.652794,2.217594,2.791544,3.44456,4.118343,4
3.632455,3.496382,3.068692,2.47025,1.82492,1.185542,0.603868,0.102614,-0.31161,-0.645193,-0.969063,-1.35297,-1.61152,-1.954916,-2.234834,-2.427277,-2.519671,-2.50526,-2.383854,-2.335468,-2.042206,-1.654198,-1.369577,-1.028602,-0.730284,-0.34384,0.139828,0.668329,1.289747,1.910955,2.55884,3.13573,3.611853,3.847935,3.886116,3.80556,3.441074,2.991569,2.414091,1.80191,1.199396,0.500319,-0.102475,-0.769041,-1.336079,-2.022984,-2.59904,-3.172657,-3.619624,-4.073375,-4.37103,-4.41541,-4.257662,-3.894852,-3.364828,-2.878789,-2.293028,-1.685192,-1.04975,-0.431474,0.166969,0.774801,1.457219,2.084984,2.64491,3.133916,3.648906,3.645677,3.612279,1
4.41789,4.012449,3.425229,2.835124,2.248199,1.659616,1.070639,0.487863,-0.080181,-0.636096,-1.181295,-1.704257,-2.193161,-2.6305,-2.996604,-3.275052,-3.477107,-3.548225,-3.377061,-3.127038,-2.803304,-2.333868,-1.900146,-1.423046,-0.91676,-0.389165,0.109039,0.665364,1.201553,1.740228,2.241396,2.664025,3.06993,3.660053,4.241649,4.23874,3.670929,3.076693,2.548904,2.08154,1.57365,1.0528,0.506911,-0.019985,-0.557369,-1.022415,-1.515847,-1.974753,-2.38577,-2.82097,-3.078794,-3.328137,-3.448961,-3.417779,-3.235377,-2.947187,-2.544597,-2.080158,-1.575145,-1.041054,-0.483165,0.078165,0.646011,1.226925,1.819666,2.405937,3.006295,3.596065,4.190854,2
3.470694,3.364392,3.096864,2.63684,1.951005,1.314043,0.552946,-0.037602,-0.763427,-1.271176,-1.738016,-2.157006,-2.482624,-2.67686,-2.995376,-2.830429,-2.922216,-2.886005,-2.727162,-2.772928,-2.407004,-2.250844,-1.74734,-1.32913,-0.874925,-0.289147,0.417653,1.057593,1.823579,2.468865,3.146238,3.646463,4.15435,4.10466,4.081957,4.10047,3.5398,3.019294,2.363602,1.679777,0.952673,0.311913,-0.453938,-0.989625,-1.643607,-2.139673,-2.464361,-2.922525,-3.073701,-3.08157,-3.217805,-3.26384,-3.187879,-2.994957,-2.7467,-2.562043,-2.057463,-1.765695,-1.123722,-0.619813,0.077279,0.660708,1.407709,2.023372,2.560135,3.18396,3.474221,3.421819,3.403262,3
4.346234,4.091507,3.453026,2.802069,2.154149,1.520546,0.892134,0.286976,-0.313393,-0.894649,-1.466779,-1.989863,-2.431012,-2.829673,-3.144325,-3.287279,-3.343983,-3.25772,-3.091218,-2.761273,-2.50011,-2.033596,-1.636705,-1.185016,-0.692506,-0.16757,0.307357,0.817307,1.335965,1.822672,2.272151,2.660689,3.178359,3.807663,4.421074,4.267254,3.65165,3.0105,2.645131,2.236681,1.795908,1.309453,0.80626,0.311527,-0.245999,-0.777356,-1.278578,-1.752754,-2.260805,-2.651011,-2.987296,-3.310826,-3.512028,-3.476761,-3.402928,-3.191593,-2.858381,-2.438057,-1.955711,-1.423915,-0.862461,-0.278315,0.322943,0.936962,1.561866,2.194726,2.840109,3.501766,4.128832,2
4.660316,4.303692,3.636482,2.988727,2.42089,1.84088,1.206876,0.558866,-0.083969,-0.664742,-1.240059,-1.719606,-2.140842,-2.442438,-2.616262,-2.897002,-3.02482,-3.123616,-3.100789,-2.957939,-2.769427,-2.549542,-2.313728,-1.958173,-1.529839,-1.032792,-0.475718,0.163613,0.809101,1.460712,2.06075,2.630018,3.238334,3.895145,4.557473,4.552446,3.895747,3.229216,2.607064,2.022301,1.445571,0.857103,0.215832,-0.416169,-1.018314,-1.571079,-2.018677,-2.316212,-2.569897,-2.70065,-2.784871,-2.934278,-2.959816,-2.866922,-2.689715,-2.526151,-2.390519,-2.135234,-1.737271,-1.202546,-0.65282,-0.076669,0.607455,1.214866,1.82069,2.390201,2.982818,3.637064,4.298859,4
4.389464,3.983913,3.381697,2.776951,2.176,1.577363,0.982888,0.398026,-0.17825,-0.747057,-1.299741,-1.825965,-2.321393,-2.765029,-3.10794,-3.345639,-3.431463,-3.400343,-3.215399,-2.925309,-2.640042,-2.17582,-1.757676,-1.29203,-0.791804,-0.328656,0.218926,0.731738,1.250568,1.769629,2.243054,2.657177,3.195677,3.78998,4.320464,4.18809,3.606105,3.010264,2.538923,2.115647,1.631219,1.114616,0.581476,0.079754,-0.454232,-0.969043,-1.457276,-1.907599,-2.404874,-2.771038,-3.099096,-3.377508,-3.513586,-3.458739,-3.314692,-3.013507,-2.628418,-2.183118,-1.674371,-1.134859,-0.57669,0.003468,0.589006,1.195444,1.790105,2.387623,2.996433,3.609221,4.207289,2
4.51198,4.132431,3.445756,2.757783,2.08069,1.417517,0.759586,0.114296,-0.514158,-1.122409,-1.70029,-2.206285,-2.685508,-3.090541,-3.398084,-3.570526,-3.596318,-3.485305,-3.240725,-2.943283,-2.574246,-2.060349,-1.639187,-1.072515,-0.547236,-0.041379,0.488785,1.009474,1.46995,1.86751,2.174734,2.562067,3.223341,3.890796,4.372859,4.189607,3.564072,2.882772,2.325883,2.073093,1.715356,1.261672,0.800626,0.302467,-0.164713,-0.659032,-1.15672,-1.611045,-2.004944,-2.488425,-2.73005,-3.045404,-3.236475,-3.270536,-3.219451,-3.034969,-2.739146,-2.353609,-1.894085,-1.37764,-0.820862,-0.246384,0.366419,0.985593,1.625026,2.279441,2.950699,3.637193,4.302363,2
