@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute target {1,2,3}

@data
-1.613944,1.105741,3.202144,2.467876,0.521255,-1.643015,1.213536,3.416256,3.296793,2.170029,-0.856504,-2.908611,-3.255002,-0.326564,-3.0917,-3.698292,2
-1.691878,1.277086,3.394734,2.008285,-0.216917,-2.019732,1.6486,3.684693,4.2814,1.422192,-1.129381,-3.121605,-3.068165,0.093732,-2.661116,-3.901927,2
-1.64233,0.159816,3.445704,2.376637,-1.158436,-1.458552,2.339788,3.664754,4.305673,0.998768,-1.369938,-3.532902,-2.350503,0.302646,-2.444018,-3.637107,2
-1.619113,0.843904,3.264862,2.615393,-0.257435,-2.128995,1.753532,3.377074,4.054656,1.27077,-0.573588,-3.005298,-3.197621,0.053813,-3.389176,-3.06278,2
-1.636671,0.214154,3.201512,2.878948,-0.393409,-1.719504,1.793855,3.889999,3.960102,1.149359,-0.719305,-2.990767,-3.121472,-0.082473,-2.941515,-3.482815,2
-1.522133,0.235026,2.621442,3.423093,0.433611,-2.455385,1.261848,3.62898,4.387786,1.055763,-0.635572,-2.881817,-3.268813,-0.204344,-3.342297,-2.737189,3
-1.72909,0.950341,3.330137,2.904397,0.42112,-1.855347,1.45128,3.53104,3.826877,1.315444,-0.785081,-2.2367,-3.890749,-0.980355,-3.04442,-3.208895,3
-1.731447,0.582053,3.251633,2.991222,0.152361,-2.228847,1.393973,3.741459,3.962838,1.125742,-0.665562,-2.873654,-3.309694,-0.14781,-2.996705,-3.247561,3
-1.839601,0.644979,3.421244,2.899261,0.161671,-2.558873,1.499684,4.08535,3.952814,1.132921,-1.003703,-2.413494,-3.510636,-0.544825,-2.8972,-3.029592,3
-1.914468,0.674286,3.351143,2.99545,0.466285,-2.381582,0.760158,3.906236,4.14284,1.087027,-0.754435,-2.690894,-3.165101,-0.10061,-3.177868,-3.198466,3
-1.861138,0.094942,3.307977,3.092033,0.106348,-2.497134,1.581764,3.814492,3.848551,1.344923,-0.760983,-2.730771,-3.097003,-0.181516,-2.674226,-3.388261,3
-1.87754,0.504417,3.50272,2.714586,-0.449243,-2.124704,1.977241,4.073204,4.135361,0.606094,-0.95982,-2.550106,-3.314017,-0.59588,-3.03168,-2.610633,3
-1.966248,0.875725,3.624641,2.25423,-0.608057,-1.432491,2.568669,3.794265,3.749275,0.989829,-1.48688,-3.054666,-2.876237,-0.292633,-2.762283,-3.37714,2
-1.634816,0.521716,3.425576,3.172671,0.849314,-2.11152,1.011378,3.681229,3.526761,1.311758,-1.371419,-3.585275,-2.635425,0.100175,-2.637502,-3.624621,2
-1.628236,0.679351,3.171585,2.833083,0.23762,-2.003207,1.490693,3.883318,4.413236,1.014237,-1.521436,-3.329931,-2.565331,-0.77909,-2.876572,-3.01932,2
