@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute attr114 numeric
@attribute target {1,2,3,4}

@data
-1.811095,-1.506811,-1.405371,-1.302736,-1.172892,-0.994481,-0.928915,-0.933894,-0.951367,-1.006006,-1.026701,-1.040382,-1.069889,-1.115919,-1.035527,-0.825252,-0.613711,-0.427565,-0.441296,-0.443029,-0.404475,-0.298571,-0.143345,0.077893,0.212778,0.089105,0.142369,0.578064,0.862259,1.691206,2.93428,3.592649,3.027996,3.870146,3.135394,4.864463,6.879379,7.825626,7.810101,6.266586,4.632684,3.366856,2.455766,2.181653,2.282044,2.606221,2.536249,1.701921,1.33227,1.027585,0.878522,0.346612,0.26993,0.128228,0.059588,-0.2395,-0.115557,0.149197,0.223601,0.303775,0.636278,-0.502859,-0.924614,-0.916313,-0.441683,-0.562922,0.267006,0.967673,2.108997,2.650313,-0.657768,-1.834824,-2.074476,-2.164694,-2.198581,-2.251839,-2.271597,-2.259595,-2.300252,-2.296057,-2.30535,-2.313315,-2.313972,-2.306712,-2.300905,-2.286597,-2.259591,-2.22083,-2.106096,-2.005018,-2.115461,-2.081869,-1.952419,-1.733709,-1.296,-0.841901,0.385573,4.333713,9.195419,5.434877,0.102207,-1.458816,-1.902342,-2.084555,-2.190516,-2.266907,-2.315917,-2.352799,-2.387926,-2.40706,-2.420373,-2.434016,-2.43307,-2.418649,1
-1.816784,-1.517862,-1.410059,-1.301983,-1.169802,-0.993937,-0.935113,-0.930294,-0.945008,-0.99628,-1.019934,-1.026882,-1.042947,-1.105624,-1.028439,-0.822221,-0.609677,-0.431685,-0.450424,-0.443656,-0.400016,-0.293551,-0.140853,0.081587,0.220451,0.107786,0.173722,0.600001,0.880781,1.684284,2.932944,3.626364,3.089931,3.884018,3.143353,4.875747,6.902838,7.839121,7.843702,6.270128,4.630901,3.3525,2.45919,2.189416,2.295614,2.614233,2.532371,1.7132,1.338519,1.034104,0.869402,0.343711,0.26233,0.120183,0.051828,-0.244689,-0.117975,0.146624,0.220449,0.299455,0.631601,-0.506993,-0.918048,-0.932737,-0.446469,-0.562782,0.260226,0.957398,2.081435,2.630578,-0.65274,-1.825436,-2.063174,-2.153262,-2.187686,-2.238326,-2.261528,-2.254607,-2.291325,-2.289079,-2.291394,-2.298024,-2.298513,-2.291228,-2.287893,-2.274864,-2.250185,-2.214746,-2.100595,-2.00751,-2.120218,-2.087979,-1.95619,-1.760516,-1.387629,-0.974943,0.280304,4.296492,9.130519,5.43592,0.105017,-1.45799,-1.899998,-2.080766,-2.188364,-2.264743,-2.316358,-2.350796,-2.387077,-2.405807,-2.420493,-2.432427,-2.432386,-2.420756,1
-1.812632,-1.505206,-1.401644,-1.299221,-1.167696,-0.990093,-0.924701,-0.925388,-0.944484,-0.998745,-1.019579,-1.034592,-1.064281,-1.114819,-1.033042,-0.823416,-0.6115,-0.418497,-0.430105,-0.434476,-0.395501,-0.288607,-0.131014,0.093607,0.226607,0.101702,0.159049,0.596219,0.879796,1.698274,2.938032,3.609836,3.049521,3.881815,3.141853,4.878351,6.895514,7.806264,7.814056,6.266295,4.619818,3.349702,2.447071,2.174907,2.281073,2.603302,2.534017,1.702273,1.329866,1.02065,0.865715,0.339166,0.263663,0.127875,0.058848,-0.237706,-0.113831,0.15416,0.230324,0.310381,0.635869,-0.50545,-0.930191,-0.925301,-0.447124,-0.567289,0.265308,0.964835,2.099534,2.646511,-0.646623,-1.82457,-2.061818,-2.151576,-2.190108,-2.241974,-2.261259,-2.249374,-2.288762,-2.285953,-2.291457,-2.297796,-2.297998,-2.292184,-2.287161,-2.276031,-2.253525,-2.216482,-2.109504,-2.007395,-2.120783,-2.089241,-1.968162,-1.765932,-1.391294,-0.978968,0.296552,4.296201,9.199757,5.457861,0.103934,-1.456435,-1.900473,-2.082475,-2.189027,-2.269714,-2.315278,-2.352893,-2.390756,-2.406725,-2.421668,-2.43445,-2.432681,-2.421329,1
-1.824278,-1.533883,-1.427003,-1.332953,-1.199378,-1.013404,-0.944766,-0.942686,-0.961569,-1.017607,-1.035535,-1.048897,-1.079604,-1.135383,-1.058644,-0.846056,-0.624611,-0.411218,-0.417999,-0.434049,-0.398566,-0.293564,-0.137703,0.088355,0.222327,0.09896,0.14929,0.586693,0.86608,1.695757,2.933977,3.591799,3.000114,3.840051,3.116805,4.878791,6.895795,7.855469,7.828505,6.274272,4.630388,3.362313,2.457237,2.176703,2.286663,2.61282,2.523023,1.679671,1.321246,1.022978,0.867356,0.332634,0.257195,0.125238,0.062728,-0.235743,-0.104711,0.152749,0.233329,0.308974,0.640777,-0.508789,-0.929942,-0.922015,-0.442225,-0.56251,0.269683,0.964096,2.087968,2.636932,-0.668896,-1.833161,-2.069042,-2.156345,-2.216349,-2.252018,-2.262491,-2.257748,-2.287958,-2.289636,-2.287251,-2.29566,-2.292635,-2.287302,-2.283493,-2.2675,-2.236682,-2.204276,-2.093829,-1.990833,-2.103461,-2.0707,-1.951052,-1.752141,-1.386316,-0.972045,0.317171,4.310567,9.191659,5.504371,0.127488,-1.441684,-1.881902,-2.064402,-2.169143,-2.245804,-2.293175,-2.332224,-2.365792,-2.382819,-2.397129,-2.413589,-2.407846,-2.397376,1
-1.827827,-1.534289,-1.429873,-1.327292,-1.193108,-1.012357,-0.949659,-0.942511,-0.958999,-1.012872,-1.029162,-1.032298,-1.049992,-1.111017,-1.038294,-0.824039,-0.59871,-0.382124,-0.391698,-0.42027,-0.392854,-0.289017,-0.136543,0.087512,0.223351,0.109593,0.169367,0.602987,0.885739,1.683904,2.931837,3.627821,3.071298,3.861993,3.135752,4.861066,6.887747,7.824826,7.822889,6.264592,4.623702,3.354528,2.455807,2.179882,2.280191,2.601525,2.530491,1.709142,1.340792,1.036457,0.872858,0.34879,0.266194,0.129081,0.060118,-0.235503,-0.110522,0.152378,0.229821,0.313204,0.637047,-0.498372,-0.912837,-0.928869,-0.445739,-0.569082,0.251723,0.947489,2.076291,2.631701,-0.661587,-1.836449,-2.078016,-2.166514,-2.204323,-2.255965,-2.274882,-2.270852,-2.303635,-2.302646,-2.303078,-2.309107,-2.308606,-2.300765,-2.293588,-2.278622,-2.250312,-2.214631,-2.097578,-2.003235,-2.113502,-2.076485,-1.952909,-1.748936,-1.354959,-0.911574,0.393675,4.363985,9.171429,5.414879,0.092661,-1.46284,-1.903438,-2.083695,-2.189287,-2.26787,-2.314436,-2.350612,-2.385871,-2.403578,-2.418929,-2.431505,-2.428748,-2.418818,1
-1.797267,-1.480138,-1.371999,-1.272039,-1.142178,-0.965991,-0.904817,-0.907512,-0.93136,-0.992256,-1.017092,-1.029067,-1.055647,-1.116073,-1.042855,-0.835321,-0.617939,-0.438413,-0.455739,-0.445171,-0.400893,-0.295518,-0.140662,0.086187,0.225858,0.098901,0.157381,0.602887,0.882707,1.729704,2.980354,3.626344,3.01247,3.856001,3.158877,4.931846,6.895732,7.829296,7.83651,6.27421,4.631105,3.369429,2.4519,2.171945,2.280998,2.616396,2.548525,1.692875,1.3292,1.027886,0.879929,0.33696,0.254543,0.116341,0.04894,-0.251601,-0.127601,0.138394,0.211729,0.283404,0.611781,-0.527989,-0.943776,-0.928991,-0.459838,-0.5813,0.261988,0.961651,2.078626,2.617793,-0.669545,-1.834952,-2.071877,-2.159428,-2.195918,-2.242806,-2.26707,-2.256069,-2.291012,-2.281911,-2.283422,-2.290089,-2.287678,-2.272156,-2.251688,-2.222108,-2.189779,-2.156803,-2.058385,-1.967404,-2.093378,-2.065695,-1.945522,-1.765652,-1.433869,-1.052745,0.264597,4.304475,9.166016,5.429842,0.086703,-1.473804,-1.91723,-2.099686,-2.20368,-2.282464,-2.330978,-2.366774,-2.404693,-2.422463,-2.437966,-2.451216,-2.448578,-2.435705,2
-1.817574,-1.512616,-1.408822,-1.299794,-1.166698,-0.988048,-0.930909,-0.928889,-0.945609,-1.005633,-1.02597,-1.032712,-1.052127,-1.116946,-1.047007,-0.836427,-0.616102,-0.435758,-0.455211,-0.446686,-0.404535,-0.296945,-0.147537,0.082659,0.224173,0.103579,0.162868,0.604585,0.880863,1.714445,2.972268,3.63401,3.032871,3.847343,3.162286,4.938931,6.899486,7.835952,7.833227,6.284682,4.627747,3.359351,2.444534,2.163742,2.272565,2.604745,2.542024,1.69458,1.328297,1.030453,0.873944,0.33559,0.254768,0.114824,0.05031,-0.249106,-0.124583,0.139609,0.212272,0.286877,0.612325,-0.526193,-0.9303,-0.930338,-0.457084,-0.573806,0.261221,0.962469,2.081701,2.610385,-0.668241,-1.830555,-2.069196,-2.157917,-2.193051,-2.242625,-2.267971,-2.254038,-2.287762,-2.282755,-2.282077,-2.289816,-2.287121,-2.272916,-2.256971,-2.229875,-2.198307,-2.171108,-2.063628,-1.974901,-2.097809,-2.069218,-1.947582,-1.763273,-1.426184,-1.042185,0.277273,4.332722,9.164809,5.437705,0.096762,-1.46211,-1.901967,-2.082885,-2.189073,-2.266096,-2.31474,-2.34979,-2.385668,-2.403734,-2.418299,-2.430341,-2.429705,-2.416377,2
-1.813624,-1.51113,-1.402901,-1.298902,-1.164038,-0.987509,-0.926138,-0.926735,-0.948379,-1.006153,-1.02883,-1.038605,-1.062327,-1.124478,-1.051286,-0.841592,-0.623781,-0.441307,-0.460253,-0.452129,-0.408937,-0.302032,-0.145394,0.083239,0.22549,0.105885,0.162438,0.607726,0.884371,1.729294,2.974774,3.645312,3.029401,3.859158,3.169799,4.935557,6.915924,7.818947,7.831177,6.270202,4.63346,3.364984,2.444368,2.167826,2.277438,2.616653,2.5435,1.693494,1.322715,1.023639,0.872674,0.332282,0.255103,0.115561,0.049321,-0.252239,-0.126149,0.138467,0.214449,0.287098,0.613061,-0.528803,-0.938484,-0.928005,-0.456551,-0.573884,0.264976,0.962647,2.085415,2.617391,-0.66639,-1.82976,-2.066897,-2.158002,-2.191991,-2.244932,-2.269031,-2.259051,-2.290254,-2.284964,-2.284126,-2.292344,-2.289056,-2.274439,-2.257912,-2.229927,-2.194859,-2.165015,-2.059938,-1.969479,-2.094585,-2.067097,-1.947522,-1.761786,-1.423674,-1.040883,0.278536,4.344022,9.143029,5.413461,0.096618,-1.463619,-1.902696,-2.084173,-2.188563,-2.265269,-2.312123,-2.349135,-2.383874,-2.402176,-2.415152,-2.429622,-2.426259,-2.41373,2
-1.790661,-1.472635,-1.365289,-1.260189,-1.133105,-0.959432,-0.900594,-0.908257,-0.928197,-0.992718,-1.017836,-1.025825,-1.053783,-1.115955,-1.047434,-0.837653,-0.620482,-0.44283,-0.462184,-0.451422,-0.406535,-0.298804,-0.147002,0.08457,0.225494,0.096066,0.148159,0.60098,0.883875,1.738969,2.993442,3.64215,3.016975,3.854667,3.174859,4.963394,6.920662,7.824913,7.833702,6.2704,4.626676,3.363296,2.440686,2.158138,2.268148,2.608573,2.539934,1.681309,1.318551,1.022889,0.877933,0.334639,0.254213,0.111683,0.043592,-0.257723,-0.131892,0.133613,0.208747,0.276744,0.606011,-0.53712,-0.948512,-0.937654,-0.465815,-0.583322,0.263908,0.963626,2.083117,2.606802,-0.674471,-1.83605,-2.071998,-2.163393,-2.196987,-2.243591,-2.268665,-2.257726,-2.291965,-2.284088,-2.283201,-2.287676,-2.284013,-2.267772,-2.24456,-2.207044,-2.170356,-2.138356,-2.040482,-1.951175,-2.078585,-2.054269,-1.936728,-1.757258,-1.43316,-1.072374,0.222729,4.305685,9.168839,5.432325,0.087389,-1.476233,-1.919206,-2.100667,-2.206337,-2.284923,-2.332808,-2.367213,-2.40493,-2.421696,-2.439155,-2.449468,-2.447985,-2.435654,2
-1.825117,-1.530044,-1.424934,-1.317194,-1.180895,-1.004856,-0.944328,-0.936467,-0.946628,-0.999773,-1.02328,-1.026809,-1.038421,-1.109225,-1.040986,-0.827284,-0.604401,-0.427439,-0.449317,-0.437413,-0.400209,-0.299178,-0.14979,0.078505,0.216792,0.115659,0.185528,0.616676,0.889592,1.681296,2.944381,3.654228,3.087777,3.861925,3.140485,4.895717,6.912059,7.872256,7.845903,6.262579,4.615187,3.337382,2.447205,2.177708,2.281886,2.605066,2.523311,1.70476,1.333923,1.030057,0.862762,0.339082,0.253467,0.112116,0.048168,-0.248201,-0.117919,0.142198,0.216775,0.293991,0.617538,-0.522438,-0.921997,-0.942271,-0.454233,-0.574684,0.244898,0.939867,2.056782,2.611208,-0.659425,-1.825512,-2.0641,-2.154381,-2.188008,-2.239384,-2.266001,-2.255889,-2.290885,-2.283858,-2.28526,-2.289115,-2.28819,-2.277295,-2.266327,-2.243584,-2.215975,-2.182634,-2.075727,-1.986245,-2.103384,-2.073998,-1.950262,-1.764483,-1.418384,-1.033762,0.2607,4.328997,9.178864,5.442239,0.107365,-1.451242,-1.896098,-2.076125,-2.183117,-2.259471,-2.308347,-2.343163,-2.379319,-2.397858,-2.41255,-2.424243,-2.423696,-2.411833,2
