@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute target {1,2}

@data
-2.207883,-1.560882,-1.643041,-1.257562,-0.612309,0.262989,2.933128,5.842679,6.196584,6.703072,4.732169,3.83921,1.373901,1.157083,0.140398,0.369492,0.964326,1.759002,1.34444,0.615146,0.276675,0.495629,0.880069,1.26106,1.169971,0.688338,0.968672,0.871134,0.140576,-0.705409,-2.121336,-2.522011,-2.425724,-2.494506,-2.425066,-1.731954,-1.313176,-2.061315,-2.869962,-2.49155,-2.361898,-1.785292,-0.793764,-0.454337,-1.786364,-3.483041,-3.877363,2
-1.25124,-0.567865,-0.697754,-0.533093,0.703634,1.420133,2.961512,5.35626,7.478502,7.627392,5.22544,3.694179,1.731288,1.615485,0.526233,0.021631,-0.448114,-0.132705,0.235508,0.179065,-0.232181,-0.276273,-0.033085,0.371737,0.240147,0.081785,0.353876,0.527721,0.177428,-0.232443,-1.439667,-1.911236,-2.021257,-2.063095,-2.080804,-2.11358,-2.305147,-2.594474,-2.541056,-2.269872,-2.224005,-2.225491,-2.083086,-1.90612,-2.02061,-2.169046,-2.155657,2
-2.352686,-1.223404,-1.186691,-1.370019,-0.169525,2.702855,3.73954,5.742768,7.463438,6.597078,3.574482,3.462288,1.908326,1.157941,-0.237814,-0.07298,0.528485,1.117359,0.801683,0.294062,-0.048859,0.148172,0.586944,0.933047,0.868128,0.445364,0.877793,0.816872,0.029524,-0.821258,-2.145222,-2.442604,-2.281575,-2.334084,-2.269803,-1.726491,-1.208897,-1.649815,-2.183893,-2.338409,-2.273789,-2.057067,-1.176398,-0.798363,-2.161824,-3.478588,-3.78609,2
-2.128994,-1.406687,-1.431351,-1.237208,-0.149167,1.141027,3.263759,5.827297,6.707999,6.647325,4.287946,3.667366,1.611557,1.210788,0.123391,0.494329,1.081184,1.822573,1.397897,0.681578,0.295007,0.383271,0.75964,1.034817,0.813049,0.352383,0.481985,0.350168,-0.167151,-1.087097,-2.407985,-2.886151,-2.907437,-2.967479,-2.791113,-2.363041,-2.131313,-2.317396,-2.269557,-2.142935,-2.238742,-1.692472,-0.333577,0.171098,-1.335575,-2.90918,-3.305825,2
-2.121509,-1.309484,-1.303232,-1.224664,-0.141254,1.636292,3.311007,5.638367,6.655586,6.305476,3.887018,3.574349,1.757342,1.324368,0.247827,0.636295,1.272181,2.047702,1.574252,0.80328,0.383828,0.414477,0.748162,0.945904,0.719472,0.277466,0.379354,0.270851,-0.167575,-1.067178,-2.52369,-3.026531,-3.007715,-2.934864,-2.839057,-2.667817,-2.584123,-2.726642,-2.608679,-2.364977,-2.242924,-1.609442,-0.076878,0.621048,-0.779758,-2.824544,-3.279369,2
-1.801277,-1.069428,-1.131069,-1.034358,0.049945,1.64729,3.559386,6.250182,7.044159,6.9075,4.37379,3.663589,1.757861,1.321465,0.102549,0.156641,0.507997,1.039163,0.856611,0.388503,0.064269,0.14009,0.506941,0.824774,0.680025,0.272724,0.350695,0.348071,-0.077861,-0.800265,-2.066217,-2.540598,-2.592486,-2.671831,-2.58613,-2.302585,-2.177337,-2.409488,-2.353015,-2.139022,-2.243286,-1.907693,-1.005389,-0.6538,-1.608542,-2.695528,-2.947016,2
-2.19565,-1.482591,-1.470282,-1.295273,-0.169089,1.118957,3.155725,5.81366,6.698503,6.692747,4.28099,3.591665,1.621511,1.254638,0.153513,0.521153,1.132241,1.857012,1.454411,0.720154,0.324543,0.400915,0.761916,1.066572,0.770569,0.320524,0.486157,0.400684,-0.117191,-0.966752,-2.343505,-2.816224,-2.794264,-2.809452,-2.743154,-2.46786,-2.315461,-2.414316,-2.325368,-2.300247,-2.299322,-1.739498,-0.341802,0.184978,-1.301536,-2.84712,-3.227781,2
-2.741675,-2.084648,-2.074316,-1.775313,-0.804037,-0.035804,2.243304,4.74261,5.436454,5.597506,3.650909,3.256712,1.176065,0.856809,0.055978,1.242265,2.452443,3.603427,2.626971,1.324584,0.829608,0.96339,1.295966,1.476948,1.057689,0.487396,0.813015,0.407096,-0.33644,-1.587489,-2.988709,-3.430549,-3.341043,-3.343291,-3.191317,-2.614418,-2.166246,-2.103949,-1.905982,-1.831791,-1.923476,-0.95034,1.332985,2.095635,-0.649378,-3.228663,-3.916889,2
-2.170812,-1.311844,-1.236636,-1.24627,-0.142728,1.94341,3.336296,5.632179,6.844273,6.363723,3.757486,3.467162,1.828626,1.283979,0.149452,0.565619,1.280456,2.035485,1.524481,0.724511,0.31524,0.363214,0.712718,0.915023,0.65638,0.215301,0.346189,0.262087,-0.207252,-1.077581,-2.496539,-2.996727,-2.944218,-2.923164,-2.866955,-2.763324,-2.672489,-2.650406,-2.420315,-2.25904,-2.202173,-1.586493,-0.032446,0.596116,-0.899832,-2.782041,-3.23012,2
-1.615097,-0.924803,-0.980639,-0.874893,0.139381,1.719826,3.612314,6.410746,7.13251,7.044094,4.483946,3.67649,1.776252,1.358284,0.098153,-0.001996,0.236236,0.697527,0.618638,0.250066,-0.059816,-0.001109,0.362765,0.701906,0.59078,0.230692,0.307762,0.343247,-0.064438,-0.685646,-1.893685,-2.382793,-2.463444,-2.521906,-2.494288,-2.262772,-2.182862,-2.411271,-2.331991,-2.082207,-2.187027,-1.908295,-1.29052,-1.054622,-1.817368,-2.561923,-2.736205,2
-2.294202,-1.63447,-1.652146,-1.40299,-0.307673,0.688549,2.948769,5.701259,6.338766,6.510986,4.242521,3.539476,1.480068,1.192042,0.193237,0.730024,1.489694,2.332478,1.774807,0.863606,0.464808,0.554514,0.914853,1.195534,0.847368,0.344581,0.504773,0.354308,-0.16529,-1.090331,-2.477532,-2.954874,-2.918546,-2.942566,-2.857308,-2.605057,-2.406271,-2.445156,-2.304066,-2.177607,-2.245348,-1.589069,0.00756,0.590102,-1.123655,-2.883326,-3.327202,2
-2.302299,-1.666067,-1.704344,-1.481447,-0.436936,0.476652,2.745561,5.360249,6.103158,6.201202,4.001007,3.369703,1.372962,1.066347,0.137998,0.933164,1.862012,2.812626,2.081255,1.03867,0.585647,0.724392,1.089304,1.317951,0.954422,0.425747,0.622343,0.398188,-0.176983,-1.21381,-2.578388,-3.067095,-3.041269,-3.085307,-2.974224,-2.648322,-2.42272,-2.550643,-2.57469,-2.47181,-2.207917,-1.323031,0.535308,1.139405,-1.024182,-2.938103,-3.465688,2
-1.656108,-0.813259,-0.856515,-0.881823,0.225555,2.299568,3.769604,6.204613,7.222387,6.800584,4.098495,3.565511,1.909333,1.390509,0.102201,0.054187,0.374031,0.829299,0.70188,0.309308,0.013956,0.055216,0.422293,0.7112,0.562109,0.191157,0.162952,0.328913,-0.02617,-0.709202,-1.927583,-2.424603,-2.499741,-3.004887,-2.408219,-2.362066,-2.360955,-2.582609,-2.572682,-2.327378,-2.267026,-1.928895,-1.116408,-0.772941,-1.552487,-2.517398,-2.735908,2
-2.045103,-1.296388,-1.328477,-1.259989,-0.175756,1.426476,3.250893,5.726715,6.711512,6.507231,3.973947,3.433305,1.646236,1.150844,0.005779,0.515837,1.317585,2.11884,1.579818,0.747486,0.332148,0.435182,0.820141,1.044512,0.740408,0.286219,0.43784,0.323181,-0.188808,-1.135425,-2.429088,-2.909238,-2.917604,-2.945097,-2.862638,-2.625779,-2.500937,-2.614092,-2.527838,-2.292161,-2.118862,-1.434954,0.050541,0.503152,-1.360216,-2.849496,-3.267883,2
-1.917128,-1.07006,-1.095638,-1.098813,-0.002399,1.88457,3.433182,5.766903,6.885754,6.522343,3.931947,3.525237,1.832562,1.331701,0.103398,0.376848,1.014145,1.740502,1.354367,0.618998,0.242665,0.315553,0.695518,0.909956,0.654317,0.231182,0.25796,0.317117,-0.102563,-1.012071,-2.313337,-2.831889,-2.859193,-3.363357,-2.622402,-2.579277,-2.539628,-2.720933,-2.577608,-2.305207,-2.170654,-1.620116,-0.325656,0.186215,-1.150475,-2.739046,-3.115492,2
-2.281426,-1.563704,-1.54781,-1.343069,-0.270131,1.095442,3.128083,5.557836,6.416487,6.273278,4.014099,3.619078,1.572256,1.1657,0.117831,0.712144,1.49255,2.345702,1.784948,0.911281,0.486344,0.548537,0.905551,1.115929,0.851416,0.35071,0.480212,0.291905,-0.227891,-1.230017,-2.605539,-3.099306,-3.08414,-3.13107,-2.962006,-2.573961,-2.345205,-2.483723,-2.388041,-2.158123,-2.247702,-1.504474,0.209966,0.847445,-0.940364,-2.90156,-3.405474,2
-3.339118,-2.379015,-2.296233,-2.186604,-1.146819,0.362549,2.4004,4.576341,5.689689,5.618205,3.373837,3.236106,1.240154,0.771362,-0.17411,0.876388,2.217659,3.383161,2.354111,1.112986,0.676485,0.981401,1.434487,1.712136,1.446609,0.76272,1.476642,1.007962,-0.108853,-1.583501,-2.867074,-3.111251,-2.877508,-2.827035,-2.607368,-1.616562,-0.686105,-1.083778,-1.801306,-2.213652,-1.885609,-1.243103,0.585324,1.334897,-1.535722,-4.186173,-4.875112,2
-1.806817,-0.969816,-1.054213,-1.071056,-0.009509,1.840584,3.580214,6.015776,7.002167,6.72171,4.107028,3.584496,1.792561,1.292332,0.101271,0.22569,0.690763,1.23855,0.956928,0.442331,0.143141,0.264238,0.672421,0.974888,0.815332,0.37668,0.468902,0.418766,-0.011163,-0.809519,-2.02536,-2.480282,-2.51289,-2.573874,-2.511608,-2.212611,-2.038862,-2.523903,-2.934015,-2.717915,-2.36217,-1.887759,-0.938732,-0.542732,-1.699643,-2.870376,-3.161948,2
