@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute target {1,2}

@data
1.572337,2.515557,1.509274,0.695978,0.18416,-0.077716,-0.074501,1.711174,2.584918,0.177844,0.59676,-0.799921,-1.036065,-1.283808,-1.413434,-1.446282,-1.378179,-1.3091,-1.242042,-1.088566,-1.016766,-1.051796,-0.925415,-0.969794,-1.113373,-0.721835,-0.725967,-0.626623,-0.89647,-0.76727,-1.271389,-1.345185,-1.258235,-1.036706,-0.627754,0.207297,1.721735,4.291696,7.167231,7.335271,5.201407,2.188757,-0.408122,-2.202771,-3.346484,-3.983412,-4.216417,1
1.568272,2.505079,1.502977,0.690714,0.174708,-0.087918,-0.087166,1.738459,2.631809,0.178344,0.610441,-0.814863,-1.043387,-1.295315,-1.42853,-1.467505,-1.403357,-1.332077,-1.263367,-1.109938,-1.028307,-1.062282,-0.925127,-0.974378,-1.116467,-0.715755,-0.706282,-0.589097,-0.863562,-0.740882,-1.266837,-1.348535,-1.265225,-1.016842,-0.567911,0.268516,1.765711,4.29757,7.137861,7.31278,5.184246,2.166778,-0.444831,-2.218966,-3.347166,-3.984923,-4.21747,1
1.560595,2.497389,1.496665,0.683512,0.17111,-0.087626,-0.075187,1.765764,2.664014,0.191112,0.635882,-0.805039,-1.043931,-1.297223,-1.431304,-1.46983,-1.404687,-1.336309,-1.264383,-1.100965,-1.028226,-1.060987,-0.922946,-0.972038,-1.114783,-0.70824,-0.70048,-0.580013,-0.858535,-0.734104,-1.270237,-1.351763,-1.27108,-1.019287,-0.575425,0.265579,1.75866,4.284273,7.122085,7.299876,5.183386,2.161132,-0.455316,-2.228066,-3.354473,-3.993196,-4.225353,1
1.570297,2.507992,1.511349,0.696095,0.180932,-0.091757,-0.119181,1.549556,2.404722,0.098246,0.483296,-0.823488,-1.034247,-1.293771,-1.418897,-1.449662,-1.389818,-1.321186,-1.261316,-1.12831,-1.053348,-1.075433,-0.945144,-0.989709,-1.121294,-0.758004,-0.741621,-0.627523,-0.889735,-0.766092,-1.247473,-1.315231,-1.220577,-0.966627,-0.503165,0.356974,1.867268,4.395047,7.242414,7.382464,5.220667,2.185226,-0.437276,-2.208954,-3.32155,-3.949353,-4.182808,1
1.575547,2.512588,1.516513,0.70188,0.183861,-0.091025,-0.119595,1.538502,2.387676,0.090534,0.476694,-0.827268,-1.035494,-1.292768,-1.417061,-1.446929,-1.388458,-1.320295,-1.261954,-1.129691,-1.052739,-1.074879,-0.946905,-0.99265,-1.122319,-0.761541,-0.746404,-0.632619,-0.891764,-0.769357,-1.245702,-1.311009,-1.216907,-0.961843,-0.497718,0.361415,1.869312,4.402498,7.238407,7.385512,5.222835,2.187012,-0.439289,-2.209332,-3.320684,-3.946955,-4.179632,1
1.579092,2.517083,1.520179,0.705554,0.187123,-0.089773,-0.118718,1.528438,2.375123,0.085879,0.467466,-0.834229,-1.039355,-1.292349,-1.416744,-1.44844,-1.391103,-1.321235,-1.263032,-1.131267,-1.055718,-1.078562,-0.949882,-0.997125,-1.127696,-0.765935,-0.752223,-0.638272,-0.895328,-0.771173,-1.244499,-1.306777,-1.212916,-0.954683,-0.492615,0.360577,1.864641,4.392435,7.243937,7.3933,5.23388,2.195559,-0.434393,-2.204588,-3.313341,-3.9386,-4.169698,1
1.378902,2.324306,1.391101,0.642482,0.181789,-0.040038,0.006859,2.006319,2.911934,0.349803,0.74638,-0.73854,-0.985814,-1.264928,-1.396063,-1.43243,-1.373469,-1.303653,-1.24544,-1.08688,-1.009953,-1.039373,-0.909509,-0.976001,-1.123588,-0.705069,-0.683385,-0.585765,-0.895096,-0.773178,-1.323608,-1.421231,-1.361736,-1.132713,-0.68137,0.170261,1.686641,4.277816,7.228321,7.340379,5.108685,2.02154,-0.548107,-2.255485,-3.346498,-3.9546,-4.179998,1
1.37638,2.321263,1.391744,0.64155,0.181857,-0.040362,0.005124,2.003821,2.908547,0.348014,0.745479,-0.736191,-0.987519,-1.266672,-1.397796,-1.433082,-1.372105,-1.302623,-1.243866,-1.08459,-1.007191,-1.036789,-0.906287,-0.970863,-1.118957,-0.700597,-0.681006,-0.584393,-0.891882,-0.77332,-1.322081,-1.421222,-1.361543,-1.132544,-0.680761,0.170716,1.690095,4.284201,7.232624,7.336184,5.104928,2.017099,-0.55086,-2.26082,-3.349791,-3.959396,-4.184518,1
1.383198,2.324307,1.394295,0.644396,0.183238,-0.037198,0.005723,1.993742,2.891675,0.345225,0.73767,-0.736555,-0.984287,-1.265434,-1.396457,-1.432651,-1.369096,-1.302328,-1.2444,-1.085973,-1.009007,-1.040167,-0.908233,-0.97474,-1.120194,-0.705395,-0.685033,-0.587055,-0.895917,-0.775657,-1.322434,-1.42179,-1.357117,-1.131248,-0.681546,0.171803,1.690208,4.286655,7.241082,7.340168,5.106816,2.018126,-0.550411,-2.256409,-3.347126,-3.954447,-4.180022,1
1.472163,2.412203,1.452114,0.675572,0.183035,-0.060442,-0.045523,1.794417,2.669598,0.25442,0.668009,-0.735768,-0.973103,-1.26519,-1.412076,-1.45678,-1.396683,-1.31892,-1.252787,-1.101096,-1.024269,-1.059715,-0.935081,-0.988996,-1.128606,-0.73016,-0.708146,-0.60303,-0.901185,-0.787143,-1.303955,-1.390254,-1.308434,-1.057618,-0.602079,0.249673,1.766814,4.339835,7.229088,7.359192,5.145163,2.084488,-0.499227,-2.226474,-3.331697,-3.961021,-4.190324,1
1.473213,2.410417,1.447691,0.665679,0.179974,-0.068241,-0.046919,1.794523,2.684401,0.272698,0.674309,-0.733776,-0.980412,-1.269847,-1.418447,-1.462349,-1.400727,-1.318921,-1.249667,-1.097458,-1.02857,-1.064023,-0.937369,-0.989805,-1.129072,-0.725803,-0.699542,-0.598268,-0.901905,-0.787135,-1.302695,-1.389088,-1.307262,-1.055312,-0.600005,0.254908,1.767528,4.337897,7.228584,7.357506,5.142023,2.08438,-0.500035,-2.228253,-3.332648,-3.961302,-4.190875,1
1.472931,2.409722,1.448288,0.670003,0.182641,-0.067512,-0.050446,1.784745,2.669606,0.25199,0.665072,-0.738127,-0.978991,-1.267682,-1.415634,-1.459162,-1.399135,-1.321156,-1.252522,-1.101205,-1.02706,-1.060881,-0.934669,-0.989564,-1.129274,-0.728142,-0.703652,-0.600489,-0.900361,-0.787327,-1.3018,-1.386895,-1.30598,-1.053802,-0.600076,0.256396,1.769701,4.342645,7.230382,7.364626,5.15275,2.090906,-0.497827,-2.225255,-3.331372,-3.958314,-4.188095,1
1.44612,2.385192,1.434925,0.659433,0.177868,-0.060383,-0.021424,1.936301,2.85093,0.307922,0.729857,-0.768044,-1.00605,-1.274917,-1.418997,-1.460756,-1.398659,-1.322278,-1.253605,-1.090538,-1.011098,-1.044559,-0.909034,-0.972141,-1.120623,-0.699449,-0.679529,-0.573694,-0.880213,-0.760588,-1.306386,-1.399015,-1.327989,-1.080018,-0.640541,0.199491,1.710005,4.269078,7.171792,7.315665,5.128902,2.061233,-0.529638,-2.256535,-3.351045,-3.970173,-4.196792,1
1.448099,2.387808,1.435732,0.661848,0.176877,-0.059189,-0.020369,1.938596,2.857821,0.307664,0.732649,-0.769343,-1.006462,-1.27609,-1.420422,-1.462912,-1.401315,-1.323592,-1.254833,-1.091667,-1.012152,-1.044619,-0.909363,-0.972276,-1.12108,-0.697959,-0.677566,-0.571995,-0.877447,-0.759509,-1.305824,-1.397591,-1.328252,-1.082314,-0.640731,0.199459,1.707871,4.26877,7.165464,7.316638,5.126944,2.061565,-0.530752,-2.256054,-3.351657,-3.971782,-4.19869,1
1.452689,2.392719,1.440037,0.665765,0.182719,-0.057902,-0.019219,1.925979,2.842304,0.304468,0.721364,-0.76645,-1.004371,-1.272945,-1.41736,-1.460239,-1.397808,-1.321058,-1.25256,-1.089984,-1.010624,-1.043494,-0.911433,-0.972197,-1.120189,-0.703848,-0.683707,-0.577693,-0.880458,-0.762014,-1.305761,-1.398181,-1.325088,-1.078518,-0.638365,0.202232,1.713652,4.276594,7.170435,7.310426,5.128705,2.060646,-0.532705,-2.258773,-3.355083,-3.973019,-4.19969,1
1.415322,2.359886,1.423936,0.658845,0.178449,-0.056977,-0.037323,1.813135,2.694557,0.277536,0.64602,-0.757317,-0.99016,-1.254409,-1.386204,-1.423494,-1.360825,-1.291641,-1.233316,-1.083176,-1.011559,-1.048685,-0.927952,-0.984488,-1.123813,-0.735098,-0.718163,-0.624725,-0.906505,-0.790406,-1.310499,-1.397041,-1.31912,-1.086845,-0.631761,0.223631,1.755412,4.366898,7.291022,7.387988,5.141331,2.057839,-0.519062,-2.233277,-3.326043,-3.946708,-4.175217,1
1.424752,2.369347,1.431135,0.666138,0.186367,-0.052467,-0.033491,1.815043,2.697076,0.278404,0.646584,-0.760299,-0.989588,-1.254283,-1.385528,-1.424968,-1.363683,-1.2954,-1.235163,-1.085368,-1.01435,-1.050121,-0.930901,-0.989976,-1.128478,-0.739601,-0.721452,-0.627833,-0.910106,-0.796414,-1.310778,-1.396826,-1.321924,-1.088118,-0.631984,0.225441,1.753184,4.356568,7.285049,7.384962,5.144926,2.059419,-0.518266,-2.232536,-3.323585,-3.942128,-4.16878,1
1.415428,2.360918,1.4272,0.659656,0.181942,-0.051705,-0.032224,1.817666,2.702381,0.289792,0.653652,-0.750264,-0.984289,-1.249026,-1.377703,-1.41455,-1.347085,-1.28172,-1.223452,-1.072969,-1.000208,-1.04149,-0.920715,-0.978045,-1.118897,-0.731185,-0.720691,-0.632462,-0.907705,-0.789569,-1.316892,-1.406996,-1.328619,-1.099111,-0.649751,0.210716,1.757719,4.383749,7.291639,7.369523,5.122838,2.0396,-0.528865,-2.24187,-3.339893,-3.959524,-4.186943,1
1.427933,2.355777,1.429663,0.679467,0.204305,-0.04459,-0.023471,1.678616,2.502118,0.21364,0.561227,-0.770062,-0.984853,-1.233062,-1.387934,-1.431294,-1.37357,-1.308411,-1.245072,-1.099722,-1.032254,-1.067256,-0.956866,-1.017919,-1.138921,-0.780956,-0.763651,-0.677779,-0.937098,-0.82489,-1.298258,-1.360796,-1.283414,-1.038035,-0.579114,0.284277,1.83033,4.448703,7.393424,7.45446,5.173983,2.064356,-0.52334,-2.228412,-3.292129,-3.888995,-4.110155,1
1.443226,2.375277,1.440907,0.688755,0.216004,-0.035622,-0.028338,1.685181,2.512762,0.223379,0.5671,-0.764083,-0.980947,-1.238999,-1.392623,-1.422724,-1.360459,-1.299459,-1.237819,-1.092688,-1.020548,-1.058353,-0.947055,-1.008142,-1.131465,-0.776773,-0.765217,-0.69194,-0.953461,-0.841323,-1.310008,-1.371909,-1.287331,-1.044525,-0.591033,0.276372,1.828931,4.461315,7.394451,7.422057,5.147933,2.05175,-0.517006,-2.252061,-3.312653,-3.891172,-4.109666,1
1.431252,2.358031,1.431846,0.682112,0.210662,-0.036506,-0.015506,1.698377,2.527999,0.230383,0.573962,-0.758868,-0.978875,-1.230741,-1.381406,-1.424302,-1.366424,-1.301311,-1.2378,-1.089188,-1.024607,-1.064455,-0.956134,-1.015649,-1.138204,-0.778024,-0.764911,-0.686173,-0.939963,-0.825627,-1.30793,-1.37741,-1.29643,-1.047898,-0.596719,0.269528,1.822599,4.454049,7.388167,7.429245,5.15466,2.050931,-0.521033,-2.224741,-3.297174,-3.904232,-4.125557,1
1.392215,2.330657,1.397387,0.644885,0.175875,-0.053652,-0.007163,1.944315,2.853579,0.336935,0.737393,-0.745549,-0.989128,-1.256232,-1.395758,-1.437564,-1.373048,-1.300469,-1.235178,-1.074382,-0.993312,-1.035759,-0.907877,-0.969567,-1.114272,-0.70294,-0.685664,-0.593363,-0.89076,-0.772573,-1.321081,-1.418725,-1.347106,-1.119023,-0.674076,0.178036,1.709946,4.323696,7.249068,7.341319,5.093204,2.012038,-0.555442,-2.261678,-3.344616,-3.960463,-4.184132,1
1.393945,2.3303,1.402359,0.6434,0.173923,-0.056568,-0.00814,1.941928,2.855846,0.337799,0.737612,-0.741933,-0.987972,-1.254478,-1.395011,-1.436383,-1.371905,-1.298379,-1.23245,-1.072875,-0.992749,-1.034562,-0.908004,-0.970757,-1.11734,-0.704214,-0.68778,-0.596739,-0.894739,-0.776731,-1.326082,-1.423208,-1.349325,-1.124035,-0.682565,0.167044,1.700512,4.31742,7.249455,7.35034,5.098767,2.022721,-0.544265,-2.253452,-3.342289,-3.956734,-4.181707,1
1.389774,2.328292,1.400564,0.643909,0.174576,-0.053723,-0.00559,1.950065,2.867957,0.341097,0.743965,-0.743518,-0.988015,-1.257308,-1.397057,-1.440069,-1.375087,-1.302284,-1.237693,-1.075643,-0.996548,-1.035053,-0.907382,-0.97017,-1.117136,-0.701998,-0.683415,-0.590336,-0.890809,-0.773632,-1.321817,-1.420988,-1.347696,-1.121573,-0.678432,0.177081,1.706262,4.311702,7.241447,7.348456,5.095846,2.016612,-0.552244,-2.260185,-3.346829,-3.960813,-4.184559,1
1.442362,2.388467,1.435007,0.669722,0.191071,-0.055547,-0.059318,1.764089,2.652832,0.217544,0.590444,-0.786606,-1.026201,-1.291603,-1.404608,-1.432626,-1.368371,-1.312211,-1.256658,-1.102533,-1.019192,-1.047901,-0.924211,-0.978952,-1.117496,-0.731177,-0.706636,-0.611221,-0.898736,-0.784524,-1.299542,-1.391932,-1.326223,-1.0639,-0.592748,0.272309,1.800413,4.397912,7.298648,7.381195,5.155875,2.067871,-0.503582,-2.232241,-3.325995,-3.921985,-4.151282,1
