@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute target {1,2,3,4,5}

@data
0.117119,-0.578792,-0.814535,-0.911444,-0.905657,-0.728728,-0.492828,-0.392516,-0.29732,-0.136762,-0.087178,-0.10283,-0.072317,-0.029638,0.01744,0.127385,0.204979,0.246048,0.387605,0.541798,0.632299,0.629314,0.583325,0.495906,0.44526,0.382948,0.457088,0.282031,1
-0.250138,-0.877641,-0.980875,-1.039041,-0.950437,-0.799255,-0.435612,-0.339555,-0.25783,-0.119873,-0.066746,0.015802,0.069715,0.071151,0.175456,0.24312,0.368019,0.483608,0.713371,0.675317,0.641887,0.658235,0.594283,0.50014,0.397375,0.384746,0.381509,-0.256735,1
-0.080709,-0.487709,-0.757433,-0.983115,-0.955972,-0.729866,-0.376871,-0.32664,-0.369225,-0.119089,-0.03496,-0.060118,-0.030811,0.055472,0.128862,0.274872,0.271985,0.52958,0.772796,0.733031,0.656258,0.476436,0.400425,0.230167,0.204473,0.265465,0.303956,0.008741,1
0.10709,-0.451741,-0.756307,-0.938236,-0.926291,-0.835359,-0.683719,-0.448439,-0.312633,-0.249292,-0.061877,-0.033837,-0.025144,0.074545,0.09454,0.135276,0.252066,0.413153,0.578796,0.496669,0.558898,0.554448,0.538113,0.577814,0.451691,0.438616,0.472025,-0.020867,1
0.236955,-0.188097,-0.572129,-0.923221,-0.983743,-0.837525,-0.634599,-0.482197,-0.414395,-0.272969,-0.160943,-0.149331,-0.136596,-0.066658,0.016464,0.08571,0.165578,0.209419,0.402134,0.535887,0.492527,0.535876,0.636583,0.603938,0.488735,0.445086,0.536431,0.431081,1
-0.374193,-0.821703,-0.985223,-1.006295,-0.795941,-0.549408,-0.418493,-0.367706,-0.18439,-0.133428,-0.123189,-0.072497,-0.016708,0.098622,0.135416,0.189818,0.283811,0.459286,0.630234,0.68016,0.61178,0.613145,0.552492,0.434989,0.438405,0.49811,0.380777,-0.157871,1
-0.11604,-0.600735,-0.91193,-1.001739,-0.944566,-0.844955,-0.566726,-0.336525,-0.290629,-0.200255,-0.058891,-0.022261,0.02042,0.056623,0.151995,0.169959,0.329232,0.438919,0.610545,0.590096,0.59883,0.613756,0.609152,0.545705,0.472102,0.431547,0.390607,-0.134236,1
0.012747,-0.36762,-0.727495,-1.00608,-1.02038,-0.835752,-0.612979,-0.446309,-0.390033,-0.242991,-0.102748,-0.058965,-0.019533,0.075724,0.133289,0.199947,0.365463,0.56116,0.630652,0.632632,0.69561,0.658805,0.526612,0.433322,0.450011,0.433755,0.26238,-0.241224,1
0.131722,-0.317095,-0.677383,-0.978733,-0.964932,-0.743931,-0.526974,-0.377408,-0.354931,-0.149852,-0.063266,-0.09612,0.010588,0.050733,0.086836,0.162821,0.269759,0.43546,0.579735,0.639068,0.799944,0.805208,0.647583,0.424033,0.313303,0.207002,0.050747,-0.363918,1
-0.346945,-0.529399,-0.63712,-0.683245,-0.612493,-0.53893,-0.44511,-0.312023,-0.228689,-0.152236,-0.016993,-0.011167,0.008053,0.064181,0.143635,0.250285,0.350262,0.392607,0.39013,0.434699,0.413773,0.426429,0.407844,0.358864,0.354376,0.321663,0.187899,0.009651,1
0.03894,-0.705466,-1.034676,-0.989356,-0.961738,-0.645713,-0.485918,-0.478282,-0.239883,-0.107027,-0.105018,-0.101845,-0.041169,-0.021694,0.062207,0.15268,0.228035,0.285229,0.424888,0.575844,0.663821,0.702713,0.61508,0.573596,0.497711,0.447175,0.531106,0.11876,1
0.063688,-0.480795,-0.752375,-0.916244,-0.843976,-0.686078,-0.469831,-0.43433,-0.381021,-0.14291,-0.120713,-0.112821,-0.092276,-0.058811,-0.009235,0.024102,0.127351,0.257824,0.458993,0.549306,0.590386,0.641918,0.635901,0.541596,0.512475,0.436973,0.468588,0.192314,1
-0.288741,-0.733348,-0.908315,-0.981443,-0.889012,-0.769518,-0.525809,-0.42977,-0.363131,-0.166251,-0.034473,-0.019217,0.03538,0.099166,0.164923,0.282506,0.456636,0.662872,0.704778,0.73674,0.69964,0.649663,0.545312,0.421112,0.328386,0.345348,0.24199,-0.265423,1
1.002871,0.66445,0.206638,-0.401466,-0.819948,-1.143913,-1.020673,-0.746518,-0.516051,-0.386836,-0.176401,-0.130118,-0.163392,-0.063292,-0.100804,-0.114651,-0.035568,0.009385,0.089934,0.253948,0.547036,0.581438,0.69082,0.708423,0.67833,0.354209,0.075024,-0.042873,1
-0.131554,-0.564474,-0.79568,-0.910867,-0.823653,-0.734277,-0.505859,-0.365506,-0.30686,-0.191606,-0.128518,-0.077126,-0.005891,0.022355,0.095342,0.127233,0.255512,0.407171,0.53719,0.560133,0.614118,0.653666,0.614409,0.503003,0.41613,0.374288,0.353437,0.007884,1
-0.085947,-0.601527,-0.89408,-0.913649,-0.866864,-0.733081,-0.505875,-0.449349,-0.374809,-0.18026,-0.150753,-0.122726,-0.039348,0.033429,0.073485,0.122608,0.242483,0.33676,0.542577,0.589767,0.559467,0.615767,0.624947,0.476941,0.483698,0.562819,0.562056,0.091463,1
0.121596,-0.292081,-0.629649,-0.845766,-0.909787,-0.901008,-0.769577,-0.504897,-0.381696,-0.29533,-0.156178,-0.053241,0.027984,0.090471,0.173478,0.286204,0.395996,0.578621,0.609407,0.611375,0.644612,0.602162,0.539895,0.39844,0.439569,0.378436,0.169362,-0.328396,1
-0.123358,-0.433636,-0.590171,-0.785187,-0.834577,-0.76628,-0.623279,-0.376178,-0.260284,-0.140026,-0.030674,0.074269,0.126561,0.156661,0.219683,0.297574,0.420046,0.584765,0.733482,0.702237,0.663765,0.482126,0.237634,0.154294,0.045459,0.046626,0.106763,-0.088296,1
0.440814,-0.174741,-0.722909,-0.983094,-1.013716,-0.965129,-0.743972,-0.501883,-0.459974,-0.305792,-0.105484,-0.077682,-0.036384,0.048253,0.078973,0.155704,0.32066,0.512631,0.641979,0.608996,0.620544,0.653782,0.561887,0.473044,0.453863,0.582772,0.38299,-0.446132,1
0.59865,0.516507,0.169201,-0.18599,-0.62636,-0.934673,-0.907538,-0.652489,-0.563148,-0.551377,-0.260146,-0.218397,-0.212772,-0.168026,-0.104492,-0.137162,-0.004814,-0.045172,-0.029575,0.076811,0.29302,0.306548,0.364889,0.606643,0.769861,0.780526,0.602671,0.516801,1
-0.231049,-0.680132,-0.801376,-0.850151,-0.816611,-0.649462,-0.435752,-0.351556,-0.229234,-0.143936,0.002654,0.023805,0.054801,0.121536,0.123756,0.256071,0.444909,0.570068,0.574722,0.606978,0.610668,0.577125,0.479916,0.397131,0.410293,0.292538,0.038851,-0.396562,1
0.355477,-0.222014,-0.609643,-0.850192,-1.002227,-1.039125,-0.803633,-0.52935,-0.522561,-0.423687,-0.21421,-0.148946,-0.047427,0.004585,0.116428,0.122523,0.184981,0.285237,0.465395,0.643317,0.697201,0.702742,0.666036,0.65731,0.542125,0.548989,0.601987,-0.181316,1
-0.331829,-0.578475,-0.689116,-0.837479,-0.750908,-0.593451,-0.447763,-0.347876,-0.234694,-0.115726,-0.073783,0.020541,0.108095,0.102481,0.180912,0.242014,0.353005,0.542748,0.678242,0.670418,0.632032,0.487996,0.325106,0.208877,0.130571,0.089207,0.188456,0.040398,1
-0.225225,-0.576757,-0.691281,-0.720577,-0.601709,-0.463285,-0.319677,-0.292584,-0.181809,-0.123961,-0.094499,-0.059237,0.004268,0.054578,0.084805,0.157779,0.238555,0.343456,0.368465,0.379442,0.397765,0.372359,0.348861,0.355408,0.368924,0.374354,0.355261,0.146319,1
-0.124693,-0.552918,-0.804706,-0.986308,-0.868568,-0.699736,-0.52977,-0.412782,-0.35391,-0.179281,-0.140565,-0.144166,-0.045152,-0.012368,0.028278,0.0957,0.189837,0.400332,0.604524,0.581772,0.588767,0.621739,0.60442,0.567181,0.510174,0.427859,0.400479,0.233863,1
0.473077,0.424075,-0.066957,-0.522192,-0.730981,-0.968726,-0.909139,-0.662372,-0.488259,-0.419586,-0.212895,-0.13581,-0.112994,-0.112285,-0.118758,-0.023078,0.024179,0.039597,0.066719,0.184954,0.420899,0.542694,0.541293,0.715115,0.721739,0.533498,0.367201,0.428993,1
-0.151105,-0.414168,-0.589851,-0.824935,-0.953786,-0.884459,-0.633388,-0.464276,-0.393223,-0.240315,-0.087265,-0.069203,-0.049361,0.011929,0.092787,0.131689,0.208306,0.290686,0.422065,0.649496,0.7117,0.749862,0.772775,0.693441,0.480699,0.248846,0.199978,0.091075,1
0.401763,0.27781,-0.109596,-0.530958,-0.700532,-0.842623,-0.789487,-0.619462,-0.487885,-0.474618,-0.37739,-0.251994,-0.177949,-0.176741,-0.155686,-0.088183,-0.013941,0.054782,0.151169,0.300562,0.371457,0.430078,0.64017,0.698886,0.745676,0.576598,0.605543,0.542551,1
-0.755894,-1.084442,-0.964644,-0.927951,-0.694952,-0.501588,-0.337524,-0.249531,-0.113059,-0.039676,-0.074205,-0.002907,0.04847,0.127806,0.187197,0.260185,0.376896,0.51109,0.624995,0.583052,0.639877,0.574066,0.575675,0.385602,0.372372,0.307102,0.276236,-0.104247,1
-0.195913,-0.748731,-0.824538,-0.851718,-0.857504,-0.739028,-0.527565,-0.29292,-0.27468,-0.158109,0.014809,0.020422,0.052799,0.15702,0.199342,0.230655,0.350271,0.527057,0.592416,0.611835,0.649282,0.594394,0.565072,0.441871,0.364522,0.342805,0.139011,-0.382876,1
0.503281,0.58559,0.510707,0.515007,0.637905,0.561693,0.403277,0.331135,0.366358,0.398199,0.144995,-0.214679,-0.483827,-0.682644,-0.884599,-0.846272,-0.730667,-0.407873,-0.35556,-0.387145,-0.192189,-0.100437,0.054076,0.005465,-0.07827,-0.042433,0.121726,0.267181,1
0.308866,0.163864,0.34145,0.154654,0.08181,-0.07712,-0.132604,-0.181031,-0.131474,-0.134912,-0.036221,-0.028198,-0.109679,-0.108528,-0.100754,-0.102919,-0.098212,-0.093836,-0.095223,-0.045899,0.127034,0.199616,0.19198,-0.017505,-0.03782,-0.102504,0.035546,0.02962,1
-0.419909,-0.873708,-0.901369,-0.929086,-0.836795,-0.651645,-0.427383,-0.359153,-0.268749,-0.113889,-0.037978,0.019124,0.048058,0.128915,0.161608,0.25009,0.355345,0.545009,0.630519,0.612046,0.68986,0.687051,0.577895,0.457188,0.328122,0.341386,0.261407,-0.273959,1
-0.094363,-0.27542,-0.387689,-0.460349,-0.507405,-0.488808,-0.39918,-0.285617,-0.285454,-0.214264,-0.122857,-0.074107,-0.068232,-0.077768,-0.04112,0.022681,0.072643,0.10823,0.237394,0.331804,0.345749,0.371885,0.37936,0.377143,0.367551,0.400252,0.406461,0.36148,1
0.414209,0.016276,-0.415712,-0.752234,-0.937017,-0.822813,-0.562562,-0.518189,-0.452259,-0.221851,-0.203024,-0.262804,-0.160309,-0.160218,-0.110549,-0.065257,-0.042207,0.086882,0.179408,0.246903,0.403687,0.477924,0.571304,0.760022,0.797772,0.734075,0.498387,0.500156,1
0.137015,-0.372001,-0.833471,-1.055894,-0.950792,-0.777914,-0.547985,-0.489479,-0.42039,-0.259514,-0.153362,-0.151366,-0.102756,-0.068497,-0.003968,0.083463,0.177157,0.286979,0.418749,0.590777,0.684351,0.796979,0.84972,0.731084,0.5183,0.343502,0.350051,0.219265,1
-0.092164,-0.229958,-0.419656,-0.532346,-0.657242,-0.801573,-0.753959,-0.377389,-0.226164,-0.19313,-0.024358,0.037124,0.078309,0.025166,0.140189,0.241656,0.167901,0.181346,0.323844,0.634507,0.812181,0.646382,0.498791,0.271818,0.149873,-0.000647,0.02079,0.07871,1
-0.15097,-0.429389,-0.615856,-0.721646,-0.682727,-0.569445,-0.439018,-0.346557,-0.282894,-0.214914,-0.145984,-0.092825,-0.023564,0.042871,0.020385,0.071334,0.189322,0.243135,0.31606,0.422886,0.460776,0.492556,0.438243,0.407333,0.378926,0.404662,0.46917,0.358131,1
0.124337,-0.531341,-0.859506,-0.999661,-0.893218,-0.715215,-0.481662,-0.406147,-0.268118,-0.126404,-0.106514,-0.067538,-0.029046,0.006984,0.062033,0.174482,0.231948,0.29945,0.476584,0.618482,0.615461,0.589186,0.555737,0.4597,0.459741,0.46281,0.453486,-0.106053,1
0.578692,0.319094,-0.243076,-0.668025,-0.909752,-0.987608,-0.832942,-0.522774,-0.498959,-0.299895,-0.130971,-0.090042,-0.1577,-0.083138,-0.017018,0.005166,0.052556,-0.007425,0.029528,0.190075,0.434167,0.453478,0.554931,0.678648,0.752973,0.587084,0.415893,0.397039,1
0.377882,0.167883,-0.290455,-0.586254,-0.858407,-0.873946,-0.650397,-0.519006,-0.454177,-0.231071,-0.167052,-0.157572,-0.11927,-0.072537,-0.08119,-0.047721,0.019115,0.053212,0.129648,0.221398,0.381147,0.558474,0.494243,0.59675,0.719616,0.626053,0.407292,0.356341,1
0.10783,0.021817,-0.140964,-0.543801,-0.58174,-0.576254,-0.424566,-0.286007,-0.208786,-0.161556,-0.073034,-0.014418,-0.001857,-0.004899,-0.020141,-0.064282,-0.088331,-0.053474,-0.007516,0.026981,0.120138,0.21686,0.25337,0.319137,0.398673,0.449072,0.625131,0.712617,1
-0.124503,-0.39558,-0.465839,-0.64497,-0.687785,-0.619408,-0.445651,-0.333918,-0.299486,-0.181553,-0.092633,-0.067256,-0.023213,0.031729,0.066701,0.113784,0.182161,0.285544,0.407755,0.455116,0.500258,0.515905,0.476834,0.388804,0.318037,0.292762,0.263601,0.082801,1
0.12874,-0.386613,-0.941738,-1.122334,-1.024739,-0.81406,-0.554396,-0.526209,-0.409978,-0.172082,-0.126034,-0.108631,-0.03606,0.030726,0.076974,0.170427,0.275407,0.44667,0.611848,0.597026,0.617116,0.641684,0.659385,0.488374,0.434774,0.535249,0.474288,0.034186,1
0.180684,-0.317839,-0.684827,-1.03453,-0.97287,-0.768795,-0.559733,-0.429048,-0.422786,-0.212134,-0.163786,-0.219153,-0.108112,-0.053268,0.079839,0.159359,0.175177,0.237368,0.459511,0.643444,0.678777,0.719436,0.680247,0.527375,0.408089,0.305807,0.39335,0.298415,1
-0.413616,-0.672294,-0.643981,-0.667847,-0.634348,-0.55349,-0.412896,-0.199134,-0.100043,-0.060229,0.055175,0.169007,0.242268,0.25712,0.335628,0.370139,0.407127,0.520752,0.492378,0.473309,0.384691,0.26955,0.18753,0.08224,0.027657,0.04175,0.121631,-0.080073,1
-0.164923,-0.662507,-0.86023,-0.947431,-0.841628,-0.66081,-0.468157,-0.399075,-0.298497,-0.145188,-0.104964,-0.093144,-0.064441,0.020608,0.067236,0.156855,0.233241,0.306999,0.46743,0.532103,0.5809,0.610601,0.568359,0.492402,0.474496,0.492694,0.563799,0.143272,1
0.387169,-0.157751,-0.588342,-0.859709,-0.988257,-0.875634,-0.569509,-0.382052,-0.372095,-0.147639,-0.091699,-0.064756,-0.018224,-0.052268,-0.052396,0.049992,0.156473,0.171581,0.300052,0.623189,0.670083,0.582004,0.669019,0.575233,0.346053,0.236437,0.314862,0.138187,1
