@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute target {1,2}

@data
1.246789,0.790473,0.453315,-0.496354,-1.355847,-1.3848,-1.311655,-1.239553,-0.590368,-0.601247,-0.911863,-1.372095,-1.862034,-1.573453,-0.636213,-0.247261,-0.046981,-0.033686,0.377336,0.333325,0.825641,1.478457,2.125389,2.364025,2.313776,2.085832,1.843121,1.869579,1.324446,1.073789,0.342439,0.201984,0.097238,0.364178,0.637879,0.547054,0.346577,0.143728,0.166781,0.300028,1.099027,1.387421,1.666987,1.625516,2.161379,2.239484,2.140082,1.814685,0.541513,0.15729,0.073796,-0.138859,-0.740413,-1.665759,-1.849324,-1.814328,-1.382527,-0.918437,-0.582667,-0.544084,-1.19165,-1.22793,-1.166314,-1.328976,-0.392489,0.721904,0.756058,1.033907,1.034384,1.21352,0.280202,0.215639,-0.101851,-0.345083,-0.876906,-0.811496,-0.687009,-0.609691,-0.498745,-0.527187,-0.311539,0.071154,0.537552,0.731031,0.977108,0.99251,0.863018,-0.036102,-0.114148,-0.143509,-0.114148,0.036901,0.45116,0.934264,0.519557,-0.308302,-0.544084,-0.701097,-0.847629,-0.973892,-1.04284,0.093149,0.280202,1.28667,1
0.825876,0.881314,0.818073,0.546963,0.485933,-0.185056,-1.727607,-1.618792,-1.417309,-0.306088,-0.252639,2.262333,2.246612,2.144764,0.554227,0.402427,-0.88853,-0.930685,-0.617119,-0.164477,0.237955,0.307906,0.259798,-0.015533,-0.053239,-0.555569,-0.844249,-0.797942,0.569179,0.626545,0.598471,2.281621,2.256412,-0.06711,-0.892018,-1.373291,-1.63297,-1.601673,-0.977089,-0.769034,-0.396692,-0.145675,0.917122,0.816229,0.149966,-0.250933,-0.29801,-0.221359,-0.286935,-0.725708,-0.78026,-1.14096,-1.157483,-1.382155,-1.438667,-1.613854,-1.614793,-0.090935,-0.043977,0.198549,0.320728,2.068789,2.196197,1.948839,1.076174,0.106821,-1.094083,-1.060445,-0.735117,-0.654063,-0.472492,0.037171,0.10695,0.057965,-0.199728,-0.340782,-0.224743,-0.31737,-0.266886,-0.009286,0.081499,-0.135896,-0.482074,-0.685119,-1.162502,2.031966,2.119886,2.08008,0.337881,0.152258,-0.068325,-0.220936,-1.640096,-1.683861,-1.452798,-1.421608,-1.176057,-0.899533,-0.882433,-0.377752,-0.338302,-0.410369,-0.093108,0.755256,1
2.13283,1.85218,1.799809,-0.567296,-1.06082,-1.394767,-1.433771,-1.397007,-0.632318,0.525879,0.514778,0.396532,-0.20817,-1.738619,-1.704763,-1.301945,-0.826589,0.143826,-0.058699,-0.151244,-0.990718,-1.416515,-1.637844,-1.659307,-1.535819,-1.353327,-0.915745,-0.559025,0.078171,0.932326,1.87437,1.817147,0.945116,0.89666,0.564069,0.359434,-0.250887,-0.325369,-0.274007,0.101464,0.690079,0.826392,0.903172,0.804872,0.641499,0.134846,-0.329055,-0.293039,-0.205349,0.580689,0.933761,1.053734,1.349617,1.771765,1.872121,1.883144,1.143963,0.830737,0.100399,-0.435809,-0.894285,-1.423384,-1.661152,-1.677185,-1.379218,-1.27341,-1.040385,-0.116375,-0.104009,0.069563,0.17415,-0.468449,-0.872731,-1.352249,-1.714174,-1.792686,-1.790935,-1.70867,0.406394,0.530756,0.137532,-1.346878,-1.42023,-1.416515,-1.171426,-0.155968,2.133494,2.167464,2.047457,0.0921,-0.578327,-0.737412,-0.621623,-0.557596,-0.574322,-0.755164,-0.757284,-0.726951,-0.544003,-0.528939,-0.73165,-0.642244,-0.231936,2.149849,1
0.874412,0.944243,0.352022,0.229836,-0.533304,-0.889967,-0.883527,-1.051354,-0.95827,-1.063345,-1.559669,-1.484381,-1.553146,-0.887462,-0.135024,0.889033,1.354285,1.451398,1.617084,1.825323,1.801122,1.475214,1.102953,1.096622,0.874168,0.474198,0.009481,-0.353975,-0.513392,-1.374061,-1.419987,-1.38889,-1.504423,-1.325125,-1.554882,-1.573635,-0.654171,-0.427345,-0.142191,0.245553,0.214347,0.998911,1.033169,1.548075,1.482252,1.537409,1.187623,-1.41874,-1.644432,-1.699096,-1.611043,-1.358078,-0.867118,-0.482898,-0.389236,-0.140996,-0.073375,0.542646,0.772211,1.187623,1.226288,0.109053,-0.217235,-0.584995,-1.309371,-1.386826,0.44809,1.278363,1.926354,2.015759,1.361468,0.573442,0.369507,-0.16016,-0.32242,-0.007027,-0.056628,0.089759,0.496766,0.859755,0.608157,0.232045,0.08834,-0.148174,-0.294493,-0.168268,0.516367,0.600465,1.984126,2.17251,2.147962,1.378486,1.387649,1.11419,1.073586,-1.218729,-0.755556,-0.74934,-0.618265,-0.135024,0.12121,0.425044,0.586582,0.801962,1
0.972615,1.18338,1.164712,-0.404975,0.85273,0.894705,1.101844,2.156734,2.343362,1.995985,0.982511,-0.544021,-1.13015,-1.141422,-0.397453,0.340167,0.23709,-1.131515,-0.133588,0.532909,1.128635,1.897256,2.252364,0.866427,0.842161,-0.313859,-0.299817,0.85273,0.924016,1.157821,1.160034,-0.208901,-0.210969,-0.950682,-2.079916,-2.154129,-2.084844,-2.25667,-0.205547,-0.245299,0.116893,0.059278,0.637369,0.461231,0.517624,1.368129,1.412504,1.363569,0.98225,1.089358,0.891838,0.182846,-0.108362,-1.257846,-1.406562,-0.873488,-0.464901,-0.270754,0.189706,-0.146772,-0.145504,0.688934,0.957892,0.965719,-0.247993,-0.296908,0.350751,0.890038,1.052487,0.779766,-0.139585,-0.098317,0.200824,0.223904,-0.21881,-0.389044,-0.956783,-1.343474,-1.203339,-0.155927,0.262271,0.278161,0.90988,1.126345,1.128635,1.419193,1.448558,1.346628,0.514156,0.64531,0.144927,0.097752,-0.155587,-0.237489,-2.139193,-2.197519,-2.096274,-2.154129,-2.079916,-1.431696,-0.678076,-0.212085,-0.182151,0.838184,1
0.67385,0.75819,-0.246794,-0.980379,0.69735,1.733385,2.117429,1.474074,1.517203,1.217446,0.782557,-0.026221,-0.254574,-1.13519,-0.956544,-0.788647,-0.533338,-0.537759,-0.668334,-0.8566,-1.011333,-1.201225,-1.307974,-0.201114,0.036537,0.493193,0.572558,1.41134,1.47294,2.033648,2.042859,0.590333,0.424529,-0.275303,-0.467381,-0.792245,-1.022165,-0.962483,-0.355642,0.056191,0.103507,0.582957,0.717281,-0.58081,-1.216599,-1.638685,-1.681162,-1.940575,-1.912021,-2.029764,-1.988299,-1.397363,-0.889939,0.505457,0.854375,1.568453,1.932196,1.886778,1.734247,1.606402,1.365236,1.368707,0.923317,0.692554,-0.454417,-0.88622,-0.8566,-0.420099,-0.272918,0.389199,0.421122,0.314995,-0.076492,-0.102699,0.13076,0.258663,0.240898,0.093965,0.098585,0.244457,0.289568,0.171747,0.466028,0.316159,-0.1722,-0.421881,-0.562554,-0.795049,-0.878372,-0.577451,1.366857,1.539866,1.991921,2.08077,0.53624,0.488724,-1.892168,-1.508158,-1.349044,-0.976962,-0.913639,-0.646889,-0.473155,0.58378,1
2.01273,1.643602,1.362025,1.269634,-0.062369,-0.302548,-1.248771,-0.990417,-0.890504,-0.642455,-0.618714,-1.222638,-0.977057,-0.890102,-0.499366,-0.033851,0.460643,0.609536,1.214373,1.981089,1.860243,0.468363,0.467538,0.038504,-0.046047,-0.425736,-0.480891,-0.947637,-0.978308,-0.785321,-0.025743,-0.023255,0.343123,0.6636,0.632939,0.360401,0.213394,-0.585623,-0.657012,-0.91893,-0.885258,-1.17966,-1.886581,-1.995358,-1.916927,-1.407639,-0.960861,0.218665,0.681474,1.435524,1.944977,1.86709,1.300848,1.377717,1.275894,-0.533737,-0.828925,-0.88889,-0.43446,-0.273758,0.194011,0.436567,0.351061,0.123926,0.248395,0.251299,0.092945,0.253908,0.276181,0.147823,0.409843,0.441285,-0.165719,-0.915667,-0.629823,1.247323,2.029091,1.908434,1.004588,0.518202,0.467538,0.275894,-0.396942,-0.735423,-1.956681,-1.607129,-1.080577,-1.05476,-0.813534,-0.584527,0.210756,0.609536,-0.00493,-0.859552,-1.022824,-1.015215,-0.648046,-0.404201,-0.344823,0.002188,0.082359,0.508121,0.704503,1.935148,1
0.631517,0.662534,0.547606,0.348109,0.085767,-0.213269,-0.328533,-0.508192,-0.779685,-0.903257,-1.071852,-1.183223,-1.39065,-1.447209,-1.256031,-0.489642,0.635629,2.099441,2.241912,2.06133,1.52,0.150902,-0.040554,-0.891856,-1.496269,-1.485027,-1.328359,-1.323384,-1.553953,-1.522766,-0.858894,-0.326988,0.222933,1.480732,1.693713,1.993359,1.942698,1.578001,0.470845,-0.615574,-1.357708,-1.537224,-1.414116,-1.25159,-1.14771,-0.904207,-0.632402,-0.280998,-0.251467,-0.011736,0.146228,0.311048,0.721379,0.603808,0.393355,-0.193724,-0.478784,-0.482036,-0.787861,-0.751723,-0.945519,-1.049815,-0.757712,0.635629,1.013763,2.01553,2.010871,1.693713,1.44375,0.651248,-0.539011,-0.379701,0.120281,0.271455,0.28713,0.256794,-0.040554,-0.065351,-0.06322,0.235344,0.143328,-0.065351,-0.011736,0.233605,0.274038,-0.361939,-0.494268,-0.452085,0.753429,1.057523,1.746838,2.033403,2.042245,0.839947,-0.853289,-0.933921,-1.012322,-0.817452,-0.717549,-0.579134,-0.397301,-0.193724,-0.00777,0.574119,1
2.096184,2.021581,0.042045,-0.313432,-0.851061,-1.604823,-1.408802,-1.422601,-1.483295,-1.434907,-1.605259,-1.583995,-1.169898,-1.173054,-0.886812,-0.421283,-0.342834,-0.209499,-0.036377,1.076977,1.229761,1.554528,1.820382,1.920481,1.516789,1.271996,0.127091,-0.809474,-1.070884,-1.262944,-1.511691,-1.399003,-1.133416,-1.169898,-0.948421,0.103194,0.22517,0.691913,0.590973,-0.47059,-0.457856,-0.624098,-0.575946,-0.88526,-0.968558,-0.730314,0.019366,0.162418,0.977165,1.075067,1.622047,2.062633,1.969827,1.248507,-0.483918,-0.327337,0.321273,0.312696,0.014128,0.046787,0.324405,0.201065,-0.014935,0.073537,0.305152,0.347712,0.242506,-0.279316,-0.459973,0.772382,0.876826,1.459471,1.843513,2.066609,1.764046,1.217506,0.557536,-0.504832,-0.921828,-0.998596,-0.913341,-0.768851,-0.787892,-0.534584,-0.567129,-0.464747,-0.016315,0.442955,0.580251,0.581225,0.457489,0.165907,-0.892717,-1.007389,-1.133416,-1.121389,-1.400567,-1.50672,-1.404091,-0.853815,-0.487929,-0.366362,0.183313,2.028446,1
1.790156,1.734943,0.858751,-0.516199,0.541063,0.763436,0.653836,0.547701,-0.53013,0.833706,0.925779,1.347059,1.758727,1.855003,1.63711,0.816382,-0.564675,-1.072725,-1.602267,-1.718656,-1.394087,-1.309806,-1.015031,-0.449923,-0.055065,0.066183,-0.244637,-0.585404,-0.903065,-1.195612,-1.564692,-1.578975,-1.100599,-0.724644,-0.119245,0.381716,0.722763,0.582497,-0.264499,-0.78893,-1.041622,-1.097451,-1.077494,-0.492212,-0.140281,0.767604,1.367393,2.148284,2.079784,1.69593,1.22164,0.490811,0.34477,-0.206773,-0.266664,-0.300496,-0.128572,-0.132663,-0.359055,-0.342991,-0.139694,-0.104019,-0.311201,-0.301281,-0.252007,0.073878,0.225404,0.481479,1.761939,2.042451,2.318975,2.289941,1.683879,-0.108361,-1.091894,-1.132237,-1.098661,-0.777956,0.113361,0.16181,0.581704,0.689248,0.514595,0.158154,-0.930667,-1.555514,-1.61152,-1.582217,-1.347421,-0.948155,-0.730834,-0.655618,-0.053223,-0.043047,-0.967837,-1.350049,-1.443313,-1.793997,-1.682578,-1.52847,-1.164835,-0.442035,0.679718,1.70553,1
