@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute target {1,2}

@data
1.930523,1.864019,1.682885,1.12695,0.80537,0.266953,-0.218065,-0.835881,-0.945598,-1.242902,-1.237235,-0.992204,-0.206606,-0.182434,-0.249783,-0.26154,-0.388571,-0.359604,-0.491426,-0.608288,-0.694284,-0.765544,-0.834337,-1.251783,-1.360502,-1.308658,-0.973336,-0.646448,-0.402502,-0.402854,-0.475796,-0.180283,-0.149972,0.286489,0.336236,0.438324,0.474548,0.731635,1.027734,1.095052,1.233021,1.14715,0.904442,1.112033,1.270906,1.554611,1.531053,1.324584,1.04755,0.805974,0.766487,0.777668,0.574115,0.497836,-0.023046,0.06775,0.087547,-0.126979,-0.804307,-0.783157,-0.528341,-0.465378,-0.488419,-0.662194,-0.748458,-1.350741,-1.347141,-1.15797,-1.124158,-1.258488,-1.523774,-1.389076,-1.36634,-1.468232,-1.691231,-1.639962,-1.442769,-1.367049,-1.511367,-1.486817,-1.092578,-1.08861,-1.055123,-0.843385,-0.799734,-0.590953,-0.420549,-0.144958,-0.103062,-0.124915,-0.087398,0.303838,0.750018,0.803916,1.039794,1.136505,1.305861,1.409863,1.534254,1.621787,1.876581,1.931986,1.904562,1.930123,1
1.917752,1.849898,1.639772,0.965544,0.418858,0.2794,-0.116025,-0.479439,-1.40596,-1.718583,-1.964246,-1.904787,-0.81285,-0.221298,-0.105725,-0.073022,-0.132846,-0.191066,-0.286138,-0.29097,-0.396591,-0.497784,-0.643146,-0.695332,-0.906966,-0.902569,-0.707913,-0.765099,-0.933151,-0.94929,-0.844919,-0.600574,-0.56621,-0.574287,-0.763501,-0.560863,-0.182598,0.122793,0.239131,0.553779,0.709894,0.784909,0.938931,1.003715,1.160626,1.252594,1.24816,1.187644,0.705373,0.722662,0.976088,1.164965,1.473555,1.512547,1.508009,1.456944,1.038576,0.762188,0.671707,0.300911,0.296434,0.400139,0.350916,0.101551,-0.348778,-0.357086,-0.238378,-0.214208,-0.246816,-0.896719,-0.920511,-0.850654,-1.087976,-1.101026,-0.919147,-0.943484,-1.327454,-1.091809,-1.209653,-1.200653,-1.250879,-1.508568,-1.499021,-1.418609,-1.237809,-1.118664,-1.119425,-0.938711,-0.895089,-0.767464,-0.725311,-0.71723,-0.254209,-0.211258,-0.097083,0.813457,0.846273,1.131743,1.186216,1.326056,1.54233,1.566897,1.731942,1.916245,1
1.887045,1.729357,0.929367,0.70945,0.525224,0.076598,-0.55111,-1.097732,-1.382193,-1.490818,-1.439979,-1.209143,-0.676124,-0.435446,-0.324517,-0.285643,-0.339028,-0.476581,-0.686564,-0.93674,-1.006775,-1.138074,-1.071007,-0.812735,-0.755853,-0.753154,-0.637147,-0.60942,-0.441532,-0.40127,-0.168335,-0.117767,0.16501,0.238232,0.626016,0.916711,1.075302,1.129814,1.281954,1.28532,0.915896,0.928237,1.19499,1.321922,1.386717,1.419712,1.530854,1.564128,1.455162,1.304253,0.997063,1.02136,1.00751,0.842697,0.762978,0.450392,0.456216,0.374672,0.100692,-0.101513,-0.780226,-0.806557,-0.75168,-0.533982,-0.54851,-0.830132,-1.263618,-1.277857,-1.257487,-1.119989,-1.106332,-1.31078,-1.344475,-1.397706,-1.665639,-1.67877,-1.665904,-1.58829,-1.444229,-1.291194,-1.279317,-1.315604,-1.145092,-1.131559,-1.181095,-0.74103,-0.674613,-0.703086,-0.684402,-0.265709,-0.22363,-0.170654,0.234287,0.369445,0.858436,0.982914,1.278441,1.503045,1.65495,1.699231,1.789211,1.844421,1.882879,1.889576,2
2.029245,2.020383,1.928343,1.542053,1.20319,0.702864,0.309768,-0.32331,-0.844546,-1.038091,-0.996377,-0.8755,-0.315037,-0.234228,-0.228568,-0.273543,-0.29895,-0.346222,-0.355807,-0.539169,-0.570852,-0.94569,-0.945625,-1.047773,-1.119976,-1.073863,-0.869239,-0.871197,-0.958066,-0.914484,-0.921167,-0.773637,-0.769801,-0.857755,-0.746464,-0.725248,-0.616831,0.055988,0.108904,0.103512,0.363929,0.417347,0.563296,0.665772,0.960813,0.957425,1.043834,1.010188,0.470257,0.467575,0.971913,1.099684,1.312842,1.382255,1.269933,1.05971,0.459977,0.375844,0.022573,0.066785,-0.012992,-0.384141,-0.286982,-0.264282,-0.324512,-0.748142,-0.758836,-0.552937,-0.564036,-0.713427,-1.000436,-0.905354,-0.894363,-1.1814,-1.202212,-1.082437,-1.251457,-1.252965,-1.323635,-1.65254,-1.681359,-1.397253,-1.377768,-1.480098,-1.401555,-1.416101,-1.559658,-1.56475,-1.39438,-1.428049,-1.400251,-0.972089,-0.258892,0.249703,0.431245,0.882184,1.025163,1.289059,1.449187,2.004042,1.98394,1.907166,2.008741,2.028191,1
2.003176,1.961692,1.75828,1.774315,1.711577,0.889349,0.377629,0.327439,-0.003216,-0.38536,-0.470522,-0.885234,-1.04989,-1.253263,-1.482714,-1.620482,-1.581034,-1.386405,-0.776399,-0.219563,-0.217194,-0.259253,-0.402551,-0.623483,-0.572775,-0.592209,-0.764967,-0.793601,-0.983304,-0.971695,-1.178356,-1.27192,-1.228397,-0.741554,-0.818508,-0.713421,-0.694782,-0.735291,-0.710785,-0.577891,-0.07126,0.028369,0.406666,0.481525,0.584609,0.786579,0.953395,0.995297,1.222735,1.385098,1.403995,1.326543,1.294908,1.122143,1.046575,0.750369,0.764306,1.203551,1.378246,1.37777,1.455017,1.377477,0.674743,0.549887,0.037066,0.227641,0.227682,-0.096122,-0.717261,-0.698698,-0.347582,-0.326388,-0.346645,-1.108959,-0.996083,-0.992839,-1.24809,-1.174409,-1.276746,-1.466292,-1.500785,-1.51382,-1.346647,-1.356887,-1.460347,-1.460507,-1.336384,-1.309785,-1.134888,-1.122426,-1.063885,-0.651302,-0.577045,-0.267172,-0.121438,0.271135,0.374163,0.649951,0.828655,0.993584,1.238126,1.338887,1.527665,1.998178,1
2.000979,1.969947,1.828747,1.289328,1.031631,0.409744,0.142878,-0.077008,-0.608883,-0.940424,-1.121881,-1.268235,-1.36432,-1.387928,-0.996255,-0.422419,-0.367758,-0.414587,-0.580842,-0.657275,-0.790088,-0.985407,-1.002221,-1.107707,-0.890033,-0.852554,-0.753954,-0.597431,-0.56032,-0.220615,0.065966,0.073121,0.168647,0.187994,0.431235,0.507783,0.906003,1.088808,0.990498,0.782317,0.8765,1.146954,1.371895,1.465118,1.496348,1.577546,1.552569,1.481441,1.327367,1.095589,0.981428,0.744097,0.660846,0.230008,0.241054,0.079412,-0.005916,-0.320604,-0.328227,-0.485943,-0.487042,-0.824623,-0.848964,-0.871169,-0.951242,-0.977636,-1.253827,-1.27631,-1.191436,-1.251939,-1.479096,-1.495147,-1.363225,-1.356016,-1.486871,-1.377539,-1.407643,-1.53075,-1.498539,-1.345914,-1.271685,-1.280656,-1.1332,-1.092536,-0.744443,-0.720812,-0.747902,-0.716339,-0.516206,-0.381165,-0.164133,-0.11259,-0.0879,0.124342,0.30219,0.613526,0.810585,0.979132,1.078634,1.171895,1.494564,1.812209,1.974027,2.002619,2
1.816474,1.7498,1.597846,1.023772,-0.958067,-1.190693,-1.708761,-1.776822,-1.264679,-0.702333,-0.63319,-0.673726,-0.792136,-0.841091,-0.81956,-0.844773,-0.916044,-0.930722,-1.032811,-1.153549,-1.206081,-1.09541,-1.174294,-1.165624,-1.118872,-0.915657,-0.884807,-0.667258,-0.649042,-0.568243,-0.549059,-0.572566,-0.231545,0.212701,0.278667,0.432224,0.470414,0.6373,0.857533,0.952291,0.990315,1.047143,1.105867,0.807059,0.827767,1.096892,1.222576,1.414152,1.456261,1.43744,1.381048,1.460681,1.405073,1.336352,0.802254,0.787438,0.849826,0.816274,0.676487,0.577579,0.216514,0.202895,0.285393,0.227599,-0.113637,-0.210046,-0.248159,-0.488006,-0.480614,-0.630243,-0.68421,-0.71162,-0.945828,-1.009149,-1.024919,-0.95199,-1.135752,-1.186953,-1.338538,-1.456035,-1.416701,-1.303541,-1.25147,-1.055806,-0.787832,-0.513348,-0.465499,-0.089982,-0.076262,-0.044203,0.209323,0.285738,0.387745,0.491708,0.575178,0.864841,0.984797,1.111591,1.167398,1.344292,1.613261,1.788606,1.769453,1.817496,1
1.95674,1.900235,1.77903,0.856871,0.793796,0.538616,-0.137644,-0.588387,-1.02502,-1.249167,-1.233731,-1.155549,-0.647617,-0.484028,-0.478154,-0.541817,-0.498358,-0.509224,-0.572547,-0.742109,-0.789094,-1.095779,-1.180247,-1.201477,-0.855832,-0.735078,-0.548918,-0.528895,-0.590145,-0.327092,0.171466,0.483792,0.568008,0.605569,0.760307,0.857401,0.975747,1.045867,1.073017,1.002548,0.596345,0.574106,0.709735,1.155703,1.281756,1.3413,1.299641,1.428206,1.466967,1.472706,1.46352,1.414959,1.302856,0.799906,0.411488,0.369632,-0.15439,-0.169847,-0.056896,-0.10491,-0.30957,-0.451643,-0.959235,-0.98605,-0.774477,-0.753091,-0.771427,-0.877701,-1.277324,-1.38578,-1.388658,-1.307699,-1.331819,-1.524092,-1.540781,-1.488873,-1.511007,-1.548748,-1.762657,-1.798704,-1.80578,-1.409049,-1.208106,-1.183292,-0.938057,-0.91219,-0.918606,-0.896963,-0.60705,-0.346454,-0.184339,0.440612,0.457351,0.769778,1.166497,1.26471,1.379426,1.470099,1.574835,1.597606,1.783063,1.864183,1.961138,1.96057,1
1.972911,1.893181,1.826152,1.40481,0.952593,0.795441,0.716066,0.482122,0.392463,0.149034,-0.20522,-0.729343,-0.863729,-1.782471,-1.847002,-1.725581,-0.986115,-0.293483,-0.181808,-0.202084,-0.31037,-0.408935,-0.501514,-0.693241,-0.709738,-0.847579,-0.898228,-1.000775,-1.016312,-0.863257,-0.784921,-0.679894,-0.67013,-0.691514,-0.755317,-0.752631,-0.726687,-0.031692,0.150481,0.305977,0.514641,0.630647,0.735857,1.032386,1.227947,1.268966,1.227695,0.858003,0.858241,1.283191,1.474965,1.545843,1.49385,1.281602,1.078881,1.026376,0.844108,0.269959,0.242333,0.324306,0.308298,0.213095,0.065552,-0.100897,-0.388643,-0.350145,-0.376335,-0.950435,-0.792142,-0.786765,-0.848829,-1.102228,-1.100447,-1.009907,-1.009951,-1.12136,-1.194154,-1.368767,-1.465298,-1.483352,-1.231951,-1.227113,-1.275333,-1.262029,-1.16651,-0.924221,-0.940261,-0.674991,-0.511034,-0.411829,-0.349612,-0.022933,0.076658,0.154557,0.267435,0.345406,0.933602,0.998635,1.296358,1.351468,1.553142,1.783875,1.926125,1.971205,2
1.988141,1.940882,1.742004,1.296261,0.83215,0.573731,0.303234,-0.062299,-0.575965,-1.112482,-1.238261,-1.324396,-1.473901,-1.489857,-0.349469,-0.252347,-0.266207,-0.311327,-0.384108,-0.489665,-0.635433,-0.777385,-0.975662,-0.547801,-0.537339,-0.555828,-0.673418,-0.671687,-0.348381,-0.319579,-0.209491,-0.010815,0.066742,0.105046,0.104385,0.20788,0.321396,0.573327,0.644144,0.650068,0.831948,0.93874,1.058444,1.040605,0.842475,1.262332,1.479552,1.55038,1.556472,1.523403,1.308004,1.299538,1.225779,0.972816,0.551294,-0.031135,-0.048531,0.104689,0.102241,0.052785,-0.292738,-0.458093,-0.574755,-1.197552,-1.226442,-1.195484,-0.97669,-0.872701,-0.842816,-0.852336,-1.233892,-1.221502,-1.243279,-1.316639,-1.463464,-1.516026,-1.437916,-1.463829,-1.524647,-1.742595,-1.771055,-1.714517,-1.30966,-1.209054,-0.873996,-0.827203,-0.843547,-0.819377,-0.448225,-0.396169,0.134749,0.176359,0.181414,0.591231,0.65916,0.705055,0.949703,1.119726,1.19177,1.386413,1.656007,1.83453,1.932938,1.976268,2
