@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute target {1,2}

@data
-0.553834,-0.610006,-0.300489,0.107997,0.156526,0.276511,0.5268,1.212322,1.598645,2.365941,2.445422,2.416763,2.734687,2.672401,2.773281,2.642214,1.86995,1.675069,1.779006,1.730094,0.971587,0.644111,0.394969,0.463368,0.012085,0.226072,0.726266,0.116403,0.163404,0.545906,0.26543,0.454961,-0.189292,-0.766675,-0.999386,-0.953531,-0.582111,-0.522883,-1.201145,-0.982573,-0.963467,-0.637136,-0.305457,-0.141909,-0.449898,-1.192356,-1.493084,-1.622623,2
-0.336299,-0.311362,-0.175249,-0.276035,0.06726,0.176982,0.41866,0.70273,1.223491,1.461844,2.174618,2.472819,2.686651,3.350383,3.572112,3.569618,3.051558,2.875339,2.771852,2.063234,1.817608,1.80701,1.70373,1.168007,0.808503,0.644129,0.584073,0.101548,-0.165482,-0.171717,0.029439,0.101964,0.098431,-0.057423,-0.12309,0.148928,0.026322,0.21688,-0.038097,-0.581094,-0.784951,-0.852072,-1.056345,-0.902361,-0.890101,-0.768119,-0.879711,-0.883243,2
-0.680972,-0.608779,-0.347771,-0.54473,-0.485864,-0.056405,0.388974,0.939867,1.090178,1.211241,1.329343,1.916147,2.326355,2.634011,3.126409,3.122336,2.640675,2.41669,2.177155,1.412643,1.276771,1.485947,0.893219,0.64702,-0.153403,-0.123045,0.462279,0.044666,-0.03197,0.418592,0.171283,0.422295,-0.096389,-0.424037,-0.861641,-0.971968,-0.898664,-0.483273,-0.904958,-0.905328,-0.737987,-0.402194,-0.287054,-0.409968,-1.131535,-1.409202,-1.506941,-1.572841,2
-0.617622,-0.631201,-0.50188,-0.531301,-0.147866,0.418881,0.604779,1.338996,1.677169,2.359011,2.537796,2.950329,2.914119,2.655801,2.60375,2.445009,1.693981,1.521015,1.628027,0.99662,0.723754,0.519428,0.441836,0.013462,0.743152,0.174466,0.118211,0.122737,0.422438,0.12597,0.203886,-0.10713,-0.329237,-0.879496,-1.074123,-1.191481,-1.121325,-0.863331,-0.960321,-0.852662,-0.871413,-0.673553,-0.131054,0.10043,-0.017575,-1.177579,-1.317892,-1.373177,2
-0.630487,-0.593026,-0.449965,-0.512938,-0.160937,0.587631,0.772351,0.900557,1.354929,1.653968,2.27982,2.411901,2.826552,2.879514,2.522346,2.42934,2.262059,1.532544,1.384639,1.556442,1.561286,1.003574,0.761694,0.474603,0.093861,0.063182,0.834678,0.270184,0.136165,0.382566,0.091923,0.170397,-0.102485,-0.324343,-1.012844,-1.168177,-1.224368,-1.028345,-1.090995,-0.87495,-0.639206,-0.023043,0.269538,-0.003666,-0.900462,-1.143956,-1.305748,-1.370335,2
-0.500495,-0.492448,-0.37087,-0.442724,-0.078278,0.609514,0.784551,0.945506,1.455098,1.797988,2.524007,2.675763,2.993073,3.066365,3.022677,2.757965,2.69617,2.52027,1.726133,1.539024,1.647381,1.620076,1.022246,0.772767,0.582209,0.480463,-0.020794,0.435338,0.074054,0.008522,0.34049,0.088712,0.178961,-0.065632,-0.235496,-0.744801,-0.935072,-1.069296,-0.872702,-0.979334,-0.847697,-0.896845,-0.763483,-0.402486,-0.243831,-0.462556,-1.091715,-1.220765,2
-0.675406,-0.684519,-0.532431,-0.572653,-0.425592,-0.060141,0.412149,0.583719,2.350957,2.52347,2.87698,2.97722,2.947368,2.674615,2.620567,2.466594,1.6895,1.499704,1.618483,1.595859,0.977137,0.720096,0.528729,0.461483,0.019359,0.758746,0.140024,0.134368,0.427232,0.127769,0.216068,-0.090307,-0.286074,-0.940932,-1.13607,-1.09899,-0.932448,-0.99498,-0.903853,-0.937161,-0.694889,-0.047886,0.100745,-0.006093,-0.961986,-1.151781,-1.285016,-1.333407,2
-0.860863,-0.748898,-0.210233,0.035244,0.136821,0.930581,1.920954,2.043308,2.446922,2.235304,2.248385,2.127186,1.43885,1.289178,1.45424,0.828235,0.464252,0.331125,0.313811,0.018315,0.147594,1.31034,1.441928,1.298027,0.696262,0.358443,0.333433,0.592762,0.195689,0.328431,0.276104,-0.194458,-1.198298,-1.370286,-1.29949,-0.848166,-0.730044,-0.759286,-0.601534,-0.375295,0.677409,0.896338,0.903263,0.685874,-0.780063,-1.30757,-1.538811,-1.631538,2
-0.664675,-0.626403,-0.428079,-0.491657,-0.171872,0.122608,0.690059,0.973785,1.363473,1.64625,2.278544,2.455042,2.901032,2.943101,2.862127,2.544872,2.415504,2.226353,1.48272,1.332475,1.502331,1.005099,0.786532,0.510714,0.020758,0.776411,0.824489,0.241855,0.112486,0.366479,0.071999,0.137791,-0.126957,-0.328443,-1.067648,-1.205874,-1.054996,-0.930055,-0.856989,-0.635575,0.085917,0.260201,0.162146,-0.056421,-0.901588,-1.126797,-1.282419,-1.341568,2
-0.432651,-0.439577,-0.309862,-0.37725,-0.043507,0.647419,0.803769,0.967311,1.474718,1.832965,2.587017,2.711671,3.032096,3.113867,3.071251,2.813951,2.753489,2.578493,1.767442,1.578064,1.671554,1.630802,1.026442,0.780064,0.585358,0.502255,-0.036049,0.047853,0.308615,-0.002488,-0.036848,0.2929,0.07369,0.166115,0.08168,-0.199857,-0.762133,-0.967226,-1.001053,-0.86974,-0.985605,-0.823927,-0.861217,-0.734698,-0.407348,-0.470474,-1.039142,-1.131567,2
-0.715636,-0.600555,-0.606732,0.263521,0.321711,0.619489,1.213745,1.580766,2.306681,2.389578,2.855425,2.837545,2.599583,2.601208,2.458171,1.672115,1.483891,1.606123,1.580116,0.939048,0.672478,0.459222,0.453696,0.072046,0.049615,0.88996,0.942949,0.211182,0.177373,0.478727,0.139989,0.181599,-0.17957,-0.326509,-0.994559,-1.106388,-1.193186,-1.186684,-0.966601,-0.873302,-0.637615,0.104879,0.266122,0.146165,-0.80731,-1.167179,-1.320944,-1.378809,2
-0.686323,-0.633303,0.179331,0.241528,0.540615,1.132672,2.170982,2.294355,2.744346,2.721235,2.475847,2.466331,2.325284,1.580964,1.397093,1.508571,0.880827,0.621845,0.416222,0.399908,0.051199,0.109317,1.083051,1.128254,0.556929,0.26158,0.237789,0.5277,0.171514,0.259201,0.205501,-0.118057,-0.364804,-0.943267,-1.144811,-1.237936,-1.238616,-0.984051,-1.047607,-0.848102,-0.415105,0.327855,0.50187,0.334992,-0.793043,-1.190014,-1.398695,-1.442539,2
