@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute target {1,2}

@data
-1.602294,-1.670823,-1.693666,-1.70366,-0.734257,-0.976964,0.46215,1.444402,1.622864,1.704242,1.718519,1.787048,1.741362,1.718519,1.718519,1.600021,-1.346737,-1.589444,-1.66654,-1.693666,-0.825629,-0.565789,-0.017555,0.20231,0.279405,0.265128,0.275122,0.293682,0.275122,-1.014084,-1.132583,-1.145432,2
1.084591,1.065308,1.084591,-0.593106,-0.207429,0.101114,0.197533,0.33252,0.390372,0.409656,1.065308,1.084591,1.046024,1.065308,-0.207429,-0.901648,-1.036636,-1.055919,-1.075203,-1.055919,-1.075203,-1.055919,-0.9595,-0.9595,-0.978784,-0.9595,-0.978784,0.949604,1.046024,1.084591,1.065308,1.065308,2
0.362689,0.393316,0.362689,0.852721,-0.402987,-0.433614,-0.37236,-0.402987,0.362689,0.362689,0.301434,0.393316,0.393316,10.898388,3.394765,-0.402987,-0.402987,-0.280479,-0.280479,-0.341733,-0.37236,-0.311106,-0.341733,-0.402987,-0.341733,-0.402987,-0.341733,-0.402987,-0.37236,-0.402987,0.393316,0.393316,2
-1.094523,-1.096732,0.707507,1.078513,0.992386,0.767133,0.453544,0.360793,0.208415,0.10683,0.051621,-0.937729,-1.094523,-1.096732,0.332084,0.82455,0.93276,0.981345,1.00122,0.968094,0.952636,0.961469,0.943802,0.921719,0.939386,0.957052,1.060846,1.029929,0.985761,-0.796394,-1.094523,-1.096732,2
-1.103761,-1.105914,0.775413,1.005735,0.740972,0.512802,0.304005,0.183462,0.077987,0.015563,-0.083454,-0.150183,-0.171708,-0.976761,-1.103761,-1.105914,-1.103761,-0.231979,0.400869,0.844294,0.898108,0.949769,1.012193,0.960532,0.951921,0.977752,1.063854,0.999278,0.986362,-1.06932,-1.103761,-1.103761,2
0.425021,0.456215,0.425021,2.04712,-0.510805,-0.541999,-0.448417,-0.510805,-0.510805,0.456215,0.425021,0.331438,0.456215,0.456215,10.220001,3.294888,-0.354834,-0.479611,-0.386028,-0.479611,-0.448417,-0.510805,-0.510805,-0.448417,-0.448417,-0.510805,-0.448417,-0.510805,-0.479611,-0.541999,0.425021,0.425021,2
1.059286,1.077864,1.040709,1.077864,1.059286,-0.185409,0.334762,0.446227,0.520538,0.557693,0.594848,1.077864,1.059286,1.077864,-0.111099,-0.798467,-0.835622,-0.947088,-1.00282,-0.984243,-1.021398,-1.058553,-1.07713,-1.058553,-1.07713,-1.058553,-1.07713,-0.947088,-0.92851,1.077864,1.059286,1.077864,2
1.132863,1.152678,-0.313656,0.280804,0.518588,0.657295,0.756372,0.796002,1.192308,1.152678,1.152678,1.132863,1.152678,1.132863,-0.174948,-0.828854,-0.828854,-0.8883,-0.908115,-0.947746,-0.947746,-0.987376,-0.987376,-1.007192,-0.987376,-1.007192,-0.809039,-0.789223,1.113047,1.152678,1.132863,1.132863,2
-1.249845,-1.249845,1.698229,1.698229,-1.202295,-1.249845,-1.251285,-0.448706,0.31785,0.539748,0.551275,0.585857,0.618998,0.617557,0.656461,0.653579,0.663665,0.665106,0.657902,0.659343,0.650697,0.634847,0.549835,0.521017,0.47779,0.425917,0.415831,0.410068,0.412949,-1.245522,-1.249845,-1.249845,2
-1.418664,-1.677686,-1.581524,-0.42847,0.967756,1.472531,1.733585,1.717543,1.934008,1.9638,1.989354,1.888853,2.067497,0.924506,-1.526102,-1.494687,-1.602616,-1.597797,-0.330669,0.122986,0.23618,0.446347,0.423901,0.497401,0.379619,0.593775,-1.153826,-0.95768,-1.073483,-1.001435,-1.009006,-1.067874,1
