@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute target {1,2}

@data
1.781622,1.174689,0.614408,0.238472,0.042804,-0.00566,0.06998,0.27516,0.464034,0.772936,1.84458,2.060177,1.562854,0.866693,0.387488,0.141997,0.029216,0.393376,0.361218,-0.156487,-0.32815,-0.504341,-0.574546,-0.38069,-0.358043,-0.44093,-0.251151,-0.243904,-0.366649,-0.283309,-0.493018,-0.54737,-0.30822,0.145621,0.506157,1.000309,2.857343,3.119592,3.098304,2.518547,2.100488,0.85854,0.004305,-0.800561,-1.220884,-1.522539,-1.782977,-1.918857,1
1.77975,1.170418,0.61092,0.235807,0.039642,-0.010644,0.066372,0.27658,0.470479,0.784432,1.876699,2.096421,1.590834,0.882287,0.393463,0.143841,0.027864,0.402523,0.369452,-0.159693,-0.335017,-0.508983,-0.583734,-0.384851,-0.431967,-0.358575,-0.442387,-0.247582,-0.22946,-0.354045,-0.272046,-0.489502,-0.549756,-0.28609,0.17057,0.527561,1.010496,2.848006,3.10533,3.089474,2.51276,0.850122,-0.010191,-0.808439,-1.223872,-1.521969,-1.78337,-1.91928,1
1.776492,1.166551,0.6088,0.281139,0.038796,-0.006586,0.072833,0.285223,0.479914,0.79623,1.89494,2.117315,1.607669,0.893349,0.400495,0.149076,0.031535,0.411387,0.380526,-0.154533,-0.331071,-0.509878,-0.584759,-0.385076,-0.432274,-0.356939,-0.441351,-0.244391,-0.225784,-0.351947,-0.268897,-0.48991,-0.550722,-0.287958,0.16859,0.524843,1.00862,2.841166,3.099846,3.083962,2.510781,0.846605,-0.014755,-0.812579,-1.227375,-1.525085,-1.786488,-1.922635,1
1.77408,1.066788,0.46786,0.158504,-0.020905,0.002027,0.23989,0.4175,0.705722,1.716975,1.931906,1.465623,0.802396,0.346006,0.111741,0.001128,0.340161,0.309135,-0.17873,-0.336556,-0.507421,-0.576217,-0.396808,-0.437276,-0.367132,-0.444021,-0.266411,-0.244828,-0.363535,-0.283947,-0.481342,-0.532601,-0.261015,0.206616,0.567681,1.052399,2.890999,3.140553,3.122567,2.529934,2.108167,0.856803,-0.006966,-0.805536,-1.216062,-1.510131,-1.769126,-1.904919,1
1.776502,1.06923,0.47025,0.1602,-0.020887,0.00203,0.237038,0.414081,0.700765,1.708651,1.919844,1.455668,0.797824,0.342635,0.109424,-0.001116,0.337243,0.307137,-0.179507,-0.337677,-0.506631,-0.574932,-0.39744,-0.436983,-0.368232,-0.445071,-0.267579,-0.246909,-0.364638,-0.285103,-0.481019,-0.531346,-0.25949,0.209179,0.568207,1.05485,2.888637,3.142518,3.125892,2.530058,2.10857,0.856688,-0.007856,-0.805897,-1.216151,-1.508676,-1.768399,-1.903652,1
1.776937,0.97174,0.405951,0.093018,-0.020857,0.045944,0.235138,0.410883,0.696467,1.700721,1.913677,1.451451,0.791513,0.337805,0.106917,-0.00382,0.33377,0.303284,-0.182703,-0.340963,-0.506844,-0.575886,-0.398349,-0.43825,-0.370104,-0.447216,-0.26923,-0.248607,-0.366069,-0.286267,-0.481289,-0.52926,-0.257125,0.208687,0.567349,1.052439,2.890582,3.150164,3.134921,2.535058,2.113631,0.860107,-0.005614,-0.804533,-1.213856,-1.506166,-1.763954,-1.899349,1
1.65842,1.189757,0.569047,0.225152,0.050745,0.021678,0.110223,0.345896,0.556973,0.893713,2.022439,2.24246,1.720581,0.988519,0.478266,0.213525,0.09144,0.473794,0.430416,-0.121873,-0.305671,-0.497519,-0.570412,-0.479184,-0.375434,-0.356651,-0.445197,-0.241275,-0.225623,-0.367384,-0.281969,-0.529717,-0.567281,-0.33295,0.129899,0.492129,0.987177,2.887766,3.14401,3.128358,2.595299,2.498257,0.786385,-0.06016,-0.830234,-1.516234,-1.766218,-1.895011,1
1.656518,1.089801,0.568296,0.224057,0.051267,0.019932,0.110356,0.345369,0.556657,0.892838,2.020453,2.238903,1.718293,0.987738,0.477872,0.213762,0.091107,0.471157,0.429526,-0.121972,-0.30461,-0.497545,-0.570959,-0.487249,-0.373995,-0.355194,-0.44338,-0.239702,-0.225377,-0.365938,-0.282228,-0.529775,-0.567825,-0.332812,0.130947,0.494434,0.988186,2.888435,3.143144,3.125239,2.59478,2.495403,0.784508,-0.06154,-0.832383,-1.517278,-1.767959,-1.896433,1
1.660256,1.190237,0.569955,0.268982,0.051638,0.019886,0.110669,0.343666,0.554303,0.888369,2.015788,2.232686,1.71079,0.980942,0.473805,0.211739,0.090992,0.46978,0.4264,-0.123669,-0.30479,-0.49709,-0.570433,-0.375002,-0.356219,-0.443872,-0.241733,-0.226975,-0.367399,-0.283323,-0.507376,-0.58206,-0.333411,0.131241,0.494376,0.988545,2.892322,3.144996,3.128449,2.592243,2.492515,2.064534,0.783275,-0.061507,-0.831157,-1.515837,-1.766722,-1.895519,1
1.716077,1.129,0.591782,0.232439,0.046928,0.003807,0.083311,0.296222,0.491615,0.80604,1.882273,2.096532,1.598392,0.899919,0.417051,0.169104,0.055911,0.426933,0.391448,-0.12915,-0.303432,-0.494333,-0.579677,-0.382937,-0.43055,-0.362724,-0.44672,-0.253124,-0.23336,-0.37036,-0.290855,-0.503766,-0.5671,-0.300288,0.163714,0.524854,1.018502,2.88529,3.14222,3.119312,2.509776,0.815922,-0.037069,-0.815496,-1.219308,-1.514419,-1.771349,-1.902958,1
