@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute target {1,2,3,4,5,6}

@data
0.058152,0.035738,-0.02771,-0.074829,-0.115144,-0.126036,-0.141076,-0.13689,-0.05482,-0.002537,0.050557,0.08866,0.133488,0.134783,0.106726,0.070936,1
0.041131,0.027113,0.029265,-0.015616,-0.050804,-0.05209,-0.07938,-0.087958,-0.083649,-0.049759,-0.02766,0.029686,0.061425,0.089676,0.092444,0.076174,1
0.054626,0.010372,-0.038506,-0.070735,-0.070117,-0.077764,-0.105117,-0.097225,-0.055807,-0.042187,0.020013,0.072155,0.097733,0.102981,0.102798,0.09678,1
0.077344,0.024714,-0.032334,-0.072222,-0.107104,-0.132876,-0.142672,-0.109666,-0.057888,-0.007811,0.043779,0.082404,0.107859,0.118919,0.115486,0.092069,1
0.031881,0.008451,-0.016539,-0.034708,-0.053363,-0.072499,-0.093762,-0.057985,-0.023162,0.005682,0.013434,0.052777,0.067388,0.072178,0.062652,0.037577,1
0.083861,0.073237,0.036112,-0.021172,-0.056342,-0.099302,-0.110035,-0.131689,-0.095077,-0.067009,-0.031107,0.009335,0.071444,0.10431,0.123609,0.109826,1
0.030266,0.010955,-0.053987,-0.046753,-0.050955,-0.067575,-0.052028,-0.030007,-0.001305,0.030634,0.039279,0.033059,0.048015,0.067702,0.040391,0.002308,6
0.086561,0.03498,-0.122475,-0.150126,-0.16731,-0.151205,-0.085866,-0.025662,0.033059,0.092315,0.106187,0.091608,0.093912,0.091357,0.057886,0.014779,6
0.068982,0.049405,-0.075606,-0.081134,-0.090457,-0.101509,-0.090497,-0.047522,0.022232,0.033646,0.065948,0.072358,0.058976,0.067619,0.044739,0.002818,6
0.065613,0.030498,-0.060143,-0.053186,-0.08081,-0.087774,-0.080623,-0.046185,0.00785,0.049267,0.055487,0.036713,0.050127,0.065989,0.045212,0.001965,6
0.072377,0.019554,-0.129599,-0.184464,-0.191916,-0.165079,-0.126431,-0.032807,0.060401,0.113995,0.113774,0.107821,0.124745,0.117641,0.077798,0.022191,6
0.075333,0.06176,0.049585,-0.016975,-0.059702,-0.097875,-0.097875,-0.131513,-0.11455,-0.072077,-0.006243,0.031051,0.058429,0.102414,0.111486,0.106752,1
0.03719,0.0159,-0.073895,-0.090153,-0.105084,-0.099131,-0.074031,-0.039715,-0.001908,0.050103,0.080394,0.078484,0.081343,0.075476,0.062703,0.002325,6
0.055086,0.017305,-0.070796,-0.07148,-0.11167,-0.125753,-0.110214,-0.045981,0.007813,0.049253,0.091389,0.086284,0.067034,0.083834,0.066895,0.010998,6
0.055736,0.035599,-0.042824,-0.01759,-0.026259,-0.040738,-0.036972,-0.018987,0.006579,0.021823,0.037002,0.003263,-0.012057,0.01131,0.022261,0.001853,6
0.030794,0.002205,-0.090862,-0.095568,-0.121139,-0.103023,-0.071113,-0.020587,0.029306,0.064847,0.083517,0.095601,0.087457,0.067089,0.043363,-0.001888,6
0.035457,0.0162,-0.087706,-0.0982,-0.12232,-0.109114,-0.080649,-0.017399,0.041321,0.080586,0.085136,0.081476,0.091125,0.069536,0.029288,-0.014737,6
0.064251,0.000997,-0.022014,-0.120192,-0.187319,-0.243894,-0.282965,-0.252839,-0.106218,0.033906,0.085388,0.129345,0.193839,0.258203,0.252731,0.196783,4
0.020283,0.01728,0.125499,0.122952,0.06686,-0.009389,-0.069213,-0.101547,-0.128868,-0.115702,-0.128715,-0.099904,-0.045838,0.070165,0.139587,0.136551,4
0.039383,0.025156,-0.037047,-0.024554,-0.036876,-0.040371,-0.039342,-0.04832,-0.012385,0.013462,0.046044,0.014744,0.019837,0.046715,0.028918,0.004635,6
0.048945,0.026697,-0.054837,-0.057136,-0.082039,-0.092417,-0.067705,-0.03345,0.004531,0.043634,0.064109,0.051009,0.038771,0.052937,0.051946,0.005003,6
0.059159,0.043203,-0.079417,-0.0949,-0.107873,-0.110797,-0.094962,-0.043135,0.018489,0.068858,0.081201,0.067891,0.071457,0.071836,0.04674,0.002248,6
0.041962,0.026059,-0.043653,-0.068375,-0.086293,-0.093391,-0.075831,-0.03682,0.004222,0.029907,0.062389,0.054954,0.049477,0.062937,0.060875,0.011583,6
0.052209,0.038041,-0.074819,-0.078738,-0.103361,-0.117305,-0.093941,-0.051669,0.017947,0.070054,0.087032,0.069237,0.079024,0.077132,0.046356,-0.017198,6
0.05023,0.035804,0.061436,0.027552,-0.049044,-0.090966,-0.121111,-0.120521,-0.131936,-0.098766,-0.066112,-0.021012,0.039843,0.131853,0.17894,0.173811,4
0.033958,0.009558,-0.08299,-0.089497,-0.107982,-0.123731,-0.095405,-0.038015,0.031702,0.08437,0.076995,0.080356,0.095693,0.086657,0.043494,-0.005162,6
0.067132,0.030671,-0.079926,-0.109309,-0.129969,-0.135525,-0.100937,-0.044895,0.024467,0.080432,0.093637,0.082427,0.076131,0.078264,0.05189,0.015511,6
0.013867,-0.014399,0.078922,0.051513,-0.012978,-0.074899,-0.122967,-0.138169,-0.11065,-0.096541,-0.054702,-0.006485,0.060773,0.133129,0.142655,0.150932,4
0.033169,-0.01647,0.020215,-0.039233,-0.084222,-0.124495,-0.170082,-0.165225,-0.13112,-0.070911,-0.014875,0.044223,0.111238,0.195846,0.223283,0.18866,4
0.071766,0.036079,-0.059576,-0.080023,-0.10136,-0.109945,-0.08629,-0.050332,0.002592,0.050501,0.075165,0.058257,0.063173,0.071068,0.053405,0.00552,6
0.043487,0.006049,-0.082838,-0.092851,-0.122795,-0.116991,-0.077964,-0.036583,0.01608,0.070271,0.08353,0.076817,0.088602,0.088151,0.053338,0.003696,6
0.053893,-0.016308,0.050893,-0.004755,-0.075312,-0.148241,-0.189239,-0.190052,-0.183013,-0.110383,-0.016531,0.036678,0.108127,0.206208,0.24758,0.230456,4
0.038153,0.025675,-0.052244,-0.035043,-0.046141,-0.058094,-0.05228,-0.030279,0.005582,0.042669,0.041514,0.013861,0.030257,0.047946,0.031507,-0.003083,6
0.045539,0.021363,-0.067795,-0.076981,-0.096252,-0.099722,-0.076984,-0.045863,0.021842,0.061231,0.073083,0.07046,0.077091,0.068661,0.03564,-0.011311,6
0.016523,-0.013811,-0.083911,-0.073279,-0.066152,-0.079379,-0.078781,-0.057779,0.007805,0.067831,0.092899,0.076228,0.080383,0.078981,0.040696,-0.008254,6
0.035964,0.012762,0.03531,-0.024316,-0.084092,-0.121308,-0.144107,-0.141243,-0.110643,-0.040455,-0.002082,0.027075,0.087032,0.146406,0.167767,0.155932,3
0.064345,0.029663,0.039817,-0.015597,-0.102478,-0.136913,-0.181664,-0.178406,-0.11748,-0.056241,-0.016966,0.02525,0.087707,0.171445,0.197306,0.190211,3
0.02627,0.006122,-0.069491,-0.091791,-0.108618,-0.119508,-0.103375,-0.051999,0.019704,0.07569,0.087301,0.08002,0.096106,0.104125,0.048685,0.000757,6
0.024562,0.002018,-0.055225,-0.04995,-0.074812,-0.085013,-0.071478,-0.020588,-0.001886,0.026096,0.053175,0.064054,0.085889,0.076553,0.039277,-0.012671,6
0.064627,0.021966,0.092987,0.019928,-0.045422,-0.10423,-0.150429,-0.188908,-0.174502,-0.129734,-0.045214,0.005941,0.072312,0.144433,0.20091,0.215336,3
0.044257,0.015694,-0.054089,-0.032349,-0.0532,-0.069149,-0.069562,-0.051163,-0.000148,0.035523,0.05735,0.034825,0.036765,0.056208,0.041568,0.007469,5
0.05801,0.028178,-0.058021,-0.061652,-0.090812,-0.101839,-0.079705,-0.034476,0.005484,0.067979,0.062134,0.044403,0.049,0.072727,0.044101,-0.005509,6
0.027141,0.019811,-0.068665,-0.063737,-0.072103,-0.096764,-0.080963,-0.037389,0.004429,0.0456,0.067339,0.058406,0.064997,0.085716,0.04615,0.000031,6
0.034976,0.025125,-0.054275,-0.056092,-0.076999,-0.091296,-0.07012,-0.038183,0.002845,0.031989,0.064353,0.067722,0.075201,0.062219,0.030304,-0.007769,6
0.032983,-0.000452,0.032205,-0.026709,-0.076964,-0.11815,-0.151966,-0.153746,-0.121011,-0.059068,-0.013261,0.044749,0.096804,0.173328,0.186125,0.155133,3
0.032415,-0.038108,0.004681,-0.072863,-0.152777,-0.196008,-0.206368,-0.161478,-0.087338,-0.021597,0.025697,0.079375,0.161576,0.226186,0.225346,0.181262,3
0.037907,-0.002229,-0.102358,-0.127786,-0.14387,-0.138036,-0.099299,-0.02359,0.035824,0.088812,0.111675,0.106124,0.116419,0.093336,0.045072,0.001999,5
0.093962,0.056971,-0.076957,-0.113408,-0.149587,-0.146672,-0.120636,-0.0531,0.008036,0.063247,0.089241,0.073009,0.081074,0.096301,0.072406,0.026111,6
0.021691,0.000415,-0.088051,-0.118214,-0.128531,-0.12939,-0.092097,-0.028067,0.03512,0.069392,0.107508,0.110889,0.111338,0.088484,0.043391,-0.003879,6
0.037058,-0.017141,0.018708,-0.026498,-0.07187,-0.147032,-0.18894,-0.173054,-0.123937,-0.057283,0.010633,0.063364,0.129131,0.197282,0.190278,0.159301,3
0.023775,-0.009082,-0.057165,-0.039651,-0.037441,-0.045444,-0.048665,-0.032616,-0.006583,0.022926,0.056507,0.05805,0.043345,0.063666,0.02787,-0.019493,6
0.021295,0.012559,-0.057671,-0.057983,-0.079883,-0.076669,-0.050445,-0.034453,0.002291,0.036702,0.066975,0.067269,0.069154,0.065625,0.032877,-0.017643,6
0.063849,0.052573,-0.032096,-0.044471,-0.079138,-0.096032,-0.090776,-0.061074,-0.005749,0.034401,0.062469,0.040014,0.025674,0.044019,0.059074,0.027264,6
0.032719,0.011802,-0.053301,-0.052978,-0.077478,-0.084976,-0.062913,-0.037697,-0.001333,0.03514,0.065533,0.065951,0.075412,0.066896,0.033485,-0.016263,6
0.025744,-0.005705,-0.019525,-0.058626,-0.091872,-0.130292,-0.149997,-0.124762,-0.075003,-0.020795,0.023074,0.063985,0.113228,0.157723,0.164426,0.128397,2
0.067714,0.016102,-0.026417,-0.072427,-0.109816,-0.126793,-0.134683,-0.126819,-0.06779,-0.012908,0.039443,0.073675,0.105335,0.125008,0.130097,0.120278,2
0.062128,0.040643,-0.056268,-0.044424,-0.07497,-0.094456,-0.08866,-0.056055,0.002639,0.046626,0.069231,0.05186,0.033899,0.050166,0.049046,0.008597,6
0.036972,0.020289,-0.057148,-0.047796,-0.067476,-0.082462,-0.059638,-0.023109,0.007231,0.038314,0.052411,0.030244,0.045598,0.066037,0.05003,-0.009495,6
0.019136,-0.054982,-0.041458,-0.091268,-0.142642,-0.192782,-0.187272,-0.133558,-0.068748,-0.014239,0.05431,0.099152,0.163205,0.217228,0.212733,0.161186,3
0.041953,0.026485,-0.064458,-0.066254,-0.086133,-0.100265,-0.098611,-0.055182,0.012835,0.046439,0.081381,0.068047,0.062054,0.076459,0.055034,0.000214,6
0.026982,0.002791,0.034863,-0.022801,-0.087912,-0.108993,-0.126783,-0.102656,-0.08027,-0.059103,-0.00826,0.031736,0.080323,0.122268,0.149544,0.14827,3
0.032725,0.006669,-0.087997,-0.09928,-0.130482,-0.132022,-0.102173,-0.02971,0.033769,0.085377,0.10303,0.094372,0.104497,0.0809,0.047682,-0.007356,6
0.021059,-0.055757,-0.051286,-0.084315,-0.126337,-0.163164,-0.168916,-0.14757,-0.118801,-0.044622,0.030437,0.106056,0.173552,0.216439,0.23181,0.181415,3
0.053836,0.011006,-0.082044,-0.107911,-0.138663,-0.129768,-0.089894,-0.04276,0.011297,0.070463,0.09605,0.082055,0.095154,0.097076,0.059623,0.014481,6
0.041422,0.000682,-0.072782,-0.081749,-0.107374,-0.113729,-0.100469,-0.049154,0.02108,0.071812,0.087631,0.064026,0.068683,0.079054,0.071658,0.019211,6
0.039195,0.025575,0.053247,0.018986,-0.024523,-0.081412,-0.103473,-0.130792,-0.104531,-0.086587,-0.036211,0.012367,0.04922,0.109351,0.138926,0.120661,2
0.019324,0.006098,-0.05808,-0.059945,-0.092473,-0.096391,-0.084715,-0.047432,0.015153,0.060372,0.089326,0.073045,0.062784,0.069974,0.038372,0.004588,5
0.028198,-0.042393,-0.027868,-0.10338,-0.132349,-0.171297,-0.165921,-0.120046,-0.081151,-0.031694,0.018539,0.08043,0.150976,0.21021,0.205609,0.182137,2
0.072167,0.034607,-0.076565,-0.104842,-0.141293,-0.129299,-0.116072,-0.066598,0.014149,0.070703,0.102288,0.087469,0.084145,0.087325,0.065479,0.016338,6
0.074227,0.023685,0.024212,-0.006111,-0.047466,-0.080301,-0.127633,-0.147205,-0.114515,-0.11052,-0.050619,0.015535,0.076199,0.143196,0.176483,0.150832,2
0.067066,0.062955,0.08468,0.023239,-0.005952,-0.06298,-0.109361,-0.144801,-0.162301,-0.137049,-0.080594,-0.00523,0.050844,0.125181,0.150511,0.143792,2
0.079724,0.059358,-0.050076,-0.061495,-0.079337,-0.085418,-0.056481,-0.045972,-0.009308,0.022399,0.039242,0.048836,0.026609,0.044001,0.046871,0.021047,6
0.047277,0.027957,-0.066718,-0.065417,-0.079018,-0.102217,-0.104666,-0.038712,-0.007558,0.021167,0.062327,0.08032,0.074325,0.082932,0.061254,0.006747,6
0.068674,0.031882,-0.086273,-0.105399,-0.122835,-0.09844,-0.087042,-0.032629,0.005982,0.04622,0.08536,0.077926,0.074579,0.073464,0.055627,0.012903,6
0.045125,0.005876,-0.034103,-0.067634,-0.08353,-0.101148,-0.121295,-0.098318,-0.045617,-0.021805,0.022399,0.067715,0.105737,0.109646,0.114874,0.102079,1
0.061087,0.030421,-0.075947,-0.121001,-0.148874,-0.147143,-0.106606,-0.040722,0.034664,0.087979,0.090462,0.087554,0.102985,0.092681,0.050373,0.002086,6
0.037683,0.016773,-0.080682,-0.082402,-0.099676,-0.099541,-0.069657,-0.034969,0.017702,0.054563,0.085375,0.08436,0.08221,0.07336,0.034634,-0.019732,6
0.033215,0.024408,0.054757,0.006919,-0.059124,-0.092997,-0.114155,-0.099254,-0.104349,-0.083236,-0.036772,0.017212,0.061539,0.115389,0.146978,0.129469,3
0.023759,-0.002334,-0.084891,-0.10143,-0.118782,-0.106915,-0.074277,-0.024898,0.012116,0.064766,0.084043,0.092974,0.112152,0.087916,0.032313,0.003487,6
0.057422,0.019675,0.02882,-0.011838,-0.038864,-0.058298,-0.086605,-0.081536,-0.091299,-0.104234,-0.053404,0.003207,0.078608,0.116474,0.110088,0.111784,2
