@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute target {1,2,3,4}

@data
-0.038056,-0.049206,-0.060219,-0.071103,-0.081869,-0.092429,-0.102855,-0.112968,-0.122825,-0.132395,-0.141607,-0.150436,-0.15901,-0.16727,-0.175168,-0.182791,-0.190017,-0.196841,-0.20331,-0.209504,-0.215294,-0.220674,-0.225644,-0.230224,-0.234483,-0.238365,-0.241855,-0.244957,-0.247718,-0.250062,-0.252016,-0.253621,-0.254864,-0.255687,-0.256186,-0.256324,-0.256058,-0.255426,-0.254428,-0.253044,-0.25126,-0.249097,-0.246589,-0.243724,-0.24046,-0.236786,-0.232786,-0.228394,-0.223612,-0.218438,-0.212854,-0.206955,-0.200691,-0.194023,-0.186961,-0.179642,-0.171961,-0.163884,-0.155441,-0.146762,-0.137718,-0.128302,-0.118521,-0.108411,-0.098305,-0.087913,-0.07716,-0.066265,2
-0.149396,-0.157777,-0.165979,-0.174013,-0.181976,-0.189834,-0.197384,-0.204593,-0.21146,-0.218018,-0.224354,-0.230412,-0.236107,-0.241415,-0.246336,-0.250869,-0.255012,-0.258766,-0.262177,-0.265289,-0.268026,-0.270367,-0.272313,-0.273863,-0.275017,-0.275774,-0.276134,-0.276097,-0.275663,-0.274841,-0.273716,-0.272309,-0.270534,-0.268362,-0.265793,-0.262829,-0.259468,-0.255712,-0.251598,-0.24718,-0.242401,-0.237232,-0.23168,-0.225793,-0.219569,-0.213054,-0.206307,-0.199252,-0.191851,-0.184105,-0.176037,-0.16784,-0.159574,-0.15117,-0.142629,-0.133949,-0.125133,-0.116217,-0.107321,-0.09837,-0.089288,-0.080078,-0.070738,-0.061273,-0.051682,-0.041969,-0.032236,-0.022585,3
-0.061601,-0.072174,-0.082698,-0.093275,-0.103717,-0.113832,-0.123631,-0.133254,-0.142603,-0.151605,-0.160259,-0.168678,-0.176835,-0.184627,-0.192052,-0.199134,-0.205875,-0.212383,-0.218573,-0.224409,-0.229903,-0.235059,-0.23988,-0.244349,-0.248511,-0.252405,-0.25597,-0.259206,-0.262058,-0.264563,-0.266739,-0.268531,-0.269939,-0.270962,-0.271601,-0.271915,-0.271893,-0.271544,-0.270862,-0.269795,-0.268401,-0.266661,-0.264535,-0.262082,-0.259271,-0.25608,-0.252556,-0.248696,-0.244579,-0.240183,-0.235444,-0.230359,-0.224926,-0.219141,-0.212993,-0.206539,-0.199833,-0.192768,-0.185335,-0.177551,-0.169409,-0.161018,-0.152355,-0.143347,-0.134001,-0.12439,-0.114589,-0.104657,4
-0.115003,-0.123867,-0.132562,-0.141097,-0.1495,-0.157774,-0.165803,-0.173686,-0.181376,-0.188714,-0.195944,-0.203143,-0.210012,-0.216521,-0.222631,-0.228369,-0.233762,-0.238761,-0.243409,-0.247758,-0.251752,-0.255403,-0.258659,-0.261507,-0.263947,-0.265978,-0.267607,-0.268911,-0.269856,-0.270388,-0.270509,-0.270218,-0.269514,-0.268398,-0.26687,-0.264961,-0.262731,-0.260121,-0.257104,-0.253679,-0.249885,-0.245749,-0.241211,-0.236279,-0.231101,-0.225627,-0.219753,-0.21352,-0.206936,-0.199996,-0.192725,-0.185228,-0.177618,-0.169836,-0.161694,-0.153315,-0.144948,-0.136523,-0.127962,-0.119263,-0.110427,-0.101456,-0.092424,-0.083436,-0.074367,-0.06517,-0.055851,-0.046418,3
-0.105521,-0.114546,-0.123503,-0.132329,-0.140877,-0.149127,-0.157201,-0.165035,-0.17256,-0.179778,-0.186689,-0.193278,-0.199547,-0.205531,-0.211227,-0.216598,-0.221643,-0.226361,-0.230751,-0.234814,-0.238551,-0.242016,-0.245151,-0.247954,-0.250427,-0.252569,-0.254413,-0.255941,-0.257137,-0.257999,-0.258529,-0.258744,-0.258687,-0.258297,-0.257574,-0.256518,-0.255129,-0.25344,-0.251432,-0.249092,-0.246421,-0.243442,-0.240163,-0.236554,-0.232616,-0.228348,-0.22376,-0.21889,-0.213673,-0.20813,-0.202263,-0.196074,-0.189649,-0.182922,-0.1759,-0.168581,-0.160964,-0.153048,-0.144831,-0.136313,-0.127585,-0.118725,-0.109732,-0.100606,-0.091348,-0.081957,-0.072436,-0.062788,3
-0.052854,-0.063917,-0.074968,-0.085887,-0.096533,-0.106838,-0.116904,-0.126684,-0.1361,-0.1452,-0.154049,-0.162523,-0.17062,-0.178424,-0.185892,-0.192976,-0.199726,-0.206181,-0.212245,-0.217916,-0.223264,-0.228258,-0.232884,-0.237113,-0.240954,-0.244502,-0.247666,-0.250429,-0.252836,-0.25488,-0.256564,-0.257849,-0.258731,-0.2593,-0.259502,-0.259335,-0.258789,-0.25784,-0.256554,-0.254918,-0.25288,-0.250473,-0.247737,-0.244616,-0.241097,-0.237255,-0.233028,-0.228436,-0.223498,-0.218219,-0.212548,-0.206495,-0.20007,-0.193347,-0.186264,-0.178797,-0.170946,-0.162742,-0.154277,-0.145451,-0.136254,-0.126805,-0.117057,-0.106958,-0.096507,-0.085722,-0.074807,-0.063763,2
-0.070553,-0.080934,-0.091198,-0.101343,-0.111453,-0.121317,-0.130851,-0.140048,-0.149003,-0.157703,-0.166059,-0.174067,-0.181791,-0.189271,-0.196392,-0.203151,-0.209561,-0.215633,-0.22147,-0.226998,-0.232184,-0.237032,-0.241529,-0.245648,-0.249431,-0.252882,-0.255997,-0.258767,-0.261287,-0.263459,-0.265249,-0.266658,-0.267685,-0.268329,-0.268591,-0.26847,-0.267967,-0.267081,-0.265811,-0.264159,-0.262217,-0.259993,-0.257401,-0.254488,-0.251202,-0.247558,-0.243586,-0.23928,-0.234644,-0.229762,-0.224568,-0.219029,-0.213126,-0.206852,-0.200292,-0.193455,-0.186246,-0.17867,-0.170804,-0.1627,-0.154237,-0.145417,-0.136299,-0.126986,-0.117357,-0.107477,-0.097399,-0.087191,4
-0.109571,-0.118683,-0.127693,-0.136659,-0.145416,-0.153866,-0.162009,-0.169848,-0.177388,-0.184713,-0.191752,-0.198459,-0.204832,-0.21087,-0.216641,-0.222098,-0.227216,-0.231995,-0.236434,-0.240582,-0.244415,-0.247905,-0.251052,-0.253855,-0.256314,-0.258452,-0.260259,-0.261699,-0.262794,-0.263542,-0.263943,-0.263998,-0.263706,-0.2631,-0.262209,-0.260979,-0.259404,-0.257483,-0.255192,-0.252533,-0.249565,-0.246285,-0.242662,-0.238695,-0.234387,-0.229771,-0.22486,-0.21961,-0.214021,-0.208094,-0.201863,-0.195386,-0.188587,-0.181463,-0.174033,-0.166324,-0.158392,-0.150152,-0.141602,-0.132742,-0.123739,-0.114602,-0.10544,-0.096187,-0.086806,-0.077296,-0.067659,-0.057903,3
-0.066319,-0.076503,-0.086568,-0.096622,-0.106639,-0.116336,-0.125711,-0.134824,-0.143735,-0.152316,-0.160555,-0.16848,-0.176181,-0.183558,-0.190587,-0.197255,-0.203585,-0.209654,-0.215467,-0.220945,-0.226091,-0.230906,-0.235392,-0.239506,-0.243344,-0.246909,-0.2501,-0.252962,-0.255479,-0.257619,-0.259383,-0.260771,-0.261781,-0.262414,-0.26267,-0.262581,-0.262178,-0.261399,-0.260293,-0.258858,-0.257045,-0.254912,-0.25243,-0.249579,-0.246405,-0.242867,-0.238968,-0.234742,-0.230182,-0.225335,-0.220235,-0.214795,-0.209013,-0.202878,-0.196371,-0.189623,-0.182571,-0.175159,-0.167405,-0.159389,-0.151102,-0.142461,-0.133487,-0.124257,-0.114817,-0.105049,-0.094952,-0.084783,4
-0.123194,-0.132141,-0.140919,-0.149453,-0.157756,-0.16577,-0.173491,-0.181075,-0.188412,-0.195425,-0.202118,-0.208478,-0.21447,-0.220045,-0.225257,-0.230118,-0.234625,-0.238779,-0.242578,-0.246022,-0.24911,-0.251841,-0.254215,-0.256232,-0.257891,-0.259191,-0.260133,-0.260732,-0.261023,-0.260969,-0.260557,-0.259786,-0.258595,-0.256997,-0.2551,-0.25291,-0.250435,-0.247628,-0.244475,-0.241049,-0.237356,-0.233417,-0.229201,-0.224686,-0.219926,-0.21498,-0.209841,-0.204412,-0.198744,-0.192898,-0.186775,-0.180388,-0.173834,-0.167029,-0.16001,-0.152885,-0.145652,-0.138311,-0.130863,-0.123343,-0.115868,-0.108347,-0.100724,-0.093003,-0.085182,-0.077264,-0.069252,-0.061149,1
