@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute target {1,2,3,4,5}

@data
-0.005599,-0.006322,0.01654,0.047507,0.083428,0.119261,0.147493,0.16463,0.177751,0.186183,0.187581,0.187582,0.188446,0.189809,0.190269,0.192087,0.193664,0.198187,0.208364,0.219329,0.229937,0.23915,0.245038,0.250237,0.255261,0.267513,0.272933,1
0.057592,0.059946,0.08796,0.118219,0.150927,0.179415,0.201354,0.208764,0.210169,0.210543,0.203577,0.195623,0.18653,0.177215,0.16951,0.162883,0.161005,0.163975,0.168257,0.172457,0.178141,0.184082,0.18858,0.191823,0.1985,0.208286,0.195287,1
0.017424,0.020919,0.039318,0.069838,0.10717,0.139971,0.165262,0.176547,0.186484,0.194081,0.193731,0.191395,0.191679,0.191847,0.193418,0.19654,0.205251,0.220022,0.229361,0.237001,0.244105,0.246871,0.244343,0.243393,0.250273,0.262531,0.263654,1
-0.009384,-0.01656,-0.003809,0.024382,0.059234,0.093565,0.123751,0.146277,0.157078,0.164815,0.169813,0.167484,0.164939,0.164041,0.161117,0.160613,0.164354,0.170211,0.174665,0.180351,0.18721,0.196176,0.206687,0.217778,0.228548,0.243289,0.24328,1
-0.080459,-0.088566,-0.082677,-0.063933,-0.031002,0.005169,0.035724,0.056214,0.070528,0.083378,0.089327,0.090216,0.092445,0.094924,0.096244,0.098339,0.102921,0.113945,0.127208,0.140226,0.154757,0.171837,0.188021,0.20087,0.214813,0.234964,0.253958,1
-0.072085,-0.060315,-0.029824,0.007124,0.043711,0.071637,0.08922,0.101269,0.110839,0.114069,0.115641,0.117649,0.119075,0.121029,0.122053,0.125778,0.134707,0.148077,0.161061,0.172347,0.184044,0.195979,0.20625,0.219306,0.237574,0.255277,0.252523,1
-0.011936,-0.013772,0.006504,0.038472,0.073949,0.106521,0.13524,0.151404,0.158408,0.163732,0.165115,0.161071,0.158177,0.156049,0.154047,0.153925,0.157093,0.162919,0.1692,0.175723,0.184872,0.195054,0.206189,0.216648,0.228617,0.242822,0.238275,1
-0.050013,-0.056999,-0.046391,-0.02064,0.016338,0.0531,0.082299,0.099674,0.109896,0.119304,0.122324,0.121132,0.120716,0.120261,0.12033,0.124691,0.134355,0.145923,0.156542,0.170445,0.184776,0.195905,0.206193,0.219019,0.234145,0.246614,0.242014,1
-0.06837,-0.070384,-0.056715,-0.028629,0.011971,0.052058,0.082059,0.099892,0.112258,0.12342,0.125952,0.126737,0.128275,0.128667,0.130234,0.135105,0.146733,0.162414,0.180029,0.201107,0.224875,0.244035,0.255568,0.263817,0.268193,0.266159,0.248275,1
-0.329841,-0.321233,-0.30285,-0.276209,-0.242919,-0.209111,-0.176766,-0.148174,-0.125455,-0.105026,-0.086193,-0.070309,-0.054406,-0.036128,-0.014964,0.009419,0.033451,0.056631,0.080672,0.105875,0.131417,0.156545,0.179854,0.204182,0.22829,0.248644,0.262897,1
-0.055067,-0.058399,-0.032561,0.005678,0.043787,0.076646,0.095964,0.108986,0.120672,0.123611,0.122887,0.122744,0.122358,0.122075,0.122217,0.122694,0.124111,0.129666,0.141356,0.153553,0.165302,0.177597,0.18875,0.200003,0.210656,0.228593,0.232897,1
-0.145295,-0.144544,-0.123607,-0.091562,-0.051759,-0.01627,0.010945,0.028727,0.044845,0.058003,0.062748,0.067036,0.071252,0.076012,0.080544,0.086606,0.097204,0.114253,0.131559,0.148132,0.165547,0.182045,0.197002,0.211847,0.225324,0.243699,0.251996,1
-0.018391,-0.013056,0.011441,0.043165,0.076387,0.106666,0.130526,0.143397,0.153165,0.160818,0.161691,0.158854,0.157139,0.155423,0.154916,0.157629,0.165654,0.174073,0.183404,0.194161,0.203914,0.212516,0.219956,0.228535,0.241397,0.254208,0.247928,1
0.109127,0.076522,0.057175,0.048566,0.056954,0.074335,0.103673,0.126702,0.135491,0.131828,0.124015,0.105818,0.083139,0.063529,0.041477,0.020783,0.001342,-0.017529,-0.029765,-0.027846,-0.025616,-0.021863,-0.019858,-0.018152,-0.025654,-0.041349,-0.060128,1
-0.073478,-0.067742,-0.043529,-0.011155,0.026044,0.060449,0.089451,0.110224,0.12345,0.134143,0.140643,0.144283,0.147547,0.151482,0.15565,0.161883,0.171651,0.184359,0.197848,0.212124,0.229133,0.244964,0.258204,0.268042,0.279457,0.293219,0.293556,1
