@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute target {1,2}

@data
0.221971,0.220341,0.215549,0.206405,0.191534,0.171146,0.145993,0.11657,0.08291,0.046564,0.009823,-0.025603,-0.059512,-0.091684,-0.11991,2
0.219217,0.219024,0.217088,0.210293,0.197715,0.179872,0.155254,0.126385,0.093824,0.057817,0.019738,-0.017356,-0.052956,-0.088373,-0.121665,2
0.218797,0.216544,0.211708,0.202289,0.188176,0.168455,0.143337,0.115539,0.08357,0.048376,0.011658,-0.023135,-0.055936,-0.087371,-0.117309,1
0.218312,0.217125,0.214871,0.208515,0.19544,0.175777,0.150081,0.119884,0.085833,0.049355,0.01317,-0.021927,-0.056271,-0.090383,-0.122009,1
0.219531,0.218926,0.215554,0.208215,0.194672,0.175157,0.151477,0.12317,0.091594,0.056305,0.017768,-0.020346,-0.056412,-0.091076,-0.123737,1
0.212895,0.215188,0.213821,0.207317,0.194397,0.174361,0.147956,0.115753,0.079057,0.042096,0.005563,-0.029871,-0.063158,-0.094464,-0.122696,2
0.228342,0.224796,0.219095,0.210432,0.197242,0.178555,0.154254,0.124245,0.090071,0.053134,0.015126,-0.020791,-0.054358,-0.08686,-0.118894,1
0.212138,0.211317,0.210911,0.208535,0.203057,0.192947,0.175546,0.151053,0.119549,0.08108,0.037174,-0.005552,-0.046164,-0.084846,-0.12208,1
0.223908,0.219441,0.213945,0.205409,0.192567,0.175028,0.15261,0.124825,0.094948,0.060658,0.023274,-0.015426,-0.052923,-0.088774,-0.123976,1
0.221097,0.218525,0.213137,0.202909,0.187426,0.168013,0.144439,0.11659,0.084707,0.050372,0.015014,-0.018687,-0.052465,-0.084272,-0.113058,2
0.20363,0.209548,0.214329,0.214063,0.207196,0.19268,0.169384,0.137824,0.098812,0.054864,0.014707,-0.022527,-0.055268,-0.087223,-0.119798,1
0.225865,0.221031,0.2141,0.205587,0.19161,0.171779,0.145752,0.115384,0.081559,0.045522,0.008491,-0.0272,-0.060966,-0.094001,-0.128188,1
0.208365,0.210113,0.210544,0.205387,0.193181,0.173482,0.147584,0.114278,0.077753,0.0408,0.004128,-0.0292,-0.05871,-0.086113,-0.112092,1
0.200517,0.205062,0.206986,0.204791,0.195828,0.179276,0.155514,0.126527,0.091797,0.054026,0.014775,-0.02039,-0.052169,-0.082172,-0.11195,2
0.189142,0.197309,0.203159,0.203399,0.195752,0.180007,0.157783,0.129483,0.096853,0.060243,0.022755,-0.011699,-0.043134,-0.073032,-0.102775,2
0.216615,0.218399,0.218008,0.213769,0.203693,0.188189,0.166349,0.138883,0.105977,0.068287,0.027787,-0.012882,-0.052408,-0.090117,-0.127265,1
0.20338,0.207975,0.209097,0.205319,0.194469,0.17647,0.15181,0.123055,0.090039,0.054268,0.015694,-0.020901,-0.052961,-0.081897,-0.109133,2
0.207784,0.211909,0.211833,0.206394,0.194157,0.175726,0.150985,0.1218,0.089149,0.053554,0.015809,-0.020902,-0.053985,-0.084703,-0.114386,2
0.208248,0.211939,0.213497,0.208942,0.198485,0.18119,0.157182,0.127455,0.092571,0.052688,0.012178,-0.025085,-0.060346,-0.093567,-0.126989,1
0.216729,0.216736,0.214907,0.208783,0.197058,0.179053,0.154898,0.124944,0.090689,0.052286,0.013484,-0.024429,-0.061985,-0.098772,-0.135329,1
0.21824,0.221884,0.223086,0.219563,0.209794,0.193684,0.1712,0.143089,0.109966,0.070686,0.026683,-0.016332,-0.056006,-0.092994,-0.128575,1
0.223745,0.2221,0.218161,0.209499,0.194776,0.173539,0.144955,0.109225,0.07202,0.032075,-0.006664,-0.042829,-0.076447,-0.108496,-0.140088,1
