@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute attr69 numeric
@attribute attr70 numeric
@attribute attr71 numeric
@attribute attr72 numeric
@attribute attr73 numeric
@attribute attr74 numeric
@attribute attr75 numeric
@attribute attr76 numeric
@attribute attr77 numeric
@attribute attr78 numeric
@attribute attr79 numeric
@attribute attr80 numeric
@attribute attr81 numeric
@attribute attr82 numeric
@attribute attr83 numeric
@attribute attr84 numeric
@attribute attr85 numeric
@attribute attr86 numeric
@attribute attr87 numeric
@attribute attr88 numeric
@attribute attr89 numeric
@attribute attr90 numeric
@attribute attr91 numeric
@attribute attr92 numeric
@attribute attr93 numeric
@attribute attr94 numeric
@attribute attr95 numeric
@attribute attr96 numeric
@attribute attr97 numeric
@attribute attr98 numeric
@attribute attr99 numeric
@attribute attr100 numeric
@attribute attr101 numeric
@attribute attr102 numeric
@attribute attr103 numeric
@attribute attr104 numeric
@attribute attr105 numeric
@attribute attr106 numeric
@attribute attr107 numeric
@attribute attr108 numeric
@attribute attr109 numeric
@attribute attr110 numeric
@attribute attr111 numeric
@attribute attr112 numeric
@attribute attr113 numeric
@attribute target {1,2,3,4}

@data
0.071888,0.071449,0.07104,0.070651,0.07027,0.069907,0.069561,0.069236,0.06895,0.068729,0.068551,0.068466,0.068435,0.068461,0.068549,0.068683,0.068869,0.069106,0.069425,0.069856,0.070454,0.071207,0.072161,0.073421,0.07506,0.077168,0.079944,0.083476,0.087794,0.093851,0.100837,0.108684,0.117114,0.126025,0.134818,0.143227,0.150648,0.157222,0.162773,0.167415,0.170745,0.173137,0.174805,0.17574,0.176255,0.176476,0.176421,0.176196,0.175804,0.175289,0.174699,0.174053,0.173356,0.172607,0.17182,0.170991,0.170132,0.169251,0.168352,0.167431,0.166497,0.165552,0.164601,0.163642,0.162677,0.161705,0.160725,0.159732,0.158721,0.157686,0.15662,0.155514,0.154365,0.153173,0.151937,0.150658,0.149334,0.147965,0.146552,0.145096,0.143598,0.142057,0.140472,0.138843,0.137174,0.135469,0.133739,0.131994,0.130239,0.128485,0.126739,0.125007,0.123289,0.121579,0.119866,0.118138,0.116392,0.114634,0.112868,0.111096,0.109318,0.107532,0.105735,0.10392,0.102084,0.100225,0.098343,0.096436,0.094502,0.092539,0.090545,0.088521,0.086464,1
0.073766,0.073332,0.072928,0.072544,0.072164,0.071803,0.071456,0.071124,0.070822,0.070574,0.070363,0.07023,0.070139,0.070091,0.070085,0.070109,0.070178,0.070298,0.070505,0.070824,0.071318,0.071972,0.072824,0.073993,0.075551,0.077591,0.080318,0.083822,0.088119,0.09415,0.101123,0.108968,0.117385,0.126233,0.134934,0.14332,0.150721,0.157269,0.162812,0.167452,0.170779,0.173163,0.174824,0.175755,0.176263,0.176476,0.17641,0.176179,0.175784,0.175263,0.174667,0.174014,0.173314,0.17256,0.171768,0.170932,0.170061,0.169168,0.168256,0.167317,0.166364,0.165398,0.164425,0.163448,0.162466,0.161481,0.160492,0.159495,0.158481,0.157441,0.156369,0.155258,0.154105,0.152909,0.151671,0.15039,0.149066,0.147697,0.146286,0.14483,0.14333,0.141786,0.140197,0.138565,0.136894,0.135191,0.133468,0.13173,0.129984,0.12824,0.126505,0.124782,0.12307,0.121362,0.11965,0.117923,0.11618,0.114424,0.112657,0.110885,0.109106,0.107316,0.105514,0.103693,0.101853,0.099993,0.098107,0.096194,0.094255,0.092288,0.090293,0.088268,0.08621,1
0.073541,0.073092,0.07267,0.072266,0.071869,0.071485,0.071117,0.070767,0.07045,0.070192,0.069967,0.069822,0.069722,0.069664,0.069649,0.069664,0.069724,0.069834,0.070031,0.070348,0.070848,0.071507,0.072367,0.073546,0.075114,0.077157,0.079876,0.083362,0.087642,0.093681,0.100652,0.1085,0.116929,0.125847,0.134632,0.143032,0.15046,0.157045,0.162603,0.167255,0.170587,0.172976,0.17464,0.175571,0.176078,0.176294,0.176233,0.176005,0.17561,0.175092,0.174499,0.173845,0.17314,0.172386,0.171595,0.170762,0.169897,0.169009,0.168105,0.167183,0.166248,0.165302,0.164345,0.163381,0.162411,0.161437,0.160455,0.159459,0.158443,0.157404,0.156335,0.155228,0.154079,0.152885,0.151649,0.15037,0.149045,0.147676,0.146263,0.144807,0.143309,0.141765,0.140173,0.138536,0.136857,0.135144,0.133407,0.131654,0.129891,0.128127,0.126373,0.124632,0.122904,0.121182,0.119457,0.117721,0.115969,0.114202,0.112426,0.110648,0.108863,0.107069,0.105263,0.10344,0.101596,0.099729,0.097838,0.09592,0.093971,0.091994,0.08999,0.087954,0.085885,1
0.07154,0.071132,0.070748,0.070389,0.070037,0.069698,0.069375,0.06907,0.068791,0.068563,0.068369,0.068254,0.068185,0.068155,0.068166,0.068214,0.068307,0.068449,0.068682,0.069036,0.069572,0.070273,0.071175,0.072395,0.074003,0.076087,0.078849,0.082374,0.086665,0.092749,0.099775,0.107653,0.116105,0.125039,0.133821,0.142276,0.149762,0.156407,0.162019,0.166724,0.170097,0.172529,0.174233,0.175197,0.175742,0.175994,0.175964,0.175766,0.175399,0.17491,0.174347,0.173725,0.173053,0.172329,0.171567,0.170764,0.169932,0.169078,0.168201,0.167307,0.166401,0.165484,0.164561,0.163632,0.162699,0.161762,0.160819,0.159862,0.158889,0.157894,0.156869,0.155804,0.154698,0.153547,0.152352,0.151112,0.149826,0.148494,0.147116,0.145695,0.144231,0.142719,0.141159,0.139551,0.137896,0.136201,0.134478,0.132735,0.130982,0.129229,0.127484,0.125755,0.12404,0.122335,0.12063,0.118913,0.117181,0.115436,0.113681,0.111927,0.110167,0.108398,0.106619,0.104824,0.103008,0.101167,0.099303,0.097411,0.09549,0.093542,0.091565,0.089558,0.087518,1
0.072516,0.072105,0.071719,0.071356,0.071,0.070659,0.070335,0.07003,0.069758,0.069543,0.069363,0.069266,0.069218,0.069216,0.069263,0.069347,0.069483,0.069673,0.069954,0.07036,0.070954,0.071719,0.072691,0.073978,0.075652,0.077803,0.080624,0.08421,0.088585,0.094682,0.101699,0.109577,0.118043,0.126971,0.135695,0.144053,0.151469,0.158025,0.163552,0.168178,0.171494,0.173875,0.175532,0.176463,0.176979,0.1772,0.177143,0.17692,0.17653,0.176015,0.175428,0.17478,0.17408,0.173326,0.172534,0.171699,0.170832,0.169941,0.169027,0.168094,0.167147,0.166185,0.165217,0.164244,0.163268,0.162288,0.161302,0.160304,0.15929,0.158253,0.157188,0.156085,0.15494,0.153752,0.152518,0.151238,0.149913,0.148543,0.147128,0.145669,0.144165,0.142612,0.141013,0.139364,0.137669,0.135934,0.134167,0.132378,0.130578,0.128779,0.126991,0.125218,0.123463,0.121718,0.119975,0.118226,0.116464,0.114691,0.112909,0.111128,0.109344,0.107552,0.105748,0.103929,0.10209,0.100227,0.09834,0.096427,0.094486,0.092518,0.090522,0.088496,0.086437,1
0.075348,0.074895,0.074471,0.074068,0.073666,0.073276,0.072896,0.072528,0.072188,0.071895,0.071633,0.071443,0.071289,0.071169,0.071082,0.07102,0.070994,0.071014,0.071124,0.071356,0.071777,0.072365,0.073166,0.074297,0.075832,0.077861,0.080579,0.084067,0.088338,0.09435,0.10128,0.109082,0.117496,0.126362,0.135083,0.143461,0.150862,0.15742,0.162934,0.167539,0.170834,0.173191,0.174826,0.175732,0.176215,0.176404,0.176317,0.176067,0.175653,0.175113,0.1745,0.173827,0.173106,0.172334,0.171523,0.170669,0.169784,0.168877,0.167951,0.167004,0.166046,0.165075,0.164097,0.163116,0.16213,0.161141,0.160146,0.15914,0.158119,0.157074,0.155999,0.154887,0.153733,0.152534,0.151291,0.150006,0.148678,0.147306,0.145888,0.144425,0.142919,0.141366,0.139767,0.138124,0.136442,0.134729,0.132996,0.13125,0.129497,0.127745,0.126,0.124269,0.122545,0.120824,0.1191,0.117361,0.115603,0.113831,0.112049,0.110263,0.10847,0.106665,0.104849,0.103016,0.101162,0.099286,0.097385,0.095455,0.093498,0.091514,0.089503,0.087462,0.085385,2
0.073857,0.073436,0.073041,0.072666,0.072292,0.071931,0.071583,0.071247,0.070939,0.070683,0.070462,0.07031,0.070191,0.070106,0.070053,0.070025,0.070035,0.070091,0.070235,0.070496,0.070943,0.071562,0.072394,0.073557,0.075121,0.077179,0.079926,0.083454,0.087769,0.093822,0.100834,0.108715,0.117152,0.126028,0.134765,0.143172,0.150584,0.157144,0.162691,0.167332,0.170656,0.173039,0.174698,0.175627,0.176136,0.176349,0.176288,0.176061,0.175668,0.175148,0.174555,0.173904,0.173204,0.172452,0.171661,0.170829,0.169962,0.169072,0.16816,0.167226,0.16628,0.165323,0.164356,0.163384,0.162412,0.161438,0.16046,0.159471,0.158465,0.157437,0.156381,0.155288,0.154152,0.152973,0.151752,0.150488,0.149178,0.147824,0.14642,0.144972,0.14348,0.141942,0.140361,0.138735,0.13707,0.135372,0.133652,0.13192,0.130181,0.128443,0.126715,0.125001,0.123296,0.121595,0.119888,0.118166,0.116426,0.114673,0.112911,0.111144,0.10937,0.107588,0.105793,0.10398,0.102148,0.100291,0.09841,0.096503,0.094568,0.092608,0.09062,0.088603,0.086552,2
0.07394,0.073515,0.073116,0.072736,0.072361,0.071999,0.07165,0.071315,0.071006,0.070745,0.070515,0.070356,0.070234,0.070148,0.070095,0.070067,0.070078,0.070132,0.070272,0.070533,0.070981,0.071599,0.072429,0.07359,0.075155,0.077211,0.079957,0.083481,0.087798,0.093874,0.100878,0.108742,0.117177,0.126018,0.134726,0.143115,0.150495,0.157022,0.162547,0.167179,0.170499,0.17288,0.174542,0.175476,0.175986,0.1762,0.176137,0.17591,0.175518,0.175,0.17441,0.173762,0.173065,0.172317,0.171529,0.1707,0.169839,0.168955,0.168051,0.167125,0.166187,0.165238,0.164281,0.163318,0.162353,0.161386,0.160415,0.159435,0.158436,0.157414,0.156364,0.155276,0.154146,0.152971,0.151753,0.150492,0.149185,0.147836,0.146441,0.145001,0.143517,0.141988,0.140414,0.138795,0.137135,0.135442,0.13373,0.132003,0.130271,0.128542,0.126821,0.125113,0.123414,0.121719,0.120018,0.118302,0.116569,0.114822,0.113066,0.111304,0.109536,0.10776,0.105971,0.104165,0.102338,0.10049,0.098617,0.096716,0.094786,0.092828,0.090844,0.088827,0.086776,2
0.075507,0.075055,0.074628,0.074221,0.073819,0.073429,0.073048,0.07268,0.072342,0.072054,0.071792,0.071595,0.071436,0.07131,0.071216,0.071141,0.071097,0.071094,0.071178,0.071382,0.071764,0.072311,0.07307,0.074158,0.075651,0.077637,0.08032,0.083792,0.088057,0.094074,0.101034,0.10888,0.117309,0.126158,0.134873,0.143247,0.150634,0.157178,0.162702,0.167313,0.170611,0.172972,0.174606,0.175512,0.175999,0.176191,0.176107,0.175855,0.175437,0.174896,0.174282,0.17361,0.172887,0.172111,0.171296,0.170438,0.169549,0.168637,0.167707,0.166758,0.165797,0.164822,0.163843,0.162859,0.16187,0.160878,0.159881,0.158873,0.15785,0.156805,0.15573,0.154619,0.153468,0.152272,0.151032,0.149746,0.148417,0.147047,0.145633,0.144172,0.142666,0.141116,0.139521,0.137882,0.136202,0.134492,0.132761,0.131018,0.129272,0.127528,0.12579,0.124061,0.122342,0.120627,0.118906,0.11717,0.115417,0.113649,0.111871,0.110087,0.108297,0.106497,0.104685,0.102857,0.10101,0.099137,0.097238,0.095313,0.093359,0.091377,0.08937,0.087333,0.085264,2
0.073449,0.073036,0.072651,0.072287,0.071928,0.07158,0.071246,0.070928,0.070638,0.070398,0.070192,0.070059,0.069961,0.069896,0.069864,0.069858,0.069887,0.069963,0.070128,0.07041,0.070876,0.071504,0.072337,0.073495,0.075052,0.0771,0.079841,0.083365,0.087691,0.093779,0.100803,0.108692,0.11715,0.126054,0.134805,0.143189,0.150594,0.157161,0.16272,0.16737,0.170698,0.173089,0.174755,0.175691,0.176208,0.176429,0.176371,0.176148,0.175759,0.175244,0.174657,0.174011,0.173316,0.172568,0.17178,0.170949,0.170083,0.169192,0.168279,0.167344,0.166392,0.165427,0.164454,0.163478,0.162501,0.161523,0.160542,0.159553,0.15855,0.157524,0.156468,0.155375,0.15424,0.153061,0.151838,0.150569,0.149254,0.147895,0.14649,0.14504,0.143545,0.142003,0.140416,0.138786,0.137117,0.135416,0.133695,0.131962,0.130223,0.128487,0.12676,0.125043,0.123337,0.121637,0.11993,0.118208,0.116468,0.114713,0.112951,0.111185,0.109412,0.10763,0.105838,0.104031,0.102202,0.100351,0.098477,0.096578,0.094652,0.092698,0.090718,0.088709,0.086668,2
