@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute target {1,2,3,4,5,6}

@data
0.209341,0.207706,0.203239,0.194273,0.179761,0.159661,0.133572,0.104667,0.074102,0.040056,0.005127,-0.029906,-0.064814,-0.097529,-0.12859,1
0.202103,0.202482,0.202065,0.197193,0.188327,0.173581,0.153198,0.127847,0.097413,0.063301,0.026528,-0.010691,-0.047206,-0.081614,-0.113678,1
0.208569,0.206807,0.20401,0.197243,0.185618,0.167905,0.14499,0.117174,0.085066,0.051282,0.016042,-0.020164,-0.055894,-0.090402,-0.121855,1
0.20915,0.206746,0.201976,0.193908,0.181137,0.163191,0.140296,0.112958,0.082828,0.050651,0.0163,-0.019443,-0.055736,-0.089678,-0.122673,1
0.208914,0.205561,0.200382,0.192101,0.179098,0.16103,0.138575,0.111157,0.079991,0.045655,0.008966,-0.028293,-0.065097,-0.100048,-0.132058,1
0.208714,0.207929,0.205841,0.199789,0.187626,0.169608,0.145012,0.114208,0.080713,0.046833,0.012261,-0.023728,-0.058545,-0.091201,-0.121697,1
0.218862,0.213194,0.205863,0.195385,0.180914,0.162467,0.140111,0.113835,0.083857,0.05082,0.014012,-0.024439,-0.062011,-0.100348,-0.140057,6
0.225862,0.217078,0.207371,0.195179,0.179531,0.160928,0.138387,0.111789,0.081248,0.04794,0.01097,-0.026468,-0.062772,-0.099682,-0.136844,6
0.22153,0.213591,0.204565,0.194138,0.180571,0.163355,0.14286,0.118604,0.09066,0.058674,0.023851,-0.014243,-0.052732,-0.090445,-0.129032,6
0.222105,0.214913,0.206632,0.195467,0.180552,0.162163,0.139638,0.113331,0.083172,0.049657,0.012494,-0.025761,-0.062494,-0.100083,-0.138859,6
0.226491,0.218065,0.208527,0.196137,0.181095,0.162802,0.140344,0.113988,0.084149,0.050753,0.01443,-0.0223,-0.05844,-0.095698,-0.132302,6
0.208928,0.208691,0.205903,0.20016,0.189731,0.173116,0.150122,0.121578,0.089682,0.05569,0.020329,-0.016628,-0.051932,-0.086519,-0.1185,1
0.217865,0.211564,0.203825,0.193042,0.17915,0.161236,0.139266,0.113368,0.084342,0.051854,0.015252,-0.023352,-0.061345,-0.09941,-0.136813,6
