@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute attr52 numeric
@attribute attr53 numeric
@attribute attr54 numeric
@attribute attr55 numeric
@attribute attr56 numeric
@attribute attr57 numeric
@attribute attr58 numeric
@attribute attr59 numeric
@attribute attr60 numeric
@attribute attr61 numeric
@attribute attr62 numeric
@attribute attr63 numeric
@attribute attr64 numeric
@attribute attr65 numeric
@attribute attr66 numeric
@attribute attr67 numeric
@attribute attr68 numeric
@attribute target {1,2}

@data
-0.080212,-0.080212,-0.080019,-0.078278,-0.077569,-0.07802,-0.079825,-0.080534,-0.080728,-0.081244,-0.08105,-0.079438,-0.077891,-0.076473,-0.075248,-0.074023,-0.072669,-0.071638,-0.070799,-0.07009,-0.069317,-0.068865,-0.069059,-0.069639,-0.070155,-0.070542,-0.071509,-0.072927,-0.075054,-0.07744,-0.078407,-0.079632,-0.081179,-0.082275,-0.082468,-0.082855,-0.083629,-0.085112,-0.08537,-0.085885,-0.086401,-0.086723,-0.08711,-0.087304,-0.087239,-0.08711,-0.087046,-0.086659,-0.085563,-0.084725,-0.083564,-0.082017,-0.080148,-0.077956,-0.07557,-0.073894,-0.071702,-0.070219,-0.069832,-0.070413,-0.072669,-0.075183,-0.077956,-0.081115,-0.085047,-0.089818,-0.095169,-0.100198,1
0.179171,0.177504,0.17536,0.173275,0.171012,0.168988,0.166844,0.164641,0.162914,0.161306,0.160174,0.15934,0.158983,0.158685,0.158269,0.157733,0.157197,0.156601,0.156006,0.155172,0.154457,0.153743,0.152968,0.152373,0.151897,0.151718,0.151539,0.150944,0.149931,0.148502,0.146954,0.145584,0.144155,0.142904,0.141892,0.141118,0.140225,0.139212,0.1382,0.137307,0.136413,0.135699,0.135163,0.134627,0.13421,0.133733,0.133138,0.132423,0.13153,0.130637,0.129863,0.129148,0.128255,0.1276,0.127004,0.126706,0.126706,0.126587,0.126349,0.12629,0.126528,0.126885,0.127004,0.126826,0.126468,0.12629,0.12629,0.12617,1
-0.090054,-0.088275,-0.086644,-0.083826,-0.079971,-0.075522,-0.071222,-0.067218,-0.063363,-0.059507,-0.056097,-0.052835,-0.049127,-0.045717,-0.042455,-0.038747,-0.034299,-0.029702,-0.024957,-0.020508,-0.015763,-0.010128,-0.004642,0.000993,0.006924,0.013301,0.019825,0.026795,0.034357,0.043106,0.052596,0.06268,0.072467,0.081067,0.088185,0.09204,0.092485,0.09293,0.095303,0.096934,0.096489,0.095747,0.093968,0.091447,0.089075,0.086999,0.084774,0.081809,0.078991,0.075729,0.071874,0.068018,0.064311,0.060604,0.05749,0.054376,0.051114,0.048148,0.045479,0.043254,0.041178,0.038806,0.036433,0.034506,0.032281,0.029612,0.026943,0.023829,2
-0.128901,-0.124704,-0.120787,-0.11687,-0.112394,-0.107638,-0.102881,-0.098125,-0.093509,-0.088752,-0.082877,-0.076302,-0.069727,-0.063153,-0.056438,-0.049583,-0.042868,-0.036014,-0.029159,-0.022305,-0.01503,-0.007616,-0.000342,0.007072,0.014347,0.021201,0.028196,0.03575,0.043304,0.050858,0.058972,0.067225,0.075339,0.083313,0.091007,0.098421,0.106115,0.114368,0.123321,0.132134,0.141087,0.15046,0.159833,0.168926,0.177739,0.186412,0.195085,0.203898,0.212711,0.221245,0.229218,0.236493,0.243767,0.250761,0.257756,0.264191,0.269507,0.274683,0.279859,0.285034,0.29063,0.296366,0.301821,0.306857,0.311614,0.31623,0.320707,0.325043,2
-0.081437,-0.077214,-0.072588,-0.067694,-0.062532,-0.057035,-0.051269,-0.045772,-0.040342,-0.035046,-0.029884,-0.024923,-0.020431,-0.016208,-0.012386,-0.00937,-0.007157,-0.005749,-0.008096,-0.010375,-0.012923,-0.01547,-0.017817,-0.019761,-0.021906,-0.024051,-0.025861,-0.027806,-0.029951,-0.030889,-0.031023,-0.030822,-0.031694,-0.031962,-0.032901,-0.034644,-0.035984,-0.037258,-0.0388,-0.040074,-0.03994,-0.041079,-0.042554,-0.044364,-0.046778,-0.048722,-0.050398,-0.052275,-0.054621,-0.057169,-0.059851,-0.061728,-0.063404,-0.06508,-0.066823,-0.068901,-0.070778,-0.072387,-0.073862,-0.07527,-0.076678,-0.078018,-0.079292,-0.080566,-0.081706,-0.082979,-0.084186,-0.085192,1
0.108852,0.109287,0.109794,0.110301,0.110663,0.111025,0.111604,0.111967,0.112112,0.112329,0.112329,0.112474,0.112619,0.112763,0.112908,0.113126,0.11327,0.113415,0.11356,0.113343,0.113053,0.112981,0.112908,0.112908,0.11327,0.113705,0.114212,0.114719,0.115299,0.115878,0.11653,0.117109,0.117761,0.118413,0.119065,0.119934,0.120659,0.120876,0.120731,0.120514,0.120369,0.120441,0.120586,0.120659,0.120586,0.120514,0.120514,0.120586,0.120659,0.120659,0.120586,0.120731,0.121093,0.121311,0.121528,0.121745,0.122035,0.122397,0.12247,0.122542,0.122614,0.122687,0.122759,0.123266,0.123918,0.124715,0.125657,0.126671,1
0.085168,0.082723,0.079389,0.075388,0.071498,0.067164,0.064052,0.060829,0.056495,0.051605,0.048382,0.043158,0.037157,0.030933,0.025487,0.021041,0.017041,0.013929,0.013262,0.010372,0.009594,0.00726,0.004482,0.000592,-0.005965,-0.009633,-0.010522,-0.010633,-0.011078,-0.011633,-0.011967,-0.012411,-0.012745,-0.012411,-0.011967,-0.012078,-0.012078,-0.0113,-0.00941,-0.007299,-0.005632,-0.003854,-0.002298,-0.001297,-0.000075,0.001259,0.002481,0.003259,0.003926,0.004926,0.006038,0.00726,0.008483,0.009483,0.010483,0.011484,0.012373,0.013151,0.013595,0.013706,0.013595,0.013595,0.013595,0.014151,0.015485,0.015262,0.015151,0.014262,2
0.002167,0.000894,-0.000803,-0.003137,-0.005895,-0.008865,-0.011942,-0.015018,-0.018413,-0.022232,-0.026263,-0.030612,-0.035068,-0.039099,-0.043024,-0.047055,-0.051193,-0.05533,-0.059679,-0.063817,-0.067848,-0.072409,-0.076759,-0.080366,-0.083442,-0.085458,-0.086731,-0.08811,-0.089807,-0.091292,-0.092671,-0.09352,-0.09352,-0.092884,-0.091823,-0.090231,-0.088852,-0.08811,-0.087579,-0.087367,-0.087155,-0.087261,-0.087898,-0.088534,-0.088746,-0.089171,-0.090338,-0.091929,-0.093838,-0.09596,-0.097869,-0.099567,-0.101688,-0.104553,-0.107523,-0.110387,-0.113358,-0.117177,-0.12195,-0.126618,-0.130225,-0.132771,-0.135317,-0.139136,-0.143485,-0.147304,-0.150169,-0.151866,2
-0.030726,-0.029248,-0.027918,-0.026883,-0.026883,-0.027253,-0.028435,-0.029913,-0.032351,-0.035824,-0.040553,-0.046537,-0.053187,-0.060354,-0.068334,-0.076683,-0.085181,-0.094047,-0.102249,-0.110081,-0.117691,-0.124119,-0.129144,-0.132838,-0.135055,-0.135572,-0.134611,-0.132173,-0.128331,-0.123159,-0.117174,-0.110819,-0.104317,-0.098332,-0.092717,-0.087693,-0.083555,-0.080008,-0.077127,-0.074245,-0.07129,-0.069147,-0.067743,-0.066561,-0.065748,-0.065379,-0.065453,-0.066339,-0.066709,-0.067152,-0.067743,-0.06826,-0.068999,-0.069886,-0.07092,-0.072324,-0.073802,-0.074984,-0.076092,-0.077053,-0.078161,-0.078752,-0.078974,-0.079565,-0.080895,-0.082373,-0.083481,-0.083998,1
0.130713,0.130713,0.130713,0.130652,0.130408,0.129981,0.129614,0.129187,0.129004,0.128698,0.12821,0.12766,0.127171,0.126622,0.126011,0.125462,0.124973,0.124362,0.123752,0.123141,0.122469,0.121675,0.12082,0.119843,0.119172,0.118561,0.117706,0.116607,0.114897,0.113004,0.111294,0.109767,0.108301,0.106897,0.105614,0.104576,0.103843,0.103477,0.10366,0.104332,0.105431,0.106714,0.107874,0.108668,0.108851,0.108057,0.106408,0.104271,0.101645,0.098653,0.095355,0.091935,0.088638,0.085767,0.083386,0.081615,0.080454,0.080027,0.080088,0.080454,0.081065,0.081798,0.082958,0.084485,0.086256,0.087905,0.089737,0.090958,1
