@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute target {1,2}

@data
0.18794,0.203238,0.219059,0.2351,0.251153,0.267241,0.283328,0.299416,0.305022,0.309665,0.314204,0.310861,0.309491,0.296421,0.279417,0.258361,0.236632,0.214126,0.191248,0.16808,0.144796,0.121512,0.09767,0.0742,0.050847,0.027562,0.004278,-0.019006,-0.042255,-0.065539,2
-0.251484,-0.25164,-0.25164,-0.25164,-0.25164,-0.25164,-0.25164,-0.25164,-0.25164,-0.25164,-0.251797,-0.251954,-0.252111,-0.252268,-0.252424,-0.252581,-0.252581,-0.252738,-0.252895,-0.239412,-0.229064,-0.221225,-0.21417,-0.207585,-0.201314,-0.195357,-0.189556,-0.183912,-0.178424,-0.172937,2
0.009855,0.003879,-0.002346,-0.008322,-0.014547,-0.020772,-0.026997,-0.033222,-0.039447,-0.045672,-0.051648,-0.057873,-0.063849,-0.070323,-0.076548,-0.082773,-0.088998,-0.088749,-0.0885,-0.088251,-0.088002,-0.087753,-0.087504,-0.091488,-0.085014,-0.07854,-0.072066,-0.065592,-0.058869,-0.052146,2
0.258525,0.258525,0.258525,0.258507,0.258525,0.258507,0.258507,0.258489,0.258471,0.258453,0.258453,0.258453,0.258453,0.258453,0.258453,0.258453,0.258453,0.258453,0.258453,0.258453,0.243785,0.2261,0.209115,0.193962,0.180101,0.167497,0.155647,0.14439,0.133779,0.123581,2
0.225971,0.242963,0.259956,0.260236,0.260236,0.260236,0.260236,0.260236,0.260236,0.260236,0.260236,0.260236,0.260236,0.260254,0.260271,0.260271,0.260289,0.260289,0.260289,0.260289,0.260289,0.260306,0.245029,0.227878,0.21288,0.199738,0.188292,0.177827,0.168219,0.159119,2
-0.054051,-0.061659,-0.069268,-0.07713,-0.084992,-0.0926,-0.100462,-0.100462,-0.100462,-0.100462,-0.100462,-0.100462,-0.100462,-0.100462,-0.100462,-0.100462,-0.100462,-0.100462,-0.100462,-0.100462,-0.100462,-0.100462,-0.11365,-0.106041,-0.098179,-0.090571,-0.082709,-0.074847,-0.067239,-0.060138,2
-0.237214,-0.253375,-0.253224,-0.253224,-0.253224,-0.253375,-0.253375,-0.253224,-0.252922,-0.252771,-0.252771,-0.252771,-0.252771,-0.252771,-0.252771,-0.252771,-0.252771,-0.25262,-0.252469,-0.252318,-0.242048,-0.233892,-0.22785,-0.222715,-0.217882,-0.213351,-0.20897,-0.204741,-0.200512,-0.196434,2
-0.142245,-0.157872,-0.173499,-0.189125,-0.204913,-0.220701,-0.236489,-0.252115,-0.267742,-0.268064,-0.268064,-0.268064,-0.268225,-0.268386,-0.268386,-0.268386,-0.268548,-0.268709,-0.26887,-0.257109,-0.250182,-0.245188,-0.241322,-0.237777,-0.234394,-0.231172,-0.228111,-0.225051,-0.222151,-0.219251,2
0.13242,0.145939,0.159457,0.172952,0.186459,0.199978,0.213497,0.227015,0.240546,0.254076,0.267606,0.281125,0.294644,0.294679,0.294679,0.294679,0.294679,0.294679,0.294679,0.294679,0.294679,0.294679,0.270711,0.246743,0.222775,0.198806,0.174838,0.15087,0.126902,0.102934,2
0.242875,0.246042,0.251317,0.255807,0.255252,0.250371,0.234136,0.213795,0.191335,0.169006,0.145797,0.122376,0.098287,0.074102,0.049769,0.025531,0.001387,-0.022882,-0.046977,-0.071313,-0.09539,-0.119937,-0.143654,-0.168849,-0.184709,-0.180712,-0.176865,-0.172308,-0.167744,-0.16334,1
