@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute target {1,2}

@data
-0.026166,-0.020475,-0.013338,-0.005185,0.003943,0.013553,0.022935,0.032123,0.040866,0.049567,0.057696,0.06514,0.071737,0.077421,0.082222,0.086147,0.088881,0.090823,0.091973,0.09215,0.091326,0.089747,0.087429,0.084493,0.080822,0.076432,0.07155,0.066182,0.060375,0.054001,0.04714,0.039701,0.031646,0.022786,0.012994,0.001947,-0.01098,-0.026691,-0.045683,-0.066018,-0.083867,-0.098174,-0.11007,-0.12077,-0.131051,-0.141358,1
-0.024717,-0.019065,-0.011972,-0.003878,0.005188,0.014774,0.024146,0.033295,0.042008,0.050693,0.058797,0.066213,0.072793,0.07846,0.083237,0.087144,0.089845,0.091737,0.092835,0.092957,0.092077,0.09044,0.088062,0.085071,0.081367,0.076952,0.072055,0.066678,0.060868,0.054502,0.047658,0.040239,0.032207,0.023364,0.013565,0.002482,-0.010508,-0.026338,-0.045504,-0.066032,-0.084031,-0.098423,-0.110353,-0.121065,-0.131348,-0.141651,1
-0.023858,-0.018225,-0.011158,-0.003078,0.005977,0.015545,0.02491,0.034054,0.042749,0.051438,0.059562,0.066986,0.073568,0.079227,0.084003,0.087913,0.090609,0.092504,0.093596,0.093704,0.092806,0.091152,0.088765,0.085761,0.082037,0.077604,0.072689,0.067286,0.061451,0.055052,0.048173,0.040715,0.03263,0.023726,0.013862,0.002711,-0.010359,-0.026281,-0.04556,-0.066215,-0.08432,-0.098787,-0.110772,-0.121529,-0.131847,-0.142186,1
-0.028051,-0.022142,-0.014826,-0.006516,0.002753,0.012517,0.022031,0.031316,0.040133,0.048905,0.057093,0.064576,0.071206,0.076911,0.081736,0.085687,0.088412,0.090324,0.091438,0.091571,0.090695,0.089061,0.086694,0.083715,0.080028,0.075636,0.070771,0.065439,0.059691,0.053399,0.046659,0.039372,0.031497,0.022849,0.013311,0.002582,-0.009916,-0.025037,-0.04328,-0.062862,-0.080122,-0.094014,-0.105614,-0.116077,-0.126143,-0.136228,1
-0.028167,-0.022283,-0.014972,-0.00667,0.002591,0.012362,0.021884,0.031159,0.039941,0.0487,0.056886,0.064358,0.070977,0.076674,0.081488,0.08543,0.088143,0.090045,0.091153,0.091272,0.090382,0.088742,0.086362,0.083371,0.079674,0.075276,0.070409,0.065076,0.059327,0.053034,0.046292,0.039007,0.031142,0.022517,0.013,0.002294,-0.010172,-0.025252,-0.043447,-0.062962,-0.080165,-0.094026,-0.1056,-0.116044,-0.126094,-0.13616,1
-0.028903,-0.023011,-0.015683,-0.00735,0.001951,0.011764,0.021293,0.030554,0.039354,0.048136,0.056348,0.063839,0.070455,0.076146,0.080959,0.084911,0.087634,0.089539,0.090646,0.09077,0.089882,0.088243,0.085864,0.082875,0.079177,0.074784,0.069921,0.064598,0.05886,0.052576,0.045842,0.038571,0.030727,0.022121,0.01263,0.001958,-0.010467,-0.025504,-0.043636,-0.063094,-0.080252,-0.09406,-0.105588,-0.115997,-0.12601,-0.136039,1
-0.022992,-0.016488,-0.008571,0.000269,0.010062,0.020319,0.030163,0.039681,0.04864,0.057562,0.065853,0.073368,0.079951,0.085532,0.090205,0.093965,0.096445,0.098106,0.098979,0.098863,0.09773,0.095863,0.093267,0.090087,0.086181,0.081574,0.076508,0.070973,0.065004,0.058459,0.051441,0.043841,0.035598,0.02649,0.016375,0.004897,-0.008597,-0.025034,-0.044881,-0.066091,-0.084675,-0.099522,-0.111784,-0.122746,-0.133242,-0.143752,1
-0.02267,-0.016152,-0.008237,0.00061,0.010394,0.020635,0.030471,0.039997,0.048955,0.057861,0.066131,0.073642,0.080226,0.085806,0.090477,0.094233,0.096706,0.098362,0.099231,0.099103,0.097961,0.096095,0.093492,0.090302,0.086382,0.081763,0.07669,0.07115,0.065174,0.058628,0.051613,0.044007,0.035758,0.026649,0.01653,0.005046,-0.008452,-0.024887,-0.044735,-0.065935,-0.084516,-0.099369,-0.111638,-0.122611,-0.133115,-0.143631,1
-0.023004,-0.016485,-0.008558,0.000303,0.010097,0.020352,0.030195,0.039717,0.048651,0.057534,0.065804,0.073319,0.079897,0.085458,0.090124,0.093881,0.09634,0.097989,0.098864,0.098746,0.097601,0.095725,0.093124,0.089942,0.08603,0.081411,0.076338,0.070801,0.064841,0.058306,0.051294,0.043692,0.035448,0.02635,0.016249,0.004789,-0.008677,-0.025074,-0.044887,-0.066048,-0.084582,-0.09939,-0.111628,-0.122578,-0.13307,-0.143581,1
-0.024924,-0.018738,-0.011142,-0.00256,0.006975,0.016959,0.026639,0.036052,0.044953,0.053782,0.061979,0.069434,0.076005,0.081619,0.08632,0.090118,0.092675,0.094417,0.095372,0.095351,0.094324,0.092559,0.090066,0.086978,0.083173,0.078674,0.07371,0.068284,0.06243,0.056016,0.049131,0.041671,0.033588,0.02469,0.014832,0.00369,-0.009358,-0.02521,-0.044341,-0.064806,-0.082776,-0.097187,-0.109163,-0.119929,-0.13027,-0.140634,1
