@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute target {1,2,3}

@data
1.397292,12.243466,-4.771277,13.103915,7.62628,-10.467595,-8.12083,-11.011252,2
1.827804,10.781914,-6.753863,15.501569,5.961716,-10.645427,-6.035623,-10.638089,2
-0.295812,9.795423,-5.910899,17.404535,5.179274,-11.173067,-4.881857,-10.117598,2
0.150012,11.469508,-6.483269,15.226798,6.075434,-9.677735,-7.872674,-8.888074,2
-0.234028,12.048218,-5.62493,15.05573,5.931103,-10.043729,-7.349926,-9.782439,2
-1.024036,12.871674,-6.27757,14.300885,6.361281,-9.636492,-8.080911,-8.514831,3
0.714223,12.671978,-4.964306,14.168258,6.788572,-9.580881,-9.747068,-10.050776,3
-0.492692,12.652758,-6.538267,14.69885,6.040263,-9.805528,-7.546055,-9.009329,3
-0.581357,12.761123,-7.139661,15.407142,5.819723,-9.750309,-7.703563,-8.813097,3
-0.762423,13.543706,-6.691944,13.849107,6.37206,-9.714531,-7.170753,-9.425222,3
-1.219314,12.579181,-6.640431,15.397185,5.46647,-9.559515,-6.843003,-9.180573,3
-0.655963,11.777616,-6.940856,17.006467,4.33044,-9.226803,-8.244973,-8.045928,3
0.842936,10.87822,-5.39029,17.412131,3.741822,-10.286754,-6.948965,-10.2491,2
0.797756,13.724958,-5.383317,13.338579,6.186761,-12.004329,-5.633649,-11.026759,2
0.618177,12.362653,-5.619823,15.710595,5.735504,-11.203098,-7.527779,-10.076228,2
-0.329156,12.425052,-6.504016,14.999706,5.731273,-9.141336,-8.210818,-8.970705,2
-0.120685,11.147197,-6.705063,17.072404,4.098118,-9.098392,-7.625526,-8.768052,2
-0.489984,11.64046,-6.839461,15.546018,5.696782,-9.47695,-6.79101,-9.285854,2
0.688791,11.347286,-7.039724,14.719646,6.680258,-8.963399,-7.80397,-9.628887,2
-0.887564,11.814619,-7.549695,16.527514,4.83429,-8.587825,-7.961545,-8.189795,3
0.42647,18.957158,-5.489798,7.887722,4.948246,-9.262598,-8.229747,-9.237453,3
0.113296,12.600072,-6.665226,15.552631,4.977967,-9.456336,-8.052752,-9.069653,3
0.768965,11.986894,-6.126934,14.516758,6.749544,-10.425701,-7.902372,-9.567154,2
-1.122868,13.150792,-6.960587,14.416769,5.631024,-9.157475,-7.747486,-8.210168,3
0.019455,12.782004,-6.647019,14.614718,6.251513,-9.879835,-8.342989,-8.797847,3
0.017889,11.583415,-7.477229,16.340717,5.26187,-9.923567,-7.223978,-8.579117,3
0.012551,10.985743,-4.636765,14.9873,6.76064,-9.345637,-9.106839,-9.656991,2
0.385413,14.014964,-5.268045,13.568294,6.778909,-10.550078,-9.201768,-9.72769,1
0.014183,11.400815,-5.171157,16.084679,6.321406,-9.638066,-9.039416,-9.972444,1
2.703354,7.393251,-1.226176,16.607732,5.878561,-10.798992,-9.698096,-10.859635,1
0.358,11.352374,-5.746014,15.83177,5.878067,-9.946918,-8.258985,-9.468294,2
1.655155,9.243784,-3.424285,15.988009,5.583884,-9.733345,-9.278467,-10.034734,2
0.367065,13.046105,-7.461382,13.415881,6.937077,-9.674007,-7.550451,-9.080286,2
0.318422,11.08894,-6.317432,16.019858,6.113898,-10.799813,-6.473934,-9.949939,2
0.617378,11.467584,-6.401529,14.453024,6.278583,-9.515421,-7.703031,-9.196588,2
1.944229,12.625954,-5.29969,15.135289,5.111717,-10.416891,-9.400341,-9.700267,2
0.115348,12.266859,-5.603129,13.165673,7.734218,-9.871769,-8.128341,-9.678859,2
0.074476,12.832298,-7.427053,15.726029,4.71618,-10.703052,-5.590068,-9.62881,3
-2.498156,13.041009,-5.417516,13.358521,6.961594,-9.857595,-6.847425,-8.740433,3
0.425925,9.250863,-5.122317,17.533767,4.98107,-9.684273,-9.424657,-7.960378,2
