@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute target {1,2}

@data
-6.418184,-6.592656,-6.619501,-6.554938,-6.546218,-4.774794,10.945496,19.102806,17.905991,16.227946,0.151018,-7.769011,-6.23639,-6.457581,-6.363984,2
-6.452187,-6.212137,-6.205459,-5.862142,-6.207001,1.971265,17.091609,19.109506,18.7423,7.609945,-6.841921,-7.447695,-6.481712,-6.454846,-6.359524,2
-7.771161,-7.584245,-8.055611,-6.97587,-6.712856,5.396458,18.093373,16.051075,17.356957,10.108237,-3.230773,-6.166569,-6.030166,-7.421723,-7.057126,1
-7.487614,-7.372194,-7.576432,-6.027562,-4.876358,9.394672,18.705245,17.194051,17.056925,3.791909,-5.141672,-5.432078,-7.501433,-7.502222,-7.225237,1
-5.956112,-5.713206,-5.820905,-5.668007,-3.96915,11.89712,20.460549,20.695283,10.925867,-6.819136,-5.689634,-5.765553,-5.862755,-6.303124,-6.411237,2
-5.630502,-6.068033,-6.150673,-6.33461,-4.26875,12.284709,19.148523,19.277819,13.182767,0.429645,-7.705843,-7.252451,-6.840594,-7.013203,-7.058802,2
-12.866621,-13.277338,-8.813522,7.392329,8.709387,9.0608,8.794684,9.033149,8.806457,8.65797,8.339249,3.290697,-11.613173,-12.821727,-12.692341,2
-20.078913,-20.425557,-17.50207,2.197333,5.95817,5.654638,5.849533,6.001885,5.559582,5.944008,5.208938,6.139809,5.059997,6.867357,-2.434711,2
-10.545298,-10.965429,2.655239,12.067184,10.124066,11.151187,10.256575,10.808804,10.133739,5.210548,-8.712917,-10.889994,-10.386973,-10.509157,-10.397573,2
-11.796006,-10.95772,-7.511814,-4.852481,7.787084,12.183601,11.882272,11.962599,11.866117,11.543571,4.599742,-6.153013,-8.133697,-9.617294,-12.802961,1
-8.205597,-7.086741,-5.84991,-4.266223,8.523173,14.485356,14.174133,13.979545,14.129838,4.831497,-6.840051,-6.600694,-10.328235,-10.761377,-10.184714,1
-11.280211,-10.77173,-7.157054,-6.354914,5.405789,12.77883,11.77176,12.304411,11.760524,12.13871,5.964389,-6.55324,-8.205135,-10.395364,-11.406767,1
-12.884515,-13.589512,-9.511203,-8.231699,-1.714425,10.047437,10.755305,11.111895,10.643918,10.920809,10.687482,7.424689,-5.428268,-10.166595,-10.065318,1
-11.869049,-11.401976,-7.719865,-3.963396,8.319537,12.47995,11.673492,12.060835,11.640499,11.594365,3.736618,-7.04779,-8.146269,-9.200319,-12.156633,1
-5.996921,-5.677751,-5.710488,-6.029824,-5.846285,-1.491435,15.662859,20.638815,19.205166,7.716706,-7.037828,-7.435005,-6.078899,-5.805686,-6.113424,2
-11.684234,-10.816833,-7.246397,-6.925032,4.427214,12.379939,12.231883,12.684327,12.030296,12.452812,5.543075,-6.492057,-7.894595,-9.363268,-11.32713,1
-8.027925,-7.829087,-7.79803,-7.774467,-6.321526,7.876893,15.928137,16.115937,16.575516,11.933741,-2.312113,-7.775341,-6.672091,-7.147421,-6.772225,2
-6.13171,-6.151523,-6.427221,-6.281207,-6.579099,0.778559,16.10722,18.742114,18.52176,10.452081,-6.202435,-8.739518,-6.118506,-5.816115,-6.154401,2
-10.527949,-10.121799,-8.154671,-5.830528,6.155595,12.576473,12.110859,12.655698,12.320559,12.793676,2.90382,-7.913114,-7.755551,-10.406402,-10.806665,1
-10.662664,-11.446745,0.015617,11.243498,9.501019,10.653301,9.469262,10.329554,9.60762,9.389223,-2.118422,-11.635849,-11.41403,-11.457544,-11.47384,2
-8.486965,-8.141626,-8.695416,-7.094758,-6.893137,1.408232,14.785059,15.348668,15.058826,15.374356,6.20495,-6.046508,-5.842333,-8.609502,-8.369848,1
-7.103023,-9.338867,-10.223748,-5.122162,6.703147,14.060876,12.722835,13.734486,12.525791,10.475106,-1.025023,-8.394905,-8.559697,-10.327842,-10.126972,1
-11.506901,-11.126893,-7.742005,-5.464549,5.661026,12.887154,11.631237,12.511056,11.598827,12.38899,4.893265,-6.354026,-8.155549,-8.819215,-12.402418,1
-17.235186,-17.527451,-14.266921,3.972996,7.114453,6.880854,6.793725,6.73138,6.600096,6.582516,6.48589,6.430236,6.125674,1.475484,-16.163747,2
-7.160944,-6.926188,-7.339069,-5.642493,-5.153214,10.164939,21.053545,20.25928,12.102949,-3.405587,-5.003343,-4.967558,-6.393011,-5.983165,-5.606142,1
-9.591932,-10.156158,4.119798,13.552627,11.49243,12.410548,11.646708,11.483438,7.555975,-5.650578,-10.469508,-8.663338,-9.364124,-9.072321,-9.293566,2
-10.60808,-10.318465,-7.836649,-5.003624,8.208375,12.540899,12.012264,12.061037,11.76688,11.77386,3.709134,-7.914554,-8.232498,-10.319058,-11.839521,1
-10.853921,-10.134849,-7.29372,-6.10887,6.375226,12.716039,11.959517,12.469423,12.210725,12.146401,4.038906,-7.624148,-8.161118,-9.776412,-11.963199,1
-10.080022,-9.93186,4.720661,11.328145,9.669024,10.57864,9.623325,10.199304,9.683392,7.410829,-7.204173,-12.238905,-11.309841,-11.278684,-11.169836,2
-14.750433,-13.5454,-11.616107,-9.562978,-1.606042,9.185063,9.148893,9.920541,9.292453,9.784929,9.199793,9.662957,4.901173,-8.249003,-11.765837,1
-9.682985,-8.933439,-5.864014,-3.000034,10.511633,14.42228,14.355395,14.253982,13.793134,1.369841,-6.327802,-6.799542,-10.19268,-8.946578,-8.959191,1
-14.67384,-15.437705,-10.541976,6.891283,8.004434,8.249891,7.543631,8.167393,7.703739,8.281274,7.63102,7.755733,-2.601401,-13.271812,-13.701665,2
-9.592183,-10.519871,1.763355,12.081039,10.369077,11.375685,10.939633,10.925912,11.167637,2.394696,-11.761177,-9.819919,-10.021391,-9.573486,-9.729007,2
-7.378855,-7.530556,-8.176119,-6.468728,-5.89895,6.300374,18.201966,16.309496,17.616199,8.641489,-4.618016,-5.451976,-6.128246,-7.951227,-7.466851,1
-6.362276,-6.046531,-6.108739,-6.047109,-5.935026,4.902972,18.875643,19.81213,17.510075,2.232007,-7.63787,-6.337441,-6.427077,-6.314017,-6.116741,2
-6.184928,-6.205641,-6.895523,-5.749912,-5.047097,11.118727,20.362218,19.619323,13.042272,-2.649321,-5.682588,-4.955727,-7.503281,-6.911141,-6.357382,1
-12.824707,-13.621151,-8.510862,8.06489,9.134928,8.929098,9.192973,9.249077,8.944549,8.719601,9.031505,-0.519554,-11.818588,-11.945121,-12.026639,2
-5.558106,-5.671535,-5.80841,-5.581358,-6.022182,2.891854,18.254672,20.388941,17.813546,3.608492,-6.982435,-6.929282,-7.006828,-6.825194,-6.572174,2
-16.125272,-16.631077,-12.820236,4.425148,7.090841,6.809728,7.070426,6.831717,7.195788,6.767068,7.31215,6.572645,6.965124,-3.827811,-17.636239,2
-11.042214,-11.709009,-7.787255,8.466,9.744114,9.656827,9.607939,9.591126,9.577817,9.721912,7.235775,-7.08464,-12.563933,-11.609993,-11.804467,2
-7.165107,-6.845261,-7.093569,-6.64238,-6.38149,6.611333,17.301445,16.883359,17.196265,9.700822,-4.047893,-8.462439,-6.903296,-7.093486,-7.058305,2
-11.491104,-11.165059,-7.402217,-7.548797,-3.074164,9.712794,12.071807,12.325434,12.36579,12.349464,11.196518,-0.359975,-8.780975,-8.449649,-11.749869,1
-9.76703,-8.787556,-6.366144,-3.479162,9.831832,13.739391,13.380466,13.394142,13.414405,7.283871,-4.87958,-7.43635,-9.66706,-10.647682,-10.013543,1
-11.432911,-10.205618,-7.45361,-4.980397,6.17624,13.404464,12.618899,13.113649,12.61256,11.719479,-0.103648,-7.727915,-7.095374,-9.678426,-10.967392,1
-10.245034,-10.886635,2.208553,11.289271,9.108576,10.746308,9.595839,10.555278,9.138803,8.853674,-3.488981,-12.594846,-11.271158,-11.527481,-11.482164,2
-5.647494,-5.651094,-6.18151,-6.672661,-4.518098,10.479168,19.258922,18.7179,15.207606,0.786914,-7.956229,-6.545847,-6.899066,-7.11976,-7.258752,2
-6.15047,-5.955946,-6.062456,-5.203458,-5.280416,10.763088,19.037642,18.20421,16.001452,0.131013,-6.086895,-6.097849,-7.260849,-8.108553,-7.930515,1
-7.775586,-7.11963,-7.460108,-6.522084,-7.936441,2.175165,18.193544,17.091536,17.730932,8.474081,-5.296452,-6.266392,-5.008447,-5.230821,-5.049296,2
-7.060149,-6.877782,-7.190997,-6.183618,-5.808659,11.000449,19.421225,18.113311,15.617417,-0.198887,-6.431382,-4.783994,-6.282644,-7.010286,-6.324005,1
-14.129483,-15.03047,-4.090255,8.689141,7.016258,8.560753,7.339237,8.328383,7.379675,8.273537,7.288909,6.892585,-6.355684,-15.84623,-14.316355,2
