@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute target {1,2}

@data
18.31377,13.207243,8.125957,1.966057,-3.151284,-8.85351,-11.630752,-6.922477,-2.387637,-2.922129,-5.564486,-7.828043,-12.465746,-12.172805,-7.301007,-5.122419,-3.932544,-1.421255,2.769572,4.650678,8.262,10.130576,12.011245,11.06289,10.625872,14.523387,14.756519,10.821492,7.809429,4.890393,0.442646,0.365949,-4.60481,-6.705635,-5.65522,-11.325452,-12.504252,-13.215386,-14.882305,-15.670216,-14.674312,-13.248417,-9.74398,-5.67681,-2.102591,0.573047,5.550332,10.006726,14.103448,17.441245,19.275006,1
18.459457,13.907801,8.07886,2.379057,-3.457866,-9.933243,-16.449629,-18.352016,-12.675799,-8.083826,-2.544514,-1.259484,-3.388896,-5.824947,-8.040518,-8.076254,-8.408099,-6.190149,-6.851927,-3.482589,1.353885,5.747391,8.35029,10.027125,12.539707,10.226458,8.432335,13.106194,15.313916,13.549457,10.096795,6.837628,3.635168,1.872503,-2.572778,-3.986568,-8.955144,-9.506422,-11.194261,-11.941245,-12.157671,-14.097667,-11.269106,-8.757571,-5.727348,-1.599027,3.720543,9.01561,13.36024,16.179515,18.594627,1
17.64375,12.742977,8.027913,2.622077,-2.686098,-7.841933,-12.756801,-14.071348,-8.983755,-4.103357,-3.499622,-6.103459,-7.916237,-10.683262,-9.98799,-7.441514,-5.81079,-3.901691,-0.920597,2.340096,6.256635,8.590434,11.528738,12.34886,10.121749,13.234101,15.162429,14.507585,10.95557,8.665526,5.385626,2.394856,-0.809092,-5.452135,-7.410754,-5.905434,-11.1239,-11.752411,-13.882937,-15.964289,-13.106128,-12.406435,-10.172169,-6.993943,-3.849268,-0.350114,4.075939,9.162839,14.337036,17.038241,18.744487,2
19.488429,14.95733,9.956409,4.14221,-1.499313,-7.901739,-9.396868,-4.460253,-2.655999,-3.826928,-6.63646,-9.817024,-10.599689,-9.353952,-8.907271,-8.078522,-7.26466,-3.194832,1.168234,4.157775,6.703138,8.410413,10.319446,8.46646,5.6361,9.724704,13.11999,12.764909,9.09201,5.371666,2.429408,-0.53982,-2.936543,-5.458121,-6.913666,-8.718162,-11.039816,-11.678014,-15.025476,-14.947442,-14.321672,-14.867388,-12.167605,-8.299993,-2.829434,2.320062,7.355575,12.05554,16.268423,19.293506,20.134925,1
19.013966,15.700519,10.820572,4.837808,-0.01281,-6.175468,-11.551978,-15.386137,-13.173136,-7.185822,-2.717239,-4.32366,-6.743441,-8.396868,-10.879312,-12.105473,-8.497017,-7.300455,-5.985276,-1.331361,2.075901,5.265169,8.294139,11.770201,13.693864,10.797371,8.357655,12.692571,14.294859,11.946798,7.898855,5.126065,1.17771,1.187407,-4.787706,-5.325407,-5.200656,-10.248117,-10.78899,-12.883744,-14.536377,-14.118321,-12.071129,-8.311731,-4.133702,-0.258836,3.992921,8.192428,12.438303,15.784944,19.070144,1
19.014767,14.402301,9.770979,5.025571,-0.406627,-5.592636,-10.387325,-13.103369,-10.325226,-5.035141,-4.102244,-5.805574,-8.383939,-10.261661,-10.524475,-8.661961,-6.771717,-3.339627,-0.098665,2.162855,4.899769,7.580993,9.426968,10.826572,8.485558,11.564245,14.864819,15.682849,13.030802,9.706562,5.94123,2.439679,-0.087793,-3.809091,-6.179359,-9.261194,-11.29704,-13.157205,-14.076005,-14.438448,-14.469946,-12.834848,-10.25845,-7.53356,-3.943943,-0.254618,3.75057,8.539164,12.46283,15.558936,19.263668,2
17.084889,12.354829,7.040419,0.918376,-5.220347,-10.890708,-16.552602,-15.250095,-10.140463,-6.70339,-7.792355,-8.645199,-10.005703,-11.815963,-10.868167,-9.489716,-7.245966,-5.598863,-2.610793,1.648482,3.771405,5.720267,7.929816,10.514966,10.067738,9.51826,13.407551,14.198933,14.337299,11.267993,8.623554,6.9585,3.247019,0.888931,-2.743697,-5.158884,-8.518631,-10.345661,-11.884868,-13.828084,-14.17268,-11.544657,-7.788431,-3.506682,0.135788,3.441123,7.009852,10.775019,13.104668,16.343187,18.013742,1
18.237327,13.330448,8.994913,4.46982,-0.650152,-5.292754,-9.409644,-12.024145,-7.870627,-4.96215,-5.286704,-6.421998,-8.992563,-11.542864,-9.256291,-6.721548,-5.593415,-4.421388,-0.398365,2.979573,5.837283,7.89386,10.329814,8.828834,6.936153,12.264381,13.552001,14.809939,13.189651,9.568875,6.41222,2.510521,-1.365071,-2.235463,-7.650637,-8.3911,-9.733559,-13.587932,-14.23823,-16.033594,-17.080823,-13.565364,-10.734408,-7.635817,-3.784233,0.462931,4.809754,9.539378,14.243715,16.429412,19.250035,1
18.879752,14.231214,8.854145,3.460264,-1.98597,-7.629999,-12.90118,-17.741964,-14.635017,-10.003176,-5.565366,-2.112202,-3.022718,-5.545279,-7.738192,-9.928718,-9.098917,-7.188087,-7.104198,-3.783746,1.194985,4.961037,7.912842,9.819142,12.461492,10.881088,9.772183,13.376656,15.427949,13.153283,10.340771,6.361641,2.881468,1.210477,-2.691231,-4.828865,-8.351748,-8.93474,-10.701937,-11.707279,-14.102601,-12.401826,-10.604855,-8.039751,-5.203966,-1.301805,2.76529,7.97805,12.568585,16.926414,19.436607,2
19.272588,14.402789,8.159755,3.148402,-2.215323,-7.667093,-12.946503,-13.298488,-8.062851,-3.385324,-3.254288,-6.137408,-8.162737,-9.247529,-6.163135,-6.163607,-4.709984,-0.844708,1.872518,5.173921,6.835957,8.843823,10.189782,9.339566,12.004942,14.869862,14.946234,12.604931,9.403791,5.776127,1.155465,0.299561,-2.63967,-6.979273,-11.168844,-9.077921,-10.346481,-13.47212,-14.471109,-16.061664,-16.07098,-11.063093,-8.64847,-6.664029,-3.077829,0.781079,4.494024,8.872517,13.058792,17.09362,19.400415,2
