@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute target {1,2}

@data
-2.606795,-2.029237,-0.275016,-2.333405,2.154872,-6.320577,3.036184,1.255856,-3.111823,-3.621902,2.277806,-6.572221,0.466549,1.570127,2.549026,1.419089,-0.899877,-0.537629,3.851284,-1.196531,1.261001,-2.226093,0.820159,-3.114071,-0.39011,0.974482,0.169621,-1.05902,-0.430768,-0.171422,2.34197,-1.059493,2.918855,6.197139,-3.155811,6.5193,1.86685,-1.780709,1.54221,-3.19393,6.526726,3.191443,-1.694121,5.607599,-5.068924,0.535936,1.033218,-2.168727,-1.005865,-4.063222,1
0.799903,2.690822,3.140837,5.704853,2.399831,2.825625,-3.2017,-3.262349,-0.743002,-5.172847,5.089185,-0.790541,1.309626,-3.869022,0.660197,-1.026927,-0.963329,-1.824893,1.177863,1.661309,-0.403222,3.726194,4.360417,-2.208687,-2.541816,3.238615,-6.614473,-0.07508,-7.188879,2.240353,0.309969,-2.892505,0.73436,0.451902,4.412449,0.539364,-2.372987,-2.177436,-5.65327,2.135918,-1.720308,3.176639,-2.837355,-0.645347,2.381298,-2.551727,-1.759279,2.967509,2.846329,1.515614,1
1.797283,4.493981,-7.584271,2.689215,-4.439483,0.520498,2.368389,-2.377366,0.043655,-0.477735,-0.345167,2.547357,-1.652,1.15728,-6.655845,0.828887,-4.065582,3.183581,1.109018,0.587296,-2.302768,-1.505589,-7.607592,-0.660423,1.074592,-5.359002,4.143274,4.653583,-0.954089,-1.5986,-3.369662,4.09346,4.590776,-0.663977,5.994972,2.974013,0.963164,1.649624,-3.533809,-1.641396,-1.769442,3.059877,1.371879,2.112695,-2.162986,-2.811361,1.884941,-0.818646,4.720232,-0.256732,1
-7.727328,-0.320423,4.798272,0.880257,3.992484,-0.391124,-2.213466,0.158058,-2.376805,0.488589,1.26581,5.084807,1.117517,-1.998133,-1.336442,-0.637097,-5.176735,2.15141,-1.035195,5.469354,5.785983,6.274585,-4.996464,0.106621,-0.60228,-3.707155,-1.064238,0.104821,-4.291423,-3.739582,-3.081238,-0.163308,-3.654757,-3.946761,-5.180336,1.014709,3.213423,-1.482425,-0.675597,0.85411,0.560661,5.613455,0.582656,-0.127318,3.33578,-2.333627,5.727422,-0.450872,-0.285593,4.414938,1
4.330478,-3.599312,-0.142313,0.341153,1.785457,2.748122,-2.745525,-0.940288,-1.691357,0.803627,1.389418,-1.046885,6.994415,-0.341246,-2.655164,0.472797,-1.819611,3.446799,-4.270006,2.601043,-4.220513,-2.399803,2.718259,-0.557083,1.741328,1.732282,0.596864,0.281221,-0.931572,-0.312108,-2.57068,5.270678,2.847509,-1.024366,0.040868,2.623755,-4.650053,-0.425924,0.553928,-3.015133,0.832809,3.611472,-4.633624,1.001526,-1.223097,-0.411515,0.508682,-1.82783,-0.658818,-1.160665,1
-1.939884,1.800423,2.094187,-3.86398,3.299341,2.638675,2.930024,-1.421116,1.132965,5.349128,0.77256,-0.246392,-3.035205,2.566019,-1.730476,-1.644728,-3.987299,-0.186157,-0.016061,4.993525,5.311076,-3.305388,-0.982772,-0.219521,2.019864,6.748361,4.293074,1.982688,-5.844166,-4.060424,4.502376,2.746999,-1.691015,-5.234842,-2.913787,-5.500637,-2.947248,0.591499,2.963096,-6.38166,-2.443,-2.790354,5.964439,1.321954,-5.369236,2.584688,-1.910545,3.499386,0.311008,-2.751461,1
-0.118113,0.105366,1.177542,-1.522903,1.495727,-0.087893,-7.375989,-2.630156,-1.509761,3.487234,-1.584824,-6.028427,-1.000163,-1.487551,-2.724557,2.394241,-0.584641,1.897371,9.399126,2.739801,2.502754,0.04066,0.494903,-1.8914,1.306997,6.025986,-2.397782,-1.880076,-0.516885,1.380024,-0.600245,-4.856359,-1.250694,-1.583907,8.012473,-6.727292,-2.073506,-0.985389,0.490514,-1.875661,0.670193,2.21178,-3.905952,0.704847,1.171694,5.293671,-0.725802,-0.895573,5.047244,0.771351,1
-4.146052,0.212699,1.603663,-0.127066,-1.831749,3.001341,-1.300119,-4.877769,1.811182,-4.01623,0.602653,-6.616687,0.706979,-0.960453,-1.439986,1.617625,3.134374,1.649311,-3.120777,-3.189169,5.334625,0.183573,4.906124,-2.178488,0.748716,6.163127,-2.791938,-3.77581,0.621784,1.047621,3.407708,-1.087716,1.032975,-0.175006,0.165054,-1.272116,-3.945054,-0.754757,-3.87706,1.50502,5.038793,5.781618,0.236608,-1.037747,3.568499,0.183272,-5.505111,1.071586,1.903098,0.787233,1
-3.567377,2.591845,-3.666775,-2.070913,-5.536013,-2.742857,-3.73975,-5.668895,3.022779,-1.256674,-1.772072,-0.099295,-5.405692,3.391383,1.52563,3.997517,4.47442,-1.021763,1.417463,2.064554,-1.233454,-2.077386,2.674548,3.180136,4.521912,-2.906456,0.003339,1.326255,-4.765446,6.094014,-0.93868,-4.469719,-0.976967,0.68027,4.321812,7.484583,1.603742,2.161091,0.046419,2.733459,-0.864434,-1.89801,-5.141689,-1.392733,6.866456,-3.027842,4.329153,-2.711072,-0.354161,-1.206651,1
-1.97194,-5.36041,-0.087846,1.816417,-3.785755,-3.128096,-0.104037,-2.580313,-5.761871,-0.392967,3.763655,0.292692,2.195854,1.147453,3.91476,1.187064,-2.125905,4.833621,1.316948,1.159471,-1.583877,3.351155,1.247571,0.972978,1.526285,2.541201,6.217933,9.597896,-0.079966,1.008477,-2.587493,1.288193,-3.608855,-1.649819,0.547766,-4.430218,-2.760609,-2.604531,-2.747194,-4.655824,3.14214,1.83114,-2.73843,4.683565,-0.422801,0.251024,-2.179629,-2.23231,0.420724,-0.675287,1
