@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute target {1,2,3,4}

@data
5.755182,5.76053,6.247521,5.808312,7.114409,12.96279,-19.258683,-18.053654,-17.840838,-15.680228,-14.378431,-10.377489,-7.265362,-3.72859,-0.915016,1.382309,3.174168,4.038319,4.561378,5.313302,5.471608,5.602209,5.678183,5.812861,5.497606,5.673285,5.94477,5.699547,1
6.979783,7.138421,7.209402,7.037192,7.090323,6.830813,7.16052,7.147977,7.276178,7.312072,6.477688,-17.640293,-20.517213,-18.469112,-17.623175,-14.876361,-12.20498,-8.816268,-5.533863,-1.680719,0.921011,3.103611,4.504427,5.384252,6.001086,6.589159,6.564905,6.633164,2
-20.100487,-20.059045,-20.020192,-19.886449,-18.434937,-11.80443,-1.856478,3.392314,5.011549,5.431588,5.406187,5.35529,5.616396,5.624449,5.508092,5.502539,5.471303,5.682137,5.595068,5.384876,5.506231,5.394283,5.46455,5.262809,5.361253,5.565353,5.22287,5.402884,4
-17.080874,-17.176722,-17.260742,-17.102179,-17.155191,-16.455617,-13.544617,-4.158178,3.860022,5.881432,6.079281,6.395823,6.192232,6.286472,5.82517,6.462789,5.583219,8.969138,4.532859,4.723084,6.645514,5.650766,6.314057,5.903469,6.271604,6.059178,6.203627,6.094384,3
5.406009,5.390652,5.626912,5.508229,5.430199,6.38794,15.1387,-18.46511,-18.84201,-17.314679,-15.520898,-13.179345,-9.959556,-7.001248,-3.652077,-0.509219,1.636937,3.036045,3.936678,4.58502,4.95954,5.293942,5.325385,5.252706,5.470021,5.22937,5.446774,5.383082,1
-12.383661,-12.245382,-12.529029,-12.385668,-12.42056,-12.365173,-12.292382,-12.335474,-12.217408,-11.799349,-8.82499,-0.518018,6.361492,8.102155,8.534116,8.390297,8.544401,8.365875,8.518129,8.421927,8.493174,8.352803,8.499245,8.358116,8.300638,8.31129,8.34694,8.416496,4
-13.383619,-13.326606,-13.250522,-13.392107,-13.532437,-13.458357,-13.468053,-13.270919,-12.85157,-9.813369,-0.147725,6.401167,7.381598,7.76483,7.814989,7.817757,7.599834,7.713924,7.775363,7.850463,7.608436,7.81003,7.689206,7.670623,7.708121,7.837372,7.78139,7.670181,4
6.120904,5.167472,7.189948,3.842716,11.978697,10.049927,-22.74227,-14.891699,-18.373164,-13.567124,-14.117055,-9.46246,-8.285335,-3.430117,-2.028403,1.273778,2.078948,4.172466,4.179328,5.430427,4.934635,5.876533,5.287811,5.843765,5.738309,5.92481,5.780011,6.027142,1
6.226308,6.255373,5.882187,6.542771,5.463309,6.620489,5.242308,7.262737,4.689294,8.556843,2.753094,20.994311,-1.212441,-21.42335,-13.748192,-17.076869,-12.736634,-13.67753,-9.489498,-8.289396,-4.662592,-3.081778,-0.146989,1.479381,3.408119,4.286851,4.722652,5.159242,1
-13.233259,-13.208501,-13.301614,-13.327388,-13.178,-13.124893,-13.204918,-13.344797,-12.735111,-10.334467,-2.024653,5.76423,7.555631,7.969685,7.822709,7.751252,7.695254,7.850706,7.874788,7.810295,7.970125,7.81704,7.747005,7.968715,7.776817,7.874942,7.903616,7.864792,4
-17.936633,-17.794096,-18.030123,-17.778043,-17.832778,-16.801273,-10.993527,-0.106592,5.072358,5.91836,5.82742,5.781063,5.945982,6.026804,5.929022,5.857115,5.898727,5.89646,5.930501,5.888134,5.879029,5.961545,5.940212,5.843879,5.91765,5.953606,5.785222,6.019974,4
-17.394485,-17.618605,-17.335861,-17.613351,-17.091532,-16.46555,-12.565713,-3.975362,3.334493,5.887846,6.08209,6.080554,6.070559,6.060693,6.141209,6.096643,6.237785,6.172385,6.221894,6.181042,6.116837,6.124106,6.18787,6.171322,6.279354,6.009647,6.224958,6.379173,4
-20.370773,-20.317029,-20.42145,-20.241919,-18.533238,-10.589384,0.323891,4.613899,5.146743,5.344168,5.229188,5.480588,5.242938,5.248749,5.107126,5.219363,5.427236,5.275618,5.435659,5.421354,5.204406,5.209431,5.368882,5.288141,5.218271,5.328948,5.167793,5.171402,4
-15.335279,-14.962017,-15.267638,-15.161381,-15.144194,-14.993541,-14.840825,-12.915194,-6.731472,1.698347,5.525576,6.898371,6.648065,7.22217,6.753137,7.206804,6.628466,7.304898,6.387462,8.555929,9.243634,3.683311,7.217059,6.83829,6.892766,6.70843,6.920035,7.018792,3
-19.388189,-19.355353,-19.293529,-19.219283,-18.719972,-13.844855,-4.633779,2.624043,5.11366,5.536925,5.387451,5.481532,5.710557,5.623191,5.586255,5.695371,5.560125,5.648308,5.514322,5.614995,5.803921,5.788986,5.616464,5.584068,5.793667,5.708316,5.521551,5.541252,4
5.632321,5.650799,5.333728,6.311055,4.919555,6.748156,4.377356,7.717608,2.562592,14.272571,5.171603,-23.531352,-15.071124,-18.716891,-13.614905,-14.108447,-8.680811,-6.970925,-2.159761,-0.816303,2.074844,2.775312,4.258593,4.545104,5.147643,5.232857,5.435899,5.502924,1
-13.968873,-13.826065,-13.982998,-13.806409,-13.985788,-13.900104,-14.023415,-13.554083,-12.310557,-5.685276,2.9371,6.833036,7.115262,7.646815,7.145455,7.916986,7.009863,8.04778,6.730283,9.398496,8.118178,4.992983,8.108252,7.210684,7.732118,7.23626,7.483028,7.38099,3
7.27549,7.053387,7.293569,7.075812,7.491344,6.84613,7.840335,6.885507,8.946643,2.378352,-20.594648,-18.839004,-18.71457,-16.341461,-14.852297,-11.695249,-8.613967,-4.935406,-1.954178,1.256161,2.872425,4.658128,5.467569,6.037747,6.390839,6.735048,7.028882,7.007411,2
