@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute target {1,2}

@data
-16.744234,7.400715,22.794475,-3.282735,-9.062613,5.804085,0.973945,4.187986,1.705128,3.734299,1.932891,3.944118,-0.187866,-11.617864,-11.582331,2
11.197296,8.266308,1.743986,12.044857,5.685979,-10.350584,-10.238918,-10.766927,-10.855851,-10.509105,-10.219926,-7.805804,10.183708,10.82706,10.797924,2
3.654505,4.02084,-1.2731,-2.032334,8.286989,11.772749,-5.83223,-2.309384,-4.330652,-2.652529,-4.06859,-3.163863,-4.770349,-1.450885,4.148835,2
-11.545158,-8.006721,5.205705,-9.777229,-10.589849,7.287417,10.634895,9.201817,9.66738,9.404543,10.624083,9.452422,-9.003562,-11.548709,-11.007034,2
-11.329663,-10.238312,2.243284,-7.004043,-12.896982,5.36287,10.757362,9.760432,9.422037,10.219176,9.406265,11.890881,-4.290821,-12.421466,-10.881018,2
4.274242,4.782384,-1.529966,-1.999058,10.672105,8.65624,-7.372074,-3.684849,-5.441262,-4.312876,-4.722464,-5.598267,-2.709452,4.819591,4.165707,2
10.957301,9.397426,4.125208,10.972423,8.039219,-9.889655,-9.794619,-11.040965,-10.219018,-11.418316,-9.062948,-10.682363,6.07417,11.844972,10.697165,2
11.832709,9.511209,6.396213,12.248592,9.705291,-8.011734,-10.047552,-9.980195,-9.941557,-10.370105,-9.433356,-8.636298,-5.846408,11.082104,11.491084,2
-12.474008,-12.73411,15.711066,-0.766481,-15.451504,4.720977,5.740523,6.671647,6.475643,6.614543,6.913818,3.877954,5.508244,-7.516734,-13.291577,2
-1.362444,25.910173,-5.149516,-0.084488,5.634788,4.126743,4.600896,4.726906,4.123127,5.565674,-5.604489,-11.506425,-9.923827,-10.670232,-10.386887,1
-12.047378,-8.894751,3.065918,-11.732469,-7.280849,10.297385,9.075233,9.69677,8.506269,9.695491,9.237105,11.191361,-6.761645,-12.602742,-11.445698,2
0.992385,6.554297,7.474104,-4.410498,5.579678,0.809943,-2.859916,-3.362481,-2.441665,-3.198456,-2.619198,-3.204654,-2.655775,1.422555,1.919681,2
-11.220071,-14.014519,9.080854,11.185232,-17.241801,-0.055651,6.146148,7.01673,6.584177,7.251603,6.95725,4.907342,4.752172,-9.189652,-12.159815,2
-16.895537,7.073593,22.843884,-2.998266,-9.584548,5.589162,1.125994,4.157322,1.817667,3.80842,2.046502,3.999096,0.115415,-11.523222,-11.575482,2
10.174614,2.248945,2.014118,10.969693,-10.194821,-11.397175,-11.468526,-11.095161,-10.364043,-12.362756,1.468946,11.433684,8.862836,10.109248,9.600397,1
-10.786392,-7.259236,10.496811,-11.002437,-6.220563,9.460546,9.790545,9.103258,10.24316,8.503976,11.45905,-1.580377,-11.865502,-9.791513,-10.551323,2
-11.450677,-9.482016,17.818399,-2.176652,-14.492657,3.218797,6.722061,7.478232,6.776506,8.326127,5.590806,6.324061,-1.357596,-12.244177,-11.051211,2
-12.131199,-12.640021,0.366525,-4.729164,-15.266403,0.842842,10.81826,8.442255,9.474706,8.311313,9.444398,8.880918,9.769371,-9.065467,-12.518334,2
-11.407314,-12.934917,13.935918,4.295521,-16.678084,2.774449,6.063246,7.291034,6.436048,7.570867,6.358681,4.956145,3.744921,-10.44309,-11.963424,2
-12.191731,-10.780921,9.986733,-5.92292,-13.007637,7.493477,7.557768,8.806933,7.293269,9.055866,6.847658,10.080595,0.299466,-13.267337,-12.251222,2
-15.199464,9.076927,22.499628,-7.876392,-2.95657,5.876095,3.170266,4.4944,3.965304,3.733252,4.925022,-0.830826,-11.104334,-9.591027,-10.182279,2
-12.10923,-9.223918,11.40533,-9.282417,-7.56743,9.972439,7.277783,9.162952,7.637912,8.991442,7.670451,8.955194,-8.773425,-12.406848,-11.710238,2
12.914857,13.447111,3.491175,6.278173,15.389111,-2.058591,-10.126666,-8.172705,-10.050148,-8.60478,-10.55453,-6.571477,-9.963596,0.672733,13.909332,2
11.147423,8.907797,0.578503,11.232593,7.623971,-9.684938,-11.562236,-10.8846,-12.449091,-10.131727,-12.965816,1.528889,12.021864,7.940041,6.697328,2
10.909216,8.646115,5.010536,11.553811,6.571986,-10.41332,-10.130738,-11.125683,-10.415868,-11.287296,-9.275282,-9.757376,7.580491,11.45978,10.673629,2
-11.949619,-6.730299,11.485245,-10.30124,-9.37059,7.933236,8.83146,8.633727,8.759013,8.637238,8.775877,7.912005,-9.606102,-11.718417,-11.291531,2
-11.686636,0.23711,-4.933819,-14.571408,1.918294,10.773915,9.108274,9.429503,9.407547,9.31937,10.759441,5.6114,-12.051945,-11.509181,-11.811863,2
11.24299,9.589197,4.193658,11.385233,8.00094,-10.018905,-10.841935,-10.918087,-11.384906,-11.094975,-10.305237,-7.471791,10.386595,9.745054,7.492168,2
-11.038592,-13.766725,9.10304,11.168063,-16.812258,3.236995,5.8395,7.85254,6.29548,8.344367,5.875578,5.909041,1.254369,-11.722378,-11.539021,2
11.320976,9.060429,4.07973,11.468024,8.10427,-9.690769,-9.950588,-11.045684,-10.113182,-11.530987,-8.431537,-10.481691,4.573186,12.028931,10.608891,2
10.145532,8.689174,2.590124,10.93536,5.082011,-11.083202,-11.213518,-11.205166,-12.315019,-10.206941,-11.984342,-0.875623,11.676015,9.472639,10.292958,2
-16.392659,7.839142,22.760748,-5.995509,-6.666703,5.973098,1.394412,4.564652,2.012086,4.401924,1.940828,5.027086,-3.869359,-11.995551,-10.994196,2
1.649717,6.120447,9.06134,-4.476964,5.51954,0.429127,-2.552368,-3.336203,-2.498251,-3.186849,-2.890886,-3.050766,-3.641945,0.122383,2.731678,2
-12.003662,-5.007774,19.267463,-9.90482,-8.362056,6.643483,6.531389,7.51108,6.982297,7.940956,5.075281,5.748312,-7.37744,-12.002987,-11.04152,2
-11.578271,-12.663326,7.211422,0.109803,-15.131728,6.922099,7.644258,9.275585,7.313437,9.530851,6.878354,10.64127,-1.567543,-13.058947,-11.527261,2
-16.223174,8.564935,22.291413,-8.437889,-3.98546,5.776202,2.161226,4.583377,2.614561,4.43914,2.535592,4.832434,-6.849836,-11.557106,-10.745417,2
