@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute target {1,2}

@data
-5.17761,-4.937657,-4.993547,-5.431539,-4.22272,-2.435824,2.154521,4.61462,3.757797,3.165335,1.568437,1.160083,3.154138,2.258843,1.093633,4.385483,4.93036,2.383827,-1.846412,-0.544147,3.544831,8.699637,7.715809,4.470071,1.818183,-5.303654,-7.832045,-9.080277,-9.070174,1
-5.284969,-4.603417,-5.016195,-5.209874,-4.06425,-2.158145,1.648661,3.948178,3.433198,3.102222,2.123467,1.398475,3.832285,2.686891,1.513515,4.471157,4.941279,2.911378,-1.807132,-0.424343,3.081012,7.645929,7.891606,4.160616,2.200844,-6.007233,-8.208228,-9.111699,-9.095228,1
-5.053621,-4.729827,-4.710736,-5.350947,-4.196872,-2.401623,2.316022,4.735983,4.038866,3.129219,1.76722,1.101891,2.955919,2.19345,0.995735,4.650695,5.040249,2.292146,-1.895116,-0.851787,3.382741,8.715874,8.138188,3.763482,1.472619,-5.132516,-7.760506,-9.301619,-9.305126,1
-5.187979,-4.485831,-4.843047,-5.205821,-4.021108,-2.210816,1.482757,3.870894,3.693046,2.962551,1.809013,1.197699,3.427406,2.381724,1.020117,4.590655,4.876999,2.60777,-1.714931,-0.489471,3.297394,8.419573,8.292328,4.389557,1.866537,-5.721771,-8.033,-9.13652,-9.135724,1
-5.176098,-5.132141,-5.091464,-5.520771,-4.330601,-2.511347,2.541578,5.095155,3.913428,3.209045,1.511101,1.091918,3.408435,2.494707,1.099217,4.702985,4.874106,2.032068,-2.076863,-0.702931,3.771168,8.929933,8.132243,3.756397,0.606561,-5.46736,-7.594195,-8.79377,-8.772501,1
-5.251999,-4.556068,-5.03573,-5.184414,-3.844036,-1.869069,1.753995,3.651213,3.557608,3.229442,2.400173,1.574531,3.525413,2.896309,1.449364,3.73332,4.95949,2.967255,-1.279079,0.02372,2.687161,6.804991,7.502018,4.653405,2.883066,-5.594119,-8.353339,-9.651287,-9.633333,1
-4.965514,-4.579683,-4.852864,-5.263267,-4.123642,-2.227299,2.103316,5.174542,3.716963,3.080155,1.982721,1.174653,3.768991,2.435732,0.816091,4.442526,4.737348,1.813584,-2.399599,-1.090959,3.136753,8.875739,8.188178,3.888528,1.368892,-5.595569,-7.800401,-8.913793,-8.892119,1
-5.033902,-4.527218,-4.764601,-5.172121,-4.095786,-2.583864,1.428466,3.792299,3.222211,2.742216,1.512387,1.10529,3.285632,2.375956,1.210707,4.218001,5.240287,2.418781,-1.662598,-0.728693,3.439686,8.997291,8.375368,4.510392,2.301309,-5.149989,-7.830601,-9.306436,-9.320471,1
-5.208557,-4.628154,-5.041073,-5.019541,-4.11813,-1.774934,2.191966,5.055318,3.948061,3.202892,2.042816,1.403537,4.092232,2.437117,1.175328,4.798447,4.785225,2.265979,-2.257965,-1.192877,2.63215,8.616685,7.811883,3.618671,0.953708,-6.406903,-8.110832,-8.659226,-8.613822,1
-5.442406,-5.302594,-5.255058,-5.45539,-4.123875,-2.254216,2.088572,4.482708,3.842924,3.098647,1.970496,1.419722,3.573071,2.678119,1.358443,4.482134,4.941451,2.243123,-1.994075,-0.519653,3.229535,8.672043,7.986131,3.794332,1.641929,-5.534975,-7.786811,-8.921084,-8.913246,1
