@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute target {1,2,3}

@data
-2.996135,6.824827,1.275476,3.075834,7.255917,-1.800252,-6.984229,-6.651437,2
-3.11051,7.268163,-1.156439,3.424104,7.769768,-2.207583,-6.308027,-5.679475,2
-3.417915,6.559668,-2.280764,5.049759,8.165905,-3.375515,-5.276378,-5.424761,2
-2.647478,6.739959,-0.418327,4.085631,8.040496,-1.820672,-6.932718,-7.046889,2
-3.019074,6.759858,-0.949451,4.018061,8.240899,-1.822848,-6.909257,-6.318189,2
-2.510664,5.925515,0.830722,3.031132,8.487023,-1.866227,-6.811586,-7.085916,3
-3.103914,6.942054,0.875266,3.428587,7.866214,-1.830034,-7.980273,-6.1979,3
-3.102632,6.861408,0.27483,3.424409,8.061323,-1.982377,-7.11494,-6.422023,3
-3.323496,7.121526,0.122585,3.449975,8.053804,-2.851912,-6.842039,-5.730443,3
-3.136642,7.063792,1.156324,1.709272,8.226754,-1.828509,-6.806886,-6.384106,3
-3.134314,6.663004,-0.189214,3.651603,7.563431,-1.975762,-6.794742,-5.784006,3
-3.191772,6.992734,-1.163996,4.435543,8.130166,-2.192994,-6.81435,-6.195332,3
-3.694099,7.245598,-1.430066,5.211569,7.271368,-2.883621,-5.922149,-5.798599,2
-3.087593,6.845366,1.283163,2.150454,7.280378,-3.059795,-5.759286,-5.652687,2
-3.169693,6.579695,0.418003,3.331359,8.170432,-3.489917,-5.685327,-6.154553,2
-2.986093,6.896031,-0.02324,3.591974,8.23393,-1.63079,-6.972544,-7.109267,2
-3.558386,7.495142,-1.677361,4.816356,8.004976,-2.0166,-6.664963,-6.399165,2
-3.527369,6.967446,-0.87931,4.160973,7.834105,-1.937704,-7.689329,-4.928812,2
-3.199294,7.310554,-0.322014,3.422869,8.354493,-1.581091,-8.006479,-5.979038,2
-3.468419,7.595867,-1.788101,4.402272,7.983068,-1.676527,-6.971463,-6.076695,3
-3.227975,9.461181,3.220925,-0.407536,5.854915,-1.716833,-6.450498,-6.73418,3
-3.303234,7.556452,-0.303984,3.541694,8.112776,-2.120429,-7.017699,-6.465577,3
-2.646893,6.958188,0.069541,3.627616,7.689677,-2.163815,-6.997707,-6.536607,2
-2.754223,6.776572,0.464671,3.126322,8.169572,-1.842854,-7.447377,-6.492683,3
-2.687194,7.360191,0.285129,3.02868,7.902984,-2.360267,-7.111215,-6.418307,3
-3.27515,7.299882,-1.2214,4.000545,8.201334,-2.544201,-6.908056,-5.552953,3
-2.871517,6.053501,0.151308,4.92842,7.722783,-1.387361,-7.45888,-7.138253,2
-2.846381,7.010544,1.794869,2.043252,7.642832,-2.713549,-6.473091,-6.458477,1
-3.516981,6.463696,-0.228636,5.054314,7.730089,-2.91439,-6.406866,-6.181226,1
-2.899653,5.244898,-1.152587,7.19978,8.093586,-2.814015,-6.849076,-6.822934,1
-2.963932,6.827356,-0.865359,4.622189,7.885183,-2.290656,-6.38227,-6.832512,2
-2.911098,7.472493,-2.14708,5.789796,7.862704,-2.035331,-7.52441,-6.507074,2
-2.699134,7.558671,0.463864,1.896196,7.999488,-1.714902,-7.251434,-6.252749,2
-3.405837,7.169461,-1.137195,4.093392,7.930737,-2.724784,-6.012176,-5.913598,2
-2.616213,7.29135,-0.441283,3.528866,8.063248,-1.392031,-7.29596,-7.137976,2
-2.72144,7.367929,0.520967,3.4431,7.641207,-2.807246,-7.033602,-6.410915,2
-2.831123,6.891723,0.454947,2.764705,7.504605,-1.249973,-9.201661,-4.333223,2
-3.683195,7.686098,-1.221493,3.564954,7.694387,-3.114915,-5.392984,-5.532852,3
-2.95825,6.46541,1.638972,2.651673,7.956781,-1.587736,-7.826424,-6.340426,3
-3.653297,6.162929,-2.067089,6.208535,8.367681,-1.689949,-6.634883,-6.693926,2
-3.146252,7.386517,-0.900794,4.122646,8.040864,-2.788541,-6.38742,-6.327019,2
-2.599382,7.119654,-1.090018,4.095447,7.671632,-1.285949,-6.805927,-7.105459,2
-3.64522,7.184578,-1.313592,4.69492,7.101715,-1.383698,-6.080448,-6.558254,2
-3.100546,7.266735,0.566859,3.440642,7.713754,-1.92556,-7.466691,-6.495193,2
-3.173665,7.318824,-1.641759,5.226979,7.904513,-1.934444,-7.236456,-6.463992,2
-3.246756,6.888771,-1.341943,5.137867,8.240228,-2.064442,-7.439233,-6.174492,2
-3.343919,6.492659,-3.043512,6.398752,7.987849,-2.08543,-6.107517,-6.298882,2
-3.105117,7.508358,-0.803813,3.494824,8.246318,-2.676321,-6.344732,-6.319518,2
-3.281741,7.230063,0.222309,3.556984,7.846109,-1.797226,-7.345536,-6.430962,2
-3.120776,7.858962,-2.222828,4.567549,8.129398,-2.487165,-6.270713,-6.454427,1
-2.886874,6.442878,-1.932958,6.465673,7.80044,-2.751421,-6.59556,-6.542177,1
-2.632157,7.05787,-0.204021,3.522872,7.351662,-1.992746,-6.511304,-6.592178,2
-3.181056,6.868737,-0.181004,4.512751,7.396869,-2.384804,-6.866987,-6.164504,2
-3.47217,7.476571,-0.576112,3.686078,7.841969,-2.148182,-6.44356,-6.364593,2
-2.737828,6.96316,0.773104,3.203097,8.254848,-3.094542,-6.488164,-6.873676,2
-3.132501,6.898133,2.814171,0.465658,7.851296,-1.328728,-7.806791,-5.76124,2
-2.272742,6.733985,0.372761,3.989787,7.770851,-1.795608,-7.714872,-7.084162,2
-2.932235,6.852367,1.758545,2.082388,7.679184,-2.617192,-6.886607,-5.936451,2
-2.865826,6.781216,-2.417006,6.07134,7.871669,-1.549285,-7.77801,-6.114098,3
-2.72284,6.998049,-0.593179,5.085585,7.232215,-2.167384,-7.587899,-6.244549,1
-3.38745,7.397003,-0.693754,4.06986,7.760186,-2.055851,-7.700098,-5.389896,2
-2.81758,5.54446,-0.007782,5.758234,7.607625,-2.936536,-6.765776,-6.382645,1
-2.420033,4.997367,-3.00014,8.587168,8.440873,-2.083088,-7.446268,-7.075878,2
-2.99696,7.404591,-0.42599,3.897774,7.508045,-1.937478,-7.333838,-6.116145,3
-2.53507,6.833211,-0.122414,3.796687,7.886485,-1.402255,-8.066771,-6.389872,3
-2.842255,7.216454,2.286412,2.206913,7.452741,-3.160801,-6.329411,-6.830054,1
-2.581441,7.236431,-1.363461,3.265339,8.825165,-2.299446,-6.427883,-6.654703,2
-2.736645,7.171669,1.14488,1.373933,8.11102,-1.563232,-7.457109,-6.044516,2
