@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute attr21 numeric
@attribute attr22 numeric
@attribute attr23 numeric
@attribute attr24 numeric
@attribute attr25 numeric
@attribute attr26 numeric
@attribute attr27 numeric
@attribute attr28 numeric
@attribute attr29 numeric
@attribute attr30 numeric
@attribute attr31 numeric
@attribute attr32 numeric
@attribute attr33 numeric
@attribute attr34 numeric
@attribute attr35 numeric
@attribute attr36 numeric
@attribute attr37 numeric
@attribute attr38 numeric
@attribute attr39 numeric
@attribute attr40 numeric
@attribute attr41 numeric
@attribute attr42 numeric
@attribute attr43 numeric
@attribute attr44 numeric
@attribute attr45 numeric
@attribute attr46 numeric
@attribute attr47 numeric
@attribute attr48 numeric
@attribute attr49 numeric
@attribute attr50 numeric
@attribute attr51 numeric
@attribute target {1,2}

@data
1.015573,3.750048,10.694899,1.669338,4.102478,2.266319,1.146763,1.845418,-1.941509,0.06382,1.276339,0.55251,-0.827637,0.715359,1.735703,1.367383,3.749518,0.594547,0.503499,2.261101,-3.45845,-0.319197,-4.752031,0.699689,-2.430026,-1.676756,-2.828205,-1.397678,1.426353,-4.138288,-3.898161,1.021771,1.693097,-2.076404,-0.426927,2.241382,-2.289741,-0.843502,1.443386,-2.37339,-0.635347,1.402598,-1.448391,-1.206931,-0.033762,-1.890968,-4.922382,0.789652,-0.114984,-2.356742,-1.741138,2
0.236883,-1.995685,-2.285235,-1.359719,1.987328,-2.270614,3.308851,2.944793,-1.965755,-1.891667,-2.049028,3.377831,-1.145344,-1.597887,-1.680037,-1.802333,3.398366,-0.241973,0.565861,4.198743,-1.98823,-1.701865,-1.59711,-1.577486,2.662407,3.379975,0.697944,-0.191531,-1.629275,0.888661,1.034246,-1.545496,-0.579236,-1.85048,1.037921,-1.482231,-2.646435,-2.114133,-1.757621,0.220741,0.005952,-3.583889,-0.507836,-2.700282,-0.342477,-1.498165,-2.83224,11.622148,6.793054,-0.768653,4.818243,1
1.989137,1.703158,3.861973,3.924819,-1.236545,6.118402,-1.415783,-1.552829,5.635129,2.568022,1.014278,4.164654,0.126527,-3.001667,-2.41747,-2.373775,3.097647,-1.422393,1.738663,-2.085536,0.663865,-2.541051,1.136394,0.361892,0.390188,-3.694701,-0.484058,-0.314228,4.259504,-0.221483,-2.951128,-0.896961,-1.275318,-1.841041,-2.042908,-2.244346,-2.736104,-1.281071,0.691253,-0.059788,3.947466,-1.583319,-1.880791,-2.106973,-2.599642,-0.473646,1.526064,-1.650008,-2.037917,-2.828981,4.332425,1
-4.407341,-3.828301,-3.571076,-3.345679,-0.090776,0.45681,-0.237817,-2.210418,-0.106048,-1.299665,-1.185831,-3.051374,-3.155953,-0.643399,-2.998086,1.998031,3.057145,-0.418635,-2.375901,-1.601547,0.441274,-0.747412,-2.922531,0.095494,-4.343465,-2.334387,3.89863,-0.472744,-0.620787,-1.633513,1.192503,-0.817157,-0.818534,6.17005,5.288652,3.011254,1.946267,6.064357,4.772649,-2.433085,1.386162,3.014984,1.892723,-0.160967,-3.388935,4.917248,2.740834,-2.600229,4.518679,1.740946,-0.7831,1
2.19328,2.421376,-3.033729,-0.602133,1.216846,-3.083175,-0.772483,1.566418,-1.849642,3.230884,-3.69708,-1.747005,-1.633969,0.949044,-2.213158,1.078009,-2.615117,-2.707145,2.250847,2.675859,2.522137,-2.2317,-2.591215,-2.509056,7.417667,-0.185359,6.470691,-1.5158,-2.493397,2.533818,-0.478676,1.948524,0.373058,-0.015502,2.816188,-2.429851,0.345989,1.027089,-2.267577,-2.411806,-1.644476,-3.490149,1.034226,0.360356,5.989225,-2.19824,-0.601111,-1.230975,5.505818,-2.615638,-1.062184,2
3.891794,-0.751209,0.574713,-2.110955,-2.000217,2.095785,-1.236541,-2.108687,5.73091,0.815737,0.148091,-0.69765,-0.376294,-1.690953,-1.453979,-1.639525,1.813288,7.502443,2.452257,-1.24088,-0.907796,-0.777695,-0.604269,-0.203371,4.900874,4.768201,-3.819669,-2.947493,-0.041599,-0.417471,-2.279505,-1.922871,-1.927174,-2.269545,1.090606,-0.004775,-2.350273,-2.400293,-0.47269,-1.435623,-1.741574,3.001646,-1.373759,-1.621712,-1.872151,-2.404212,3.227957,2.736523,3.740084,-0.758136,1.369641,1
-2.644715,-2.138122,2.019247,3.008896,-2.25014,-3.105028,0.630889,6.088587,2.268132,-0.802224,-1.676619,2.384594,3.05148,-2.825204,-0.827423,-2.478753,-1.310963,-2.541123,-2.691518,-2.494548,0.236941,-1.411172,-2.211527,-0.200577,-0.062927,-1.207704,-0.11834,-1.422192,2.836195,0.42669,-0.939635,-0.572698,2.517897,-0.146561,-0.586486,-1.681832,2.123941,-1.831569,-0.70073,-2.229877,4.065009,0.348372,-2.506928,0.732037,-3.618035,1.366736,-0.494308,7.672434,3.911729,0.852735,3.186938,1
-2.648914,1.718312,2.604264,5.541371,0.588724,1.808509,1.563684,-1.062372,3.031978,-2.42517,-3.046262,-2.961765,-0.413271,-1.011984,-1.693205,3.847112,2.600176,0.736781,-0.339232,-3.190049,-3.239238,-2.565442,-1.636916,-0.711796,0.874211,2.413723,-1.336556,-0.514513,0.820862,0.955748,-1.906484,-1.14856,0.116631,-1.383843,4.646892,-2.824696,6.325504,-2.6307,4.605027,-2.772523,-3.178521,-0.11703,0.648955,0.835253,0.66919,-2.465038,-2.4563,-3.453325,4.34725,4.116692,-2.283139,1
-1.127531,-1.069017,-1.026917,-0.987884,-0.942625,-0.875872,-0.732941,0.222118,3.247254,2.754373,-1.33483,-1.181899,-1.153627,-1.365957,-0.292225,-0.546915,-0.418113,0.030366,10.451093,-2.373251,-0.787805,-2.064583,-1.43074,-0.519018,-2.748202,4.405083,-0.785814,-0.884129,-0.780326,-0.393412,6.857237,-2.422851,-1.833931,-1.707687,-1.773698,-2.452263,2.617967,0.329822,5.157787,-2.686367,-1.941577,-1.817692,0.325191,4.386496,-1.01601,0.733808,-0.223084,-0.137495,5.173287,-1.615549,-1.240045,1
1.183512,-2.592358,1.215766,-0.473281,1.724686,-1.000271,-2.517495,0.327219,3.650411,-2.42431,-0.500894,-2.864225,-3.626471,6.086117,-0.546349,-0.569655,1.567995,0.755098,-1.226439,-0.476499,-2.194336,2.848568,-3.339061,4.705322,0.276714,-1.470999,-2.785989,-2.208095,-1.855773,0.860692,-1.593745,-1.135074,-1.122952,-0.343726,0.225738,3.989125,1.536752,-1.90861,-0.857968,-0.776246,2.271748,0.157415,-2.982048,0.187633,0.388727,-1.200769,2.928433,-3.369745,4.597531,5.491236,0.986942,1
