@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute target {1,2,3}

@data
-2.891025,6.41092,-1.645952,6.054119,7.5073,-2.791322,-6.473158,-6.170883,2
-3.410519,6.975387,-1.347811,5.416044,7.392466,-3.398873,-5.784641,-5.842054,2
-2.96308,7.056011,-2.680548,6.628133,7.291181,-2.648275,-6.572829,-6.110594,2
-3.420835,6.593508,-1.871836,6.124894,7.979166,-2.464689,-6.377932,-6.562276,2
-3.505608,7.498845,0.497748,2.884519,7.67013,-2.790441,-5.835179,-6.420014,3
-3.837683,7.572307,-1.246958,4.685037,7.671346,-2.836618,-5.821625,-6.185805,3
-3.108526,7.275888,0.789795,3.045358,7.481197,-2.665726,-6.130679,-6.687306,3
-3.236402,7.321897,0.630481,3.343736,7.476761,-2.456745,-6.442151,-6.637577,3
-3.548971,7.900566,-0.812832,4.024592,7.397104,-2.395694,-7.371068,-5.193696,3
-2.786821,6.241577,-1.676098,6.704604,7.184478,-2.833131,-6.324496,-6.510112,1
-3.119707,7.389632,0.347921,3.604821,7.511659,-1.947124,-7.09328,-6.693921,2
-2.985511,7.4141,-0.739098,4.277082,7.414534,-2.242301,-6.109428,-7.029377,2
-3.501064,7.450712,0.595179,3.468186,7.292329,-2.93284,-6.528338,-5.844164,3
-3.73145,7.898742,-0.259986,3.078034,7.665107,-2.754777,-5.720449,-6.175222,3
-3.10242,7.730312,-0.053879,3.284143,7.32421,-2.913198,-6.108051,-6.161115,2
-2.891862,6.926313,-0.887946,5.185797,7.200568,-3.054007,-6.468545,-6.010319,2
-2.833809,7.683852,-0.754606,4.498311,7.628808,-2.051333,-6.904189,-7.267035,3
-3.678631,7.442845,0.420984,3.371945,7.373,-2.671731,-6.030504,-6.227906,3
-3.16318,7.600194,0.893562,2.937074,7.390959,-2.074809,-6.600795,-6.983004,3
-3.29659,7.286966,-0.876718,4.614099,7.491125,-2.862289,-6.398905,-5.957688,2
