@relation R_data_frame

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute target {1,2,3,4,5,6}

@data
-3.460824,7.26509,-0.460717,4.350973,6.781162,-4.091312,-5.201681,-5.182691,6
-3.515907,6.956717,1.521309,3.273292,6.480063,-4.023957,-5.344948,-5.346571,6
-3.337857,6.513713,0.55428,4.550765,6.590314,-4.078285,-5.405229,-5.387701,6
-3.497697,6.952113,1.033934,3.74345,6.4807,-3.980125,-5.362089,-5.370287,6
-3.409583,7.086298,0.581555,3.582431,6.810601,-4.09427,-5.286613,-5.270419,6
-3.397582,7.00414,0.332155,4.253951,6.535349,-4.013052,-5.358438,-5.356526,6
-3.489371,7.034257,0.009452,4.154848,6.858251,-4.051955,-5.261062,-5.25442,6
-3.386967,6.797685,0.539487,4.203549,6.557913,-3.981536,-5.368788,-5.361345,6
-3.645636,7.100576,0.502225,3.969184,6.742985,-4.137167,-5.26602,-5.266147,6
-3.49572,7.044338,0.31817,4.352049,6.521419,-4.058794,-5.345195,-5.336268,6
-3.315299,7.011141,1.313653,3.07487,6.564106,-3.91507,-5.368299,-5.365102,6
-3.465535,7.010297,0.578837,3.359817,6.97396,-4.086755,-5.197065,-5.173555,6
-3.486674,6.751652,0.648131,4.208897,6.631835,-4.062434,-5.348084,-5.343323,6
-3.587229,6.898113,0.803298,4.045219,6.619757,-4.156343,-5.314866,-5.307949,6
-3.35856,6.909075,-0.266511,4.799913,6.670346,-4.01002,-5.37626,-5.367984,6
-3.448923,6.834513,1.116015,4.036271,6.323347,-4.044935,-5.408461,-5.407827,6
-3.554013,7.210036,0.303218,4.059803,6.649588,-4.127384,-5.272479,-5.268769,6
-3.525694,6.947471,0.543964,4.447529,6.39766,-4.097319,-5.360252,-5.353358,6
-3.205045,7.740914,5.374121,-0.617014,4.529579,-3.709827,-5.058875,-5.053854,6
-3.687334,7.014761,1.059896,3.449514,6.863385,-4.129658,-5.284531,-5.286035,6
-3.297002,6.647734,0.471328,4.448577,6.521732,-4.015553,-5.397805,-5.37901,6
